"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Mark Buehrle","White Sox","13","9","3.59","31","31","0","0","0","0","0","205.1","858","221","93","82","21","45","3","2","1","0","109","225"
"Jhoulys Chacin","Rockies","11","14","3.62","31","31","2","1","0","0","0","194.0","827","168","87","78","20","87","1","4","7","0","150","2608"
"Aaron Harang","Padres","14","7","3.64","28","28","0","0","0","0","0","170.2","719","175","73","69","20","58","4","3","3","0","124","1451"
"Paul Maholm","Pirates","6","14","3.66","26","26","1","1","0","0","0","162.1","687","160","72","66","11","50","6","8","3","0","97","8678"
"Anibal Sanchez","Marlins","8","9","3.67","32","32","3","2","0","0","0","196.1","830","187","85","80","20","64","8","5","4","5","202","3284"
"Randy Wolf","Brewers","13","10","3.69","33","33","0","0","0","0","0","212.1","903","214","95","87","23","66","1","13","4","1","134","976"
"Javier Vazquez","Marlins","13","11","3.69","32","32","2","1","0","0","0","192.2","798","178","91","79","21","50","8","2","5","0","162","801"
"Joe Saunders","Diamondbacks","12","13","3.69","33","33","1","0","0","0","0","212.0","874","210","94","87","29","67","4","3","3","0","108","4366"
"Ivan Nova","Yankees","16","4","3.70","28","27","0","0","0","0","0","165.1","704","163","74","68","13","57","3","6","11","0","98","1994"
"John Lannan","Nationals","10","13","3.70","33","33","0","0","0","0","0","184.2","808","194","90","76","15","76","3","7","4","0","106","7080"
"Tim Stauffer","Padres","9","12","3.73","31","31","0","0","0","0","0","185.2","777","180","81","77","20","53","5","8","4","1","128","6432"
"Michael Pineda","Mariners","9","10","3.74","28","28","0","0","0","0","0","171.0","696","133","76","71","18","55","1","5","9","0","173","5372"
"Philip Humber","White Sox","9","9","3.75","28","26","0","0","0","0","0","163.0","676","151","71","68","14","41","2","6","9","1","116","8586"
"Bud Norris","Astros","6","11","3.77","31","31","0","0","0","0","0","186.0","795","177","93","78","24","70","7","5","3","2","176","9492"
"Edwin Jackson","- - -","12","9","3.79","32","31","1","1","0","0","0","199.2","861","225","92","84","16","62","4","2","9","2","148","1841"
"Zack Greinke","Brewers","16","6","3.83","28","28","0","0","0","0","0","171.2","715","161","82","73","19","45","0","4","10","0","201","1943"
"Charlie Morton","Pirates","10","10","3.83","29","29","2","1","0","0","0","171.2","769","186","82","73","6","77","5","13","9","1","110","4676"
"Mike Leake","Reds","12","9","3.86","29","26","0","0","0","0","0","167.2","693","159","74","72","23","38","3","8","2","1","118","10130"
"Derek Holland","Rangers","16","5","3.95","32","32","4","4","0","0","0","198.0","843","201","97","87","22","67","1","6","2","1","162","4141"
"Ted Lilly","Dodgers","12","14","3.97","33","33","0","0","0","0","0","192.2","800","172","88","85","28","51","8","9","2","2","158","833"
"Bartolo Colon","Yankees","8","10","4.00","29","26","1","1","0","0","0","164.1","694","172","85","73","21","40","3","3","0","0","135","375"
"Trevor Cahill","Athletics","12","14","4.16","34","34","0","0","0","0","0","207.2","901","214","102","96","19","82","1","8","15","0","147","6249"
"James McDonald","Pirates","9","9","4.21","31","31","0","0","0","0","0","171.0","754","176","86","80","24","78","4","7","5","1","142","5523"
"Chad Billingsley","Dodgers","11","11","4.21","32","32","1","0","0","0","0","188.0","829","189","98","88","14","84","4","7","5","0","152","5842"
"Josh Tomlin","Indians","12","7","4.25","26","26","0","0","0","0","0","165.1","662","157","80","78","24","21","2","3","3","0","89","9388"
"Jason Vargas","Mariners","10","13","4.25","32","32","4","3","0","0","0","201.0","857","205","105","95","22","59","4","4","3","1","131","8044"
"Carl Pavano","Twins","9","13","4.30","33","33","3","1","0","0","0","222.0","955","262","123","106","23","40","0","8","4","2","102","790"
"Jeremy Guthrie","Orioles","9","17","4.33","34","32","2","0","0","0","0","208.0","889","213","113","100","26","66","5","9","0","0","130","2072"
"John Danks","White Sox","8","12","4.33","27","27","2","1","0","0","0","170.1","728","182","89","82","19","46","5","7","6","0","135","6329"
"Gavin Floyd","White Sox","12","13","4.37","31","30","1","0","0","0","0","193.2","798","180","97","94","22","45","2","11","12","1","151","3886"
"Colby Lewis","Rangers","14","10","4.40","32","32","2","1","0","0","0","200.1","839","187","103","98","35","56","1","6","4","0","169","1259"
"Max Scherzer","Tigers","15","9","4.43","33","33","0","0","0","0","0","195.0","833","207","101","96","29","56","1","7","12","0","174","3137"
"Wade Davis","Rays","11","10","4.45","29","29","1","0","0","0","0","184.0","795","190","96","91","23","63","1","8","6","0","105","7441"
"Brett Myers","Astros","7","14","4.46","34","33","2","0","0","0","0","216.0","917","226","116","107","31","57","5","4","7","0","160","962"
"Livan Hernandez","Nationals","8","13","4.47","29","29","1","1","0","0","0","175.1","751","199","98","87","16","46","6","5","3","0","99","1116"
"Chris Capuano","Mets","11","12","4.55","33","31","1","1","0","1","0","186.0","802","198","99","94","27","53","5","5","4","0","168","1701"
"Jake Westbrook","Cardinals","12","9","4.66","33","33","0","0","0","0","0","183.1","809","208","103","95","16","73","8","2","3","0","104","412"
"Ricky Nolasco","Marlins","10","12","4.67","33","33","2","1","0","0","0","206.0","891","244","117","107","20","44","8","3","6","0","148","3830"
"Luke Hochevar","Royals","11","11","4.68","31","31","0","0","0","0","0","198.0","835","192","110","103","23","62","4","7","7","2","128","6943"
"Ubaldo Jimenez","- - -","10","13","4.68","32","32","2","1","0","0","0","188.1","822","186","111","98","17","78","5","9","8","0","180","3374"
"Brandon Morrow","Blue Jays","11","11","4.72","30","30","0","0","0","0","0","179.1","777","162","103","94","21","69","1","12","12","1","203","9346"
"Mike Pelfrey","Mets","7","13","4.74","34","33","2","0","0","0","0","193.2","860","220","111","102","21","65","7","7","2","2","105","5203"
"Rick Porcello","Tigers","14","9","4.75","31","31","0","0","0","0","0","182.0","784","210","103","96","18","46","1","8","12","0","104","2717"
"Jason Hammel","Rockies","7","13","4.76","32","27","0","0","1","0","0","170.1","739","175","100","90","21","68","3","6","8","1","94","4538"
"Ryan Dempster","Cubs","10","14","4.80","34","34","0","0","0","0","0","202.1","881","211","111","108","23","82","2","5","7","0","191","517"
"Jeff Francis","Royals","6","16","4.82","31","31","1","0","0","0","0","183.0","803","224","102","98","19","39","5","5","5","1","91","4684"
"Chris Volstad","Marlins","5","13","4.89","29","29","0","0","0","0","0","165.2","719","187","96","90","23","49","6","1","2","1","117","9901"
"Derek Lowe","Braves","9","17","5.05","34","34","0","0","0","0","0","187.0","830","212","110","105","14","70","4","3","1","2","137","199"
"Bronson Arroyo","Reds","9","12","5.07","32","32","1","1","0","0","0","199.0","855","227","119","112","46","45","5","6","0","0","108","978"
"A.J. Burnett","Yankees","11","11","5.15","33","32","0","0","0","0","0","190.1","837","190","115","109","31","83","2","9","25","0","173","512"
"Roberto Hernandez","Indians","7","15","5.25","32","32","0","0","0","0","0","188.2","833","205","125","110","22","60","3","14","3","1","109","3273"
"Brad Penny","Tigers","11","11","5.30","31","31","0","0","0","0","0","181.2","803","222","117","107","24","62","1","4","9","0","74","535"
