"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Clayton Kershaw","Dodgers","21","5","2.28","33","33","5","2","0","0","0","233.1","912","174","66","59","15","54","2","3","5","1","248","2036"
"Roy Halladay","Phillies","19","6","2.35","32","32","8","1","0","0","0","233.2","933","208","65","61","10","35","4","4","2","1","220","1303"
"Cliff Lee","Phillies","17","8","2.40","32","32","6","6","0","0","0","232.2","920","197","66","62","18","42","0","6","0","0","238","1636"
"Justin Verlander","Tigers","24","5","2.40","34","34","4","2","0","0","0","251.0","969","174","73","67","24","57","0","3","7","2","250","8700"
"Jered Weaver","Angels","18","8","2.41","33","33","4","2","0","0","0","235.2","926","182","65","63","20","56","0","3","8","0","198","4235"
"Ryan Vogelsong","Giants","13","7","2.71","30","28","1","1","0","0","0","179.2","752","164","62","54","15","61","6","5","1","1","139","1011"
"Tim Lincecum","Giants","13","14","2.74","33","33","1","1","0","0","0","217.0","900","176","74","66","15","86","5","6","9","0","220","5705"
"Cole Hamels","Phillies","14","9","2.79","32","31","3","0","0","0","0","216.0","850","169","68","67","19","44","2","5","3","3","194","4972"
"James Shields","Rays","16","12","2.82","33","33","11","4","0","0","0","249.1","975","195","83","78","26","65","1","5","4","0","225","7059"
"Doug Fister","- - -","11","13","2.83","32","31","3","0","0","0","0","216.1","875","193","76","68","11","37","2","12","3","1","146","9425"
"Ian Kennedy","Diamondbacks","21","4","2.88","33","33","1","1","0","0","0","222.0","900","186","73","71","19","55","0","9","11","1","198","6986"
"Matt Cain","Giants","12","11","2.88","33","33","1","0","0","0","0","221.2","907","177","82","71","9","63","5","9","4","0","179","4732"
"Josh Beckett","Red Sox","13","7","2.89","30","30","1","1","0","0","0","193.0","767","146","65","62","21","52","1","9","6","0","175","510"
"Ricky Romero","Blue Jays","15","11","2.92","32","32","4","2","0","0","0","225.0","917","176","85","73","26","80","2","14","9","1","178","3403"
"C.J. Wilson","Rangers","16","7","2.94","34","34","3","1","0","0","0","223.1","915","191","89","73","16","74","0","10","6","0","206","3580"
"Jeremy Hellickson","Rays","13","10","2.95","29","29","2","1","0","0","0","189.0","774","146","64","62","21","72","8","4","8","1","117","4371"
"CC Sabathia","Yankees","19","8","3.00","33","33","3","1","0","0","0","237.1","985","230","87","79","17","61","4","7","2","1","230","404"
"Hiroki Kuroda","Dodgers","13","16","3.07","32","32","0","0","0","0","0","202.0","838","196","77","69","24","49","6","5","12","1","161","3283"
"Gio Gonzalez","Athletics","16","12","3.12","32","32","0","0","0","0","0","202.0","864","175","81","70","17","91","1","8","6","1","197","7448"
"Dan Haren","Angels","16","10","3.17","35","34","4","3","0","0","0","238.1","953","211","91","84","20","33","1","5","6","0","192","1757"
"Jordan Zimmermann","Nationals","8","11","3.18","26","26","1","0","0","0","0","161.1","662","154","62","57","12","31","2","7","3","1","124","4505"
"Justin Masterson","Indians","12","10","3.21","34","33","1","0","0","0","0","216.0","908","211","89","77","11","65","4","11","5","0","158","2038"
"Madison Bumgarner","Giants","13","13","3.21","33","33","0","0","0","0","0","204.2","844","202","82","73","12","46","5","5","0","1","191","5524"
"Tim Hudson","Braves","16","10","3.22","33","33","1","1","0","0","0","215.0","884","189","86","77","14","56","6","15","10","0","158","921"
"R.A. Dickey","Mets","8","13","3.28","33","32","1","0","0","1","0","208.2","876","202","85","76","18","54","2","9","9","1","134","1245"
"Matt Garza","Cubs","10","10","3.32","31","31","2","0","0","0","0","198.0","839","186","90","73","14","63","5","3","6","0","197","3340"
"Brandon McCarthy","Athletics","9","9","3.32","25","25","5","1","0","0","0","170.2","690","168","73","63","11","25","1","0","3","0","123","4662"
"Jeff Karstens","Pirates","9","9","3.38","30","26","1","1","0","0","0","162.1","668","163","69","61","22","33","6","4","4","1","96","5879"
"Ervin Santana","Angels","11","12","3.38","33","33","4","1","0","0","0","228.2","949","207","95","86","26","72","4","8","10","1","178","3200"
"Kyle Lohse","Cardinals","14","8","3.39","30","30","1","1","0","0","0","188.1","775","178","80","71","16","42","1","3","1","0","111","739"
"Matt Harrison","Rangers","14","9","3.39","31","30","0","0","0","0","0","185.2","772","180","79","70","13","57","1","1","6","1","126","5551"
"Chris Carpenter","Cardinals","11","9","3.45","34","34","4","2","0","0","0","237.1","996","243","98","91","16","55","5","6","3","1","191","1292"
"Felix Hernandez","Mariners","14","14","3.47","33","33","5","0","0","0","0","233.2","964","218","99","90","19","67","0","7","12","1","222","4772"
"Mat Latos","Padres","9","14","3.47","31","31","0","0","0","0","0","194.1","799","168","82","75","16","62","3","1","5","0","185","3815"
"Jon Lester","Red Sox","15","9","3.47","31","31","0","0","0","0","0","191.2","799","166","77","74","20","75","0","11","4","0","182","4930"
"Daniel Hudson","Diamondbacks","16","12","3.49","33","33","3","0","0","0","0","222.0","921","217","98","86","17","50","1","8","4","1","169","7146"
"Wandy Rodriguez","Astros","11","11","3.49","30","30","0","0","0","0","0","191.0","808","182","81","74","25","69","7","5","5","0","166","2586"
"David Price","Rays","12","13","3.49","34","34","0","0","0","0","0","224.1","918","192","93","87","22","63","5","9","2","0","218","3184"
"Alexi Ogando","Rangers","13","8","3.51","31","29","1","1","0","0","0","169.0","693","149","73","66","16","43","0","7","5","0","126","10261"
"Yovani Gallardo","Brewers","17","10","3.52","33","33","1","1","0","0","0","207.1","865","193","92","81","27","59","1","1","12","0","207","8173"
"Shaun Marcum","Brewers","13","7","3.54","33","33","0","0","0","0","0","200.2","823","175","84","79","22","57","3","0","6","0","158","6204"
"Jaime Garcia","Cardinals","13","7","3.56","32","32","2","2","0","0","0","194.2","826","207","100","77","15","50","2","2","12","1","156","8137"
