"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Aubrey Huff","Giants","-0.69","-10.84","10.15","-0.76","-0.12","1.09","2.14","12","0.30","-0.94","1213"
"Robert Andino","Orioles","-0.78","-10.19","9.40","-9.56","-0.98","1.10","1.18","3","-0.73","0.02","4900"
"Edwin Encarnacion","Blue Jays","-0.79","-10.30","9.51","-3.51","-0.32","1.03","1.54","11","0.48","-1.24","2151"
"Brett Gardner","Yankees","-0.91","-9.97","9.06","-8.08","-0.86","0.95","1.47","2","-0.48","-0.47","9927"
"Colby Rasmus","- - -","-1.00","-9.73","8.74","-0.40","-0.02","1.03","2.10","5","-0.65","-0.32","9893"
"Ian Desmond","Nationals","-1.02","-12.08","11.05","-12.51","-1.26","1.05","1.87","4","-0.72","-0.26","6885"
"Vladimir Guerrero","Orioles","-1.04","-10.99","9.96","-13.78","-1.46","1.04","1.54","8","-0.57","-0.44","778"
"Juan Pierre","White Sox","-1.07","-13.16","12.09","-9.91","-1.00","1.07","4.68","1","-1.31","0.31","443"
"Raul Ibanez","Phillies","-1.08","-10.70","9.62","1.02","0.06","0.99","0.98","11","0.51","-1.60","607"
"Gaby Sanchez","Marlins","-1.10","-13.01","11.91","4.59","0.51","1.12","0.99","6","1.27","-2.26","3361"
"Ryan Ludwick","- - -","-1.23","-11.38","10.15","-2.88","-0.28","1.18","3.00","5","-0.23","-0.81","1260"
"Jason Bartlett","Padres","-1.29","-10.55","9.26","-12.04","-1.50","1.00","1.03","3","-1.53","0.24","8219"
"Drew Stubbs","Reds","-1.36","-13.67","12.31","-1.81","-0.13","1.13","0.89","3","0.54","-1.74","9328"
"Placido Polanco","Phillies","-1.40","-9.02","7.62","-5.13","-0.55","0.98","1.34","5","-0.46","-0.97","1176"
"Vernon Wells","Angels","-1.43","-10.18","8.75","-7.62","-0.94","0.99","0.15","1","-0.57","-0.88","1326"
"Casey McGehee","Brewers","-1.48","-11.08","9.60","-25.90","-2.78","1.02","2.55","9","-2.36","0.90","6086"
"Delmon Young","- - -","-1.58","-9.46","7.88","-9.14","-0.90","0.96","1.86","2","-1.28","-0.37","2140"
"Miguel Olivo","Mariners","-1.63","-9.89","8.26","-16.97","-1.82","1.07","2.08","5","-0.89","-0.65","1638"
"Gordon Beckham","White Sox","-1.74","-10.16","8.43","-16.07","-1.60","1.04","1.42","1","-1.11","-0.56","9015"
"Ichiro Suzuki","Mariners","-1.79","-12.38","10.59","-10.19","-1.04","1.03","","0","-1.69","-0.05","1101"
"Alex Gonzalez","Braves","-1.85","-11.98","10.14","-25.38","-2.74","1.06","2.03","2","-1.37","-0.38","520"
"Danny Valencia","Twins","-1.88","-11.97","10.09","-7.67","-0.77","1.04","2.16","3","-1.62","-0.18","6364"
"David DeJesus","Athletics","-1.89","-9.18","7.29","-6.20","-0.61","0.97","1.55","5","-0.47","-1.49","1825"
"Aaron Hill","- - -","-1.91","-10.15","8.24","-12.54","-1.25","0.98","1.52","2","-0.96","-0.98","6104"
"Carl Crawford","Red Sox","-2.23","-10.90","8.67","-12.74","-1.28","1.06","2.55","2","-1.01","-1.10","1201"
"Yuniesky Betancourt","Brewers","-2.43","-11.13","8.70","-25.35","-2.69","0.96","1.05","4","-1.20","-1.33","8585"
"Kurt Suzuki","Athletics","-3.09","-9.93","6.84","-17.40","-1.84","0.98","2.23","1","-0.62","-2.53","8259"
"Mark Ellis","- - -","-3.47","-10.38","6.91","-25.18","-2.62","1.06","1.88","7","-1.71","-1.56","1443"
"Alex Rios","White Sox","-3.76","-11.67","7.91","-40.59","-4.11","1.04","","0","-3.50","-0.12","2090"
"Alcides Escobar","Royals","-4.98","-13.42","8.43","-27.05","-2.65","1.14","","0","-2.15","-2.23","6310"
