"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jose Bautista","Blue Jays","655","20.2 %","16.9 %","1.19",".302",".447",".608","1.056",".306","3.5",".309","3.8","2.0","-0.9","139","65.6",".443","181","1887"
"Miguel Cabrera","Tigers","688","15.7 %","12.9 %","1.21",".344",".448",".586","1.033",".241","2.1",".365","-2.0","-2.7","-0.8","143","66.1",".437","177","1744"
"Ryan Braun","Brewers","629","9.2 %","14.8 %","0.62",".332",".397",".597",".994",".265","7.0",".350","1.6","1.1","3.6","125","54.8",".426","171","3410"
"Matt Kemp","Dodgers","689","10.7 %","23.1 %","0.47",".324",".399",".586",".986",".262","6.2",".380","2.0","0.6","3.0","130","52.9",".413","168","5631"
"Prince Fielder","Brewers","692","15.5 %","15.3 %","1.01",".299",".415",".566",".981",".267","1.9",".306","-5.9","-0.9","-0.8","129","51.4",".410","160","4613"
"Lance Berkman","Cardinals","587","15.7 %","15.8 %","0.99",".301",".412",".547",".959",".246","2.6",".315","3.0","1.1","-2.6","108","42.6",".408","163","548"
"Adrian Gonzalez","Red Sox","715","10.3 %","16.6 %","0.62",".338",".410",".548",".957",".210","3.0",".380","-6.9","-3.3","-0.5","132","51.6",".407","155","1908"
"David Ortiz","Red Sox","605","12.9 %","13.7 %","0.94",".309",".398",".554",".953",".246","2.1",".321","-5.1","-2.5","-0.8","111","43.5",".407","154","745"
"Joey Votto","Reds","719","15.3 %","17.9 %","0.85",".309",".416",".531",".947",".222","3.6",".349","-1.2","-1.3","-1.5","132","51.0",".406","157","4314"
"Jacoby Ellsbury","Red Sox","732","7.1 %","13.4 %","0.53",".321",".376",".552",".928",".230","6.3",".336","3.1","0.8","1.2","131","48.6",".400","150","4727"
"Matt Holliday","Cardinals","516","11.6 %","18.0 %","0.65",".296",".388",".525",".912",".229","2.7",".330","0.8","-2.8","-0.5","90","32.2",".395","154","1873"
"Curtis Granderson","Yankees","691","12.3 %","24.5 %","0.50",".262",".364",".552",".916",".290","7.9",".295","6.0","1.5","0.4","120","42.1",".393","146","4747"
"Carlos Beltran","- - -","598","11.9 %","14.7 %","0.81",".300",".385",".525",".910",".225","4.2",".324","1.0","0.2","-0.6","103","35.3",".391","152","589"
"Michael Morse","Nationals","575","6.3 %","21.9 %","0.29",".303",".360",".550",".910",".247","1.8",".344","-1.2","0.4","-1.3","98","33.7",".390","148","3035"
"Troy Tulowitzki","Rockies","606","9.7 %","13.0 %","0.75",".302",".372",".544",".916",".242","3.9",".305","-3.7","-0.8","0.1","103","35.0",".389","133","3531"
"Justin Upton","Diamondbacks","674","8.8 %","18.7 %","0.47",".289",".369",".529",".898",".240","6.0",".319","4.8","1.7","0.1","113","36.9",".385","141","5222"
"Paul Konerko","White Sox","639","12.1 %","13.9 %","0.87",".300",".388",".517",".906",".217","1.1",".304","-9.9","0.0","-0.8","106","34.6",".384","139","242"
"Albert Pujols","Cardinals","651","9.4 %","8.9 %","1.05",".299",".366",".541",".906",".242","3.9",".277","-2.9","-4.3","0.8","108","34.9",".384","147","1177"
"Alex Avila","Tigers","551","13.2 %","23.8 %","0.56",".295",".389",".506",".895",".211","3.6",".366","-2.2","1.2","-0.3","91","29.4",".384","140","7476"
"Alex Gordon","Royals","690","9.7 %","20.1 %","0.48",".303",".376",".502",".879",".200","5.2",".358","3.5","0.5","-0.4","114","36.3",".382","140","5209"
"Giancarlo Stanton","Marlins","601","11.6 %","27.6 %","0.42",".262",".356",".537",".893",".275","4.3",".314","-1.6","0.6","-1.5","98","31.0",".381","141","4949"
"Adrian Beltre","Rangers","525","4.8 %","10.1 %","0.47",".296",".331",".561",".892",".265","2.4",".273","2.4","-0.1","-0.6","86","26.9",".381","135","639"
