"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Carlos Gonzalez","Rockies","542","8.9 %","19.4 %","0.46",".295",".363",".526",".889",".231","6.3",".326","1.7","-0.1","1.5","88","27.3",".380","126","7287"
"Hunter Pence","- - -","668","8.4 %","18.6 %","0.45",".314",".370",".502",".871",".188","4.6",".361","0.8","-0.3","0.2","108","32.5",".377","140","8252"
"Jose Reyes","Mets","586","7.3 %","7.0 %","1.05",".337",".384",".493",".877",".156","8.4",".353","1.3","0.9","4.5","94","28.0",".376","142","1736"
"Corey Hart","Brewers","551","9.3 %","20.7 %","0.45",".285",".356",".510",".866",".226","4.5",".323","1.2","-1.3","-1.5","88","26.2",".376","137","1945"
"Dustin Pedroia","Red Sox","731","11.8 %","11.6 %","1.01",".307",".387",".474",".861",".167","5.0",".325","0.0","0.8","1.3","116","34.2",".375","133","8370"
"Aramis Ramirez","Cubs","626","6.9 %","11.0 %","0.62",".306",".361",".510",".871",".204","2.0",".308","-4.4","0.5","-0.8","99","29.1",".375","134","1002"
"Robinson Cano","Yankees","681","5.6 %","14.1 %","0.40",".302",".349",".533",".882",".231","5.6",".316","1.2","-0.7","0.3","108","31.4",".374","134","3269"
"Michael Young","Rangers","689","6.8 %","11.3 %","0.60",".338",".380",".474",".854",".136","4.5",".367","3.2","-2.2","-0.3","106","29.1",".369","127","1286"
"Josh Hamilton","Rangers","538","7.2 %","17.3 %","0.42",".298",".346",".536",".882",".238","5.8",".317","0.8","0.9","0.8","83","22.7",".369","127","1875"
"Victor Martinez","Tigers","595","7.7 %","8.6 %","0.90",".330",".380",".470",".850",".141","2.0",".343","-6.3","-1.9","-0.4","92","24.9",".369","130","393"
"Shane Victorino","Phillies","586","9.4 %","10.8 %","0.87",".279",".355",".491",".847",".212","7.8",".292","2.9","2.1","2.1","90","24.1",".368","132","1677"
"Evan Longoria","Rays","574","13.9 %","16.2 %","0.86",".244",".355",".495",".850",".251","2.8",".239","0.4","0.9","-0.7","88","23.1",".367","136","9368"
"Kevin Youkilis","Red Sox","517","13.2 %","19.3 %","0.68",".258",".373",".459",".833",".202","4.0",".296","0.5","-0.2","0.1","78","20.4",".366","126","1935"
"Ian Kinsler","Rangers","723","12.3 %","9.8 %","1.25",".255",".355",".477",".832",".223","6.5",".243","6.3","-1.5","3.8","109","27.4",".364","123","6195"
"Mark Teixeira","Yankees","684","11.1 %","16.1 %","0.69",".248",".341",".494",".835",".246","2.9",".239","0.0","1.1","-0.2","101","24.4",".361","124","1281"
"Nick Swisher","Yankees","635","15.0 %","19.7 %","0.76",".260",".374",".449",".822",".188","1.9",".295","-4.2","-1.1","-1.0","94","22.3",".360","124","4599"
"Andrew McCutchen","Pirates","678","13.1 %","18.6 %","0.71",".259",".364",".456",".820",".198","5.5",".291","1.1","0.5","0.0","100","23.4",".360","130","9847"
"Ben Zobrist","Rays","674","11.4 %","19.0 %","0.60",".269",".353",".469",".822",".201","6.2",".310","2.6","1.0","0.8","98","22.7",".359","130","7435"
"Rickie Weeks Jr.","Brewers","515","9.7 %","20.8 %","0.47",".269",".350",".468",".818",".199","5.2",".310","-2.9","0.4","0.5","74","16.6",".357","124","1849"
"Jhonny Peralta","Tigers","576","6.9 %","16.5 %","0.42",".299",".345",".478",".824",".179","2.5",".325","-1.7","-1.9","-1.3","83","18.2",".356","122","1738"
"Carlos Pena","Cubs","606","16.7 %","26.6 %","0.63",".225",".357",".462",".819",".237","3.0",".267","-0.8","2.9","-0.9","87","19.2",".356","121","934"
"Ryan Howard","Phillies","644","11.6 %","26.7 %","0.44",".253",".346",".488",".835",".235","2.3",".303","-8.3","0.4","-0.3","92","20.0",".355","124","2154"
"Seth Smith","Rockies","533","8.6 %","17.4 %","0.49",".284",".347",".483",".830",".200","6.4",".320","-1.2","0.5","0.8","76","16.4",".355","110","7331"
"Casey Kotchman","Rays","563","8.5 %","11.7 %","0.73",".306",".378",".422",".800",".116","2.1",".335","-2.8","-0.7","-1.0","80","16.7",".354","127","1930"
"Nelson Cruz","Rangers","513","6.4 %","22.6 %","0.28",".263",".312",".509",".821",".246","3.8",".288","-1.5","0.7","-0.5","73","15.2",".353","116","2434"
"Brandon Phillips","Reds","675","6.5 %","12.6 %","0.52",".300",".353",".457",".810",".157","4.5",".322","2.6","-1.1","-1.4","96","19.9",".353","122","791"
"Yadier Molina","Cardinals","518","6.4 %","8.5 %","0.75",".305",".349",".465",".814",".160","2.6",".311","-2.2","-2.4","-1.6","73","15.1",".353","126","7007"
"Matt Joyce","Rays","522","9.4 %","20.3 %","0.46",".277",".347",".478",".825",".201","5.4",".317","2.4","1.3","1.8","74","15.2",".353","126","3353"
"Miguel Montero","Diamondbacks","553","8.5 %","17.5 %","0.48",".282",".351",".469",".820",".187","2.3",".317","-4.5","-1.0","-0.7","78","16.0",".353","118","3364"
"Billy Butler","Royals","673","9.8 %","14.1 %","0.69",".291",".361",".461",".822",".169","1.9",".316","-7.1","-0.5","-0.6","95","19.4",".352","120","7399"
"Michael Cuddyer","Twins","584","8.2 %","16.3 %","0.51",".284",".346",".459",".805",".176","4.6",".312","-0.5","-1.8","1.3","82","16.3",".351","120","1534"
"Carlos Santana","Indians","658","14.7 %","20.2 %","0.73",".239",".351",".457",".808",".217","3.3",".263","-1.1","-0.5","-0.8","92","18.2",".351","124","2396"
"Josh Willingham","Athletics","563","9.9 %","26.6 %","0.37",".246",".332",".477",".810",".232","2.7",".287","-2.6","1.7","-0.1","78","15.3",".350","123","2103"
"Melky Cabrera","Royals","706","5.0 %","13.3 %","0.37",".305",".339",".470",".809",".164","5.6",".332","4.2","-0.1","-0.5","98","19.1",".350","118","4022"
"Dexter Fowler","Rockies","563","12.1 %","23.1 %","0.52",".266",".363",".432",".796",".166","6.5",".354","2.4","0.9","-1.7","78","15.1",".350","106","4062"
"Brian McCann","Braves","527","10.8 %","16.9 %","0.64",".270",".351",".466",".817",".195","1.6",".287","-3.3","0.1","-0.7","73","14.0",".350","122","4810"
"Mark Reynolds","Orioles","620","12.1 %","31.6 %","0.38",".221",".323",".483",".806",".262","3.4",".266","-1.0","0.3","-0.9","86","16.5",".350","116","7619"
"Jay Bruce","Reds","664","10.7 %","23.8 %","0.45",".256",".341",".474",".814",".217","3.4",".297","0.4","1.6","-1.7","92","17.5",".349","119","9892"
"Howie Kendrick","Angels","583","5.7 %","20.4 %","0.28",".285",".338",".464",".802",".179","6.2",".338","2.3","-2.2","-0.1","81","15.3",".349","123","4229"
"Yunel Escobar","Blue Jays","590","10.3 %","11.9 %","0.87",".290",".369",".413",".782",".123","3.4",".316","-0.3","-1.4","-1.2","81","14.8",".348","116","4191"
"Chipper Jones","Braves","512","10.0 %","15.6 %","0.64",".275",".344",".470",".814",".196","2.3",".295","-3.9","0.2","-0.8","70","12.8",".348","120","97"
"Freddie Freeman","Braves","635","8.3 %","22.4 %","0.37",".282",".346",".448",".795",".166","2.0",".339","-2.9","-0.6","-1.4","87","15.9",".348","120","5361"
"Jeff Francoeur","Royals","656","5.6 %","18.8 %","0.30",".285",".329",".476",".805",".191","5.4",".323","-1.5","-0.7","-0.1","90","15.8",".347","115","4792"
"Logan Morrison","Marlins","525","10.3 %","18.9 %","0.55",".247",".330",".468",".797",".221","3.3",".265","0.2","0.2","-0.4","71","12.3",".346","116","9205"
"Andre Ethier","Dodgers","551","10.5 %","18.7 %","0.56",".292",".368",".421",".789",".129","1.5",".348","-3.3","1.7","-1.0","75","12.8",".345","122","6265"
"J.J. Hardy","Orioles","567","5.5 %","16.2 %","0.34",".269",".310",".491",".801",".222","1.5",".273","0.7","0.2","-0.4","76","12.6",".344","113","3797"
"Asdrubal Cabrera","Indians","667","6.6 %","17.8 %","0.37",".273",".332",".460",".792",".187","5.3",".302","0.7","0.8","0.9","90","14.6",".344","119","4962"
"Edwin Encarnacion","Blue Jays","530","8.1 %","14.5 %","0.56",".272",".334",".453",".787",".181","3.8",".292","-0.3","-2.4","0.4","71","11.4",".343","113","2151"
"Eric Hosmer","Royals","563","6.0 %","14.6 %","0.41",".293",".334",".465",".799",".172","4.4",".314","2.9","0.3","-0.2","75","12.1",".343","113","3516"
"Gaby Sanchez","Marlins","661","11.2 %","14.7 %","0.76",".266",".352",".427",".779",".161","2.2",".287","1.6","-1.5","-0.4","88","13.8",".342","114","3361"
"Carlos Lee","Astros","653","9.0 %","9.2 %","0.98",".275",".342",".446",".788",".171","3.1",".279","-6.5","0.8","-0.9","86","12.8",".341","115","243"
"Matt Wieters","Orioles","551","8.7 %","15.2 %","0.57",".262",".328",".450",".778",".188","2.2",".276","-1.2","-1.8","-0.3","72","10.4",".340","110","4298"
"Ryan Roberts","Diamondbacks","555","11.9 %","17.7 %","0.67",".249",".341",".427",".768",".178","5.3",".275","0.7","1.7","-0.5","72","10.0",".339","109","5653"
"Adam Jones","Orioles","618","4.7 %","18.3 %","0.26",".280",".319",".466",".785",".185","4.3",".304","4.1","-1.1","0.3","80","10.9",".338","109","6368"
"Jon Jay","Cardinals","503","5.6 %","16.1 %","0.35",".297",".344",".424",".768",".127","3.4",".340","1.4","-0.6","-2.0","65","8.7",".338","115","5227"
"Starlin Castro","Cubs","715","4.9 %","13.4 %","0.36",".307",".341",".432",".773",".125","6.3",".344","-0.9","-2.0","0.2","93","12.3",".338","109","4579"
"Torii Hunter","Angels","649","9.6 %","19.3 %","0.50",".262",".336",".429",".765",".167","3.1",".297","1.3","-3.5","-2.4","84","10.7",".337","115","731"
"Peter Bourjos","Angels","552","5.8 %","22.5 %","0.26",".271",".327",".438",".765",".167","7.4",".338","3.3","0.6","0.4","70","8.4",".335","114","2578"
"Emilio Bonifacio","Marlins","641","9.2 %","20.1 %","0.46",".296",".360",".393",".753",".097","7.0",".372","2.5","1.4","3.0","82","9.5",".335","109","4054"
"Dan Uggla","Braves","672","9.2 %","23.2 %","0.40",".233",".311",".453",".764",".220","2.4",".253","2.6","1.5","-1.5","85","9.3",".334","111","3442"
"Melvin Upton Jr.","Rays","640","11.1 %","25.2 %","0.44",".243",".331",".429",".759",".186","6.4",".298","-0.3","-0.7","1.9","80","8.6",".333","113","5015"
"Nick Markakis","Orioles","716","8.7 %","10.5 %","0.83",".284",".351",".406",".756",".122","3.5",".300","-1.3","-0.7","0.5","90","9.6",".333","105","5930"
"Derek Jeter","Yankees","607","7.6 %","13.3 %","0.57",".297",".355",".388",".743",".092","5.6",".336","0.1","0.1","0.2","75","7.3",".331","104","826"
"Chris Young","Diamondbacks","659","12.1 %","21.1 %","0.58",".236",".331",".420",".751",".183","5.5",".275","0.9","2.8","0.3","81","7.0",".329","102","3882"
"Alberto Callaspo","Angels","536","10.8 %","9.0 %","1.21",".288",".366",".375",".740",".086","3.3",".310","0.6","-0.9","0.6","65","5.2",".328","109","3336"
"James Loney","Dodgers","582","7.2 %","11.5 %","0.63",".288",".339",".416",".755",".128","2.9",".309","0.0","1.2","0.3","71","5.6",".328","110","4556"
"Mark Trumbo","Angels","573","4.4 %","20.9 %","0.21",".254",".291",".477",".768",".223","3.9",".274","0.6","-2.3","-0.1","70","5.4",".328","109","6876"
"Johnny Damon","Rays","647","7.9 %","14.2 %","0.55",".261",".326",".418",".743",".156","6.1",".284","-1.4","2.5","0.9","78","5.4",".327","108","185"
"Alfonso Soriano","Cubs","508","5.3 %","22.2 %","0.24",".244",".289",".469",".759",".225","2.4",".266","-2.5","-0.8","-0.3","61","3.9",".326","100","847"
"Erick Aybar","Angels","605","5.1 %","11.2 %","0.46",".279",".322",".421",".743",".142","7.2",".301","0.7","-0.9","3.1","72","4.3",".325","107","4082"
"Michael Bourn","- - -","722","7.3 %","19.4 %","0.38",".294",".349",".386",".734",".091","8.0",".369","6.6","1.0","6.0","86","5.0",".325","104","6387"
"Jimmy Rollins","Phillies","631","9.2 %","9.4 %","0.98",".268",".338",".399",".736",".131","5.8",".275","1.5","-0.5","2.2","75","4.3",".325","103","971"
"Danny Espinosa","Nationals","658","8.7 %","25.2 %","0.34",".236",".323",".414",".737",".178","5.5",".292","1.8","2.0","0.5","78","4.3",".324","103","9219"
"Neil Walker","Pirates","662","8.2 %","16.9 %","0.48",".273",".334",".408",".742",".134","4.4",".315","4.0","-0.6","-1.2","79","4.2",".324","106","7539"
"Alexei Ramirez","White Sox","684","7.5 %","12.3 %","0.61",".269",".328",".399",".727",".130","3.5",".288","5.1","-1.8","-1.2","80","3.1",".322","97","5133"
"Bobby Abreu","Angels","585","13.3 %","19.3 %","0.69",".253",".353",".365",".717",".112","4.4",".310","-3.2","0.7","1.6","68","2.5",".322","104","945"
"Brett Gardner","Yankees","588","10.2 %","15.8 %","0.65",".259",".345",".369",".713",".110","8.3",".303","4.2","1.3","4.1","68","2.2",".321","97","9927"
"Vladimir Guerrero","Orioles","590","2.9 %","9.5 %","0.30",".290",".317",".416",".733",".126","2.3",".302","-3.3","-3.3","-0.9","68","1.7",".320","96","778"
"Mitch Moreland","Rangers","512","7.6 %","18.0 %","0.42",".259",".320",".414",".733",".155","2.7",".290","1.2","0.8","-0.8","59","1.3",".319","93","3086"
"Jayson Werth","Nationals","649","11.4 %","24.7 %","0.46",".232",".330",".389",".718",".157","4.6",".286","1.9","0.3","2.0","74","1.5",".319","100","1327"
"Elvis Andrus","Rangers","665","8.4 %","11.1 %","0.76",".279",".347",".361",".708",".082","6.4",".312","7.1","-1.3","2.0","76","1.5",".319","93","8709"
"Kosuke Fukudome","- - -","603","10.1 %","18.2 %","0.55",".262",".342",".370",".712",".108","3.0",".316","-3.5","-0.1","-2.2","68","0.7",".317","97","3263"
"Jamey Carroll","Dodgers","510","9.2 %","11.4 %","0.81",".290",".359",".347",".706",".058","5.8",".332","1.0","1.6","1.4","58","0.5",".317","103","1591"
"Adam Lind","Blue Jays","542","5.9 %","19.7 %","0.30",".251",".295",".439",".734",".188","1.5",".265","-0.2","0.5","-0.6","61","0.0",".316","95","8027"
"Cameron Maybin","Padres","568","7.7 %","22.0 %","0.35",".264",".323",".393",".716",".130","8.3",".331","4.2","1.2","4.3","64","-0.2",".316","105","5223"
"Kelly Johnson","- - -","613","9.8 %","26.6 %","0.37",".222",".304",".413",".717",".191","6.5",".277","-0.8","1.9","0.4","68","-0.5",".315","93","2234"
"Jason Bay","Mets","509","11.0 %","21.4 %","0.51",".245",".329",".374",".703",".128","4.6",".295","-1.5","0.5","1.3","56","-1.6",".312","98","1717"
"David DeJesus","Athletics","506","8.9 %","17.0 %","0.52",".240",".323",".376",".698",".136","4.7",".274","2.5","-1.9","-0.8","55","-1.8",".311","96","1825"
"Juan Rivera","- - -","521","8.3 %","14.6 %","0.57",".258",".319",".382",".701",".124","2.9",".281","-1.5","-1.4","-0.7","56","-2.8",".309","93","843"
"Drew Stubbs","Reds","681","9.3 %","30.1 %","0.31",".243",".321",".364",".686",".121","6.5",".343","3.0","2.3","3.4","72","-4.4",".308","90","9328"
"Hideki Matsui","Athletics","585","9.6 %","14.4 %","0.67",".251",".321",".375",".696",".124","1.7",".274","1.2","0.9","-0.7","62","-4.0",".307","93","1659"
"Raul Ibanez","Phillies","575","5.7 %","18.4 %","0.31",".245",".289",".419",".707",".174","3.1",".268","-2.7","-1.0","0.0","60","-4.3",".306","90","607"
"Angel Pagan","Mets","532","8.3 %","11.7 %","0.71",".262",".322",".372",".694",".111","6.7",".285","3.7","1.7","3.2","55","-4.4",".306","93","2918"
"Omar Infante","Marlins","640","5.3 %","10.5 %","0.51",".276",".315",".382",".696",".105","4.4",".298","1.5","0.5","-0.6","67","-5.3",".306","89","1609"
"Austin Jackson","Tigers","668","8.4 %","27.1 %","0.31",".249",".317",".374",".690",".125","7.6",".340","-0.4","0.0","1.8","69","-5.6",".305","87","9848"
"Cliff Pennington","Athletics","570","7.4 %","18.2 %","0.40",".264",".319",".369",".687",".105","4.2",".314","-2.3","1.3","-1.3","59","-4.9",".305","92","3395"
"Coco Crisp","Athletics","583","7.0 %","11.1 %","0.63",".264",".314",".379",".693",".115","7.4",".284","1.7","0.5","5.7","60","-5.2",".305","92","1572"
"Delmon Young","- - -","503","4.6 %","16.9 %","0.27",".268",".302",".393",".695",".125","2.7",".302","-0.3","-2.7","-0.2","52","-4.9",".304","87","2140"
"Placido Polanco","Phillies","523","8.0 %","8.4 %","0.95",".277",".335",".339",".674",".062","2.5",".292","-1.7","-1.4","0.0","54","-5.2",".303","88","1176"
"John Buck","Marlins","530","10.2 %","21.7 %","0.47",".227",".316",".367",".683",".139","1.3",".268","-0.5","-0.3","-0.9","54","-5.6",".303","87","2041"
"Colby Rasmus","- - -","526","9.5 %","22.1 %","0.43",".225",".298",".391",".688",".166","5.9",".267","1.2","0.3","-0.2","53","-5.6",".302","90","9893"
"Robert Andino","Orioles","511","8.0 %","16.2 %","0.49",".263",".327",".344",".670",".081","4.5",".311","1.6","-0.8","0.9","52","-5.5",".302","84","4900"
"Martin Prado","Braves","590","5.8 %","8.8 %","0.65",".260",".302",".385",".687",".125","3.2",".266","2.4","-1.5","-2.8","60","-6.4",".302","89","3312"
"Kurt Suzuki","Athletics","515","7.4 %","12.4 %","0.59",".237",".301",".385",".686",".148","2.2",".244","-0.5","-1.8","-0.8","52","-5.6",".302","90","8259"
"Carl Crawford","Red Sox","539","4.3 %","19.3 %","0.22",".255",".289",".405",".694",".150","6.9",".299","-0.1","1.2","0.8","55","-6.0",".302","83","1201"
"Ryan Ludwick","- - -","558","9.1 %","22.2 %","0.41",".237",".310",".363",".674",".127","1.8",".287","-0.5","1.0","-0.7","55","-7.9",".298","92","1260"
"Danny Valencia","Twins","608","6.6 %","16.8 %","0.39",".246",".294",".383",".677",".137","2.8",".275","-1.1","-1.0","-2.4","59","-9.0",".297","83","6364"
"Juan Pierre","White Sox","711","6.0 %","5.8 %","1.05",".279",".329",".327",".657",".049","5.2",".294","5.5","1.8","-2.0","69","-11.0",".296","80","443"
"Aubrey Huff","Giants","579","8.1 %","15.5 %","0.52",".246",".306",".370",".676",".125","2.7",".271","-1.5","-0.5","-0.7","56","-9.5",".295","89","1213"
"Darwin Barney","Cubs","571","3.9 %","11.7 %","0.33",".276",".313",".353",".666",".078","5.9",".310","2.8","-0.7","0.5","54","-9.8",".294","79","2430"
"Aaron Hill","- - -","571","6.1 %","12.6 %","0.49",".246",".299",".356",".655",".110","5.6",".268","-1.1","1.0","1.0","52","-11.7",".290","77","6104"
"Ian Desmond","Nationals","639","5.5 %","21.8 %","0.25",".253",".298",".358",".656",".104","6.0",".317","2.0","0.5","0.5","58","-13.6",".289","79","6885"
"Vernon Wells","Angels","529","3.8 %","16.3 %","0.23",".218",".248",".412",".660",".194","5.1",".214","-0.8","0.8","-0.1","47","-12.8",".285","80","1326"
"Gordon Beckham","White Sox","557","6.3 %","19.9 %","0.32",".230",".296",".337",".633",".106","3.2",".276","1.7","1.0","-0.7","49","-13.6",".285","72","9015"
"Mark Ellis","- - -","519","4.2 %","14.5 %","0.29",".248",".288",".346",".634",".098","4.9",".280","3.0","1.2","0.4","44","-14.0",".282","67","1443"
"Alex Gonzalez","Braves","593","3.7 %","21.2 %","0.17",".241",".270",".372",".642",".131","3.1",".285","-0.4","-2.1","0.0","50","-16.4",".281","75","520"
"Yuniesky Betancourt","Brewers","584","2.7 %","10.8 %","0.25",".252",".271",".381",".652",".129","3.3",".259","2.6","-1.5","-1.2","49","-16.3",".281","72","8585"
"Ichiro Suzuki","Mariners","721","5.4 %","9.6 %","0.57",".272",".310",".335",".645",".064","6.0",".295","2.7","-0.3","4.6","61","-20.2",".281","79","1101"
"Alcides Escobar","Royals","598","4.2 %","12.2 %","0.34",".254",".290",".343",".633",".089","7.2",".285","0.5","0.8","1.2","50","-17.3",".280","70","6310"
"Jason Bartlett","Padres","618","7.8 %","15.9 %","0.49",".245",".308",".307",".615",".061","5.3",".291","2.2","-1.7","0.1","51","-18.2",".279","79","8219"
"Miguel Olivo","Mariners","507","3.9 %","27.6 %","0.14",".224",".253",".388",".641",".164","3.7",".270","1.0","1.1","-1.1","41","-16.0",".276","75","1638"
"Casey McGehee","Brewers","600","7.5 %","17.3 %","0.43",".223",".280",".346",".626",".123","2.0",".249","-4.9","-1.7","-1.6","48","-19.5",".275","68","6086"
"Alex Rios","White Sox","570","4.7 %","11.9 %","0.40",".227",".265",".348",".613",".121","4.8",".237","3.5","-2.3","-0.6","42","-21.9",".267","60","2090"
