"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jacoby Ellsbury","Red Sox","158","732","32","119","105","39","7.1 %","13.4 %",".230",".336",".321",".376",".552",".400","150","5.1","47.5","18.0","9.4","4727"
"Matt Kemp","Dodgers","161","689","39","115","126","40","10.7 %","23.1 %",".262",".380",".324",".399",".586",".413","168","5.6","59.9","-2.7","8.3","5631"
"Jose Bautista","Blue Jays","149","655","43","105","103","9","20.2 %","16.9 %",".306",".309",".302",".447",".608",".443","181","4.9","66.3","-11.1","8.1","1887"
"Dustin Pedroia","Red Sox","159","731","21","102","91","26","11.8 %","11.6 %",".167",".325",".307",".387",".474",".375","133","2.1","30.0","20.5","7.8","8370"
"Ian Kinsler","Rangers","155","723","32","121","77","30","12.3 %","9.8 %",".223",".243",".255",".355",".477",".364","123","8.6","28.1","17.0","7.2","6195"
"Ryan Braun","Brewers","150","629","33","109","111","33","9.2 %","14.8 %",".265",".350",".332",".397",".597",".426","171","6.3","58.2","-10.5","7.1","3410"
"Curtis Granderson","Yankees","156","691","41","136","119","25","12.3 %","24.5 %",".290",".295",".262",".364",".552",".393","146","7.9","45.1","-2.9","6.8","4747"
"Alex Gordon","Royals","151","690","23","101","87","17","9.7 %","20.1 %",".200",".358",".303",".376",".502",".382","140","3.6","35.6","4.1","6.6","5209"
"Miguel Cabrera","Tigers","161","688","30","111","105","2","15.7 %","12.9 %",".241",".365",".344",".448",".586",".437","177","-5.5","56.1","-16.8","6.5","1744"
"Joey Votto","Reds","161","719","29","101","103","8","15.3 %","17.9 %",".222",".349",".309",".416",".531",".406","157","-4.0","43.7","-5.2","6.4","4314"
"Ben Zobrist","Rays","156","674","20","99","91","19","11.4 %","19.0 %",".201",".310",".269",".353",".469",".359","130","4.4","28.1","10.1","6.3","7435"
"Justin Upton","Diamondbacks","159","674","31","105","88","21","8.8 %","18.7 %",".240",".319",".289",".369",".529",".385","141","6.6","38.1","0.9","6.3","5222"
"Evan Longoria","Rays","133","574","31","78","99","3","13.9 %","16.2 %",".251",".239",".244",".355",".495",".367","136","0.6","24.6","16.3","6.3","9368"
"Adrian Gonzalez","Red Sox","159","715","27","108","117","1","10.3 %","16.6 %",".210",".380",".338",".410",".548",".407","155","-10.7","34.7","-0.2","6.1","1908"
"Jose Reyes","Mets","126","586","7","101","44","39","7.3 %","7.0 %",".156",".353",".337",".384",".493",".376","142","6.7","34.9","2.3","5.9","1736"
"Shane Victorino","Phillies","132","586","17","95","61","19","9.4 %","10.8 %",".212",".292",".279",".355",".491",".368","132","7.1","28.9","6.6","5.7","1677"
"Adrian Beltre","Rangers","124","525","32","82","105","1","4.8 %","10.1 %",".265",".273",".296",".331",".561",".381","135","1.7","23.0","11.8","5.5","639"
"Andrew McCutchen","Pirates","158","678","23","87","89","23","13.1 %","18.6 %",".198",".291",".259",".364",".456",".360","130","1.6","25.0","5.6","5.5","9847"
"Troy Tulowitzki","Rockies","143","606","30","81","105","9","9.7 %","13.0 %",".242",".305",".302",".372",".544",".389","133","-4.4","18.6","13.9","5.4","3531"
"Brandon Phillips","Reds","150","675","18","94","82","14","6.5 %","12.6 %",".157",".322",".300",".353",".457",".353","122","0.1","16.9","13.4","5.4","791"
"Howie Kendrick","Angels","140","583","18","86","63","14","5.7 %","20.4 %",".179",".338",".285",".338",".464",".349","123","0.0","15.7","16.0","5.3","4229"
"Robinson Cano","Yankees","159","681","28","104","118","8","5.6 %","14.1 %",".231",".316",".302",".349",".533",".374","134","0.8","27.3","-1.1","5.1","3269"
"Brett Gardner","Yankees","159","588","7","87","36","49","10.2 %","15.8 %",".110",".303",".259",".345",".369",".321","97","9.6","7.5","20.9","5.0","9927"
"Lance Berkman","Cardinals","145","587","31","90","94","2","15.7 %","15.8 %",".246",".315",".301",".412",".547",".408","163","1.5","44.3","-17.5","4.8","548"
"Jhonny Peralta","Tigers","146","576","21","68","86","0","6.9 %","16.5 %",".179",".325",".299",".345",".478",".356","122","-4.9","9.5","16.7","4.7","1738"
"Prince Fielder","Brewers","162","692","38","95","120","1","15.5 %","15.3 %",".267",".306",".299",".415",".566",".410","160","-7.6","40.5","-17.3","4.7","4613"
"Chris Young","Diamondbacks","156","659","20","89","71","22","12.1 %","21.1 %",".183",".275",".236",".331",".420",".329","102","4.0","5.7","18.2","4.7","3882"
"Alex Avila","Tigers","141","551","19","63","82","3","13.2 %","23.8 %",".211",".366",".295",".389",".506",".384","140","-1.3","24.5","1.2","4.6","7476"
"Matt Holliday","Cardinals","124","516","22","83","75","2","11.6 %","18.0 %",".229",".330",".296",".388",".525",".395","154","-2.5","29.9","-3.9","4.4","1873"
"J.J. Hardy","Orioles","129","567","30","76","80","0","5.5 %","16.2 %",".222",".273",".269",".310",".491",".344","113","0.5","8.9","14.7","4.4","3797"
"Matt Wieters","Orioles","139","551","22","72","68","1","8.7 %","15.2 %",".188",".276",".262",".328",".450",".340","110","-3.3","3.1","20.8","4.4","4298"
"Hunter Pence","- - -","154","668","22","84","97","8","8.4 %","18.6 %",".188",".361",".314",".370",".502",".377","140","0.7","31.3","-11.0","4.3","8252"
"Carlos Beltran","- - -","142","598","22","78","84","4","11.9 %","14.7 %",".225",".324",".300",".385",".525",".391","152","0.6","36.8","-14.5","4.3","589"
"Cameron Maybin","Padres","137","568","9","82","40","40","7.7 %","22.0 %",".130",".331",".264",".323",".393",".316","105","9.7","12.8","10.4","4.3","5223"
"Giancarlo Stanton","Marlins","150","601","34","79","87","5","11.6 %","27.6 %",".275",".314",".262",".356",".537",".381","141","-2.5","25.7","-3.9","4.3","4949"
"Mark Teixeira","Yankees","156","684","39","90","111","4","11.1 %","16.1 %",".246",".239",".248",".341",".494",".361","124","0.9","20.4","-2.1","4.3","1281"
"Peter Bourjos","Angels","147","552","12","72","43","22","5.8 %","22.5 %",".167",".338",".271",".327",".438",".335","114","4.3","13.0","9.2","4.2","2578"
"Yadier Molina","Cardinals","139","518","14","55","65","4","6.4 %","8.5 %",".160",".311",".305",".349",".465",".353","126","-6.2","9.1","14.3","4.2","7007"
"Alexei Ramirez","White Sox","158","684","15","81","70","7","7.5 %","12.3 %",".130",".288",".269",".328",".399",".322","97","2.1","-0.5","17.5","4.1","5133"
"Albert Pujols","Cardinals","147","651","37","105","99","9","9.4 %","8.9 %",".242",".277",".299",".366",".541",".384","147","-6.4","28.8","-11.6","4.0","1177"
"Elvis Andrus","Rangers","150","665","5","96","60","37","8.4 %","11.1 %",".082",".312",".279",".347",".361",".319","93","7.8","2.1","13.9","4.0","8709"
"Josh Hamilton","Rangers","121","538","25","80","94","8","7.2 %","17.3 %",".238",".317",".298",".346",".536",".369","127","2.5","19.3","0.6","3.9","1875"
"Miguel Montero","Diamondbacks","140","553","18","65","86","1","8.5 %","17.5 %",".187",".317",".282",".351",".469",".353","118","-6.2","5.4","14.0","3.9","3364"
"Brian McCann","Braves","128","527","24","51","71","3","10.8 %","16.9 %",".195",".287",".270",".351",".466",".350","122","-3.9","9.3","10.6","3.8","4810"
"Melky Cabrera","Royals","155","706","18","102","87","20","5.0 %","13.3 %",".164",".332",".305",".339",".470",".350","118","3.6","18.3","-5.2","3.8","4022"
"Michael Bourn","- - -","158","722","2","94","50","61","7.3 %","19.4 %",".091",".369",".294",".349",".386",".325","104","13.6","17.2","-4.0","3.8","6387"
"Corey Hart","Brewers","130","551","26","80","63","7","9.3 %","20.7 %",".226",".323",".285",".356",".510",".376","137","-1.6","22.0","-3.6","3.8","1945"
"Erick Aybar","Angels","143","605","10","71","59","30","5.1 %","11.2 %",".142",".301",".279",".322",".421",".325","107","2.9","7.6","8.3","3.8","4082"
"Melvin Upton Jr.","Rays","153","640","23","82","81","36","11.1 %","25.2 %",".186",".298",".243",".331",".429",".333","113","0.9","10.4","4.0","3.7","5015"
"David Ortiz","Red Sox","146","605","29","84","96","1","12.9 %","13.7 %",".246",".321",".309",".398",".554",".407","154","-8.4","30.0","-14.9","3.7","745"
"Asdrubal Cabrera","Indians","151","667","25","87","92","17","6.6 %","17.8 %",".187",".302",".273",".332",".460",".344","119","2.4","17.0","-4.2","3.6","4962"
"Jimmy Rollins","Phillies","142","631","16","87","63","30","9.2 %","9.4 %",".131",".275",".268",".338",".399",".325","103","3.2","5.1","9.6","3.6","971"
"Ryan Roberts","Diamondbacks","143","555","19","86","65","18","11.9 %","17.7 %",".178",".275",".249",".341",".427",".339","109","1.9","7.5","9.3","3.6","5653"
"Matt Joyce","Rays","141","522","19","69","75","13","9.4 %","20.3 %",".201",".317",".277",".347",".478",".353","126","5.5","21.4","-4.3","3.6","3353"
"Alberto Callaspo","Angels","141","536","6","54","46","8","10.8 %","9.0 %",".086",".310",".288",".366",".375",".328","109","0.3","5.8","10.3","3.5","3336"
"Carlos Gonzalez","Rockies","127","542","26","92","92","20","8.9 %","19.4 %",".231",".326",".295",".363",".526",".380","126","3.1","19.7","-3.3","3.5","7287"
"Yunel Escobar","Blue Jays","133","590","11","77","48","3","10.3 %","11.9 %",".123",".316",".290",".369",".413",".348","116","-2.9","8.1","6.1","3.5","4191"
"Kevin Youkilis","Red Sox","120","517","17","68","80","3","13.2 %","19.3 %",".202",".296",".258",".373",".459",".366","126","0.4","16.3","-0.3","3.5","1935"
"Aramis Ramirez","Cubs","149","626","26","80","93","1","6.9 %","11.0 %",".204",".308",".306",".361",".510",".375","134","-4.7","19.9","-7.5","3.4","1002"
"Nick Swisher","Yankees","150","635","23","81","85","2","15.0 %","19.7 %",".188",".295",".260",".374",".449",".360","124","-6.3","11.4","-0.1","3.4","4599"
"Rickie Weeks Jr.","Brewers","118","515","20","77","49","9","9.7 %","20.8 %",".199",".310",".269",".350",".468",".357","124","-2.0","12.2","3.4","3.3","1849"
"Carlos Santana","Indians","155","658","27","84","79","5","14.7 %","20.2 %",".217",".263",".239",".351",".457",".351","124","-2.4","15.9","-5.9","3.3","2396"
"Danny Espinosa","Nationals","158","658","21","72","66","17","8.7 %","25.2 %",".178",".292",".236",".323",".414",".324","103","4.3","6.8","3.7","3.3","9219"
"Michael Young","Rangers","159","689","11","88","106","6","6.8 %","11.3 %",".136",".367",".338",".380",".474",".369","127","0.7","22.3","-15.1","3.1","1286"
"Andre Ethier","Dodgers","135","551","11","67","62","0","10.5 %","18.7 %",".129",".348",".292",".368",".421",".345","122","-2.6","11.3","0.1","3.0","6265"
"Emilio Bonifacio","Marlins","152","641","5","78","36","40","9.2 %","20.1 %",".097",".372",".296",".360",".393",".335","109","6.9","13.4","-5.3","3.0","4054"
"Jay Bruce","Reds","157","664","32","84","97","8","10.7 %","23.8 %",".217",".297",".256",".341",".474",".349","119","0.3","14.7","-7.4","3.0","9892"
"Carlos Lee","Astros","155","653","18","66","94","4","9.0 %","9.2 %",".171",".279",".275",".342",".446",".341","115","-6.6","4.7","2.5","2.9","243"
"Michael Morse","Nationals","146","575","31","73","95","2","6.3 %","21.9 %",".247",".344",".303",".360",".550",".390","148","-2.1","30.0","-20.6","2.9","3035"
"Starlin Castro","Cubs","158","715","10","91","66","22","4.9 %","13.4 %",".125",".344",".307",".341",".432",".338","109","-2.7","4.3","-0.3","2.8","4579"
"Gaby Sanchez","Marlins","159","661","19","72","78","3","11.2 %","14.7 %",".161",".287",".266",".352",".427",".342","114","-0.3","10.4","-5.1","2.7","3361"
"Paul Konerko","White Sox","149","639","31","69","105","1","12.1 %","13.9 %",".217",".304",".300",".388",".517",".384","139","-10.7","18.6","-13.9","2.7","242"
"Jeff Francoeur","Royals","153","656","20","77","87","22","5.6 %","18.8 %",".191",".323",".285",".329",".476",".347","115","-2.3","9.6","-5.7","2.6","4792"
"Neil Walker","Pirates","159","662","12","76","83","9","8.2 %","16.9 %",".134",".315",".273",".334",".408",".324","106","2.2","6.5","-2.7","2.6","7539"
"Carlos Pena","Cubs","153","606","28","72","80","2","16.7 %","26.6 %",".237",".267",".225",".357",".462",".356","121","1.2","15.9","-11.2","2.5","934"
"Adam Jones","Orioles","151","618","25","68","83","12","4.7 %","18.3 %",".185",".304",".280",".319",".466",".338","109","3.3","9.6","-6.6","2.4","6368"
"Michael Cuddyer","Twins","139","584","20","70","70","11","8.2 %","16.3 %",".176",".312",".284",".346",".459",".351","120","-1.0","12.4","-8.3","2.4","1534"
"Austin Jackson","Tigers","153","668","10","90","45","22","8.4 %","27.1 %",".125",".340",".249",".317",".374",".305","87","1.4","-8.6","9.8","2.4","9848"
"Jon Jay","Cardinals","159","503","10","56","37","6","5.6 %","16.1 %",".127",".340",".297",".344",".424",".338","115","-1.2","7.6","-1.2","2.3","5227"
"Dan Uggla","Braves","161","672","36","88","82","1","9.2 %","23.2 %",".220",".253",".233",".311",".453",".334","111","2.6","10.8","-9.6","2.3","3442"
"Casey Kotchman","Rays","146","563","10","44","48","2","8.5 %","11.7 %",".116",".335",".306",".378",".422",".354","127","-4.5","13.0","-9.7","2.3","1930"
"Placido Polanco","Phillies","122","523","5","46","50","3","8.0 %","8.4 %",".062",".292",".277",".335",".339",".303","88","-3.1","-10.3","15.5","2.3","1176"
"Jayson Werth","Nationals","150","649","20","69","58","19","11.4 %","24.7 %",".157",".286",".232",".330",".389",".319","100","4.2","3.9","-2.7","2.3","1327"
"Omar Infante","Marlins","148","640","7","55","49","4","5.3 %","10.5 %",".105",".298",".276",".315",".382",".306","89","1.4","-6.9","8.2","2.3","1609"
"Drew Stubbs","Reds","158","681","15","92","44","40","9.3 %","30.1 %",".121",".343",".243",".321",".364",".308","90","8.7","1.2","-1.2","2.2","9328"
"Derek Jeter","Yankees","131","607","6","84","61","16","7.6 %","13.3 %",".092",".336",".297",".355",".388",".331","104","0.4","3.3","-2.4","2.2","826"
"Victor Martinez","Tigers","145","595","12","76","103","1","7.7 %","8.6 %",".141",".343",".330",".380",".470",".369","130","-8.6","12.3","-11.4","2.1","393"
"Dexter Fowler","Rockies","125","563","5","84","45","12","12.1 %","23.1 %",".166",".354",".266",".363",".432",".350","106","1.6","5.6","-3.1","2.1","4062"
"James Loney","Dodgers","158","582","12","56","65","4","7.2 %","11.5 %",".128",".309",".288",".339",".416",".328","110","1.5","8.2","-6.4","2.1","4556"
"Jamey Carroll","Dodgers","146","510","0","52","17","10","9.2 %","11.4 %",".058",".332",".290",".359",".347",".317","103","4.0","5.5","-1.5","2.1","1591"
"Josh Willingham","Athletics","136","563","29","69","98","4","9.9 %","26.6 %",".232",".287",".246",".332",".477",".350","123","-1.0","13.8","-12.8","2.0","2103"
"Kelly Johnson","- - -","147","613","21","75","58","16","9.8 %","26.6 %",".191",".277",".222",".304",".413",".315","93","1.5","-3.7","3.6","2.0","2234"
"Torii Hunter","Angels","156","649","23","80","82","5","9.6 %","19.3 %",".167",".297",".262",".336",".429",".337","115","-4.6","6.5","-9.0","2.0","731"
"Kurt Suzuki","Athletics","134","515","14","54","44","2","7.4 %","12.4 %",".148",".244",".237",".301",".385",".302","90","-3.1","-9.2","10.8","1.9","8259"
"Coco Crisp","Athletics","136","583","8","69","54","49","7.0 %","11.1 %",".115",".284",".264",".314",".379",".305","92","7.9","2.3","-3.2","1.9","1572"
"Alcides Escobar","Royals","158","598","4","69","46","26","4.2 %","12.2 %",".089",".285",".254",".290",".343",".280","70","2.5","-18.5","16.8","1.9","6310"
"Chipper Jones","Braves","126","512","18","56","70","2","10.0 %","15.6 %",".196",".295",".275",".344",".470",".348","120","-4.5","7.5","-5.9","1.9","97"
"Mark Trumbo","Angels","149","573","29","65","87","9","4.4 %","20.9 %",".223",".274",".254",".291",".477",".328","109","-1.8","3.9","-5.5","1.8","6876"
"David DeJesus","Athletics","131","506","10","60","46","4","8.9 %","17.0 %",".136",".274",".240",".323",".376",".311","96","-0.2","-2.5","2.1","1.7","1825"
"Ryan Howard","Phillies","152","644","33","81","116","1","11.6 %","26.7 %",".235",".303",".253",".346",".488",".355","124","-8.2","9.3","-13.8","1.6","2154"
"Darwin Barney","Cubs","143","571","2","66","43","9","3.9 %","11.7 %",".078",".310",".276",".313",".353",".294","79","2.6","-11.3","8.7","1.6","2430"
"John Buck","Marlins","140","530","16","41","57","0","10.2 %","21.7 %",".139",".268",".227",".316",".367",".303","87","-1.7","-9.8","7.9","1.5","2041"
"Nick Markakis","Orioles","160","716","15","72","73","12","8.7 %","10.5 %",".122",".300",".284",".351",".406",".333","105","-1.5","2.8","-12.7","1.4","5930"
"Robert Andino","Orioles","139","511","5","63","36","13","8.0 %","16.2 %",".081",".311",".263",".327",".344",".302","84","1.7","-7.5","4.3","1.4","4900"
"Johnny Damon","Rays","150","647","16","79","73","19","7.9 %","14.2 %",".156",".284",".261",".326",".418",".327","108","2.0","8.3","-16.0","1.4","185"
"Nelson Cruz","Rangers","124","513","29","64","87","9","6.4 %","22.6 %",".246",".288",".263",".312",".509",".353","116","-1.3","8.3","-12.2","1.3","2434"
"Cliff Pennington","Athletics","148","570","8","57","58","14","7.4 %","18.2 %",".105",".314",".264",".319",".369",".305","92","-2.3","-7.7","1.2","1.3","3395"
"Seth Smith","Rockies","147","533","15","67","59","10","8.6 %","17.4 %",".200",".320",".284",".347",".483",".355","110","0.1","5.9","-10.9","1.2","7331"
"Martin Prado","Braves","129","590","13","66","57","4","5.8 %","8.8 %",".125",".266",".260",".302",".385",".302","89","-1.9","-9.3","2.5","1.2","3312"
"Jason Bartlett","Padres","139","618","2","61","40","23","7.8 %","15.9 %",".061",".291",".245",".308",".307",".279","79","0.6","-14.1","6.2","1.2","8219"
"Billy Butler","Royals","159","673","19","74","95","2","9.8 %","14.1 %",".169",".316",".291",".361",".461",".352","120","-8.2","7.1","-18.2","1.1","7399"
"Alfonso Soriano","Cubs","137","508","26","50","88","2","5.3 %","22.2 %",".225",".266",".244",".289",".469",".326","100","-3.6","-3.4","-2.2","1.1","847"
"Ian Desmond","Nationals","154","639","8","65","49","25","5.5 %","21.8 %",".104",".317",".253",".298",".358",".289","79","3.0","-12.3","2.4","1.0","6885"
"Eric Hosmer","Royals","128","563","19","66","78","11","6.0 %","14.6 %",".172",".314",".293",".334",".465",".343","113","3.0","11.6","-20.3","1.0","3516"
"Mark Ellis","- - -","132","519","7","55","41","14","4.2 %","14.5 %",".098",".280",".248",".288",".346",".282","67","4.6","-15.3","8.3","1.0","1443"
"Angel Pagan","Mets","123","532","7","68","56","32","8.3 %","11.7 %",".111",".285",".262",".322",".372",".306","93","8.6","4.5","-12.3","0.9","2918"
