"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Gaby Sanchez","Marlins","159","572","661","152","98","35","0","19","72","78","74","4","97","6","7","2","18","3","1",".266","3361"
"Cliff Pennington","Athletics","148","515","570","136","100","26","2","8","57","58","42","1","104","1","4","8","5","14","9",".264","3395"
"Coco Crisp","Athletics","136","531","583","140","100","27","5","8","69","54","41","2","65","1","6","4","11","49","9",".264","1572"
"Cameron Maybin","Padres","137","516","568","136","95","24","8","9","82","40","44","2","125","2","2","4","6","40","8",".264","5223"
"Nelson Cruz","Rangers","124","475","513","125","67","28","1","29","64","87","33","1","116","2","3","0","8","9","5",".263","2434"
"Robert Andino","Orioles","139","457","511","120","93","22","0","5","63","36","41","0","83","3","1","9","14","13","3",".263","4900"
"Curtis Granderson","Yankees","156","583","691","153","76","26","10","41","136","119","85","0","169","12","7","4","12","25","10",".262","4747"
"Kosuke Fukudome","- - -","146","530","603","139","101","27","3","8","59","35","61","4","110","4","2","6","8","4","6",".262","3263"
"Torii Hunter","Angels","156","580","649","152","103","24","2","23","80","82","62","2","125","4","3","0","24","5","7",".262","731"
"Matt Wieters","Orioles","139","500","551","131","81","28","0","22","72","68","48","3","84","2","1","0","16","1","0",".262","4298"
"Giancarlo Stanton","Marlins","150","516","601","135","66","30","5","34","79","87","70","6","166","9","6","0","11","5","5",".262","4949"
"Angel Pagan","Mets","123","478","532","125","90","24","4","7","68","56","44","4","62","1","5","4","4","32","7",".262","2918"
"Johnny Damon","Rays","150","582","647","152","100","29","7","16","79","73","51","1","92","7","5","2","4","19","6",".261","185"
"Nick Swisher","Yankees","150","526","635","137","84","30","0","23","81","85","95","6","125","5","8","1","18","2","2",".260","4599"
"Martin Prado","Braves","129","551","590","143","102","26","2","13","66","57","34","1","52","1","3","1","16","4","8",".260","3312"
"Brett Gardner","Yankees","159","510","588","132","98","19","8","7","87","36","60","1","93","8","2","8","5","49","13",".259","9927"
"Andrew McCutchen","Pirates","158","572","678","148","86","34","5","23","87","89","89","3","126","9","6","2","7","23","10",".259","9847"
"Mitch Moreland","Rangers","134","464","512","120","81","22","1","16","60","51","39","6","92","4","3","2","9","2","2",".259","3086"
"Kevin Youkilis","Red Sox","120","431","517","111","60","32","2","17","68","80","68","3","100","14","4","0","14","3","0",".258","1935"
"Juan Rivera","- - -","132","466","521","120","85","23","1","11","46","74","43","1","76","3","9","0","16","5","3",".258","843"
"Jay Bruce","Reds","157","585","664","150","89","27","2","32","84","97","71","14","158","5","2","1","8","8","7",".256","9892"
"Carl Crawford","Red Sox","130","506","539","129","82","29","7","11","65","56","23","1","104","3","4","2","7","18","6",".255","1201"
"Ian Kinsler","Rangers","155","620","723","158","88","34","4","32","121","77","89","2","71","8","2","4","17","30","4",".255","6195"
"Mark Trumbo","Angels","149","539","573","137","76","31","1","29","65","87","25","6","120","5","4","0","17","9","4",".254","6876"
"Alcides Escobar","Royals","158","548","598","139","106","21","8","4","69","46","25","1","73","4","3","18","10","26","9",".254","6310"
"Ian Desmond","Nationals","154","584","639","148","108","27","5","8","65","49","35","2","139","4","5","11","9","25","10",".253","6885"
"Ryan Howard","Phillies","152","557","644","141","77","30","1","33","81","116","75","16","172","7","5","0","10","1","0",".253","2154"
"Bobby Abreu","Angels","142","502","585","127","88","30","1","8","54","60","78","5","113","1","3","1","8","21","5",".253","945"
"Yuniesky Betancourt","Brewers","152","556","584","140","97","27","3","13","51","68","16","3","63","2","10","0","16","4","4",".252","8585"
"Hideki Matsui","Athletics","141","517","585","130","90","28","0","12","58","72","56","3","84","1","9","0","10","1","1",".251","1659"
"Adam Lind","Blue Jays","125","499","542","125","83","16","0","26","56","87","32","4","107","3","8","0","12","1","1",".251","8027"
"Ryan Roberts","Diamondbacks","143","482","555","120","74","25","2","19","86","65","66","2","98","2","2","3","6","18","9",".249","5653"
"Austin Jackson","Tigers","153","591","668","147","104","22","11","10","90","45","56","3","181","4","3","14","11","22","5",".249","9848"
"Mark Ellis","- - -","132","480","519","119","87","24","1","7","55","41","22","0","75","6","2","9","8","14","5",".248","1443"
"Mark Teixeira","Yankees","156","589","684","146","80","26","1","39","90","111","76","3","110","11","8","0","12","4","1",".248","1281"
"Logan Morrison","Marlins","123","462","525","114","62","25","4","23","54","72","54","3","99","5","4","0","9","2","1",".247","9205"
"Danny Valencia","Twins","154","564","608","139","94","28","2","15","63","72","40","2","102","0","4","0","15","2","6",".246","6364"
"Aaron Hill","- - -","137","520","571","128","90","27","3","8","61","61","35","1","72","7","7","2","10","21","7",".246","6104"
"Josh Willingham","Athletics","136","488","563","120","65","26","0","29","69","98","56","3","150","11","8","0","6","4","1",".246","2103"
"Aubrey Huff","Giants","150","521","579","128","88","27","1","12","45","59","47","6","90","2","9","0","11","5","3",".246","1213"
"Jason Bay","Mets","123","444","509","109","77","19","1","12","59","57","56","3","109","2","6","1","8","11","1",".245","1717"
"Jason Bartlett","Padres","139","554","618","136","109","22","3","2","61","40","48","0","98","5","6","5","13","23","10",".245","8219"
"Raul Ibanez","Phillies","144","535","575","131","79","31","1","20","65","84","33","3","106","2","5","0","13","2","0",".245","607"
"Evan Longoria","Rays","133","483","574","118","60","26","1","31","78","99","80","6","93","6","5","0","11","3","2",".244","9368"
"Alfonso Soriano","Cubs","137","475","508","116","62","27","1","26","50","88","27","4","113","4","2","0","15","2","1",".244","847"
"Drew Stubbs","Reds","158","604","681","147","107","22","3","15","92","44","63","1","205","7","1","6","2","40","10",".243","9328"
"Melvin Upton Jr.","Rays","153","560","640","136","82","27","4","23","82","81","71","4","161","4","3","2","16","36","12",".243","5015"
"Alex Gonzalez","Braves","149","564","593","136","93","27","1","15","59","56","22","1","126","1","2","4","19","2","0",".241","520"
"David DeJesus","Athletics","131","442","506","106","71","20","5","10","60","46","45","1","86","11","4","4","14","4","3",".240","1825"
"Carlos Santana","Indians","155","552","658","132","68","35","2","27","84","79","97","7","133","2","7","0","15","5","3",".239","2396"
"Kurt Suzuki","Athletics","134","460","515","109","69","26","0","14","54","44","38","1","64","7","7","3","14","2","2",".237","8259"
"Ryan Ludwick","- - -","139","490","558","116","80","23","0","13","56","75","51","4","124","4","6","2","9","1","1",".237","1260"
"Chris Young","Diamondbacks","156","567","659","134","73","38","3","20","89","71","80","4","139","4","7","1","3","22","9",".236","3882"
"Danny Espinosa","Nationals","158","573","658","135","80","29","5","21","72","66","57","4","166","19","4","5","6","17","6",".236","9219"
"Dan Uggla","Braves","161","600","672","140","81","22","1","36","88","82","62","2","156","7","3","0","9","1","3",".233","3442"
"Jayson Werth","Nationals","150","561","649","130","83","26","1","20","69","58","74","5","160","10","4","0","10","19","3",".232","1327"
"Gordon Beckham","White Sox","150","499","557","115","82","23","0","10","60","44","35","0","111","13","3","7","6","5","3",".230","9015"
"John Buck","Marlins","140","466","530","106","74","15","1","16","41","57","54","7","115","7","1","2","11","0","1",".227","2041"
"Alex Rios","White Sox","145","537","570","122","85","22","2","13","64","44","27","4","68","2","4","0","20","11","6",".227","2090"
"Carlos Pena","Cubs","153","493","606","111","53","27","3","28","72","80","101","7","161","4","7","1","6","2","2",".225","934"
"Colby Rasmus","- - -","129","471","526","106","62","24","6","14","75","53","50","2","116","0","3","2","10","5","2",".225","9893"
"Miguel Olivo","Mariners","130","477","507","107","68","19","1","19","54","62","20","2","140","1","8","1","7","6","5",".224","1638"
"Casey McGehee","Brewers","155","546","600","122","83","24","2","13","46","67","45","4","104","1","8","0","19","0","3",".223","6086"
"Kelly Johnson","- - -","147","545","613","121","66","27","7","21","75","58","60","2","163","4","0","4","3","16","6",".222","2234"
"Mark Reynolds","Orioles","155","534","620","118","53","27","1","37","84","86","75","2","196","7","4","0","11","6","4",".221","7619"
"Vernon Wells","Angels","131","505","529","110","66","15","4","25","60","66","20","0","86","1","3","0","8","9","4",".218","1326"
