"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Roy Halladay","Phillies","8.47","1.35","6.29","0.39","23.6 %","3.8 %","19.8 %",".233","1.04",".298","78.1 %","61","56","70","2.35","2.20","0.15","2.71","2.78","1303"
"Clayton Kershaw","Dodgers","9.57","2.08","4.59","0.58","27.2 %","5.9 %","21.3 %",".204","0.98",".269","78.6 %","62","65","74","2.28","2.47","-0.19","2.84","2.80","2036"
"Cliff Lee","Phillies","9.21","1.62","5.67","0.70","25.9 %","4.6 %","21.3 %",".226","1.03",".291","81.4 %","62","66","69","2.40","2.60","-0.21","2.68","2.71","1636"
"Madison Bumgarner","Giants","8.40","2.02","4.15","0.53","22.6 %","5.5 %","17.2 %",".255","1.21",".322","72.4 %","89","72","80","3.21","2.67","0.54","3.10","3.17","5524"
"Brandon McCarthy","Athletics","6.49","1.32","4.92","0.58","17.8 %","3.6 %","14.2 %",".253","1.13",".296","67.6 %","84","73","82","3.32","2.86","0.46","3.30","3.48","4662"
"CC Sabathia","Yankees","8.72","2.31","3.77","0.64","23.4 %","6.2 %","17.2 %",".251","1.23",".318","77.0 %","71","69","75","3.00","2.88","0.12","3.02","3.13","404"
"Matt Cain","Giants","7.27","2.56","2.84","0.37","19.7 %","7.0 %","12.8 %",".212","1.08",".260","70.6 %","80","79","98","2.88","2.91","-0.03","3.78","3.77","4732"
"Matt Garza","Cubs","8.95","2.86","3.13","0.64","23.5 %","7.5 %","16.0 %",".241","1.26",".306","69.7 %","84","76","83","3.32","2.95","0.36","3.19","3.31","3340"
"Zack Greinke","Brewers","10.54","2.36","4.47","1.00","28.1 %","6.3 %","21.8 %",".242","1.20",".318","69.8 %","99","75","66","3.83","2.98","0.85","2.56","2.65","1943"
"Dan Haren","Angels","7.25","1.25","5.82","0.76","20.2 %","3.5 %","16.7 %",".231","1.02",".272","71.5 %","81","76","82","3.17","2.98","0.19","3.29","3.33","1757"
"Justin Verlander","Tigers","8.96","2.04","4.39","0.86","25.8 %","5.9 %","19.9 %",".191","0.92",".236","80.3 %","58","74","77","2.40","2.99","-0.59","3.12","2.98","8700"
"Doug Fister","- - -","6.07","1.54","3.95","0.46","16.7 %","4.2 %","12.5 %",".234","1.06",".272","73.3 %","73","77","89","2.83","3.02","-0.19","3.61","3.66","9425"
"Cole Hamels","Phillies","8.08","1.83","4.41","0.79","22.8 %","5.2 %","17.7 %",".211","0.99",".255","78.4 %","73","78","78","2.79","3.05","-0.26","3.02","3.02","4972"
"Chris Carpenter","Cardinals","7.24","2.09","3.47","0.61","19.2 %","5.5 %","13.7 %",".260","1.26",".312","73.2 %","93","81","86","3.45","3.06","0.39","3.31","3.49","1292"
"Felix Hernandez","Mariners","8.55","2.58","3.31","0.73","23.0 %","7.0 %","16.1 %",".245","1.22",".307","72.7 %","91","80","78","3.47","3.13","0.33","3.15","3.21","4772"
"Jordan Zimmermann","Nationals","6.92","1.73","4.00","0.67","18.7 %","4.7 %","14.1 %",".247","1.15",".291","74.2 %","83","82","98","3.18","3.16","0.02","3.78","3.69","4505"
"Mat Latos","Padres","8.57","2.87","2.98","0.74","23.2 %","7.8 %","15.4 %",".228","1.18",".284","71.4 %","99","85","91","3.47","3.16","0.31","3.52","3.47","3815"
"Tim Lincecum","Giants","9.12","3.57","2.56","0.62","24.4 %","9.6 %","14.9 %",".218","1.21",".281","78.5 %","76","86","87","2.74","3.17","-0.43","3.36","3.45","5705"
"Jered Weaver","Angels","7.56","2.14","3.54","0.76","21.4 %","6.1 %","15.3 %",".210","1.01",".250","82.6 %","61","81","94","2.41","3.20","-0.79","3.80","3.66","4235"
"Ian Kennedy","Diamondbacks","8.03","2.23","3.60","0.77","22.0 %","6.1 %","15.9 %",".222","1.09",".270","79.2 %","72","83","91","2.88","3.22","-0.34","3.50","3.44","6986"
"Jaime Garcia","Cardinals","7.21","2.31","3.12","0.69","18.9 %","6.1 %","12.8 %",".267","1.32",".318","66.8 %","96","86","86","3.56","3.23","0.33","3.31","3.43","8137"
"C.J. Wilson","Rangers","8.30","2.98","2.78","0.64","22.5 %","8.1 %","14.4 %",".230","1.19",".287","73.6 %","68","78","84","2.94","3.24","-0.30","3.41","3.44","3580"
"Justin Masterson","Indians","6.58","2.71","2.43","0.46","17.4 %","7.2 %","10.2 %",".254","1.28",".302","72.9 %","82","83","90","3.21","3.28","-0.07","3.64","3.68","2038"
"Daniel Hudson","Diamondbacks","6.85","2.03","3.38","0.69","18.4 %","5.4 %","12.9 %",".251","1.20",".295","70.5 %","87","84","98","3.49","3.28","0.20","3.79","3.77","7146"
"David Price","Rays","8.75","2.53","3.46","0.88","23.8 %","6.9 %","16.9 %",".227","1.14",".281","73.3 %","90","84","82","3.49","3.32","0.17","3.32","3.26","3184"
"Anibal Sanchez","Marlins","9.26","2.93","3.16","0.92","24.3 %","7.7 %","16.6 %",".246","1.28",".310","75.0 %","95","88","84","3.67","3.35","0.32","3.25","3.28","3284"
"Tim Hudson","Braves","6.61","2.34","2.82","0.59","17.9 %","6.3 %","11.5 %",".232","1.14",".273","72.4 %","86","90","90","3.22","3.39","-0.17","3.48","3.43","921"
"James Shields","Rays","8.12","2.35","3.46","0.94","23.1 %","6.7 %","16.4 %",".215","1.04",".258","79.6 %","73","86","80","2.82","3.42","-0.60","3.25","3.28","7059"
"Michael Pineda","Mariners","9.11","2.89","3.15","0.95","24.9 %","7.9 %","17.0 %",".209","1.10",".258","69.7 %","98","88","87","3.74","3.42","0.31","3.53","3.35","5372"
"Matt Harrison","Rangers","6.11","2.76","2.21","0.63","16.3 %","7.4 %","8.9 %",".252","1.28",".290","72.3 %","78","84","95","3.39","3.52","-0.12","3.85","4.08","5551"
"Ricky Nolasco","Marlins","6.47","1.92","3.36","0.87","16.6 %","4.9 %","11.7 %",".289","1.40",".331","66.2 %","121","93","92","4.67","3.54","1.14","3.55","3.78","3830"
"Edwin Jackson","- - -","6.67","2.79","2.39","0.72","17.2 %","7.2 %","10.0 %",".282","1.44",".330","73.9 %","94","89","94","3.79","3.55","0.24","3.73","4.00","1841"
"Javier Vazquez","Marlins","7.57","2.34","3.24","0.98","20.3 %","6.3 %","14.0 %",".239","1.18",".279","69.3 %","95","94","100","3.69","3.57","0.12","3.87","3.77","801"
"Josh Beckett","Red Sox","8.16","2.42","3.37","0.98","22.8 %","6.8 %","16.0 %",".207","1.03",".245","80.0 %","68","90","89","2.89","3.57","-0.68","3.58","3.42","510"
"Philip Humber","White Sox","6.40","2.26","2.83","0.77","17.2 %","6.1 %","11.1 %",".240","1.18",".275","71.2 %","89","85","95","3.75","3.58","0.17","3.86","3.88","8586"
"Yovani Gallardo","Brewers","8.99","2.56","3.51","1.17","23.9 %","6.8 %","17.1 %",".240","1.22",".291","74.8 %","91","90","83","3.52","3.59","-0.07","3.19","3.21","8173"
"Brandon Morrow","Blue Jays","10.19","3.46","2.94","1.05","26.1 %","8.9 %","17.3 %",".233","1.29",".299","65.5 %","113","88","87","4.72","3.64","1.08","3.53","3.30","9346"
"Gio Gonzalez","Athletics","8.78","4.05","2.16","0.76","22.8 %","10.5 %","12.3 %",".229","1.32",".287","77.1 %","79","92","92","3.12","3.64","-0.52","3.73","3.77","7448"
"Alexi Ogando","Rangers","6.71","2.29","2.93","0.85","18.2 %","6.2 %","12.0 %",".232","1.14",".265","71.4 %","81","87","97","3.51","3.65","-0.14","3.94","3.93","10261"
"Ryan Vogelsong","Giants","6.96","3.06","2.28","0.75","18.5 %","8.1 %","10.4 %",".239","1.25",".280","80.4 %","75","99","100","2.71","3.67","-0.96","3.85","3.96","1011"
