"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Jered Weaver","Angels","5.03","-12.60","17.64","46.63","5.07","1.00","","0.87","1.38","29","4.13","0.92","0","0","4235"
"Justin Verlander","Tigers","5.01","-12.96","17.96","52.66","5.28","0.94","","0.87","1.33","30","6.37","-1.03","0","0","8700"
"Ian Kennedy","Diamondbacks","4.64","-13.29","17.93","35.93","3.71","1.07","","0.87","1.34","32","3.16","1.18","0","0","6986"
"Roy Halladay","Phillies","4.41","-14.63","19.04","44.83","4.88","1.12","","0.87","1.12","24","3.82","0.13","0","0","1303"
"Cliff Lee","Phillies","4.16","-12.72","16.88","40.10","4.38","0.96","","0.87","1.03","26","3.33","1.00","0","0","1636"
"Dan Haren","Angels","4.06","-13.63","17.70","25.40","2.74","1.00","","0.92","1.34","30","3.00","1.07","1","0","1757"
"James Shields","Rays","4.03","-14.32","18.34","36.87","3.86","0.95","","0.87","1.31","22","2.97","1.26","0","0","7059"
"Cole Hamels","Phillies","3.92","-11.89","15.82","31.44","3.40","0.98","","0.87","1.00","29","3.56","0.46","0","1","4972"
"Clayton Kershaw","Dodgers","3.57","-13.39","16.96","35.49","4.16","1.00","","0.87","1.34","28","4.21","-0.65","0","0","2036"
"Ricky Romero","Blue Jays","3.38","-14.07","17.45","32.42","3.37","0.98","","0.88","1.31","28","2.32","1.14","0","0","3403"
"Josh Beckett","Red Sox","3.36","-11.43","14.78","33.56","3.38","1.01","","0.87","1.26","29","3.15","0.18","0","0","510"
"CC Sabathia","Yankees","2.83","-14.38","17.21","33.83","3.49","0.94","","0.86","1.31","30","3.15","-0.15","0","0","404"
"C.J. Wilson","Rangers","2.35","-14.00","16.36","26.13","2.76","0.95","","0.88","1.18","31","1.30","1.17","0","0","3580"
"Mark Buehrle","White Sox","2.22","-13.66","15.88","16.84","1.64","0.97","","0.87","1.11","31","1.21","1.07","0","0","225"
"Doug Fister","- - -","2.18","-13.04","15.22","23.64","2.50","0.95","","0.89","1.15","29","2.52","-0.22","0","0","9425"
"Ryan Vogelsong","Giants","1.95","-11.59","13.54","16.16","1.82","1.00","0.36","0.84","1.09","28","0.70","1.25","0","0","1011"
"Tim Lincecum","Giants","1.92","-14.92","16.84","19.56","2.22","1.05","","0.86","1.08","32","1.65","0.18","0","0","5705"
"Gio Gonzalez","Athletics","1.90","-13.58","15.48","15.83","1.81","1.00","","0.87","1.33","32","0.86","1.04","0","0","7448"
"Matt Harrison","Rangers","1.88","-11.92","13.80","16.96","1.68","0.97","","0.86","1.14","31","1.77","0.16","0","0","5551"
"Alexi Ogando","Rangers","1.76","-10.47","12.24","13.49","1.39","0.95","","0.82","0.99","28","2.31","-0.44","0","0","10261"
"Jeremy Hellickson","Rays","1.70","-10.41","12.11","24.78","2.69","0.85","","0.88","0.97","27","2.15","-0.14","0","0","4371"
"Philip Humber","White Sox","1.54","-10.49","12.03","14.46","1.41","0.96","0.13","0.82","1.29","28","1.47","0.13","0","0","8586"
"Justin Masterson","Indians","1.54","-15.71","17.25","17.43","1.89","1.06","","0.86","1.70","33","1.43","0.03","0","0","2038"
"Tim Hudson","Braves","1.52","-12.95","14.47","10.91","1.17","0.93","","0.87","1.05","32","1.73","-0.10","0","0","921"
"Joe Saunders","Diamondbacks","1.49","-14.05","15.54","11.71","1.24","0.95","","0.88","1.05","32","0.32","1.26","0","0","4366"
"Shaun Marcum","Brewers","1.39","-13.17","14.57","10.94","1.26","0.98","","0.88","1.18","33","1.32","0.10","0","0","6204"
"Matt Cain","Giants","1.32","-15.12","16.44","18.77","2.21","1.06","","0.88","1.15","32","3.09","-1.85","0","0","4732"
"Jhoulys Chacin","Rockies","1.26","-11.97","13.24","21.63","1.96","0.89","","0.85","1.07","29","1.42","0.00","0","0","2608"
"Jon Lester","Red Sox","1.26","-12.93","14.19","20.08","2.07","0.98","","0.85","0.97","31","1.73","-0.44","0","0","4930"
"Jordan Zimmermann","Nationals","1.22","-11.47","12.69","15.65","1.63","1.04","","0.87","1.48","25","0.86","0.31","0","0","4505"
"Felix Hernandez","Mariners","1.15","-16.89","18.04","10.47","1.23","1.06","","0.87","0.92","28","1.64","-0.55","0","0","4772"
"Anibal Sanchez","Marlins","1.08","-14.39","15.47","5.79","0.65","1.03","","0.87","1.09","29","0.40","0.65","0","0","3284"
"Randy Wolf","Brewers","1.01","-15.73","16.74","6.06","0.65","1.05","","0.88","1.02","33","0.24","0.73","0","0","976"
"Daniel Hudson","Diamondbacks","0.99","-15.72","16.71","8.26","0.87","0.99","","0.88","1.07","30","1.03","-0.03","0","0","7146"
"Aaron Harang","Padres","0.90","-12.28","13.18","-1.51","-0.04","1.00","","0.87","1.15","28","-1.14","2.04","0","0","1451"
"Matt Garza","Cubs","0.87","-14.50","15.36","6.19","0.61","1.03","","0.87","1.36","29","1.59","-0.76","0","0","3340"
"Hiroki Kuroda","Dodgers","0.83","-13.14","13.98","11.93","1.36","0.96","","0.87","0.88","32","-0.08","0.96","0","0","3283"
"Madison Bumgarner","Giants","0.82","-13.94","14.76","3.92","0.36","1.01","","0.88","0.97","33","1.11","-0.29","0","0","5524"
"Edwin Jackson","- - -","0.76","-15.41","16.16","5.45","0.54","1.03","","0.85","1.11","30","-1.16","1.90","0","0","1841"
"Ervin Santana","Angels","0.73","-17.49","18.23","12.37","1.35","1.09","","0.87","1.48","29","1.00","-0.33","0","0","3200"
"Yovani Gallardo","Brewers","0.67","-14.23","14.91","4.36","0.58","0.98","","0.87","0.79","32","0.66","0.03","0","0","8173"
"Derek Holland","Rangers","0.66","-12.72","13.39","4.72","0.54","0.86","","0.88","0.96","28","0.57","0.20","0","0","4141"
"Chris Carpenter","Cardinals","0.55","-18.02","18.57","10.59","1.20","1.06","","0.86","1.25","30","0.43","0.09","0","0","1292"
"John Danks","White Sox","0.53","-12.91","13.44","0.83","0.10","1.02","","0.87","1.31","25","-0.21","0.73","0","0","6329"
"Michael Pineda","Mariners","0.52","-11.48","12.00","7.99","0.93","0.96","","0.87","1.36","28","1.55","-1.01","0","0","5372"
"Tim Stauffer","Padres","0.45","-13.10","13.55","-2.14","-0.18","1.01","","0.88","1.22","31","-0.92","1.37","0","0","6432"
"Zack Greinke","Brewers","0.44","-11.83","12.27","2.73","0.32","0.94","","0.87","0.88","28","-0.10","0.57","0","0","1943"
"Wandy Rodriguez","Astros","0.44","-13.15","13.59","6.84","0.78","0.94","","0.87","0.90","30","-0.54","1.00","0","0","2586"
"Brandon McCarthy","Athletics","0.40","-11.09","11.49","9.32","1.04","0.94","","0.87","1.22","20","1.21","-0.78","0","0","4662"
"Bartolo Colon","Yankees","0.39","-11.55","11.95","-0.31","0.07","0.98","0.45","0.85","1.23","28","0.33","0.07","0","1","375"
"Colby Lewis","Rangers","0.21","-13.06","13.27","-1.23","0.03","0.86","","0.87","0.96","30","-0.04","0.28","0","0","1259"
"Mat Latos","Padres","0.19","-14.89","15.08","5.22","0.41","1.06","","0.88","1.33","31","0.54","-0.36","0","0","3815"
"Josh Tomlin","Indians","0.16","-10.93","11.09","2.45","0.28","0.91","","0.87","1.18","26","0.59","-0.41","0","0","9388"
"Jason Vargas","Mariners","0.10","-14.75","14.85","-6.60","-0.69","0.98","","0.88","1.11","28","-0.92","1.02","0","0","8044"
"Gavin Floyd","White Sox","0.03","-12.94","12.97","2.44","0.28","0.92","","0.92","1.04","29","1.54","-1.51","0","1","3886"
"Ivan Nova","Yankees","0.00","-12.09","12.09","4.38","0.44","1.01","","0.91","1.49","27","-0.09","0.10","0","1","1994"
"Paul Maholm","Pirates","-0.02","-10.79","10.77","4.97","0.49","0.93","","0.87","1.05","25","0.38","-0.40","0","0","8678"
"Kyle Lohse","Cardinals","-0.09","-13.68","13.58","4.57","0.50","1.02","","0.87","0.82","29","1.32","-1.41","0","0","739"
"David Price","Rays","-0.14","-15.28","15.14","11.49","1.14","0.95","","0.88","0.86","34","1.86","-2.00","0","0","3184"
"Javier Vazquez","Marlins","-0.15","-12.82","12.67","-1.66","-0.16","0.93","","0.86","0.88","30","1.07","-1.23","0","0","801"
"Max Scherzer","Tigers","-0.22","-15.03","14.81","-3.74","-0.44","0.98","","0.87","0.91","33","-1.22","1.00","0","0","3137"
"Trevor Cahill","Athletics","-0.24","-15.79","15.54","-5.54","-0.50","1.01","","0.87","1.03","34","-0.68","0.44","0","0","6249"
"Luke Hochevar","Royals","-0.26","-14.97","14.71","-8.07","-0.78","0.98","","0.88","1.15","31","-0.27","0.00","0","0","6943"
"Carl Pavano","Twins","-0.38","-17.66","17.28","-10.57","-0.98","1.02","","0.86","1.30","30","-1.59","1.22","0","0","790"
