"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Gavin Floyd","White Sox","12","11","4.29","29","29","0","0","0","0","0","168.0","724","166","84","80","22","63","2","14","8","0","144","3886"
"Dan Haren","Angels","12","13","4.33","30","30","1","1","0","0","0","176.2","747","190","95","85","28","38","3","3","5","1","142","1757"
"Ricky Nolasco","Marlins","12","13","4.48","31","31","3","2","0","0","0","191.0","832","214","100","95","18","47","9","8","8","1","125","3830"
"Tommy Hanson","Braves","13","10","4.48","31","31","0","0","0","0","0","174.2","761","183","95","87","27","71","5","5","6","0","161","9129"
"Clay Buchholz","Red Sox","11","8","4.56","29","29","2","1","0","0","0","189.1","802","187","104","96","25","64","2","12","2","2","129","3543"
"Mike Leake","Reds","8","9","4.58","30","30","2","0","0","0","0","179.0","757","201","97","91","26","41","3","3","3","0","116","10130"
"Rick Porcello","Tigers","10","12","4.59","31","31","0","0","0","0","0","176.1","783","226","101","90","16","44","3","6","6","0","107","2717"
"Josh Beckett","- - -","7","14","4.65","28","28","0","0","0","0","0","170.1","730","174","91","88","21","52","6","5","5","0","132","510"
"Bud Norris","Astros","7","13","4.65","29","29","0","0","0","0","0","168.1","733","165","90","87","23","66","2","8","8","0","165","9492"
"Derek Holland","Rangers","12","7","4.67","29","27","0","0","0","0","0","175.1","730","162","100","91","32","52","0","3","1","0","145","4141"
"Joe Blanton","- - -","10","13","4.71","31","30","2","1","0","0","0","191.0","806","207","106","100","29","34","5","3","5","0","166","4849"
"Jeremy Guthrie","- - -","8","12","4.76","33","29","0","0","0","0","1","181.2","788","206","109","96","30","50","2","9","2","2","101","2072"
"Jon Lester","Red Sox","9","14","4.82","33","33","3","0","0","0","0","205.1","876","216","117","110","25","68","2","4","6","0","166","4930"
"Henderson Alvarez","Blue Jays","9","14","4.85","31","31","1","1","0","0","0","187.1","807","216","110","101","29","54","2","3","3","1","79","5669"
"Justin Masterson","Indians","11","15","4.93","34","34","1","0","0","0","0","206.1","906","212","122","113","18","88","1","13","14","0","159","2038"
"Ivan Nova","Yankees","12","8","5.02","28","28","0","0","0","0","0","170.1","748","194","100","95","28","56","3","10","6","2","153","1994"
"Bruce Chen","Royals","11","14","5.07","34","34","0","0","0","0","0","191.2","827","215","114","108","33","47","3","8","5","0","140","769"
"Ervin Santana","Angels","9","13","5.16","30","30","1","1","0","0","0","178.0","764","165","109","102","39","61","2","9","4","0","133","3200"
"Tim Lincecum","Giants","10","15","5.18","33","33","0","0","0","0","0","186.0","825","183","111","107","23","90","3","4","17","2","190","5705"
"Ubaldo Jimenez","Indians","9","17","5.40","31","31","0","0","0","0","0","176.2","805","190","116","106","25","95","3","8","16","1","143","3374"
"Luke Hochevar","Royals","8","16","5.73","32","32","2","1","0","0","0","185.1","800","202","127","118","27","61","3","13","8","0","144","6943"
"Ricky Romero","Blue Jays","9","14","5.77","32","32","1","0","0","0","0","181.0","829","198","122","116","21","105","1","10","8","0","124","3403"
