"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Miguel Cabrera","Tigers","697","9.5 %","14.1 %","0.67",".330",".393",".606",".999",".277","2.6",".331","-3.5","-3.4","-0.4","137","57.3",".417","166","1744"
"Ryan Braun","Brewers","677","9.3 %","18.9 %","0.49",".319",".391",".595",".987",".276","5.7",".346","0.2","0.1","2.4","131","53.4",".413","159","3410"
"Mike Trout","Angels","639","10.5 %","21.8 %","0.48",".326",".399",".564",".963",".238","8.6",".383","6.0","1.1","7.0","121","48.2",".409","167","10155"
"Buster Posey","Giants","610","11.3 %","15.7 %","0.72",".336",".408",".549",".957",".213","2.0",".368","-2.4","-1.2","-1.0","114","44.7",".406","164","9166"
"Andrew McCutchen","Pirates","673","10.4 %","19.6 %","0.53",".327",".400",".553",".953",".226","5.5",".375","4.3","1.5","-1.6","124","47.5",".403","158","9847"
"Prince Fielder","Tigers","690","12.3 %","12.2 %","1.01",".313",".412",".528",".940",".215","1.7",".321","-5.4","-1.3","-0.7","125","46.1",".398","153","4613"
"Edwin Encarnacion","Blue Jays","644","13.0 %","14.6 %","0.89",".280",".384",".557",".941",".277","3.6",".266","0.3","2.0","0.6","115","41.9",".396","150","2151"
"Robinson Cano","Yankees","697","8.8 %","13.8 %","0.64",".313",".379",".550",".929",".238","2.7",".326","-1.6","-0.7","-1.0","124","44.4",".394","149","3269"
"Adrian Beltre","Rangers","654","5.5 %","12.5 %","0.44",".321",".359",".561",".921",".240","2.8",".319","-1.8","1.4","-0.5","113","38.1",".388","142","639"
"Josh Hamilton","Rangers","636","9.4 %","25.5 %","0.37",".285",".354",".577",".930",".292","4.0",".320","4.3","1.3","-0.8","109","36.6",".387","141","1875"
"Aramis Ramirez","Brewers","630","7.0 %","13.0 %","0.54",".300",".360",".540",".901",".240","4.9",".310","-3.4","-0.9","0.4","107","34.8",".384","139","1002"
"Josh Willingham","Twins","615","12.4 %","22.9 %","0.54",".260",".366",".524",".890",".264","2.8",".287","1.2","-1.0","-0.9","102","32.1",".380","142","2103"
"Matt Holliday","Cardinals","688","10.9 %","19.2 %","0.57",".295",".379",".497",".877",".202","3.1",".337","0.9","0.1","-1.7","114","35.0",".378","140","1873"
"Chase Headley","Padres","699","12.3 %","22.5 %","0.55",".286",".376",".498",".875",".212","4.4",".337","0.0","2.0","0.1","115","35.1",".378","145","4720"
"Billy Butler","Royals","679","8.0 %","16.3 %","0.49",".313",".373",".510",".882",".197","1.8",".341","-9.4","-2.5","-0.8","111","33.7",".377","139","7399"
