"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Gio Gonzalez","Nationals","9.35","3.43","2.72","0.41","25.2 %","9.3 %","15.9 %",".201","1.13",".267","74.1 %","73","74","87","2.89","2.82","0.07","3.38","3.56","7448"
"Felix Hernandez","Mariners","8.65","2.17","3.98","0.54","23.8 %","6.0 %","17.8 %",".240","1.14",".308","75.0 %","80","71","77","3.06","2.84","0.23","3.20","3.28","4772"
"Clayton Kershaw","Dodgers","9.05","2.49","3.63","0.63","25.4 %","7.0 %","18.4 %",".204","1.02",".262","77.9 %","67","74","83","2.53","2.89","-0.36","3.25","3.31","2036"
"Justin Verlander","Tigers","9.03","2.27","3.98","0.72","25.0 %","6.3 %","18.7 %",".215","1.06",".273","76.4 %","63","70","80","2.64","2.94","-0.30","3.31","3.33","8700"
"David Price","Rays","8.74","2.52","3.47","0.68","24.5 %","7.1 %","17.5 %",".224","1.10",".285","81.1 %","66","75","75","2.56","3.05","-0.49","3.12","3.23","3184"
"Adam Wainwright","Cardinals","8.34","2.36","3.54","0.68","22.1 %","6.3 %","15.9 %",".254","1.25",".315","67.8 %","102","81","83","3.94","3.10","0.84","3.23","3.41","2233"
"Zack Greinke","- - -","8.48","2.29","3.70","0.76","23.0 %","6.2 %","16.8 %",".246","1.20",".306","74.5 %","87","77","80","3.48","3.10","0.37","3.22","3.38","1943"
"Cliff Lee","Phillies","8.83","1.19","7.39","1.11","24.4 %","3.3 %","21.1 %",".253","1.11",".309","78.6 %","80","79","79","3.16","3.13","0.02","3.06","3.07","1636"
"Wade Miley","Diamondbacks","6.66","1.71","3.89","0.65","17.8 %","4.6 %","13.3 %",".251","1.18",".293","72.0 %","81","80","96","3.33","3.15","0.18","3.75","3.91","8779"
"Max Scherzer","Tigers","11.08","2.88","3.85","1.10","29.4 %","7.6 %","21.7 %",".248","1.27",".333","76.5 %","90","78","78","3.74","3.27","0.48","3.23","3.07","3137"
"Johnny Cueto","Reds","7.05","2.03","3.47","0.62","19.1 %","5.5 %","13.6 %",".248","1.17",".296","78.8 %","69","81","93","2.78","3.27","-0.49","3.65","3.73","6893"
"R.A. Dickey","Mets","8.86","2.08","4.26","0.92","24.8 %","5.8 %","19.0 %",".222","1.05",".275","80.0 %","73","84","84","2.73","3.27","-0.54","3.27","3.25","1245"
"Chris Sale","White Sox","9.00","2.39","3.76","0.89","24.9 %","6.6 %","18.3 %",".234","1.14",".294","80.0 %","72","76","78","3.05","3.27","-0.22","3.24","3.32","10603"
"Yu Darvish","Rangers","10.40","4.19","2.48","0.66","27.1 %","10.9 %","16.2 %",".218","1.28",".295","70.5 %","90","77","85","3.90","3.29","0.62","3.52","3.62","13074"
"Cole Hamels","Phillies","9.03","2.17","4.15","1.00","24.9 %","6.0 %","18.9 %",".234","1.12",".290","78.1 %","77","83","83","3.05","3.30","-0.25","3.23","3.29","4972"
"CC Sabathia","Yankees","8.87","1.98","4.48","0.99","23.7 %","5.3 %","18.4 %",".236","1.14",".288","71.6 %","80","78","77","3.38","3.33","0.04","3.20","3.25","404"
"Matt Cain","Giants","7.92","2.09","3.78","0.86","22.0 %","5.8 %","16.2 %",".217","1.04",".259","79.0 %","76","92","98","2.79","3.40","-0.61","3.82","3.69","4732"
"Josh Johnson","Marlins","7.76","3.06","2.54","0.66","20.7 %","8.2 %","12.5 %",".247","1.28",".302","71.9 %","98","90","95","3.81","3.40","0.41","3.73","3.93","4567"
"Jarrod Parker","Athletics","6.95","3.13","2.22","0.55","18.6 %","8.4 %","10.3 %",".242","1.26",".290","74.3 %","87","85","95","3.47","3.43","0.04","3.95","4.22","4913"
"James Shields","Rays","8.82","2.29","3.84","0.99","23.6 %","6.1 %","17.5 %",".238","1.17",".292","71.9 %","91","85","78","3.52","3.47","0.05","3.24","3.26","7059"
"Lance Lynn","Cardinals","9.20","3.27","2.81","0.82","24.2 %","8.6 %","15.6 %",".251","1.32",".321","75.6 %","98","91","92","3.78","3.49","0.29","3.60","3.64","2520"
"Madison Bumgarner","Giants","8.25","2.12","3.90","0.99","22.5 %","5.8 %","16.7 %",".231","1.11",".276","73.5 %","92","94","88","3.37","3.50","-0.13","3.45","3.46","5524"
"Kyle Lohse","Cardinals","6.10","1.62","3.76","0.81","16.6 %","4.4 %","12.2 %",".234","1.09",".262","77.2 %","74","91","101","2.86","3.51","-0.65","3.96","4.13","739"
"Jordan Zimmermann","Nationals","7.04","1.98","3.56","0.83","19.0 %","5.3 %","13.7 %",".247","1.17",".288","79.3 %","74","91","97","2.94","3.51","-0.56","3.78","3.87","4505"
"A.J. Burnett","Pirates","8.01","2.76","2.90","0.80","21.2 %","7.3 %","13.9 %",".242","1.24",".294","74.1 %","92","93","87","3.51","3.52","-0.01","3.40","3.48","512"
"Anibal Sanchez","- - -","7.68","2.21","3.48","0.92","20.4 %","5.9 %","14.5 %",".261","1.27",".310","70.2 %","97","90","90","3.86","3.53","0.33","3.60","3.71","3284"
"Jeff Samardzija","Cubs","9.27","2.89","3.21","1.03","24.9 %","7.8 %","17.2 %",".237","1.22",".296","73.0 %","95","91","87","3.81","3.55","0.26","3.38","3.47","3254"
"Ryan Dempster","- - -","7.96","2.71","2.94","0.99","21.3 %","7.3 %","14.1 %",".234","1.20",".277","75.7 %","81","91","94","3.38","3.69","-0.31","3.77","3.84","517"
"Ryan Vogelsong","Giants","7.50","2.94","2.55","0.81","20.1 %","7.9 %","12.2 %",".238","1.23",".284","76.0 %","92","100","106","3.37","3.70","-0.33","4.15","4.09","1011"
"Jake Peavy","White Sox","7.97","2.01","3.96","1.11","22.0 %","5.6 %","16.4 %",".232","1.10",".272","76.3 %","80","87","97","3.37","3.73","-0.36","3.99","3.71","1051"
"Lucas Harrell","Astros","6.51","3.62","1.79","0.60","16.9 %","9.4 %","7.5 %",".247","1.36",".289","70.8 %","95","94","99","3.76","3.75","0.02","3.89","4.15","7541"
"Jered Weaver","Angels","6.77","2.15","3.16","0.95","19.2 %","6.1 %","13.1 %",".213","1.02",".241","79.2 %","73","94","101","2.81","3.75","-0.93","4.18","4.09","4235"
"Tim Hudson","Braves","5.13","2.41","2.13","0.60","13.6 %","6.4 %","7.2 %",".243","1.21",".270","71.1 %","92","99","105","3.62","3.78","-0.16","4.10","4.21","921"
"Jon Niese","Mets","7.33","2.32","3.16","1.04","19.7 %","6.2 %","13.5 %",".237","1.17",".272","76.5 %","90","97","93","3.40","3.80","-0.40","3.64","3.78","4424"
"Jake Westbrook","Cardinals","5.46","2.68","2.04","0.62","14.1 %","6.9 %","7.2 %",".276","1.39",".312","70.9 %","102","99","100","3.97","3.80","0.16","3.92","4.02","412"
"Edwin Jackson","Nationals","7.97","2.75","2.90","1.09","21.3 %","7.3 %","13.9 %",".237","1.22",".278","71.2 %","102","100","97","4.03","3.85","0.18","3.79","3.82","1841"
"Trevor Cahill","Diamondbacks","7.02","3.33","2.11","0.72","18.6 %","8.8 %","9.8 %",".244","1.29",".289","71.4 %","92","98","96","3.78","3.85","-0.07","3.76","3.84","6249"
"Mat Latos","Reds","7.95","2.75","2.89","1.07","21.6 %","7.5 %","14.1 %",".227","1.16",".266","75.5 %","87","96","97","3.48","3.85","-0.37","3.79","3.82","3815"
"Hiroki Kuroda","Yankees","6.84","2.09","3.27","1.02","18.7 %","5.7 %","13.0 %",".246","1.17",".281","77.7 %","79","90","89","3.32","3.86","-0.54","3.67","3.73","3283"
"Ricky Nolasco","Marlins","5.89","2.21","2.66","0.85","15.0 %","5.7 %","9.4 %",".275","1.37",".309","69.3 %","115","102","107","4.48","3.87","0.60","4.17","4.31","3830"
