"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Mike Trout","Angels","5.41","-8.48","13.90","54.86","5.79","0.91","","0","6.24","-0.32","10155"
"Ryan Braun","Brewers","5.03","-10.07","15.10","50.93","5.39","0.97","4.74","1","6.03","-0.87","3410"
"Josh Willingham","Twins","5.01","-10.76","15.77","38.06","3.94","1.10","2.01","2","3.16","1.41","2103"
"Buster Posey","Giants","4.93","-9.49","14.42","51.55","5.56","1.05","2.51","5","5.11","-0.41","9166"
"Prince Fielder","Tigers","4.90","-10.66","15.56","50.39","5.05","1.03","","0","4.72","0.05","4613"
"Miguel Cabrera","Tigers","4.80","-11.61","16.42","47.27","4.72","0.99","","0","6.31","-1.43","1744"
"Edwin Encarnacion","Blue Jays","4.77","-9.80","14.57","56.30","5.67","0.97","","0","4.99","-0.06","2151"
"Andrew McCutchen","Pirates","4.60","-9.95","14.55","48.08","5.14","0.97","3.22","1","4.74","0.02","9847"
"Aramis Ramirez","Brewers","4.60","-10.73","15.32","37.46","3.89","1.05","1.75","3","3.77","0.62","1002"
"Yadier Molina","Cardinals","4.36","-8.32","12.69","36.66","3.96","0.98","2.71","4","3.37","1.10","7007"
"David Wright","Mets","4.34","-10.31","14.65","40.80","4.42","1.00","4.84","1","4.09","0.26","3787"
"Chase Headley","Padres","4.30","-11.19","15.49","52.97","5.79","1.00","1.74","2","5.43","-1.12","4720"
"Ian Desmond","Nationals","4.11","-9.94","14.05","20.79","2.05","1.08","0.26","2","2.62","1.17","6885"
"Joe Mauer","Twins","3.97","-9.62","13.59","46.75","4.79","1.01","1.50","3","2.75","1.17","1857"
"Yoenis Cespedes","Athletics","3.90","-8.04","11.93","32.16","3.40","0.93","","0","3.14","1.05","13110"
"Garrett Jones","Pirates","3.83","-8.05","11.88","34.59","3.73","1.00","1.25","15","2.88","0.96","2714"
"Torii Hunter","Angels","3.59","-8.47","12.06","26.55","2.61","0.89","1.66","1","2.71","1.30","731"
"Jose Reyes","Marlins","3.47","-11.59","15.06","18.77","1.95","1.01","","0","1.85","1.59","1736"
"Paul Goldschmidt","Diamondbacks","3.31","-9.40","12.71","36.90","3.94","0.96","1.93","8","3.58","-0.15","9218"
"Adam Jones","Orioles","3.13","-11.84","14.97","16.49","1.60","0.97","","0","2.14","1.08","6368"
"Austin Jackson","Tigers","3.08","-10.08","13.16","22.78","2.30","1.01","0.83","1","2.35","0.69","9848"
"Jimmy Rollins","Phillies","3.03","-11.39","14.42","18.29","2.02","1.02","1.87","3","0.63","2.34","971"
"Matt Holliday","Cardinals","2.92","-11.35","14.28","37.98","3.88","0.99","3.12","3","3.60","-0.64","1873"
"Adrian Beltre","Rangers","2.89","-9.20","12.10","27.46","2.76","0.90","2.23","4","3.46","-0.26","639"
"Allen Craig","Cardinals","2.89","-9.17","12.06","34.31","3.69","1.06","2.30","6","3.22","-0.49","3433"
"Albert Pujols","Angels","2.89","-9.70","12.59","27.99","2.83","0.89","","0","2.38","0.88","1177"
