"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","Angels","139","639","30","129","83","49","10.5 %","21.8 %",".238",".383",".326",".399",".564",".409","167","14.1","64.2","13.0","10.3","10155"
"Buster Posey","Giants","148","610","24","78","103","1","11.3 %","15.7 %",".213",".368",".336",".408",".549",".406","164","-4.6","41.8","13.0","7.7","9166"
"Robinson Cano","Yankees","161","697","33","105","94","3","8.8 %","13.8 %",".238",".326",".313",".379",".550",".394","149","-3.3","36.9","12.6","7.6","3269"
"Chase Headley","Padres","161","699","31","95","115","17","12.3 %","22.5 %",".212",".337",".286",".376",".498",".378","145","2.1","40.0","9.7","7.5","4720"
"David Wright","Mets","156","670","21","91","93","15","12.1 %","16.7 %",".186",".347",".306",".391",".492",".376","141","-0.4","32.5","17.4","7.4","3787"
"Ryan Braun","Brewers","154","677","41","108","112","30","9.3 %","18.9 %",".276",".346",".319",".391",".595",".413","159","2.7","50.7","-2.3","7.3","3410"
"Andrew McCutchen","Pirates","157","673","31","107","96","20","10.4 %","19.6 %",".226",".375",".327",".400",".553",".403","158","4.2","50.7","-6.5","6.8","9847"
"Adrian Beltre","Rangers","156","654","36","95","102","1","5.5 %","12.5 %",".240",".319",".321",".359",".561",".388","142","-0.9","31.1","9.5","6.5","639"
"Jason Heyward","Braves","158","651","27","93","82","21","8.9 %","23.3 %",".210",".319",".269",".335",".479",".351","121","9.7","25.7","15.9","6.5","4940"
"Miguel Cabrera","Tigers","161","697","44","109","139","4","9.5 %","14.1 %",".277",".331",".330",".393",".606",".417","166","-7.3","46.4","-8.2","6.4","1744"
"Michael Bourn","Braves","155","703","9","96","57","42","10.0 %","22.0 %",".117",".349",".274",".348",".391",".326","104","7.8","11.2","25.6","6.2","6387"
"Yadier Molina","Cardinals","138","563","22","65","76","12","8.0 %","9.8 %",".186",".316",".315",".373",".501",".375","138","-5.1","20.6","20.2","6.1","7007"
"Ben Zobrist","Rays","157","668","20","88","74","14","14.5 %","15.4 %",".202",".296",".270",".377",".471",".365","137","-4.3","24.7","8.3","5.8","7435"
"Aramis Ramirez","Brewers","149","630","27","92","105","9","7.0 %","13.0 %",".240",".310",".300",".360",".540",".384","139","-3.9","25.7","7.8","5.6","1002"
"Alex Gordon","Royals","161","721","14","93","72","10","10.1 %","19.4 %",".160",".356",".294",".368",".455",".357","126","-0.6","21.1","7.3","5.5","5209"
"Austin Jackson","Tigers","137","617","16","103","66","12","10.9 %","21.7 %",".179",".371",".300",".377",".479",".371","134","0.5","25.3","5.6","5.4","9848"
"Martin Prado","Braves","156","690","10","81","70","17","8.4 %","10.0 %",".136",".322",".301",".359",".438",".345","117","1.7","15.6","14.0","5.3","3312"
"Aaron Hill","Diamondbacks","156","668","26","93","85","14","7.8 %","12.9 %",".220",".317",".302",".360",".522",".375","133","0.8","26.8","2.8","5.3","6104"
"Torii Hunter","Angels","140","584","16","81","92","9","6.5 %","22.8 %",".139",".389",".313",".365",".451",".356","131","3.9","25.0","4.8","5.2","731"
"Prince Fielder","Tigers","162","690","30","83","108","1","12.3 %","12.2 %",".215",".321",".313",".412",".528",".398","153","-7.4","35.2","-12.3","4.8","4613"
"Jimmy Rollins","Phillies","156","699","23","102","68","30","8.9 %","13.7 %",".177",".262",".250",".316",".427",".322","101","7.7","8.3","14.9","4.7","971"
"Angel Pagan","Giants","154","659","8","95","56","29","7.3 %","14.7 %",".152",".329",".288",".338",".440",".334","115","9.6","21.4","2.6","4.7","2918"
"Ian Desmond","Nationals","130","547","25","72","73","21","5.5 %","20.7 %",".218",".332",".292",".335",".511",".362","128","-0.7","17.2","10.3","4.7","6885"
"Bryce Harper","Nationals","139","597","22","98","59","18","9.4 %","20.1 %",".206",".310",".270",".340",".477",".352","121","1.9","16.6","8.3","4.6","11579"
"Josh Reddick","Athletics","156","673","32","85","85","11","8.2 %","22.4 %",".221",".269",".242",".305",".463",".326","108","4.1","10.3","10.7","4.5","3892"
"Miguel Montero","Diamondbacks","141","573","15","65","88","0","12.7 %","22.7 %",".152",".362",".286",".391",".438",".364","125","-6.1","10.7","14.7","4.5","3364"
"Joe Mauer","Twins","147","641","10","81","85","8","14.0 %","13.7 %",".127",".364",".319",".416",".446",".376","138","-1.4","27.4","-5.5","4.5","1857"
"Matt Holliday","Cardinals","157","688","27","95","102","4","10.9 %","19.2 %",".202",".337",".295",".379",".497",".378","140","-0.7","32.4","-11.0","4.5","1873"
"Dustin Pedroia","Red Sox","141","623","15","81","65","20","7.7 %","9.6 %",".160",".300",".290",".347",".449",".344","114","0.3","10.3","11.7","4.5","8370"
"Josh Hamilton","Rangers","148","636","43","103","128","7","9.4 %","25.5 %",".292",".320",".285",".354",".577",".387","141","4.8","35.5","-14.9","4.4","1875"
"Adam Jones","Orioles","162","697","32","103","82","16","4.9 %","18.1 %",".218",".313",".287",".334",".505",".361","127","0.4","22.4","-4.2","4.3","6368"
"Edwin Encarnacion","Blue Jays","151","644","42","93","110","13","13.0 %","14.6 %",".277",".266",".280",".384",".557",".396","150","2.9","40.7","-21.5","4.3","2151"
"Jose Reyes","Marlins","160","716","11","86","57","40","8.8 %","7.8 %",".146",".298",".287",".347",".433",".335","111","3.6","12.8","4.1","4.1","1736"
"Nick Swisher","Yankees","148","624","24","75","93","2","12.3 %","22.6 %",".201",".324",".272",".364",".473",".363","128","0.5","20.7","-3.4","4.0","4599"
"Alex Rios","White Sox","157","640","25","93","91","23","4.1 %","14.4 %",".212",".323",".304",".334",".516",".361","126","2.3","21.7","-5.6","3.9","2090"
"Matt Wieters","Orioles","144","593","23","67","83","3","10.1 %","18.9 %",".186",".274",".249",".329",".435",".331","107","-5.3","-0.7","18.3","3.9","4298"
"Ryan Zimmerman","Nationals","145","641","25","93","95","5","8.9 %","18.1 %",".196",".313",".282",".346",".478",".352","121","0.2","15.9","1.3","3.9","4220"
"Elvis Andrus","Rangers","158","711","3","85","62","21","8.0 %","13.5 %",".092",".332",".286",".349",".378",".322","97","1.4","-1.2","14.7","3.9","8709"
"David Freese","Cardinals","144","567","20","70","79","3","10.1 %","21.5 %",".174",".352",".293",".372",".467",".365","132","-6.3","15.0","4.1","3.8","9549"
"David Murphy","Rangers","147","521","15","65","61","10","10.4 %","14.2 %",".175",".333",".304",".380",".479",".369","129","0.1","17.6","1.6","3.8","6035"
"Erick Aybar","Angels","141","554","8","67","45","20","4.0 %","11.0 %",".126",".316",".290",".324",".416",".321","107","3.8","8.3","8.6","3.7","4082"
"Albert Pujols","Angels","154","670","30","85","105","8","7.8 %","11.3 %",".231",".282",".285",".343",".516",".360","133","-7.5","18.6","-6.5","3.6","1177"
"Kyle Seager","Mariners","155","651","20","62","86","13","7.1 %","16.9 %",".163",".286",".259",".316",".423",".321","108","-0.5","5.6","7.0","3.6","9785"
"Adam LaRoche","Nationals","154","647","33","76","100","1","10.4 %","21.3 %",".238",".298",".271",".343",".510",".361","127","-1.3","19.2","-5.1","3.6","1904"
"Adrian Gonzalez","- - -","159","684","18","75","108","2","6.1 %","16.1 %",".164",".334",".299",".344",".463",".346","116","-3.4","9.4","2.4","3.6","1908"
"A.J. Pierzynski","White Sox","135","520","27","68","77","0","5.4 %","15.0 %",".223",".280",".278",".326",".501",".351","119","-1.7","9.7","6.7","3.5","746"
"Danny Espinosa","Nationals","160","658","17","82","56","20","7.0 %","28.7 %",".155",".333",".247",".315",".402",".313","94","1.6","-3.2","16.4","3.5","9219"
"Alfonso Soriano","Cubs","151","615","32","68","108","6","7.2 %","24.9 %",".237",".303",".262",".322",".499",".350","117","-3.3","9.4","5.2","3.5","847"
