"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"A.J. Ellis","Dodgers","133","505","13","44","52","0","12.9 %","21.2 %",".144",".329",".270",".373",".414",".341","117","-3.1","7.3","10.3","3.5","5677"
"Mike Moustakas","Royals","149","614","20","69","73","5","6.4 %","20.2 %",".171",".274",".242",".296",".412",".305","90","1.7","-5.5","18.0","3.4","4892"
"Brandon Phillips","Reds","147","623","18","86","77","15","4.5 %","12.7 %",".148",".298",".281",".321",".429",".325","101","1.6","2.6","10.8","3.4","791"
"Denard Span","Twins","128","568","4","71","41","17","8.3 %","10.9 %",".112",".315",".283",".342",".395",".325","104","2.1","4.5","9.4","3.4","8347"
"Josh Willingham","Twins","145","615","35","85","110","3","12.4 %","22.9 %",".264",".287",".260",".366",".524",".380","142","-0.7","29.2","-17.0","3.4","2103"
"Dan Uggla","Braves","154","630","19","86","78","4","14.9 %","26.7 %",".164",".283",".220",".348",".384",".325","104","3.6","6.3","6.5","3.4","3442"
"Jason Kipnis","Indians","152","672","14","86","76","31","10.0 %","16.2 %",".122",".291",".257",".335",".379",".315","100","5.7","6.0","4.0","3.4","9776"
"Desmond Jennings","Rays","132","563","13","85","47","31","8.2 %","21.3 %",".143",".298",".246",".314",".388",".309","98","8.5","7.3","6.0","3.3","1965"
"Carlos Beltran","Cardinals","151","619","32","83","97","13","10.5 %","20.0 %",".227",".291",".269",".346",".495",".355","124","-0.8","17.1","-4.5","3.3","589"
"Melvin Upton Jr.","Rays","146","633","28","79","78","31","7.1 %","26.7 %",".208",".294",".246",".298",".454",".323","108","5.3","11.1","-0.4","3.3","5015"
"Alberto Callaspo","Angels","138","520","10","55","53","4","10.8 %","11.3 %",".109",".268",".252",".331",".361",".308","98","1.7","0.2","12.1","3.1","3336"
"Starlin Castro","Cubs","162","691","14","78","78","25","5.2 %","14.5 %",".147",".315",".283",".323",".430",".323","100","-0.9","-1.3","9.2","3.1","4579"
"Shane Victorino","- - -","154","666","11","72","55","39","8.0 %","12.0 %",".128",".278",".255",".321",".383",".310","94","8.7","3.7","4.4","3.0","1677"
"Paul Goldschmidt","Diamondbacks","145","587","20","82","82","18","10.2 %","22.1 %",".204",".340",".286",".359",".490",".363","124","5.1","22.1","-11.5","3.0","9218"
"Omar Infante","- - -","149","588","12","69","53","17","3.6 %","11.1 %",".144",".291",".274",".300",".419",".310","93","3.5","-1.2","11.2","3.0","1609"
"Ian Kinsler","Rangers","157","731","19","105","72","21","8.2 %","12.3 %",".166",".270",".256",".326",".423",".327","100","3.3","3.5","0.5","3.0","6195"
"Andre Ethier","Dodgers","149","618","20","79","89","2","8.1 %","20.1 %",".176",".333",".284",".351",".460",".350","123","0.4","17.5","-8.6","2.9","6265"
"Carlos Santana","Indians","143","609","18","72","76","3","14.9 %","16.6 %",".168",".278",".252",".365",".420",".344","120","-8.1","6.1","1.8","2.9","2396"
"Yoenis Cespedes","Athletics","129","540","23","70","82","16","8.0 %","18.9 %",".214",".326",".292",".356",".505",".368","136","1.8","24.7","-14.5","2.9","13110"
"Ben Revere","Twins","124","553","0","70","32","40","5.2 %","9.8 %",".049",".325",".294",".333",".342",".300","86","6.1","-2.8","11.6","2.8","4712"
"Mark Teixeira","Yankees","123","524","24","66","84","2","10.3 %","15.8 %",".224",".250",".251",".332",".475",".345","116","-1.4","8.1","1.4","2.8","1281"
"Michael Brantley","Indians","149","609","6","63","60","12","8.7 %","9.2 %",".114",".310",".288",".348",".402",".322","105","1.1","4.9","1.1","2.7","4106"
"Howie Kendrick","Angels","147","594","8","57","67","14","4.9 %","19.4 %",".113",".347",".287",".325",".400",".316","103","-2.1","0.0","6.3","2.7","4229"
"Alejandro De Aza","White Sox","131","585","9","81","50","26","8.0 %","18.6 %",".130",".339",".281",".349",".410",".333","106","1.8","6.2","0.2","2.7","3371"
"Neil Walker","Pirates","129","530","14","62","69","7","8.9 %","19.6 %",".146",".326",".280",".342",".426",".334","112","1.2","8.5","0.5","2.7","7539"
"Curtis Granderson","Yankees","160","684","43","102","106","10","11.0 %","28.5 %",".260",".260",".232",".319",".492",".346","116","5.8","18.5","-15.8","2.7","4747"
"Coco Crisp","Athletics","120","508","11","68","46","39","8.9 %","12.6 %",".158",".280",".259",".325",".418",".324","106","6.5","10.1","-1.6","2.7","1572"
"Derek Jeter","Yankees","159","740","15","99","58","9","6.1 %","12.2 %",".113",".347",".316",".362",".429",".347","117","-3.3","11.4","-10.6","2.6","826"
"Asdrubal Cabrera","Indians","143","616","16","70","68","9","8.4 %","16.1 %",".153",".303",".270",".338",".423",".332","112","-1.6","7.0","-2.3","2.6","4962"
"Hanley Ramirez","- - -","157","667","24","79","92","21","8.1 %","19.8 %",".180",".290",".257",".322",".437",".328","107","0.3","6.1","-1.7","2.6","8001"
"Ichiro Suzuki","- - -","162","663","9","77","55","29","3.3 %","9.2 %",".107",".300",".283",".307",".390",".300","90","4.0","-3.5","6.1","2.6","1101"
"Cody Ross","Red Sox","130","528","22","70","81","2","8.0 %","24.4 %",".214",".317",".267",".326",".481",".345","114","0.8","9.4","-3.1","2.5","1760"
"Jay Bruce","Reds","155","633","34","89","99","9","9.8 %","24.5 %",".263",".283",".252",".327",".514",".352","120","0.7","15.6","-11.6","2.5","9892"
"Allen Craig","Cardinals","119","514","22","76","92","2","7.2 %","17.3 %",".215",".334",".307",".354",".522",".374","137","-4.6","18.2","-10.6","2.5","3433"
"J.J. Hardy","Orioles","158","713","22","85","68","0","5.3 %","14.9 %",".151",".253",".238",".282",".389",".290","78","-2.4","-20.4","19.8","2.4","3797"
"Mark Trumbo","Angels","144","586","32","66","95","4","6.1 %","26.1 %",".222",".316",".268",".317",".491",".346","124","-0.4","15.8","-12.4","2.4","6876"
"Darwin Barney","Cubs","156","588","7","73","44","6","5.6 %","9.9 %",".100",".273",".254",".299",".354",".287","75","4.8","-12.5","17.0","2.4","2430"
"Jhonny Peralta","Tigers","150","585","13","58","63","1","8.4 %","17.9 %",".145",".275",".239",".305",".384",".301","86","-5.2","-14.8","18.0","2.4","1738"
"Michael Saunders","Mariners","139","553","19","71","57","21","7.8 %","23.9 %",".185",".297",".247",".306",".432",".320","108","6.8","11.6","-7.6","2.3","9981"
"Brett Lawrie","Blue Jays","125","536","11","73","48","13","6.2 %","16.0 %",".132",".311",".273",".324",".405",".319","97","-0.1","-1.7","6.3","2.3","5247"
"Nori Aoki","Brewers","151","588","10","81","50","30","7.3 %","9.4 %",".144",".304",".288",".355",".433",".344","113","0.9","9.7","-5.7","2.3","13075"
"Billy Butler","Royals","161","679","29","72","107","2","8.0 %","16.3 %",".197",".341",".313",".373",".510",".377","139","-12.7","18.3","-18.7","2.3","7399"
"Dexter Fowler","Rockies","143","530","13","72","53","12","12.8 %","24.2 %",".174",".390",".300",".389",".474",".375","120","4.6","17.3","-11.9","2.3","4062"
"Shin-Soo Choo","Indians","155","686","16","88","67","21","10.6 %","21.9 %",".159",".353",".283",".373",".441",".359","130","-1.7","22.6","-23.6","2.3","3174"
"Zack Cozart","Reds","138","600","15","72","35","4","5.2 %","18.8 %",".153",".282",".246",".288",".399",".298","83","1.1","-11.0","13.9","2.3","2616"
"Pedro Alvarez","Pirates","149","586","30","64","85","1","9.7 %","30.7 %",".223",".308",".244",".317",".467",".335","112","1.5","10.1","-7.0","2.2","2495"
"Cameron Maybin","Padres","147","561","8","67","45","26","7.8 %","19.6 %",".107",".293",".243",".306",".349",".290","87","6.2","-2.7","6.1","2.2","5223"
"Justin Upton","Diamondbacks","150","628","17","107","67","18","10.0 %","19.3 %",".150",".327",".280",".355",".430",".341","109","3.7","10.8","-9.7","2.2","5222"
"Carlos Gonzalez","Rockies","135","579","22","89","85","20","9.7 %","19.9 %",".207",".352",".303",".371",".510",".374","119","1.8","14.9","-12.6","2.1","7287"
"Chris Davis","Orioles","139","562","33","75","85","2","6.6 %","30.1 %",".231",".335",".270",".326",".501",".352","121","-1.7","11.9","-10.5","2.1","9272"
"Alcides Escobar","Royals","155","648","5","68","52","35","4.2 %","15.4 %",".098",".344",".293",".331",".390",".316","97","7.0","4.8","-6.4","2.1","6310"
"Alex Rodriguez","Yankees","122","529","18","74","57","13","9.6 %","21.9 %",".158",".323",".272",".353",".430",".342","113","0.8","9.1","-7.1","2.1","1274"
"Jamey Carroll","Twins","138","537","1","65","40","9","9.7 %","12.1 %",".049",".306",".268",".343",".317",".299","86","-1.4","-10.0","11.6","2.0","1591"
"Paul Konerko","White Sox","144","598","26","66","75","0","9.4 %","13.9 %",".188",".312",".298",".371",".486",".371","132","-6.9","15.8","-16.6","2.0","242"
"Marco Scutaro","- - -","156","683","7","87","74","9","5.9 %","7.2 %",".098",".319",".306",".348",".405",".329","98","1.3","-0.2","-2.0","2.0","1555"
"Corey Hart","Brewers","149","622","30","91","83","5","7.1 %","24.3 %",".237",".318",".270",".334",".507",".358","122","-0.7","15.9","-16.3","2.0","1945"
"Adam Dunn","White Sox","151","649","41","87","96","2","16.2 %","34.2 %",".263",".246",".204",".333",".468",".346","115","-2.0","9.8","-12.5","2.0","319"
"Alexei Ramirez","White Sox","158","621","9","59","73","20","2.6 %","12.4 %",".099",".290",".265",".287",".364",".282","72","3.2","-17.4","15.4","2.0","5133"
"Freddie Freeman","Braves","147","620","23","91","94","2","10.3 %","20.8 %",".196",".295",".259",".340",".456",".342","115","-1.3","9.9","-13.0","1.7","5361"
"Hunter Pence","- - -","160","688","24","87","104","5","8.1 %","21.1 %",".172",".290",".253",".319",".425",".323","103","1.6","4.2","-10.0","1.6","8252"
"Dustin Ackley","Mariners","153","668","12","84","50","13","8.8 %","18.6 %",".102",".265",".226",".294",".328",".274","75","6.4","-12.7","5.7","1.6","10099"
"Garrett Jones","Pirates","145","515","27","68","86","2","6.4 %","20.0 %",".242",".293",".274",".317",".516",".352","124","-0.6","14.0","-15.1","1.6","2714"
"Mike Aviles","Red Sox","136","546","13","57","60","14","4.2 %","14.1 %",".131",".269",".250",".282",".381",".288","75","3.0","-13.1","9.7","1.5","5986"
"Kendrys Morales","Angels","134","522","22","61","73","0","5.9 %","22.2 %",".194",".315",".273",".320",".467",".339","119","-4.4","7.1","-9.7","1.5","8610"
"Jason Kubel","Diamondbacks","141","571","30","75","90","1","10.0 %","26.4 %",".253",".296",".253",".327",".506",".352","117","-3.3","8.0","-11.1","1.5","2161"
"Jose Altuve","Astros","147","630","7","80","37","33","6.3 %","11.7 %",".109",".321",".290",".340",".399",".325","102","3.6","5.4","-11.3","1.4","5417"
"Daniel Murphy","Mets","156","612","6","62","65","10","5.9 %","13.4 %",".112",".329",".291",".332",".403",".318","102","2.1","3.7","-9.5","1.4","4316"
"Drew Stubbs","Reds","136","544","14","75","40","30","7.7 %","30.5 %",".120",".290",".213",".277",".333",".271","65","8.9","-13.8","9.1","1.3","9328"
"David DeJesus","Cubs","148","582","9","76","50","7","10.5 %","15.3 %",".140",".301",".263",".350",".403",".332","105","-2.6","1.1","-8.0","1.2","1825"
"Yunel Escobar","Blue Jays","145","608","9","58","51","5","5.8 %","11.5 %",".091",".273",".253",".300",".344",".284","73","-0.9","-19.8","10.8","1.2","4191"
"Yonder Alonso","Padres","155","619","9","47","62","3","10.0 %","16.3 %",".120",".318",".273",".348",".393",".323","108","-6.3","-0.1","-8.2","1.1","2530"
"Nelson Cruz","Rangers","159","642","24","86","90","8","7.5 %","21.8 %",".200",".301",".260",".319",".460",".335","106","-3.7","0.8","-11.2","1.1","2434"
"Kevin Youkilis","- - -","122","509","19","72","60","0","10.0 %","21.2 %",".174",".268",".235",".336",".409",".328","103","-3.3","-1.4","-5.1","1.1","1935"
"Chris Johnson","- - -","136","528","15","48","76","5","5.9 %","25.0 %",".170",".354",".281",".326",".451",".334","108","-3.6","1.3","-7.7","1.0","1191"
"Rickie Weeks Jr.","Brewers","157","677","21","85","63","16","10.9 %","25.0 %",".170",".285",".230",".328",".400",".321","97","5.3","3.1","-14.6","1.0","1849"
"Ike Davis","Mets","156","584","32","66","90","0","10.4 %","24.1 %",".235",".246",".227",".308",".462",".331","111","-2.9","4.8","-13.5","1.0","8433"
"Ryan Doumit","Twins","134","528","18","56","75","0","5.5 %","18.6 %",".186",".306",".275",".320",".461",".332","109","-5.8","-0.5","-7.8","1.0","2113"
"Colby Rasmus","Blue Jays","151","625","23","75","75","4","7.5 %","23.8 %",".177",".259",".223",".289",".400",".297","82","-1.0","-13.8","2.1","0.9","9893"
"Gordon Beckham","White Sox","151","582","16","62","60","5","6.9 %","15.3 %",".137",".254",".234",".296",".371",".295","80","-1.3","-14.8","3.7","0.9","9015"
"Carlos Pena","Rays","160","600","19","72","61","2","14.5 %","30.3 %",".157",".264",".197",".330",".354",".309","98","-4.1","-5.2","-7.7","0.7","934"
"Rafael Furcal","Cardinals","121","531","5","69","49","12","8.3 %","10.7 %",".082",".289",".264",".325",".346",".298","86","2.0","-6.8","-4.2","0.6","88"
"Kelly Johnson","Blue Jays","142","581","16","61","55","14","10.7 %","27.4 %",".140",".292",".225",".313",".365",".299","84","0.8","-10.3","-5.2","0.4","2234"
"Dayan Viciedo","White Sox","147","543","25","64","78","0","5.2 %","22.1 %",".188",".286",".255",".300",".444",".321","98","-6.3","-7.4","-10.2","0.0","3917"
"Justin Morneau","Twins","134","570","19","63","77","1","8.6 %","17.9 %",".172",".294",".267",".333",".440",".330","107","-5.7","-1.0","-18.0","0.0","1737"
"Carlos Lee","- - -","147","615","9","53","77","3","9.4 %","8.0 %",".102",".273",".264",".332",".365",".307","91","-3.4","-9.9","-9.7","-0.1","243"
"Mark Reynolds","Orioles","135","538","23","65","69","1","13.6 %","29.6 %",".208",".282",".221",".335",".429",".335","109","-2.7","3.0","-21.5","-0.1","7619"
"Jemile Weeks","Athletics","118","511","2","54","20","16","9.8 %","13.7 %",".083",".256",".221",".305",".304",".276","73","1.9","-14.2","-6.1","-0.3","2498"
"Jesus Montero","Mariners","135","553","15","46","62","0","5.2 %","17.9 %",".126",".292",".260",".298",".386",".295","90","-7.6","-13.8","-9.0","-0.5","5514"
"Justin Smoak","Mariners","132","535","19","49","51","1","9.2 %","20.7 %",".147",".242",".217",".290",".364",".288","85","-5.5","-14.8","-8.6","-0.6","9054"
"Jordan Pacheco","Rockies","132","505","5","51","54","7","4.4 %","12.1 %",".112",".344",".309",".341",".421",".330","90","-1.6","-7.7","-13.9","-0.6","2677"
"Delmon Young","Tigers","151","608","18","54","74","0","3.3 %","18.4 %",".145",".299",".267",".296",".411",".305","89","-5.6","-13.5","-18.0","-1.2","2140"
"Jeff Francoeur","Royals","148","603","16","58","49","4","5.6 %","19.7 %",".143",".272",".235",".287",".378",".285","76","-4.1","-20.8","-12.5","-1.4","4792"
"Brennan Boesch","Tigers","132","503","12","52","54","6","5.2 %","20.7 %",".132",".284",".240",".286",".372",".288","77","0.5","-13.1","-17.5","-1.5","914"
"Eric Hosmer","Royals","152","598","14","65","60","16","9.4 %","15.9 %",".127",".255",".232",".304",".359",".291","80","2.8","-11.0","-25.4","-1.7","3516"
"Michael Young","Rangers","156","651","8","79","67","2","5.1 %","10.8 %",".093",".299",".277",".312",".370",".297","79","-6.7","-22.3","-18.6","-2.0","1286"
