"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Matt Harvey","Mets","9.64","1.56","6.16","0.35","27.7 %","4.5 %","23.2 %",".206","0.93",".280","77.4 %","64","53","70","2.27","2.00","0.27","2.63","2.63","11713"
"Clayton Kershaw","Dodgers","8.85","1.98","4.46","0.42","25.6 %","5.7 %","19.8 %",".192","0.92",".251","80.6 %","51","64","76","1.83","2.39","-0.56","2.88","2.99","2036"
"Anibal Sanchez","Tigers","9.99","2.67","3.74","0.45","27.1 %","7.2 %","19.8 %",".226","1.15",".307","78.2 %","64","60","74","2.57","2.39","0.18","2.91","3.03","3284"
"Adam Wainwright","Cardinals","8.16","1.30","6.26","0.56","22.9 %","3.7 %","19.3 %",".244","1.07",".305","74.5 %","80","68","74","2.94","2.55","0.39","2.80","2.94","2233"
"Felix Hernandez","Mariners","9.51","2.03","4.70","0.66","26.3 %","5.6 %","20.7 %",".239","1.13",".314","75.1 %","79","67","67","3.04","2.61","0.43","2.66","2.77","4772"
"Jose Fernandez","Marlins","9.75","3.02","3.22","0.52","27.5 %","8.5 %","18.9 %",".180","0.98",".240","79.4 %","60","75","82","2.19","2.73","-0.54","3.08","3.15","11530"
"Max Scherzer","Tigers","10.08","2.35","4.29","0.76","28.7 %","6.7 %","22.0 %",".196","0.97",".259","74.4 %","72","69","80","2.90","2.74","0.16","3.16","2.91","3137"
"A.J. Burnett","Pirates","9.85","3.16","3.12","0.52","26.1 %","8.4 %","17.7 %",".228","1.21",".305","71.8 %","92","76","77","3.30","2.80","0.50","2.92","3.03","512"
"Cliff Lee","Phillies","8.97","1.29","6.94","0.89","25.3 %","3.7 %","21.7 %",".230","1.01",".287","76.7 %","77","73","74","2.87","2.82","0.05","2.78","2.83","1636"
"David Price","Rays","7.28","1.30","5.59","0.77","20.4 %","3.7 %","16.8 %",".251","1.10",".298","70.0 %","86","78","82","3.33","3.03","0.30","3.27","3.36","3184"
"Madison Bumgarner","Giants","8.90","2.77","3.21","0.67","24.8 %","7.7 %","17.1 %",".199","1.03",".251","75.7 %","80","86","88","2.77","3.05","-0.28","3.32","3.33","5524"
"Mat Latos","Reds","7.99","2.48","3.22","0.60","21.2 %","6.6 %","14.6 %",".242","1.21",".299","74.6 %","83","80","95","3.16","3.10","0.06","3.56","3.59","3815"
"Chris Sale","White Sox","9.49","1.93","4.91","0.97","26.1 %","5.3 %","20.8 %",".228","1.07",".289","77.0 %","76","78","75","3.07","3.17","-0.11","2.95","2.89","10603"
"Stephen Strasburg","Nationals","9.39","2.75","3.41","0.79","26.1 %","7.7 %","18.5 %",".205","1.05",".263","73.2 %","80","86","84","3.00","3.21","-0.21","3.15","3.09","10131"
"Zack Greinke","Dodgers","7.50","2.33","3.22","0.66","20.6 %","6.4 %","14.2 %",".229","1.11",".276","80.8 %","74","86","91","2.63","3.23","-0.59","3.45","3.60","1943"
"Bartolo Colon","Athletics","5.53","1.37","4.03","0.66","15.2 %","3.8 %","11.4 %",".261","1.17",".294","80.0 %","68","83","100","2.65","3.23","-0.58","3.95","4.10","375"
"Hyun-Jin Ryu","Dodgers","7.22","2.30","3.14","0.70","19.7 %","6.3 %","13.4 %",".248","1.20",".296","78.2 %","84","87","92","3.00","3.24","-0.24","3.46","3.60","14444"
"Cole Hamels","Phillies","8.26","2.05","4.04","0.86","22.3 %","5.5 %","16.8 %",".242","1.16",".295","72.5 %","96","85","91","3.60","3.26","0.34","3.44","3.41","4972"
"Doug Fister","Tigers","6.86","1.90","3.61","0.60","18.1 %","5.0 %","13.1 %",".279","1.31",".332","73.5 %","91","82","86","3.67","3.26","0.41","3.42","3.42","9425"
"Yu Darvish","Rangers","11.89","3.43","3.46","1.12","32.9 %","9.5 %","23.4 %",".193","1.07",".264","83.9 %","67","80","72","2.83","3.28","-0.44","2.84","2.76","13074"
"Justin Verlander","Tigers","8.95","3.09","2.89","0.78","23.5 %","8.1 %","15.4 %",".251","1.31",".316","74.5 %","86","82","92","3.46","3.28","0.19","3.67","3.61","8700"
"Lance Lynn","Cardinals","8.84","3.39","2.61","0.62","23.1 %","8.9 %","14.3 %",".246","1.31",".314","71.8 %","108","88","97","3.97","3.28","0.69","3.66","3.68","2520"
"Homer Bailey","Reds","8.57","2.33","3.69","0.86","23.4 %","6.4 %","17.1 %",".231","1.12",".284","73.7 %","91","85","89","3.49","3.31","0.18","3.34","3.32","8362"
"Ricky Nolasco","- - -","7.45","2.08","3.59","0.77","19.8 %","5.5 %","14.3 %",".251","1.21",".299","70.9 %","102","91","95","3.70","3.34","0.36","3.58","3.65","3830"
