"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Miguel Cabrera","Tigers","652","13.8 %","14.4 %","0.96",".348",".442",".636","1.078",".288","2.8",".356","-5.1","-1.0","-0.1","144","72.1",".455","193","1744"
"Mike Trout","Angels","716","15.4 %","19.0 %","0.81",".323",".432",".557",".988",".234","6.8",".376","3.2","1.5","3.1","140","61.1",".423","176","10155"
"Chris Davis","Orioles","673","10.7 %","29.6 %","0.36",".286",".370",".634","1.004",".348","3.1",".336","1.8","3.2","-0.1","130","56.3",".421","168","9272"
"Paul Goldschmidt","Diamondbacks","710","13.9 %","20.4 %","0.68",".302",".401",".551",".952",".249","4.3",".343","1.6","-2.3","-0.4","128","50.1",".404","156","9218"
"Jayson Werth","Nationals","532","11.3 %","19.0 %","0.59",".318",".398",".532",".931",".214","4.0",".358","-0.4","0.8","1.1","95","37.0",".403","159","1327"
"Troy Tulowitzki","Rockies","512","11.1 %","16.6 %","0.67",".312",".391",".540",".931",".229","1.9",".334","-1.5","0.2","-0.3","91","34.6",".400","141","3531"
"Joey Votto","Reds","726","18.6 %","19.0 %","0.98",".305",".435",".491",".926",".186","3.5",".360","-0.2","0.0","-0.8","129","49.1",".400","155","4314"
"David Ortiz","Red Sox","600","12.7 %","14.7 %","0.86",".309",".395",".564",".959",".255","3.5",".321","-6.5","-2.1","0.3","106","40.4",".400","151","745"
"Michael Cuddyer","Rockies","540","8.5 %","18.5 %","0.46",".331",".389",".530",".919",".198","4.7",".382","0.9","-0.1","0.3","94","34.8",".396","138","1534"
"Andrew McCutchen","Pirates","674","11.6 %","15.0 %","0.77",".317",".404",".508",".911",".190","5.8",".353","4.5","0.8","0.9","116","41.7",".393","156","9847"
"Shin-Soo Choo","Reds","712","15.7 %","18.7 %","0.84",".285",".423",".462",".885",".178","4.6",".338","2.1","1.6","-1.1","122","44.0",".393","150","3174"
"Edwin Encarnacion","Blue Jays","621","13.2 %","10.0 %","1.32",".272",".370",".534",".904",".262","3.8",".247","1.4","-1.9","0.5","104","35.9",".388","146","2151"
"Freddie Freeman","Braves","629","10.5 %","19.2 %","0.55",".319",".396",".501",".897",".181","2.8",".371","1.0","0.9","-0.5","105","36.2",".387","150","5361"
"Josh Donaldson","Athletics","668","11.4 %","16.5 %","0.69",".301",".384",".499",".883",".199","3.7",".333","1.1","-0.3","-0.4","110","36.7",".384","147","5038"
"Robinson Cano","Yankees","681","9.5 %","12.5 %","0.76",".314",".383",".516",".899",".202","2.9",".327","-3.7","-1.0","0.4","112","37.4",".384","143","3269"
"Joe Mauer","Twins","508","12.0 %","17.5 %","0.69",".324",".404",".476",".880",".153","1.3",".383","0.0","1.4","-0.9","83","27.5",".383","143","1857"
"Matt Holliday","Cardinals","602","11.5 %","14.3 %","0.80",".300",".389",".490",".879",".190","4.3",".322","2.8","-4.1","0.2","98","32.5",".383","147","1873"
"Matt Carpenter","Cardinals","717","10.0 %","13.7 %","0.73",".318",".392",".481",".873",".163","4.8",".359","4.2","1.3","-1.3","116","37.8",".381","146","8090"
"Adrian Beltre","Rangers","690","7.2 %","11.3 %","0.64",".315",".371",".509",".880",".193","1.7",".322","-1.3","-1.5","-0.4","111","35.0",".379","135","639"
"Jose Bautista","Blue Jays","528","13.1 %","15.9 %","0.82",".259",".358",".498",".856",".239","3.6",".259","2.7","-1.1","0.2","82","23.9",".372","135","1887"
"Brandon Moss","Athletics","505","9.9 %","27.7 %","0.36",".256",".337",".522",".859",".267","4.5",".301","-2.8","2.3","-0.4","77","21.9",".369","137","4467"
"Adam Lind","Blue Jays","521","9.8 %","19.8 %","0.50",".288",".357",".497",".854",".209","2.4",".324","-3.0","-2.8","-0.3","79","22.2",".368","132","8027"
"Giancarlo Stanton","Marlins","504","14.7 %","27.8 %","0.53",".249",".365",".480",".845",".231","1.8",".313","0.7","0.9","-0.2","77","21.4",".368","137","4949"
"Mike Napoli","Red Sox","578","12.6 %","32.4 %","0.39",".259",".360",".482",".842",".223","3.0",".367","-0.3","-0.2","-0.7","87","24.1",".367","128","3057"
"Daniel Nava","Red Sox","536","9.5 %","17.4 %","0.55",".303",".385",".445",".831",".142","2.1",".352","0.7","0.8","-1.3","80","21.7",".366","127","5450"
"Brandon Belt","Giants","571","9.1 %","21.9 %","0.42",".289",".360",".481",".841",".193","4.6",".351","-0.1","2.9","-0.3","85","22.8",".365","140","10264"
"Carlos Santana","Indians","642","14.5 %","17.1 %","0.85",".268",".377",".455",".832",".187","2.7",".301","-2.9","1.5","-0.4","96","25.3",".364","132","2396"
"Marlon Byrd","- - -","579","5.4 %","24.9 %","0.22",".291",".336",".511",".847",".220","3.9",".353","0.9","-0.2","-1.6","86","22.7",".364","137","950"
"Allen Craig","Cardinals","563","7.1 %","17.8 %","0.40",".315",".373",".457",".830",".142","3.3",".368","-5.6","-0.3","-0.2","84","21.9",".363","134","3433"
"Carlos Gomez","Brewers","590","6.3 %","24.7 %","0.25",".284",".338",".506",".843",".222","8.1",".344","0.3","1.1","4.8","87","22.7",".363","128","4881"
"Yadier Molina","Cardinals","541","5.5 %","10.2 %","0.55",".319",".359",".477",".836",".158","2.5",".338","-1.4","-0.3","-0.6","80","20.5",".362","133","7007"
"Evan Longoria","Rays","693","10.1 %","23.4 %","0.43",".269",".343",".498",".842",".230","2.9",".312","-2.0","-0.4","-0.3","101","25.2",".360","132","9368"
"Carlos Beltran","Cardinals","600","6.3 %","15.0 %","0.42",".296",".339",".491",".830",".195","3.3",".314","0.4","0.8","-0.5","87","21.2",".359","131","589"
"Prince Fielder","Tigers","712","10.5 %","16.4 %","0.64",".279",".362",".457",".819",".178","1.5",".307","-3.5","-0.7","-0.9","103","24.9",".358","126","4613"
"Justin Upton","Braves","643","11.7 %","25.0 %","0.47",".263",".354",".464",".818",".201","4.5",".321","2.9","0.6","0.6","92","21.7",".357","129","5222"
"Buster Posey","Giants","595","10.1 %","11.8 %","0.86",".294",".371",".450",".821",".156","2.1",".312","-3.4","-0.4","-0.6","85","20.1",".357","135","9166"
"Jason Kipnis","Indians","658","11.6 %","21.7 %","0.53",".284",".366",".452",".818",".168","5.9",".345","0.6","1.2","2.7","94","22.2",".357","127","9776"
"Hunter Pence","Giants","687","7.6 %","16.7 %","0.45",".283",".339",".483",".822",".200","5.8",".308","3.9","-1.0","2.7","98","23.0",".356","135","8252"
"Chase Utley","Phillies","531","8.5 %","14.9 %","0.57",".284",".348",".475",".823",".191","5.6",".305","1.3","-0.1","0.0","76","17.5",".356","126","1679"
"Chris Johnson","Braves","547","5.3 %","21.2 %","0.25",".321",".358",".457",".816",".136","1.0",".394","-1.2","-2.4","-0.5","77","17.4",".354","127","1191"
"Ryan Zimmerman","Nationals","633","9.5 %","21.0 %","0.45",".275",".344",".465",".809",".190","4.1",".316","0.5","-0.4","0.6","89","19.6",".353","124","4220"
"Shane Victorino","Red Sox","532","4.7 %","14.1 %","0.33",".294",".351",".451",".801",".157","6.4",".321","2.0","2.0","2.6","75","16.3",".353","119","1677"
"Domonic Brown","Phillies","540","7.2 %","18.0 %","0.40",".272",".324",".494",".818",".222","4.7",".287","1.4","1.7","0.0","75","15.7",".351","123","3154"
"Adam Jones","Orioles","689","3.6 %","19.7 %","0.18",".285",".318",".493",".811",".208","4.7",".314","4.9","0.4","1.1","95","19.4",".350","119","6368"
"Eric Hosmer","Royals","680","7.5 %","14.7 %","0.51",".302",".353",".448",".801",".146","4.5",".335","0.4","0.5","0.0","94","19.0",".350","120","3516"
"Dustin Pedroia","Red Sox","724","10.1 %","10.4 %","0.97",".301",".372",".415",".787",".114","4.4",".326","-0.5","-1.3","0.7","98","18.6",".347","114","8370"
"Torii Hunter","Tigers","652","4.0 %","17.3 %","0.23",".304",".334",".465",".800",".162","4.4",".344","1.1","1.0","-0.7","88","16.6",".346","118","731"
"Adrian Gonzalez","Dodgers","641","7.3 %","15.3 %","0.48",".293",".342",".461",".803",".168","1.6",".315","-4.7","1.4","-0.4","86","16.2",".346","124","1908"
"Billy Butler","Royals","668","11.8 %","15.3 %","0.77",".289",".374",".412",".787",".124","0.8",".326","-4.4","-4.0","-0.7","90","16.4",".345","117","7399"
