"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Clayton Kershaw","Dodgers","4.90","-12.20","17.10","47.71","5.35","0.99","","0.88","1.11","30","5.45","-0.52","0","0","2036"
"Max Scherzer","Tigers","3.80","-11.49","15.29","30.48","3.24","0.95","","0.87","0.96","32","3.96","0.03","0","0","3137"
"Jose Fernandez","Marlins","3.64","-8.89","12.53","33.19","3.61","0.99","","0.87","1.12","28","3.76","-0.08","0","0","11530"
"Hisashi Iwakuma","Mariners","3.54","-13.20","16.73","33.65","3.60","1.00","","0.86","1.41","33","3.47","0.08","0","0","13048"
"James Shields","Royals","3.38","-14.76","18.14","29.29","3.02","1.03","","0.87","1.10","32","2.32","0.95","0","0","7059"
"Zack Greinke","Dodgers","2.96","-10.93","13.89","21.06","2.49","1.06","","0.87","1.34","27","2.14","0.67","0","0","1943"
"Yu Darvish","Rangers","2.82","-13.22","16.04","39.46","3.93","0.98","","0.87","1.26","32","3.28","-0.40","0","0","13074"
"Cliff Lee","Phillies","2.79","-13.06","15.85","25.08","2.74","0.95","","0.88","1.29","29","2.78","0.15","0","0","1636"
"Hiroki Kuroda","Yankees","2.65","-12.58","15.23","18.55","1.93","1.00","","0.88","1.13","31","1.20","1.46","0","0","3283"
"Matt Harvey","Mets","2.61","-10.03","12.64","27.40","3.16","1.02","","0.88","1.34","25","3.69","-1.11","0","0","11713"
"Chris Sale","White Sox","2.59","-13.42","16.01","24.33","2.53","0.97","","0.88","0.87","26","1.97","0.70","0","0","10603"
"Felix Hernandez","Mariners","2.58","-12.68","15.26","20.78","2.24","0.98","","0.87","1.06","31","1.97","0.66","0","0","4772"
"Bartolo Colon","Athletics","2.37","-11.12","13.49","27.82","2.96","0.95","","0.87","0.76","27","2.29","0.19","0","0","375"
"Madison Bumgarner","Giants","2.14","-13.04","15.18","22.20","2.66","1.07","","0.87","1.14","31","2.47","-0.46","0","0","5524"
"Patrick Corbin","Diamondbacks","2.14","-13.39","15.53","17.18","1.74","0.99","","0.88","1.42","29","1.68","0.48","0","0","9323"
"Adam Wainwright","Cardinals","2.04","-14.12","16.16","24.60","2.79","0.92","","0.88","1.21","29","2.19","0.03","0","0","2233"
"Jordan Zimmermann","Nationals","1.96","-12.46","14.42","17.29","1.92","0.92","","0.88","0.93","28","1.70","0.44","0","0","4505"
"Jhoulys Chacin","Rockies","1.92","-13.35","15.26","24.25","2.46","1.00","","0.87","0.94","31","2.69","-0.78","0","0","2608"
"Travis Wood","Cubs","1.86","-13.43","15.29","18.30","2.06","1.04","","0.87","1.26","32","2.05","-0.25","0","0","9884"
"Chris Tillman","Orioles","1.76","-13.91","15.67","13.12","1.40","1.00","","0.87","1.38","32","1.12","0.64","0","0","5279"
"Jorge de la Rosa","Rockies","1.74","-11.67","13.41","16.74","1.23","0.99","","0.87","1.07","30","0.88","0.87","0","0","2047"
"David Price","Rays","1.62","-12.80","14.42","14.99","1.60","1.03","","0.88","1.47","23","2.48","-0.90","0","0","3184"
"Mat Latos","Reds","1.52","-14.62","16.14","14.25","1.50","1.03","","0.87","1.51","31","0.89","0.58","0","0","3815"
"Justin Masterson","Indians","1.52","-13.24","14.76","16.90","1.84","1.03","0.34","0.82","1.01","27","2.16","-0.69","0","0","2038"
"Hyun-Jin Ryu","Dodgers","1.52","-11.75","13.27","19.26","2.25","0.97","","0.87","1.02","28","1.28","0.28","0","0","14444"
"Derek Holland","Rangers","1.41","-15.41","16.83","17.77","1.71","1.02","","0.88","1.17","31","1.18","0.21","0","0","4141"
"Ervin Santana","Royals","1.39","-13.76","15.15","15.53","1.63","0.97","","0.87","1.20","32","1.58","-0.15","0","0","3200"
"John Lackey","Red Sox","1.31","-12.92","14.23","17.31","1.70","0.97","","0.86","1.05","27","0.52","0.82","0","0","1507"
"Kyle Lohse","Brewers","1.27","-12.54","13.81","15.33","1.64","0.95","","0.86","1.03","30","1.23","0.11","0","0","739"
"Mike Leake","Reds","1.27","-12.62","13.89","10.22","1.21","0.95","","0.87","1.26","31","0.52","0.82","0","0","10130"
"Stephen Strasburg","Nationals","1.26","-11.84","13.10","10.72","1.18","1.00","","0.88","1.09","29","2.21","-0.96","0","0","10131"
"Gio Gonzalez","Nationals","1.24","-12.79","14.03","10.08","1.24","0.95","","0.87","1.09","31","0.29","1.02","0","0","7448"
"Shelby Miller","Cardinals","1.09","-10.50","11.59","8.82","0.99","0.92","","0.87","1.18","30","0.16","1.03","0","0","10197"
"Julio Teheran","Braves","1.07","-12.46","13.53","11.12","1.16","1.00","","0.88","1.04","30","0.44","0.63","0","0","6797"
"Ubaldo Jimenez","Indians","1.05","-12.43","13.48","12.17","1.27","1.00","","0.88","1.22","32","1.13","-0.08","0","0","3374"
"Jarrod Parker","Athletics","1.04","-13.81","14.86","2.65","0.21","1.01","","0.86","1.61","31","0.05","0.98","0","0","4913"
"Andrew Cashner","Padres","1.02","-10.93","11.95","9.97","1.19","0.95","0.03","0.83","0.99","28","0.82","0.25","1","1","8782"
"Jeff Locke","Pirates","1.00","-12.45","13.45","6.14","0.52","1.11","","0.88","1.26","30","0.01","0.89","0","0","2929"
"Anibal Sanchez","Tigers","1.00","-11.09","12.09","29.04","3.04","0.91","","0.87","0.83","28","2.44","-1.34","0","0","3284"
"Kris Medlen","Braves","0.91","-14.09","15.00","7.94","0.86","1.01","","0.92","1.23","31","-0.24","1.14","0","1","9417"
"Doug Fister","Tigers","0.72","-15.71","16.43","8.20","0.89","1.05","","0.90","1.22","32","1.24","-0.56","1","0","9425"
"Jose Quintana","White Sox","0.69","-14.02","14.71","10.38","1.07","0.98","","0.87","1.17","33","1.09","-0.38","0","0","11423"
"Homer Bailey","Reds","0.46","-13.39","13.85","9.08","0.98","0.93","","0.86","0.98","30","1.43","-0.93","0","0","8362"
"Andy Pettitte","Yankees","0.42","-12.95","13.37","4.94","0.54","0.98","","0.87","1.13","29","0.54","-0.12","0","0","840"
"Jon Lester","Red Sox","0.41","-14.77","15.18","12.43","1.27","0.92","","0.86","1.04","32","0.57","-0.13","0","0","4930"
"Justin Verlander","Tigers","0.37","-15.67","16.04","12.21","1.36","0.97","","0.88","0.72","34","0.74","-0.35","0","0","8700"
"A.J. Burnett","Pirates","0.36","-13.63","13.99","4.87","0.63","1.03","","0.87","0.94","29","1.17","-0.82","0","0","512"
"Scott Feldman","- - -","0.23","-12.37","12.60","5.82","0.63","0.97","","0.88","1.04","28","1.49","-1.26","0","0","6283"
"Miguel Gonzalez","Orioles","0.21","-12.28","12.49","1.56","0.12","0.97","0.87","0.84","1.39","29","0.12","0.10","0","0","7024"
"Cole Hamels","Phillies","0.20","-15.88","16.08","8.46","0.87","1.00","","0.87","1.11","32","0.62","-0.42","0","0","4972"
"Bronson Arroyo","Reds","0.06","-12.97","13.03","4.33","0.59","0.88","","0.86","0.99","30","0.06","0.01","0","0","978"
"Rick Porcello","Tigers","0.02","-12.61","12.63","1.19","0.05","0.96","3.28","0.95","1.21","30","0.99","-0.97","1","1","2717"
"Wade Miley","Diamondbacks","-0.06","-15.07","15.01","1.95","0.21","1.00","","0.88","1.34","33","0.03","-0.09","0","0","8779"
"C.J. Wilson","Angels","-0.18","-16.65","16.47","4.14","0.53","1.06","","0.87","1.19","33","0.11","-0.28","0","0","3580"
"Jeremy Guthrie","Royals","-0.29","-15.78","15.49","6.07","0.61","0.95","","0.87","1.16","30","-1.45","1.15","0","0","2072"
"Lance Lynn","Cardinals","-0.35","-13.84","13.49","-0.88","-0.11","0.95","","0.86","0.91","33","0.28","-0.65","0","0","2520"
"Mike Minor","Braves","-0.37","-13.96","13.59","11.81","1.31","0.92","","0.87","0.79","31","0.98","-1.38","0","0","10021"
"A.J. Griffin","Athletics","-0.37","-14.30","13.93","3.71","0.43","0.98","","0.88","0.86","31","-0.13","-0.25","0","0","11132"
"Dillon Gee","Mets","-0.42","-15.30","14.88","-2.15","-0.17","1.02","","0.87","1.32","30","-1.42","1.02","0","0","7396"
"Mark Buehrle","Blue Jays","-0.44","-15.19","14.75","1.21","0.02","0.97","","0.87","1.13","32","0.20","-0.65","0","0","225"
"Matt Cain","Giants","-0.44","-13.26","12.82","-4.30","-0.61","0.97","","0.87","0.99","30","0.51","-0.96","0","0","4732"
"Felix Doubront","Red Sox","-0.53","-11.45","10.92","-5.74","-0.51","0.92","0.92","0.86","1.02","29","-0.14","-0.44","0","2","1478"
"Dan Haren","Nationals","-0.61","-11.51","10.90","-13.61","-1.49","0.87","","0.95","0.88","30","-1.37","0.66","1","0","1757"
"Ryan Dempster","Red Sox","-0.63","-14.08","13.45","-7.74","-0.83","1.02","1.42","0.86","1.15","31","-0.97","0.35","0","0","517"
"Jeff Samardzija","Cubs","-0.66","-16.29","15.63","-6.75","-0.77","1.01","","0.87","1.15","31","-0.73","0.07","0","0","3254"
"Yovani Gallardo","Brewers","-0.67","-13.69","13.02","-5.86","-0.61","1.00","","0.87","1.08","31","-0.29","-0.38","0","0","8173"
"Eric Stults","Padres","-0.79","-15.69","14.90","-8.27","-0.86","1.01","","0.88","1.11","31","-0.98","0.19","0","0","8011"
"Kevin Correia","Twins","-0.79","-14.82","14.03","2.93","0.22","1.00","","0.87","0.92","31","-0.86","0.06","0","0","1767"
"Bud Norris","- - -","-0.87","-15.12","14.24","-4.98","-0.50","1.06","","0.96","1.29","30","-1.07","0.25","0","2","9492"
"Wily Peralta","Brewers","-1.07","-14.15","13.08","-19.19","-1.94","0.98","","0.87","1.22","30","-1.15","0.06","0","0","7738"
"Ricky Nolasco","- - -","-1.17","-14.52","13.35","-3.94","-0.54","0.96","","0.86","1.05","34","0.14","-1.35","0","0","3830"
"Kyle Kendrick","Phillies","-1.34","-14.06","12.73","-22.01","-2.35","0.96","","0.87","0.81","28","-1.20","-0.19","0","0","6230"
"Jerome Williams","Angels","-1.36","-14.00","12.65","-15.76","-1.81","0.98","0.96","0.80","1.10","29","-2.03","0.64","2","1","1137"
"Jeremy Hellickson","Rays","-1.72","-13.30","11.58","-22.47","-2.42","0.91","1.23","0.89","0.95","31","-0.97","-0.92","1","0","4371"
"R.A. Dickey","Blue Jays","-1.87","-17.82","15.95","-7.46","-0.71","0.98","","0.88","0.94","31","-0.66","-1.24","0","0","1245"
"Tim Lincecum","Giants","-1.97","-14.47","12.50","-13.05","-1.47","0.95","","0.88","1.04","31","-1.91","-0.18","0","0","5705"
"CC Sabathia","Yankees","-2.59","-16.84","14.25","-19.71","-2.10","0.92","","0.88","0.91","30","-1.75","-1.05","0","0","404"
"Joe Saunders","Mariners","-2.68","-16.33","13.64","-31.57","-3.37","0.99","","0.87","0.94","30","-4.03","1.32","0","0","4366"
"Edinson Volquez","- - -","-2.85","-15.03","12.17","-38.29","-4.19","0.97","","0.86","0.80","33","-3.44","0.49","0","0","3990"
"Ian Kennedy","- - -","-3.02","-15.67","12.66","-26.40","-2.88","0.97","","0.87","1.04","31","-2.62","-0.49","0","0","6986"
"Edwin Jackson","Cubs","-4.06","-15.35","11.28","-32.36","-3.61","0.93","","0.86","0.79","31","-2.97","-1.41","0","0","1841"
