"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Martin Prado","Diamondbacks","155","609","664","172","120","36","2","14","70","82","47","2","53","2","6","0","29","3","5",".282","3312"
"Starling Marte","Pirates","135","510","566","143","95","26","10","12","83","35","25","2","138","24","1","6","6","41","15",".280","9241"
"Jonathan Lucroy","Brewers","147","521","580","146","97","25","6","18","59","82","46","2","69","5","8","0","16","9","1",".280","7870"
"Ian Desmond","Nationals","158","600","655","168","107","38","3","20","77","80","43","3","145","5","5","2","16","21","6",".280","6885"
"Michael Young","- - -","147","519","565","145","106","26","5","8","52","46","43","4","83","1","2","0","22","1","0",".279","1286"
"Chris Denorfia","Padres","144","473","520","132","99","21","2","10","67","47","42","2","84","1","4","0","14","11","0",".279","4400"
"Prince Fielder","Tigers","162","624","712","174","113","36","0","25","82","106","75","5","117","9","4","0","20","1","1",".279","4613"
"Denard Span","Nationals","153","610","662","170","127","28","11","4","75","47","42","0","77","2","1","7","11","20","6",".279","8347"
"Pablo Sandoval","Giants","141","525","584","146","103","27","2","14","52","79","47","5","79","6","6","0","19","0","0",".278","5409"
"Alex Rios","- - -","156","616","662","171","116","33","4","18","83","81","41","2","108","2","2","0","17","42","7",".278","2090"
"Kendrys Morales","Mariners","156","602","657","167","110","34","0","23","64","80","49","6","114","5","1","0","21","0","0",".277","8610"
"Ian Kinsler","Rangers","136","545","614","151","105","31","2","13","85","72","51","0","59","8","7","3","5","15","11",".277","6195"
"Jon Jay","Cardinals","157","548","628","151","115","27","2","7","75","67","52","7","103","14","5","9","13","10","5",".276","5227"
"Ryan Zimmerman","Nationals","147","568","633","156","102","26","2","26","84","79","60","2","133","2","3","0","16","6","0",".275","4220"
"Ben Zobrist","Rays","157","612","698","168","117","36","3","12","77","71","72","4","91","7","6","1","18","11","3",".275","7435"
"Brett Gardner","Yankees","145","539","609","147","96","33","10","8","81","52","52","1","127","8","3","7","8","24","8",".273","9927"
"A.J. Pierzynski","Rangers","134","503","529","137","95","24","1","17","48","70","11","2","76","9","6","0","14","1","1",".272","746"
"Domonic Brown","Phillies","139","496","540","135","83","21","4","27","65","83","39","5","97","1","4","0","5","8","3",".272","3154"
"Andre Ethier","Dodgers","142","482","553","131","84","33","2","12","54","52","61","11","95","7","3","0","9","4","3",".272","6265"
"Austin Jackson","Tigers","129","552","614","150","101","30","7","12","99","49","52","0","129","4","3","3","12","8","4",".272","9848"
"Edwin Encarnacion","Blue Jays","142","530","621","144","78","29","1","36","90","104","82","7","62","4","5","0","20","7","1",".272","2151"
"Nick Markakis","Orioles","160","634","700","172","138","24","0","10","89","59","55","3","76","3","8","0","17","1","2",".271","5930"
"Elvis Andrus","Rangers","156","620","698","168","143","17","4","4","91","67","52","1","97","4","6","16","19","42","8",".271","8709"
"Erick Aybar","Angels","138","550","589","149","105","33","5","6","68","54","23","1","59","3","5","8","14","12","7",".271","4082"
"Evan Longoria","Rays","160","614","693","165","91","39","3","32","91","88","70","10","162","3","6","0","16","1","0",".269","9368"
"Will Venable","Padres","151","481","515","129","77","22","8","22","64","53","29","4","118","2","1","2","6","22","6",".268","211"
"Carlos Santana","Indians","154","541","642","145","85","39","1","20","75","74","93","6","110","4","4","0","7","3","1",".268","2396"
"Gerardo Parra","Diamondbacks","156","601","663","161","104","43","4","10","79","48","48","3","100","3","4","7","12","10","10",".268","8553"
"Nolan Arenado","Rockies","133","486","514","130","87","29","4","10","49","52","23","1","72","1","2","2","16","2","0",".267","9777"
"Gregor Blanco","Giants","141","452","511","120","94","17","6","3","50","41","52","4","95","1","3","3","10","14","9",".265","3123"
"Alex Gordon","Royals","156","633","700","168","115","27","6","20","90","81","52","7","141","9","6","0","4","11","3",".265","5209"
"Alejandro De Aza","White Sox","153","607","675","160","112","27","4","17","84","62","50","1","147","6","6","6","8","20","8",".264","3371"
"Justin Upton","Braves","149","558","643","147","91","27","2","27","94","70","75","4","161","5","4","1","12","8","1",".263","5222"
"J.J. Hardy","Orioles","159","601","644","158","106","27","0","25","66","76","38","3","73","0","2","3","14","2","1",".263","3797"
"Michael Bourn","Indians","130","525","575","138","105","21","6","6","75","50","40","0","132","2","3","5","2","23","12",".263","6387"
"Jay Bruce","Reds","160","626","697","164","90","43","1","30","89","109","63","13","185","2","5","0","9","7","3",".262","9892"
"David Freese","Cardinals","138","462","521","121","85","26","1","9","53","60","47","1","106","9","3","0","26","1","2",".262","9549"
"Ichiro Suzuki","Yankees","150","520","555","136","111","15","3","7","57","35","26","4","63","1","2","6","6","20","4",".262","1101"
"Coco Crisp","Athletics","131","513","584","134","87","22","3","22","93","66","61","3","65","0","8","2","7","21","5",".261","1572"
"Brandon Phillips","Reds","151","606","666","158","114","24","2","18","80","103","39","6","98","8","9","4","19","5","3",".261","791"
"Leonys Martin","Rangers","147","457","508","119","84","21","6","8","66","49","28","0","104","8","3","12","6","36","9",".260","11846"
"Kyle Seager","Mariners","160","615","695","160","104","32","2","22","79","69","68","1","122","7","5","0","8","9","3",".260","9785"
"Mike Napoli","Red Sox","139","498","578","129","66","38","2","23","79","92","73","3","187","6","1","0","15","1","1",".259","3057"
"Jose Bautista","Blue Jays","118","452","528","117","65","24","0","28","82","73","69","2","84","3","4","0","13","7","2",".259","1887"
"Justin Morneau","- - -","152","572","635","148","95","36","0","17","62","77","50","4","110","7","6","0","13","0","0",".259","1737"
"Alberto Callaspo","- - -","136","453","516","117","87","20","0","10","52","58","53","2","47","1","6","3","12","0","2",".258","3336"
"Nate McLouth","Orioles","146","531","593","137","90","31","4","12","76","36","53","1","86","4","1","4","7","30","7",".258","3190"
"Yunel Escobar","Rays","153","508","578","130","93","27","1","9","61","56","57","2","73","3","4","6","19","4","4",".256","4191"
"Brandon Moss","Athletics","145","446","505","114","58","23","3","30","73","87","50","3","140","6","3","0","4","4","2",".256","4467"
"Alfonso Soriano","- - -","151","581","626","148","81","32","1","34","84","101","36","3","156","5","4","0","11","18","9",".255","847"
"Zack Cozart","Reds","151","567","618","144","99","30","3","12","74","63","26","2","102","2","10","13","18","0","0",".254","2616"
"Trevor Plouffe","Twins","129","477","522","121","84","22","1","14","44","52","34","1","112","6","4","1","11","2","1",".254","7462"
"Desmond Jennings","Rays","139","527","602","133","82","31","6","14","82","54","64","0","115","3","5","3","6","20","8",".252","1965"
"Jimmy Rollins","Phillies","160","600","666","151","107","36","2","6","65","39","59","6","93","1","3","3","12","22","6",".252","971"
"Nate Schierholtz","Cubs","137","462","503","116","60","32","3","21","56","68","29","3","94","6","5","1","6","6","3",".251","6201"
"Neil Walker","Pirates","133","478","551","120","76","24","4","16","62","53","50","4","85","15","3","5","14","1","2",".251","7539"
"Josh Hamilton","Angels","151","576","636","144","86","32","5","21","73","79","47","4","158","4","9","0","16","4","0",".250","1875"
"Chase Headley","Padres","141","520","600","130","80","35","2","13","59","50","67","7","142","11","2","0","9","8","4",".250","4720"
"Giancarlo Stanton","Marlins","116","425","504","106","56","26","0","24","62","62","74","5","140","4","1","0","10","1","0",".249","4949"
"Jedd Gyorko","Padres","125","486","525","121","72","26","0","23","62","63","33","1","123","4","2","0","14","1","1",".249","10816"
"Eric Young","- - -","148","539","598","134","98","27","7","2","70","32","46","1","100","2","1","10","6","46","11",".249","7158"
"Brandon Crawford","Giants","149","499","550","124","88","24","3","9","52","43","42","6","96","5","3","1","10","1","2",".248","5343"
"Andrelton Simmons","Braves","157","606","658","150","100","27","6","17","76","59","40","1","55","3","4","5","16","6","5",".248","10847"
"Ryan Doumit","Twins","135","485","538","120","77","28","1","14","49","55","48","4","99","1","4","0","13","1","0",".247","2113"
"Nick Swisher","Indians","145","549","634","135","84","27","2","22","74","63","77","3","138","4","4","0","11","1","0",".246","4599"
"Starlin Castro","Cubs","161","666","705","163","117","34","2","10","59","44","30","0","129","7","1","1","21","9","6",".245","4579"
"Paul Konerko","White Sox","126","467","520","114","86","16","0","12","41","54","45","2","74","4","4","0","12","0","0",".244","242"
"Brian Dozier","Twins","147","558","623","136","81","33","4","18","72","66","51","0","120","6","4","3","14","14","7",".244","9810"
"Asdrubal Cabrera","Indians","136","508","562","123","72","35","2","14","66","64","35","1","114","8","5","6","10","9","3",".242","4962"
"Matt Dominguez","Astros","152","543","589","131","85","25","0","21","56","77","30","1","96","7","7","2","17","0","1",".241","4903"
"Yoenis Cespedes","Athletics","135","529","574","127","76","21","4","26","74","80","37","5","137","5","3","0","8","7","7",".240","13110"
"Justin Smoak","Mariners","131","454","521","108","69","19","0","20","53","50","64","1","119","2","1","0","11","0","0",".238","9054"
"Adam LaRoche","Nationals","152","511","590","121","79","19","3","20","70","62","72","10","131","3","4","0","13","4","1",".237","1904"
"Matt Wieters","Orioles","148","523","579","123","72","29","0","22","59","79","43","5","104","0","12","1","7","2","0",".235","4298"
"Alcides Escobar","Royals","158","607","642","142","114","20","4","4","57","52","19","1","84","3","4","9","12","22","0",".234","6310"
"Mark Trumbo","Angels","159","620","678","145","79","30","2","34","85","100","54","6","184","0","4","0","18","5","2",".234","6876"
"Todd Frazier","Reds","150","531","600","124","73","29","3","19","63","73","50","1","125","14","3","2","14","6","5",".234","785"
"Mike Moustakas","Royals","136","472","514","110","72","26","0","12","42","42","32","1","83","5","4","1","13","2","4",".233","4892"
"Pedro Alvarez","Pirates","152","558","614","130","70","22","2","36","70","100","48","7","186","4","4","0","16","2","0",".233","2495"
"Anthony Rizzo","Cubs","160","606","690","141","76","40","2","23","71","80","76","7","127","6","2","0","12","6","5",".233","3473"
"Mitch Moreland","Rangers","147","462","518","107","59","24","1","23","60","60","45","1","117","3","8","0","11","0","0",".232","3086"
"Adeiny Hechavarria","Marlins","148","543","578","123","98","14","8","3","30","42","30","1","96","0","1","4","19","11","10",".227","10459"
"Russell Martin","Pirates","127","438","506","99","63","21","0","15","51","55","58","2","108","8","1","1","13","9","5",".226","4616"
"Chris Carter","Astros","148","506","585","113","58","24","2","29","64","82","70","1","212","4","5","0","8","2","0",".223","9911"
"Mark Reynolds","- - -","135","445","504","98","63","14","0","21","55","67","51","1","154","5","3","0","9","3","1",".220","7619"
"Adam Dunn","White Sox","149","525","607","115","66","15","0","34","60","86","76","7","189","3","3","0","2","1","1",".219","319"
"Darwin Barney","Cubs","141","501","555","104","71","25","1","7","49","41","36","5","64","6","6","4","22","4","2",".208","2430"
"Dan Uggla","Braves","136","448","537","80","45","10","3","22","60","55","77","2","171","9","3","0","7","2","0",".179","3442"
