"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Chris Davis","Orioles","7.87","-10.42","18.29","69.67","7.34","1.02","","0","6.01","1.73","9272"
"Paul Goldschmidt","Diamondbacks","7.64","-11.51","19.16","64.54","7.06","1.11","1.23","2","5.04","1.81","9218"
"Miguel Cabrera","Tigers","6.82","-9.37","16.20","77.09","8.14","0.99","2.72","2","6.96","-0.07","1744"
"Freddie Freeman","Braves","6.09","-9.02","15.11","64.45","7.22","1.01","","0","4.54","1.49","5361"
"Shin-Soo Choo","Reds","5.17","-10.08","15.25","48.53","5.17","0.99","1.29","1","4.79","0.43","3174"
"Mike Trout","Angels","5.01","-10.61","15.62","75.42","8.22","1.01","","0","7.60","-2.62","10155"
"Robinson Cano","Yankees","4.86","-10.26","15.12","49.55","5.17","0.99","","0","4.23","0.68","3269"
"Josh Donaldson","Athletics","4.79","-9.31","14.10","44.11","4.63","0.92","","0","3.90","1.28","5038"
"Andrew McCutchen","Pirates","4.56","-10.35","14.91","41.66","4.77","1.04","2.52","3","5.38","-1.00","9847"
"Matt Carpenter","Cardinals","4.43","-9.18","13.61","52.11","5.78","0.88","0.94","3","4.36","0.68","8090"
"Adrian Gonzalez","Dodgers","4.34","-9.97","14.31","35.24","3.99","1.03","1.92","6","2.25","1.97","1908"
"Ryan Zimmerman","Nationals","4.33","-8.86","13.19","26.52","3.02","0.93","1.58","2","3.18","1.46","4220"
"Carlos Santana","Indians","4.20","-8.92","13.12","37.63","3.96","0.96","2.39","2","2.35","2.00","2396"
"Matt Holliday","Cardinals","4.05","-8.44","12.49","50.38","5.50","0.93","0.41","1","3.96","0.40","1873"
"Brandon Belt","Giants","3.90","-9.34","13.24","29.37","3.32","1.08","1.90","12","2.48","1.12","10264"
"Giancarlo Stanton","Marlins","3.79","-8.57","12.36","23.53","2.54","1.09","","0","3.24","0.24","4949"
"Jason Kipnis","Indians","3.56","-9.64","13.20","34.05","3.52","0.96","1.56","1","2.66","1.06","9776"
"Eric Hosmer","Royals","3.52","-10.84","14.35","25.18","2.65","1.02","0.34","2","2.03","1.43","3516"
"Joey Votto","Reds","3.50","-10.73","14.23","48.17","5.35","1.02","1.33","1","5.28","-1.86","4314"
"Edwin Encarnacion","Blue Jays","3.48","-9.92","13.40","42.88","4.54","1.00","","0","4.58","-1.11","2151"
"Allen Craig","Cardinals","3.08","-7.76","10.84","47.51","5.34","0.93","1.44","2","2.68","0.62","3433"
"Yadier Molina","Cardinals","2.91","-7.81","10.72","32.32","3.60","0.92","1.18","5","1.95","1.21","7007"
"Brandon Moss","Athletics","2.89","-8.23","11.12","31.58","3.43","0.96","1.47","19","4.11","-1.11","4467"
"Chase Utley","Phillies","2.88","-8.27","11.14","28.42","3.25","0.99","1.78","7","2.59","0.31","1679"
"Jose Bautista","Blue Jays","2.82","-9.10","11.92","21.14","2.13","1.01","","0","2.67","0.11","1887"
"Adam Jones","Orioles","2.71","-11.94","14.66","23.40","2.56","1.02","","0","1.95","0.72","6368"
"Justin Upton","Braves","2.71","-9.94","12.65","24.55","2.62","0.96","2.72","3","2.94","-0.13","5222"
"Brett Gardner","Yankees","2.69","-9.52","12.21","18.53","1.93","0.99","0.87","9","1.43","1.28","9927"
"Jayson Werth","Nationals","2.65","-8.75","11.39","36.40","4.04","1.01","1.94","1","3.68","-1.07","1327"
"Jay Bruce","Reds","2.56","-11.39","13.95","24.68","2.73","1.04","","0","2.18","0.29","9892"
"Domonic Brown","Phillies","2.49","-9.01","11.51","23.01","2.55","1.06","0.98","7","2.19","0.16","3154"
"Michael Cuddyer","Rockies","2.41","-9.52","11.93","33.09","3.38","1.04","2.01","3","2.71","-0.40","1534"
"Kyle Seager","Mariners","2.34","-11.08","13.42","16.20","1.60","0.95","2.40","2","0.91","1.54","9785"
"Buster Posey","Giants","2.31","-10.10","12.42","27.34","3.22","1.07","2.11","4","2.55","-0.40","9166"
"Starling Marte","Pirates","2.27","-9.10","11.38","15.69","1.73","0.97","0.80","2","2.95","-0.61","9241"
"Evan Longoria","Rays","2.27","-11.43","13.69","23.56","2.48","0.96","","0","3.15","-0.79","9368"
"David Ortiz","Red Sox","2.24","-10.33","12.57","42.43","4.31","1.03","1.52","2","3.26","-1.08","745"
"Jacoby Ellsbury","Red Sox","2.23","-10.50","12.73","17.16","1.80","1.05","","0","1.01","1.13","4727"
"Carlos Gomez","Brewers","2.20","-10.18","12.38","23.84","2.54","1.04","0.95","3","2.36","-0.24","4881"
"Kendrys Morales","Mariners","2.15","-10.76","12.91","14.69","1.59","0.99","3.65","4","1.38","0.80","8610"
"Andre Ethier","Dodgers","2.14","-9.05","11.19","14.46","1.49","1.04","1.02","9","1.59","0.46","6265"
"Alfonso Soriano","- - -","2.13","-11.45","13.58","17.70","1.83","1.01","1.82","4","1.26","0.84","847"
"Prince Fielder","Tigers","2.09","-11.93","14.02","25.02","2.58","1.01","","0","2.46","-0.40","4613"
"Joe Mauer","Twins","2.05","-7.78","9.83","22.61","2.39","1.00","2.01","3","2.58","-0.53","1857"
"Shane Victorino","Red Sox","1.95","-8.35","10.31","22.16","2.29","0.97","2.21","1","1.44","0.58","1677"
"Daniel Murphy","Mets","1.95","-11.77","13.72","19.75","2.22","1.04","1.31","6","1.09","0.78","4316"
"Marlon Byrd","- - -","1.92","-10.54","12.46","23.18","2.60","1.07","0.88","11","2.73","-0.93","950"
"Troy Tulowitzki","Rockies","1.90","-8.82","10.72","20.74","2.01","1.06","2.68","7","2.40","-0.60","3531"
"Chris Denorfia","Padres","1.89","-8.82","10.71","9.74","1.21","1.07","1.63","24","0.79","0.98","4400"
"Jonathan Lucroy","Brewers","1.84","-10.45","12.29","13.97","1.47","1.05","1.49","12","1.59","0.17","7870"
"Ben Zobrist","Rays","1.83","-11.34","13.17","9.55","1.08","0.99","0.26","1","1.14","0.72","7435"
"Jean Segura","Brewers","1.81","-10.95","12.77","11.73","1.23","1.00","2.80","3","1.22","0.59","5933"
"Hunter Pence","Giants","1.81","-13.02","14.83","35.03","4.21","1.12","","0","4.29","-2.67","8252"
"Ian Kinsler","Rangers","1.70","-10.61","12.31","16.83","1.64","1.05","","0","1.17","0.46","6195"
"Yoenis Cespedes","Athletics","1.63","-9.91","11.55","14.57","1.57","0.97","2.44","1","0.81","0.86","13110"
"Michael Brantley","Indians","1.57","-10.33","11.90","9.81","0.99","1.06","1.53","4","-0.01","1.49","4106"
"Coco Crisp","Athletics","1.47","-9.28","10.75","15.50","1.72","0.96","3.57","3","1.46","0.06","1572"
"Salvador Perez","Royals","1.46","-9.30","10.76","17.50","1.82","1.04","1.10","4","0.45","0.95","7304"
"Adrian Beltre","Rangers","1.41","-13.06","14.47","15.02","1.55","1.05","","0","3.19","-1.85","639"
"Dustin Pedroia","Red Sox","1.37","-11.91","13.28","11.38","1.20","0.99","0.95","1","1.22","0.17","8370"
"Brian Dozier","Twins","1.34","-11.07","12.41","2.90","0.29","1.04","","0","-0.40","1.70","9810"
"Josh Hamilton","Angels","1.33","-12.00","13.32","-2.26","-0.40","1.08","2.34","6","0.80","0.43","1875"
"James Loney","Rays","1.30","-10.31","11.61","11.71","1.19","1.01","1.70","9","0.96","0.33","4556"
"Pedro Alvarez","Pirates","1.21","-12.33","13.54","9.16","1.12","1.09","0.87","3","2.47","-1.36","2495"
"Ryan Doumit","Twins","1.20","-10.24","11.44","-5.37","-0.58","1.13","1.86","16","-0.30","1.36","2113"
"Carlos Beltran","Cardinals","1.20","-9.47","10.67","27.89","3.18","0.95","2.51","6","2.33","-1.06","589"
"Daniel Nava","Red Sox","1.18","-9.17","10.35","18.23","1.97","1.03","2.18","4","1.46","-0.31","5450"
"Billy Butler","Royals","1.16","-11.54","12.71","15.03","1.64","1.01","1.89","5","1.47","-0.31","7399"
"Anthony Rizzo","Cubs","1.13","-11.96","13.09","14.24","1.61","1.01","0.47","2","1.09","0.03","3473"
"Jon Jay","Cardinals","1.11","-9.12","10.24","7.88","0.89","0.93","0.82","8","0.96","0.24","5227"
"Mike Napoli","Red Sox","1.10","-10.23","11.33","13.48","1.46","1.03","1.20","3","1.15","-0.08","3057"
"Marco Scutaro","Giants","1.04","-8.18","9.22","6.09","0.78","1.01","0.96","3","1.07","-0.03","1555"
"Pablo Sandoval","Giants","1.03","-10.52","11.55","18.39","2.20","1.12","2.36","3","1.09","-0.17","5409"
"Desmond Jennings","Rays","0.90","-9.99","10.89","6.31","0.76","0.97","0.68","4","1.04","-0.11","1965"
"Justin Smoak","Mariners","0.85","-8.58","9.43","3.08","0.27","0.96","2.08","3","1.03","-0.14","9054"
"Nate Schierholtz","Cubs","0.77","-8.89","9.65","12.10","1.33","1.03","1.12","18","1.11","-0.37","6201"
"Brandon Phillips","Reds","0.75","-12.39","13.14","11.84","1.34","1.07","","0","0.10","0.61","791"
"Torii Hunter","Tigers","0.63","-11.35","11.98","13.46","1.41","1.00","1.58","6","1.87","-1.24","731"
"Nori Aoki","Brewers","0.63","-9.68","10.30","7.87","0.91","0.90","1.51","7","1.06","-0.36","13075"
"Manny Machado","Orioles","0.62","-12.59","13.21","4.80","0.55","0.98","","0","0.57","0.07","11493"
"Victor Martinez","Tigers","0.56","-11.32","11.88","6.28","0.64","0.98","1.26","6","0.41","0.16","393"
"Justin Morneau","- - -","0.54","-11.81","12.35","7.37","0.69","1.07","1.47","7","-0.38","0.88","1737"
"Elvis Andrus","Rangers","0.51","-12.60","13.11","1.24","0.33","1.05","2.24","1","-0.37","0.85","8709"
"Alex Gordon","Royals","0.50","-12.78","13.28","6.83","0.75","1.09","1.78","1","0.47","-0.01","5209"
"Mark Trumbo","Angels","0.46","-12.75","13.22","5.71","0.66","1.04","","0","0.87","-0.42","6876"
"Gregor Blanco","Giants","0.46","-8.65","9.11","-3.10","-0.09","1.03","1.37","20","-0.04","0.49","3123"
"Will Venable","Padres","0.42","-8.74","9.16","8.82","0.98","0.97","0.66","10","2.43","-1.99","211"
"Alex Rios","- - -","0.41","-12.86","13.27","9.30","1.07","1.07","1.71","1","1.41","-1.03","2090"
"Nick Swisher","Indians","0.33","-9.86","10.19","0.75","0.09","0.94","0.19","1","0.97","-0.62","4599"
"Russell Martin","Pirates","0.28","-9.92","10.20","-1.66","-0.19","1.12","2.77","6","0.09","0.17","4616"
"Neil Walker","Pirates","0.25","-9.54","9.80","9.94","1.16","1.01","0.88","7","1.36","-1.11","7539"
"Adam LaRoche","Nationals","0.23","-9.76","9.99","2.75","0.41","0.98","2.07","4","0.33","-0.09","1904"
"Michael Young","- - -","0.22","-9.86","10.08","-6.17","-0.55","1.02","1.82","14","-0.21","0.43","1286"
"Ichiro Suzuki","Yankees","0.20","-9.23","9.44","-8.04","-0.80","0.99","1.11","13","-1.15","1.35","1101"
"Alejandro De Aza","White Sox","0.20","-13.04","13.23","-0.51","-0.02","1.08","2.36","4","0.30","-0.12","3371"
"Adam Lind","Blue Jays","0.19","-9.94","10.13","11.82","1.20","1.09","1.72","22","1.67","-1.50","8027"
"Michael Bourn","Indians","0.16","-9.37","9.53","2.95","0.33","1.01","1.25","4","-1.05","1.21","6387"
"Chris Johnson","Braves","0.14","-9.17","9.31","14.50","1.60","0.95","0.42","7","1.56","-1.41","1191"
"Todd Frazier","Reds","0.13","-10.16","10.29","8.51","1.04","0.97","1.93","6","1.05","-0.91","785"
"Jimmy Rollins","Phillies","0.13","-10.95","11.08","0.15","0.04","1.01","2.14","9","-1.03","1.16","971"
"Denard Span","Nationals","0.07","-10.87","10.94","7.08","0.76","0.93","1.21","4","0.28","-0.20","8347"
"Howie Kendrick","Angels","0.03","-9.65","9.68","0.75","0.24","1.07","","0","1.00","-0.98","4229"
"Ian Desmond","Nationals","0.01","-11.83","11.84","11.88","1.21","1.02","","0","1.10","-1.09","6885"
"Jed Lowrie","Athletics","-0.02","-10.86","10.85","13.72","1.53","0.94","3.06","4","1.28","-1.30","4418"
"Martin Prado","Diamondbacks","-0.10","-13.37","13.26","1.96","0.23","1.12","2.45","4","0.63","-0.72","3312"
"Erick Aybar","Angels","-0.14","-10.73","10.59","-3.99","-0.42","1.05","","0","-0.55","0.42","4082"
"Yunel Escobar","Rays","-0.16","-10.05","9.89","-0.26","0.04","1.02","0.68","1","-0.35","0.19","4191"
"Alberto Callaspo","- - -","-0.22","-8.11","7.89","3.66","0.40","0.93","1.24","9","0.09","-0.32","3336"
"Chase Headley","Padres","-0.27","-9.93","9.66","3.75","0.61","0.99","1.70","1","1.86","-2.14","4720"
"Nate McLouth","Orioles","-0.29","-10.06","9.76","-4.78","-0.44","0.97","1.83","10","0.28","-0.59","3190"
"David Freese","Cardinals","-0.31","-8.51","8.20","-1.47","-0.20","0.93","1.60","4","-0.31","-0.02","9549"
"Mark Reynolds","- - -","-0.31","-8.82","8.50","-8.69","-0.89","0.96","1.61","8","-0.15","-0.17","7619"
"Austin Jackson","Tigers","-0.35","-10.03","9.68","6.51","0.66","0.95","","0","1.05","-1.42","9848"
"Trevor Plouffe","Twins","-0.35","-10.01","9.66","-10.16","-1.11","1.08","2.92","3","-0.20","-0.13","7462"
"Andrelton Simmons","Braves","-0.36","-11.47","11.11","-7.22","-0.78","0.99","1.10","1","-0.16","-0.20","10847"
"Adam Dunn","White Sox","-0.42","-12.18","11.76","7.62","0.79","1.10","3.21","3","1.13","-1.51","319"
"Chris Carter","Astros","-0.43","-10.86","10.43","8.91","1.03","1.04","1.75","5","0.77","-1.18","9911"
