Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
Clayton Kershaw,Dodgers,16,9,33,33,3,236.0,164,11,52,232,55,0,0,2,48,3,0,2,2,908,12,0.42,1.98,8.85,4.46,19.8,46.0,5.8,80.6,1.83,0.251,2.39,0.92,4.9,7.1
Adam Wainwright,Cardinals,19,9,34,34,5,241.2,223,15,35,219,83,0,0,0,79,6,0,2,2,956,5,0.56,1.3,8.16,6.26,19.3,49.1,8.1,74.5,2.94,0.305,2.55,1.07,2.04,6.6
Matt Harvey,Mets,9,5,26,26,1,178.1,135,7,31,191,46,0,0,0,45,4,0,1,1,690,2,0.35,1.56,9.64,6.16,23.2,47.7,4.7,77.4,2.27,0.28,2.0,0.93,2.61,6.5
Max Scherzer,Tigers,21,3,32,32,0,214.1,152,18,56,240,73,0,0,1,69,4,0,0,0,836,6,0.76,2.35,10.08,4.29,22.0,36.3,7.6,74.4,2.9,0.259,2.74,0.97,3.8,6.1
Anibal Sanchez,Tigers,14,8,29,29,1,182.0,156,9,54,202,56,0,0,0,52,2,0,1,1,746,7,0.45,2.67,9.99,3.74,19.8,45.4,5.8,78.2,2.57,0.307,2.39,1.15,1.0,6.0
Felix Hernandez,Mariners,12,10,31,31,0,204.1,185,15,46,216,74,0,0,0,69,3,0,1,0,822,13,0.66,2.03,9.51,4.7,20.7,51.4,10.0,75.1,3.04,0.314,2.61,1.13,2.58,5.7
Cliff Lee,Phillies,14,8,31,31,2,222.2,193,22,32,222,77,0,0,0,71,4,0,0,1,876,1,0.89,1.29,8.97,6.94,21.7,44.3,10.9,76.7,2.87,0.287,2.82,1.01,2.79,5.5
Chris Sale,White Sox,11,14,30,30,4,214.1,184,23,46,226,81,0,0,1,73,14,0,2,1,866,8,0.97,1.93,9.49,4.91,20.8,46.6,12.5,77.0,3.07,0.289,3.17,1.07,2.59,4.9
Justin Verlander,Tigers,13,12,34,34,0,218.1,212,19,75,217,94,0,0,1,84,4,0,1,0,925,3,0.78,3.09,8.95,2.89,15.4,38.4,7.8,74.5,3.46,0.316,3.28,1.31,0.37,4.9
Mat Latos,Reds,14,7,32,32,1,210.2,197,14,58,187,82,0,0,0,74,10,0,5,0,881,8,0.6,2.48,7.99,3.22,14.6,45.1,6.9,74.6,3.16,0.299,3.1,1.21,1.52,4.8
Cole Hamels,Phillies,8,14,33,33,1,220.0,205,21,50,202,94,0,0,0,88,9,0,5,0,905,4,0.86,2.05,8.26,4.04,16.8,42.7,9.1,72.5,3.6,0.295,3.26,1.16,0.2,4.5
Yu Darvish,Rangers,13,9,32,32,0,209.2,145,26,80,277,68,0,0,1,66,8,0,1,0,841,7,1.12,3.43,11.89,3.46,23.4,41.0,14.4,83.9,2.83,0.264,3.28,1.07,2.82,4.5
David Price,Rays,10,8,27,27,4,186.2,178,16,27,151,78,0,0,0,69,3,0,0,0,740,6,0.77,1.3,7.28,5.59,16.8,44.9,8.6,70.0,3.33,0.298,3.03,1.1,1.62,4.4
Derek Holland,Rangers,10,9,33,33,2,213.0,210,20,64,189,90,0,0,1,81,3,0,0,2,894,9,0.85,2.7,7.99,2.95,14.0,40.8,8.8,75.1,3.42,0.307,3.44,1.29,1.41,4.3
A.J. Burnett,Pirates,10,11,30,30,1,191.0,165,11,67,209,79,0,0,0,70,9,0,3,0,801,12,0.52,3.16,9.85,3.12,17.7,56.5,9.1,71.8,3.3,0.305,2.8,1.21,0.36,4.2
Doug Fister,Tigers,14,9,33,32,1,208.2,229,14,44,159,91,0,0,0,85,16,0,2,0,881,7,0.6,1.9,6.86,3.61,13.1,54.3,8.9,73.5,3.67,0.332,3.26,1.31,0.72,4.2
Homer Bailey,Reds,11,12,32,32,2,209.0,181,20,54,199,85,0,0,2,81,10,0,2,1,849,5,0.86,2.33,8.57,3.69,17.1,46.1,10.2,73.7,3.49,0.284,3.31,1.12,0.46,4.1
Jose Fernandez,Marlins,12,6,28,28,0,172.2,111,10,58,187,47,0,0,1,42,5,0,5,0,681,3,0.52,3.02,9.75,3.22,18.9,45.1,7.1,79.4,2.19,0.24,2.73,0.98,3.64,4.1
James Shields,Royals,13,9,34,34,2,228.2,215,20,68,196,82,0,0,2,80,8,0,0,0,946,11,0.79,2.68,7.71,2.88,13.5,41.6,8.6,79.5,3.15,0.298,3.47,1.24,3.38,4.0
Jhoulys Chacin,Rockies,14,10,31,31,0,197.1,188,11,61,126,82,0,0,1,76,3,0,3,0,816,5,0.5,2.78,5.75,2.07,8.0,46.8,6.2,71.9,3.47,0.28800000000000003,3.47,1.26,1.92,3.9
Hisashi Iwakuma,Mariners,14,6,33,33,0,219.2,179,25,42,185,69,0,0,0,65,2,0,4,0,866,10,1.02,1.72,7.58,4.4,16.5,48.7,11.8,81.9,2.66,0.252,3.44,1.01,3.54,3.9
Bartolo Colon,Athletics,18,6,30,30,3,190.1,193,14,29,117,60,0,0,0,56,0,0,0,3,769,1,0.66,1.37,5.53,4.03,11.4,41.5,6.0,80.0,2.65,0.294,3.23,1.17,2.37,3.8
Madison Bumgarner,Giants,13,9,31,31,0,201.1,146,15,62,199,68,0,0,0,62,6,0,6,0,803,6,0.67,2.77,8.9,3.21,17.1,46.8,8.2,75.7,2.77,0.251,3.05,1.03,2.14,3.8
Jordan Zimmermann,Nationals,19,9,32,32,4,213.1,192,19,40,161,81,0,0,0,77,7,0,0,2,865,3,0.8,1.69,6.79,4.03,14.0,47.6,9.5,74.4,3.25,0.271,3.36,1.09,1.96,3.7
Hiroki Kuroda,Yankees,11,13,32,32,1,201.1,191,20,43,150,79,0,0,0,74,5,0,2,1,824,6,0.89,1.92,6.71,3.49,13.0,46.6,10.3,75.8,3.31,0.282,3.56,1.16,2.65,3.7
Lance Lynn,Cardinals,15,10,33,33,0,201.2,189,14,76,198,92,0,0,0,89,11,0,0,0,856,6,0.62,3.39,8.84,2.61,14.3,43.1,7.4,71.8,3.97,0.314,3.28,1.31,-0.35,3.7
Hyun-Jin Ryu,Dodgers,14,8,30,30,2,192.0,182,15,49,154,67,0,0,0,64,1,0,4,1,783,5,0.7,2.3,7.22,3.14,13.4,50.6,8.7,78.2,3.0,0.29600000000000004,3.24,1.2,1.52,3.6
Justin Masterson,Indians,14,10,32,29,3,193.0,156,13,76,195,75,0,0,0,74,17,0,0,3,803,8,0.61,3.54,9.09,2.57,14.8,58.0,10.7,75.4,3.45,0.285,3.35,1.2,1.52,3.5
Mike Minor,Braves,13,9,32,32,1,204.2,177,22,46,181,79,0,0,0,73,1,0,2,0,820,5,0.97,2.02,7.96,3.93,16.5,35.0,8.8,75.1,3.21,0.272,3.37,1.09,-0.37,3.5
Jose Quintana,White Sox,9,7,33,33,0,200.0,188,23,56,164,83,0,0,1,78,5,0,2,0,832,2,1.03,2.52,7.38,2.93,13.0,42.5,10.2,76.6,3.51,0.28300000000000003,3.82,1.22,0.69,3.5
