"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Clayton Kershaw","Dodgers","16","9","1.83","33","33","3","2","0","0","0","236.0","908","164","55","48","11","52","2","3","12","2","232","2036"
"Jose Fernandez","Marlins","12","6","2.19","28","28","0","0","0","0","0","172.2","681","111","47","42","10","58","5","5","3","1","187","11530"
"Matt Harvey","Mets","9","5","2.27","26","26","1","1","0","0","0","178.1","690","135","46","45","7","31","1","4","2","0","191","11713"
"Anibal Sanchez","Tigers","14","8","2.57","29","29","1","1","0","0","0","182.0","746","156","56","52","9","54","1","2","7","0","202","3284"
"Zack Greinke","Dodgers","15","4","2.63","28","28","1","1","0","0","0","177.2","717","152","54","52","13","46","1","7","5","0","148","1943"
"Bartolo Colon","Athletics","18","6","2.65","30","30","3","3","0","0","0","190.1","769","193","60","56","14","29","0","0","1","0","117","375"
"Hisashi Iwakuma","Mariners","14","6","2.66","33","33","0","0","0","0","0","219.2","866","179","69","65","25","42","4","2","10","0","185","13048"
"Madison Bumgarner","Giants","13","9","2.77","31","31","0","0","0","0","0","201.1","803","146","68","62","15","62","6","6","6","0","199","5524"
"Yu Darvish","Rangers","13","9","2.83","32","32","0","0","0","0","0","209.2","841","145","68","66","26","80","1","8","7","1","277","13074"
"Cliff Lee","Phillies","14","8","2.87","31","31","2","1","0","0","0","222.2","876","193","77","71","22","32","0","4","1","0","222","1636"
"Max Scherzer","Tigers","21","3","2.90","32","32","0","0","0","0","0","214.1","836","152","73","69","18","56","0","4","6","1","240","3137"
"Adam Wainwright","Cardinals","19","9","2.94","34","34","5","2","0","0","0","241.2","956","223","83","79","15","35","2","6","5","0","219","2233"
"Stephen Strasburg","Nationals","8","9","3.00","30","30","1","1","0","0","0","183.0","731","136","71","61","16","56","1","12","7","3","191","10131"
"Hyun-Jin Ryu","Dodgers","14","8","3.00","30","30","2","1","0","0","0","192.0","783","182","67","64","15","49","4","1","5","0","154","14444"
"Felix Hernandez","Mariners","12","10","3.04","31","31","0","0","0","0","0","204.1","822","185","74","69","15","46","1","3","13","0","216","4772"
"Shelby Miller","Cardinals","15","9","3.06","31","31","1","1","0","0","0","173.1","722","152","65","59","20","57","0","5","2","0","169","10197"
"Chris Sale","White Sox","11","14","3.07","30","30","4","1","0","0","0","214.1","866","184","81","73","23","46","2","14","8","1","226","10603"
"Andrew Cashner","Padres","10","9","3.09","31","26","1","1","0","1","0","175.0","707","151","68","60","12","47","3","4","5","0","128","8782"
"Travis Wood","Cubs","9","12","3.11","32","32","0","0","0","0","0","200.0","821","163","73","69","18","66","2","8","6","0","144","9884"
