"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Kris Medlen","Braves","15","12","3.11","32","31","0","0","0","0","0","197.0","820","194","77","68","18","47","1","8","2","0","157","9417"
"James Shields","Royals","13","9","3.15","34","34","2","0","0","0","0","228.2","946","215","82","80","20","68","0","8","11","2","196","7059"
"Mat Latos","Reds","14","7","3.16","32","32","1","0","0","0","0","210.2","881","197","82","74","14","58","5","10","8","0","187","3815"
"Julio Teheran","Braves","14","8","3.20","30","30","0","0","0","0","0","185.2","774","173","69","66","22","45","4","13","2","0","170","6797"
"Mike Minor","Braves","13","9","3.21","32","32","1","0","0","0","0","204.2","820","177","79","73","22","46","2","1","5","0","181","10021"
"Ervin Santana","Royals","9","10","3.24","32","32","0","0","0","0","0","211.0","859","190","85","76","26","51","3","6","6","0","161","3200"
"Jordan Zimmermann","Nationals","19","9","3.25","32","32","4","2","0","0","0","213.1","865","192","81","77","19","40","0","7","3","0","161","4505"
"A.J. Burnett","Pirates","10","11","3.30","30","30","1","0","0","0","0","191.0","801","165","79","70","11","67","3","9","12","0","209","512"
"Ubaldo Jimenez","Indians","13","9","3.30","32","32","0","0","0","0","0","182.2","777","163","75","67","16","80","0","3","8","0","194","3374"
"Hiroki Kuroda","Yankees","11","13","3.31","32","32","1","1","0","0","0","201.1","824","191","79","74","20","43","2","5","6","0","150","3283"
"David Price","Rays","10","8","3.33","27","27","4","0","0","0","0","186.2","740","178","78","69","16","27","0","3","6","0","151","3184"
"Kyle Lohse","Brewers","11","10","3.35","32","32","2","1","0","0","0","198.2","806","196","78","74","26","36","1","3","1","0","125","739"
"Gio Gonzalez","Nationals","11","8","3.36","32","32","1","1","0","0","0","195.2","819","169","79","73","17","76","1","2","4","1","192","7448"
"Mike Leake","Reds","14","7","3.37","31","31","0","0","0","0","0","192.1","801","193","78","72","21","48","4","6","2","0","122","10130"
"C.J. Wilson","Angels","17","7","3.39","33","33","0","0","0","0","0","212.1","913","200","93","80","15","85","3","8","14","2","188","3580"
"Patrick Corbin","Diamondbacks","14","8","3.41","32","32","3","0","0","0","0","208.1","860","189","81","79","19","54","1","9","13","0","178","9323"
"Derek Holland","Rangers","10","9","3.42","33","33","2","2","0","0","0","213.0","894","210","90","81","20","64","0","3","9","1","189","4141"
"Justin Masterson","Indians","14","10","3.45","32","29","3","3","0","0","0","193.0","803","156","75","74","13","76","0","17","8","0","195","2038"
"Justin Verlander","Tigers","13","12","3.46","34","34","0","0","0","0","0","218.1","925","212","94","84","19","75","1","4","3","1","217","8700"
"Jhoulys Chacin","Rockies","14","10","3.47","31","31","0","0","0","0","0","197.1","816","188","82","76","11","61","3","3","5","1","126","2608"
"Homer Bailey","Reds","11","12","3.49","32","32","2","1","0","0","0","209.0","849","181","85","81","20","54","2","10","5","2","199","8362"
"Jorge de la Rosa","Rockies","16","6","3.49","30","30","0","0","0","0","0","167.2","714","170","70","65","11","62","5","5","5","0","112","2047"
"Jose Quintana","White Sox","9","7","3.51","33","33","0","0","0","0","0","200.0","832","188","83","78","23","56","2","5","2","1","164","11423"
"Jeff Locke","Pirates","10","7","3.52","30","30","0","0","0","0","0","166.1","711","146","69","65","11","84","4","6","8","2","125","2929"
"John Lackey","Red Sox","10","13","3.52","29","29","2","0","0","0","0","189.1","778","179","80","74","26","40","0","6","4","0","161","1507"
"Wade Miley","Diamondbacks","10","10","3.55","33","33","0","0","0","0","0","202.2","847","201","88","80","21","66","4","4","13","0","147","8779"
"Cole Hamels","Phillies","8","14","3.60","33","33","1","0","0","0","0","220.0","905","205","94","88","21","50","5","9","4","0","202","4972"
"Dillon Gee","Mets","12","11","3.62","32","32","2","0","0","0","0","199.0","841","208","84","80","24","47","0","7","4","0","142","7396"
"Doug Fister","Tigers","14","9","3.67","33","32","1","0","0","0","0","208.2","881","229","91","85","14","44","2","16","7","0","159","9425"
"Ricky Nolasco","- - -","13","11","3.70","34","33","0","0","0","0","0","199.1","834","195","90","82","17","46","1","10","5","0","165","3830"
"Chris Tillman","Orioles","16","7","3.71","33","33","1","0","0","0","0","206.1","845","184","87","85","33","68","2","3","6","1","179","5279"
"Andy Pettitte","Yankees","11","11","3.74","30","30","1","0","0","0","0","185.1","784","198","85","77","17","48","1","4","6","0","128","840"
"Jon Lester","Red Sox","15","8","3.75","33","33","1","1","0","0","0","213.1","903","209","94","89","19","67","0","7","5","0","177","4930"
"Miguel Gonzalez","Orioles","11","8","3.78","30","28","0","0","0","0","0","171.1","712","157","81","72","24","53","3","3","4","0","120","7024"
"Bronson Arroyo","Reds","14","12","3.79","32","32","2","1","0","0","0","202.0","823","199","88","85","32","34","2","7","1","2","124","978"
"A.J. Griffin","Athletics","14","10","3.82","32","32","1","1","0","0","0","200.0","823","171","91","85","36","54","2","4","7","0","171","11132"
"Scott Feldman","- - -","12","12","3.86","30","30","2","1","0","0","0","181.2","758","159","87","78","19","56","1","9","7","1","132","6283"
"Eric Stults","Padres","11","13","3.93","33","33","2","0","0","0","0","203.2","857","219","97","89","18","40","2","2","2","1","131","8011"
"Lance Lynn","Cardinals","15","10","3.97","33","33","0","0","0","0","0","201.2","856","189","92","89","14","76","0","11","6","0","198","2520"
"Jarrod Parker","Athletics","12","8","3.97","32","32","1","0","0","0","0","197.0","818","178","92","87","25","63","2","7","7","0","134","4913"
"Matt Cain","Giants","8","10","4.00","30","30","0","0","0","0","0","184.1","760","158","85","82","23","55","3","5","1","0","158","4732"
"Jeremy Guthrie","Royals","15","12","4.04","33","33","3","2","0","0","0","211.2","905","236","99","95","30","59","1","8","7","0","111","2072"
"Mark Buehrle","Blue Jays","12","10","4.15","33","33","1","1","0","0","0","203.2","876","223","100","94","24","51","3","9","2","0","139","225"
"Kevin Correia","Twins","9","13","4.18","31","31","0","0","0","0","0","185.1","792","218","89","86","24","45","1","2","2","0","101","1767"
"Bud Norris","- - -","10","12","4.18","32","30","0","0","0","0","0","176.2","773","196","89","82","17","67","0","5","4","0","147","9492"
"Yovani Gallardo","Brewers","12","10","4.18","31","31","0","0","0","0","0","180.2","773","180","92","84","18","66","1","3","5","0","144","8173"
"R.A. Dickey","Blue Jays","14","13","4.21","34","34","3","1","0","0","0","224.2","943","207","113","105","35","71","0","10","7","1","177","1245"
"Rick Porcello","Tigers","13","8","4.32","32","29","1","0","0","0","0","177.0","736","185","87","85","18","42","4","3","6","1","142","2717"
"Felix Doubront","Red Sox","11","6","4.32","29","27","0","0","0","0","0","162.1","705","161","84","78","13","71","0","5","8","0","139","1478"
"Jeff Samardzija","Cubs","8","13","4.34","33","33","2","1","0","0","0","213.2","914","210","109","103","25","78","3","8","11","0","214","3254"
"Wily Peralta","Brewers","11","15","4.37","32","32","2","1","0","0","0","183.1","802","187","107","89","19","73","3","7","12","0","129","7738"
"Tim Lincecum","Giants","10","14","4.37","32","32","1","1","0","0","0","197.2","841","184","102","96","21","76","8","7","11","2","193","5705"
"Ryan Dempster","Red Sox","8","9","4.57","32","29","0","0","0","0","0","171.1","754","170","97","87","26","79","1","6","9","1","157","517"
"Jerome Williams","Angels","9","10","4.57","37","25","0","0","0","0","0","169.1","728","181","93","86","23","55","2","4","5","0","107","1137"
"Dan Haren","Nationals","10","14","4.67","31","30","0","0","1","0","0","169.2","717","179","92","88","28","31","0","7","8","1","151","1757"
"Kyle Kendrick","Phillies","10","13","4.70","30","30","2","1","0","0","0","182.0","800","207","104","95","18","47","4","7","3","1","110","6230"
"CC Sabathia","Yankees","14","13","4.78","32","32","2","0","0","0","0","211.0","908","224","122","112","28","65","5","4","7","1","175","404"
"Ian Kennedy","- - -","7","10","4.91","31","31","0","0","0","0","0","181.1","794","180","108","99","27","73","1","12","10","1","163","6986"
"Edwin Jackson","Cubs","8","18","4.98","31","31","0","0","0","0","0","175.1","777","197","110","97","16","59","7","5","14","0","135","1841"
"Jeremy Hellickson","Rays","12","10","5.17","32","31","0","0","0","0","0","174.0","737","185","103","100","24","50","0","4","7","2","135","4371"
"Joe Saunders","Mariners","11","16","5.26","32","32","2","0","0","0","0","183.0","820","232","117","107","25","61","5","4","5","0","107","4366"
"Edinson Volquez","- - -","9","12","5.71","33","32","0","0","0","0","0","170.1","777","193","114","108","19","77","2","3","16","0","142","3990"
