"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Josh Hamilton","Rangers","133","518","571","186","111","40","3","32","95","100","43","5","95","5","4","1","11","8","1",".359","1875"
"Carlos Gonzalez","Rockies","145","587","636","197","120","34","9","34","111","117","40","8","135","2","7","0","9","26","8",".336","7287"
"Miguel Cabrera","Tigers","150","548","648","180","96","45","1","38","111","126","89","32","95","3","8","0","17","3","3",".328","1744"
"Joe Mauer","Twins","137","510","584","167","114","43","1","9","88","75","65","14","53","3","6","0","19","1","4",".327","1857"
"Joey Votto","Reds","150","547","648","177","102","36","2","37","106","113","91","8","125","7","3","0","11","16","5",".324","4314"
"Adrian Beltre","Red Sox","154","589","641","189","110","49","2","28","84","102","40","10","82","5","7","0","25","2","1",".321","639"
"Omar Infante","Braves","134","471","506","151","125","15","3","8","65","47","29","1","62","0","2","4","14","7","6",".321","1609"
"Robinson Cano","Yankees","160","626","696","200","127","41","3","29","103","109","57","14","77","8","5","0","19","3","2",".319","3269"
"Billy Butler","Royals","158","595","678","189","129","45","0","15","77","78","69","8","78","5","9","0","32","0","0",".318","7399"
"Troy Tulowitzki","Rockies","122","470","529","148","86","32","3","27","89","95","48","4","78","5","5","1","17","11","2",".315","3531"
"Ichiro Suzuki","Mariners","162","680","732","214","175","30","3","6","74","43","45","13","86","3","1","3","3","42","9",".315","1101"
"Matt Holliday","Cardinals","158","596","675","186","112","45","1","28","95","103","69","10","93","8","2","0","13","9","5",".312","1873"
"Paul Konerko","White Sox","149","548","631","171","101","30","1","39","89","111","72","7","110","5","6","0","9","0","1",".312","242"
"Albert Pujols","Cardinals","159","587","700","183","101","39","1","42","115","118","103","38","76","4","6","0","23","14","4",".312","1177"
"Martin Prado","Braves","140","599","651","184","126","40","3","15","100","66","40","2","86","3","6","3","13","5","3",".307","3312"
"Carl Crawford","Rays","154","600","663","184","122","30","13","19","110","90","46","3","104","3","5","3","2","47","10",".307","1201"
