"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Josh Johnson","Marlins","9.11","2.35","3.88","0.34","25.0 %","6.5 %","18.6 %",".224","1.11",".297","79.2 %","56","62","76","2.30","2.41","-0.11","3.02","3.08","4567"
"Cliff Lee","- - -","7.84","0.76","10.28","0.68","22.0 %","2.1 %","19.8 %",".237","1.00",".287","67.9 %","75","61","73","3.18","2.58","0.59","3.06","3.08","1636"
"Francisco Liriano","Twins","9.44","2.72","3.47","0.42","24.9 %","7.2 %","17.7 %",".249","1.26",".331","73.1 %","87","64","70","3.62","2.66","0.96","2.95","3.01","3201"
"Adam Wainwright","Cardinals","8.32","2.19","3.80","0.59","23.4 %","6.2 %","17.3 %",".219","1.05",".275","79.1 %","62","73","76","2.42","2.86","-0.43","3.02","3.11","2233"
"Justin Verlander","Tigers","8.79","2.85","3.08","0.56","23.7 %","7.7 %","16.0 %",".224","1.16",".286","72.0 %","80","70","84","3.37","2.97","0.40","3.52","3.46","8700"
"Mat Latos","Padres","9.21","2.44","3.78","0.78","25.3 %","6.7 %","18.6 %",".216","1.08",".273","77.4 %","79","78","80","2.92","3.00","-0.08","3.21","3.14","3815"
"Roy Halladay","Phillies","7.86","1.08","7.30","0.86","22.1 %","3.0 %","19.0 %",".241","1.04",".290","82.7 %","61","75","70","2.44","3.01","-0.57","2.80","2.88","1303"
"Yovani Gallardo","Brewers","9.73","3.65","2.67","0.58","24.9 %","9.3 %","15.6 %",".246","1.37",".324","69.8 %","95","75","82","3.84","3.02","0.82","3.29","3.46","8173"
"Felix Hernandez","Mariners","8.36","2.52","3.31","0.61","23.2 %","7.0 %","16.2 %",".210","1.06",".263","77.4 %","59","75","75","2.27","3.04","-0.77","3.14","3.18","4772"
"Jered Weaver","Angels","9.35","2.17","4.31","0.92","25.8 %","6.0 %","19.8 %",".220","1.07",".276","75.7 %","76","75","79","3.01","3.06","-0.05","3.32","3.13","4235"
"Chad Billingsley","Dodgers","8.03","3.24","2.48","0.38","20.9 %","8.5 %","12.5 %",".238","1.28",".301","71.0 %","93","79","92","3.57","3.07","0.50","3.67","3.70","5842"
"Ubaldo Jimenez","Rockies","8.69","3.74","2.33","0.41","23.9 %","10.3 %","13.7 %",".207","1.15",".271","76.5 %","63","73","90","2.88","3.10","-0.22","3.60","3.66","3374"
"Clayton Kershaw","Dodgers","9.34","3.57","2.62","0.57","25.0 %","9.6 %","15.5 %",".211","1.18",".275","76.2 %","76","80","91","2.91","3.12","-0.22","3.64","3.54","2036"
"Jon Lester","Red Sox","9.74","3.59","2.71","0.61","26.1 %","9.6 %","16.5 %",".217","1.20",".289","74.5 %","75","76","76","3.25","3.13","0.11","3.18","3.23","4930"
"Tim Lincecum","Giants","9.79","3.22","3.04","0.76","25.8 %","8.5 %","17.3 %",".238","1.27",".310","76.5 %","89","82","77","3.43","3.15","0.28","3.09","3.19","5705"
"Hiroki Kuroda","Dodgers","7.29","2.20","3.31","0.69","19.6 %","5.9 %","13.7 %",".238","1.16",".283","68.9 %","89","83","86","3.39","3.26","0.13","3.43","3.51","3283"
"Roy Oswalt","- - -","8.21","2.34","3.51","0.81","23.1 %","6.6 %","16.5 %",".208","1.03",".253","77.8 %","69","82","83","2.76","3.27","-0.51","3.31","3.34","571"
"Tommy Hanson","Braves","7.68","2.49","3.09","0.62","20.5 %","6.6 %","13.9 %",".235","1.17",".286","71.4 %","83","84","97","3.33","3.31","0.02","3.87","3.72","9129"
"Anibal Sanchez","Marlins","7.25","3.23","2.24","0.46","18.7 %","8.3 %","10.3 %",".251","1.34",".305","70.6 %","87","84","101","3.55","3.32","0.23","4.04","4.08","3284"
"Zack Greinke","Royals","7.40","2.25","3.29","0.74","19.7 %","6.0 %","13.7 %",".256","1.25",".305","65.3 %","100","81","86","4.17","3.34","0.83","3.60","3.65","1943"
"Jaime Garcia","Cardinals","7.27","3.53","2.06","0.50","19.0 %","9.2 %","9.8 %",".240","1.32",".292","75.0 %","69","87","91","2.70","3.41","-0.71","3.62","3.79","8137"
"David Price","Rays","8.11","3.41","2.38","0.65","21.8 %","9.2 %","12.7 %",".219","1.19",".270","78.5 %","69","84","92","2.72","3.42","-0.70","3.83","3.83","3184"
"Gavin Floyd","White Sox","7.25","2.79","2.60","0.67","18.9 %","7.3 %","11.7 %",".271","1.37",".325","70.3 %","94","79","88","4.08","3.46","0.62","3.69","3.77","3886"
"Wandy Rodriguez","Astros","8.22","3.14","2.62","0.74","21.7 %","8.3 %","13.4 %",".246","1.29",".303","69.4 %","91","87","89","3.60","3.50","0.10","3.55","3.63","2586"
"Johan Santana","Mets","6.51","2.49","2.62","0.72","17.6 %","6.7 %","10.9 %",".236","1.18",".272","79.1 %","77","90","103","2.98","3.54","-0.55","4.13","4.19","755"
"CC Sabathia","Yankees","7.46","2.80","2.66","0.76","20.3 %","7.6 %","12.7 %",".235","1.19",".281","75.6 %","75","82","87","3.18","3.54","-0.36","3.63","3.68","404"
"Colby Lewis","Rangers","8.78","2.91","3.02","0.94","23.2 %","7.7 %","15.5 %",".225","1.19",".275","71.9 %","84","81","90","3.72","3.55","0.17","3.74","3.56","1259"
"Brett Myers","Astros","7.24","2.66","2.73","0.80","19.2 %","7.1 %","12.2 %",".245","1.24",".288","76.3 %","79","88","92","3.14","3.56","-0.42","3.67","3.77","962"
"C.J. Wilson","Rangers","7.50","4.10","1.83","0.44","20.0 %","10.9 %","9.1 %",".216","1.25",".266","72.4 %","76","82","97","3.35","3.56","-0.21","4.06","4.17","3580"
"Clay Buchholz","Red Sox","6.22","3.47","1.79","0.47","16.9 %","9.4 %","7.5 %",".222","1.20",".261","79.0 %","54","88","97","2.33","3.61","-1.28","4.07","4.27","3543"
"Ricky Romero","Blue Jays","7.46","3.51","2.12","0.64","19.7 %","9.3 %","10.4 %",".239","1.29",".289","70.2 %","89","86","87","3.73","3.64","0.09","3.64","3.77","3403"
"Doug Fister","Mariners","4.89","1.68","2.91","0.68","12.9 %","4.4 %","8.5 %",".274","1.28",".302","67.7 %","106","90","98","4.11","3.65","0.46","4.10","4.25","9425"
"R.A. Dickey","Mets","5.37","2.17","2.48","0.67","14.6 %","5.9 %","8.7 %",".247","1.19",".276","77.3 %","73","93","94","2.84","3.65","-0.81","3.75","3.90","1245"
"Matt Cain","Giants","7.13","2.46","2.90","0.89","19.8 %","6.8 %","13.0 %",".218","1.08",".252","75.3 %","82","95","100","3.14","3.65","-0.50","4.00","3.92","4732"
"Cole Hamels","Phillies","9.10","2.63","3.46","1.12","24.7 %","7.1 %","17.5 %",".235","1.18",".289","82.7 %","76","92","82","3.06","3.67","-0.61","3.28","3.24","4972"
"Chris Carpenter","Cardinals","6.86","2.41","2.84","0.80","18.5 %","6.5 %","12.0 %",".240","1.18",".278","73.3 %","82","94","93","3.22","3.69","-0.47","3.70","3.71","1292"
"John Danks","White Sox","6.85","2.96","2.31","0.76","18.5 %","8.0 %","10.5 %",".235","1.22",".274","71.5 %","86","84","96","3.72","3.70","0.02","3.99","4.06","6329"
"Jason Hammel","Rockies","7.14","2.38","3.00","0.91","18.3 %","6.1 %","12.2 %",".280","1.40",".328","68.6 %","105","87","92","4.81","3.70","1.11","3.66","3.77","4538"
"Max Scherzer","Tigers","8.46","3.22","2.63","0.92","23.0 %","8.8 %","14.3 %",".241","1.25",".297","74.9 %","83","88","88","3.50","3.71","-0.21","3.68","3.66","3137"
"Dan Haren","- - -","8.27","2.07","4.00","1.19","21.7 %","5.4 %","16.3 %",".262","1.27",".311","74.4 %","94","91","86","3.91","3.71","0.20","3.49","3.44","1757"
"Shaun Marcum","Blue Jays","7.60","1.98","3.84","1.11","20.6 %","5.4 %","15.3 %",".241","1.15",".279","74.3 %","87","89","89","3.64","3.74","-0.10","3.71","3.60","6204"
"Gio Gonzalez","Athletics","7.67","4.13","1.86","0.67","20.1 %","10.8 %","9.3 %",".226","1.31",".274","78.1 %","80","93","97","3.23","3.78","-0.55","4.04","4.16","7448"
"Dallas Braden","Athletics","5.28","2.01","2.63","0.79","14.5 %","5.5 %","9.0 %",".246","1.16",".270","71.0 %","87","93","101","3.50","3.80","-0.30","4.22","4.35","8099"
"Clayton Richard","Padres","6.83","3.48","1.96","0.71","17.8 %","9.1 %","8.7 %",".264","1.41",".311","74.9 %","101","99","101","3.75","3.81","-0.06","4.04","4.22","3551"
"Mike Pelfrey","Mets","4.99","3.00","1.66","0.53","13.0 %","7.8 %","5.2 %",".268","1.38",".300","73.7 %","94","98","108","3.66","3.82","-0.16","4.31","4.59","5203"
"John Lackey","Red Sox","6.53","3.01","2.17","0.75","16.8 %","7.7 %","9.0 %",".274","1.42",".319","69.3 %","100","93","100","4.35","3.85","0.51","4.15","4.20","1507"
"Edwin Jackson","- - -","7.78","3.35","2.32","0.90","20.1 %","8.7 %","11.4 %",".262","1.39",".313","69.6 %","105","93","92","4.47","3.86","0.61","3.71","3.83","1841"
"Derek Lowe","Braves","6.32","2.83","2.23","0.84","16.5 %","7.4 %","9.1 %",".269","1.37",".307","74.2 %","100","98","89","4.00","3.89","0.11","3.54","3.65","199"
"Mark Buehrle","White Sox","4.24","2.10","2.02","0.73","11.0 %","5.5 %","5.6 %",".290","1.40",".313","70.2 %","99","89","108","4.28","3.90","0.38","4.49","4.70","225"
"Randy Wells","Cubs","6.67","2.92","2.29","0.88","17.1 %","7.5 %","9.6 %",".270","1.40",".311","72.0 %","103","97","98","4.26","3.93","0.33","3.94","4.08","4535"
"Justin Masterson","Indians","7.00","3.65","1.92","0.70","17.5 %","9.1 %","8.4 %",".274","1.50",".324","66.6 %","117","96","93","4.70","3.93","0.77","3.87","3.82","2038"
"Jason Vargas","Mariners","5.42","2.52","2.15","0.84","14.3 %","6.7 %","7.6 %",".247","1.25",".272","72.0 %","98","98","110","3.78","3.95","-0.16","4.60","4.64","8044"
"Livan Hernandez","Nationals","4.85","2.72","1.78","0.68","12.7 %","7.1 %","5.6 %",".261","1.32",".287","73.0 %","91","98","114","3.66","3.95","-0.29","4.57","4.77","1116"
"Scott Baker","Twins","7.82","2.27","3.44","1.22","20.4 %","5.9 %","14.5 %",".275","1.34",".323","73.0 %","108","96","92","4.49","3.96","0.53","3.82","3.72","6176"
"Johnny Cueto","Reds","6.69","2.71","2.46","0.92","17.7 %","7.2 %","10.5 %",".253","1.28",".290","76.1 %","89","96","102","3.64","3.97","-0.34","4.09","4.10","6893"
"Ryan Dempster","Cubs","8.69","3.59","2.42","1.04","22.7 %","9.4 %","13.3 %",".241","1.32",".294","71.0 %","93","99","94","3.85","3.99","-0.15","3.74","3.71","517"
"Jonathan Sanchez","Giants","9.54","4.47","2.14","0.98","25.3 %","11.8 %","13.4 %",".201","1.23",".252","79.5 %","80","104","99","3.07","4.00","-0.93","3.94","3.81","7507"
"Carl Pavano","Twins","4.76","1.51","3.16","0.98","12.9 %","4.1 %","8.8 %",".263","1.19",".281","74.0 %","90","97","92","3.75","4.02","-0.27","3.86","4.03","790"
