"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Roy Halladay","Phillies","5.05","-13.94","18.99","49.31","5.15","0.95","","0.87","0.77","24","3.40","1.89","0","0","1303"
"Felix Hernandez","Mariners","4.57","-14.03","18.59","39.13","4.19","0.98","","0.88","1.16","28","3.56","1.09","0","0","4772"
"Ubaldo Jimenez","Rockies","4.45","-14.32","18.77","47.71","4.62","1.08","","0.87","0.96","29","4.33","-0.21","0","0","3374"
"Tim Hudson","Braves","3.73","-14.24","17.97","40.73","4.30","1.04","","0.88","1.07","33","3.03","0.55","0","0","921"
"Roy Oswalt","- - -","3.69","-11.16","14.86","33.41","3.58","0.92","","0.88","1.05","31","3.25","0.75","0","0","571"
"Josh Johnson","Marlins","3.51","-10.76","14.27","38.25","3.90","1.00","","0.87","1.24","27","2.97","0.52","0","0","4567"
"CC Sabathia","Yankees","3.29","-13.49","16.78","29.36","3.05","0.94","","0.88","0.88","32","2.75","0.74","0","0","404"
"Johan Santana","Mets","3.20","-12.38","15.58","24.86","2.72","1.04","","0.88","1.21","25","2.32","0.76","0","0","755"
"Clayton Kershaw","Dodgers","3.19","-12.63","15.82","23.07","2.36","1.02","","0.87","1.32","31","2.76","0.35","0","0","2036"
"Adam Wainwright","Cardinals","3.14","-11.88","15.02","39.92","4.24","0.88","","0.87","0.48","28","3.28","0.29","0","0","2233"
"Clay Buchholz","Red Sox","3.10","-10.79","13.89","34.68","3.43","1.01","","0.86","1.12","27","2.27","0.81","0","0","3543"
"Jon Lester","Red Sox","2.90","-12.97","15.87","22.84","2.29","1.00","","0.87","0.95","30","3.33","-0.44","0","0","4930"
"Mat Latos","Padres","2.88","-11.09","13.96","21.00","2.28","0.99","","0.88","1.13","30","2.28","0.62","0","0","3815"
"Matt Cain","Giants","2.74","-12.66","15.40","24.18","2.47","0.92","","0.88","0.81","29","2.81","0.18","0","0","4732"
"Gio Gonzalez","Athletics","2.73","-12.61","15.34","24.00","2.58","1.00","","0.87","0.87","32","1.92","0.80","0","0","7448"
"Jered Weaver","Angels","2.66","-13.91","16.57","27.04","2.95","0.98","","0.86","1.03","34","2.78","-0.07","0","0","4235"
"C.J. Wilson","Rangers","2.42","-14.07","16.50","26.48","2.55","1.03","","0.87","1.30","30","3.29","-0.95","0","0","3580"
"Cole Hamels","Phillies","2.36","-14.83","17.19","26.56","2.81","1.07","","0.88","1.01","32","1.79","0.42","0","0","4972"
"Tim Lincecum","Giants","2.29","-14.66","16.95","16.22","1.67","1.02","","0.87","1.09","32","1.63","0.61","0","0","5705"
"David Price","Rays","2.18","-13.60","15.78","26.76","2.94","0.99","","0.86","1.13","30","1.58","0.63","0","0","3184"
"Cliff Lee","- - -","2.17","-12.78","14.94","21.67","2.19","0.95","","0.87","1.10","21","3.31","-1.03","0","0","1636"
"Trevor Cahill","Athletics","1.94","-10.97","12.90","23.30","2.47","0.88","","0.86","0.88","29","2.05","0.14","0","0","6249"
"Ted Lilly","- - -","1.85","-13.93","15.78","11.85","1.24","1.03","","0.87","1.35","29","1.61","0.18","0","0","833"
"John Danks","White Sox","1.83","-15.09","16.91","20.26","1.98","1.02","","0.87","0.88","31","2.44","-0.66","0","0","6329"
"Mike Pelfrey","Mets","1.82","-15.96","17.78","8.84","1.03","1.14","","0.94","1.32","32","-0.05","1.64","1","0","5203"
"Ervin Santana","Angels","1.81","-14.27","16.08","5.92","0.53","0.94","","0.87","0.79","29","-0.39","2.32","0","0","3200"
"Chad Billingsley","Dodgers","1.80","-13.51","15.31","10.86","1.15","1.07","","0.87","1.18","30","1.42","0.26","0","0","5842"
"Shaun Marcum","Blue Jays","1.60","-12.97","14.57","13.55","1.32","0.97","","0.87","0.85","30","1.68","-0.03","0","0","6204"
"Max Scherzer","Tigers","1.59","-12.81","14.41","17.29","1.67","0.95","","0.87","0.88","31","1.30","0.37","0","0","3137"
"Ricky Romero","Blue Jays","1.59","-15.78","17.37","8.95","0.93","1.07","","0.88","1.10","29","1.57","-0.09","0","0","3403"
"Francisco Liriano","Twins","1.55","-12.50","14.06","17.37","1.76","0.97","","0.86","1.05","31","1.83","-0.24","0","0","3201"
"Brett Myers","Astros","1.54","-14.94","16.47","18.68","1.99","0.99","","0.88","0.94","31","1.79","-0.24","0","0","962"
"Colby Lewis","Rangers","1.53","-14.21","15.74","16.92","1.75","1.03","","0.88","0.99","31","1.43","0.05","0","0","1259"
"Jaime Garcia","Cardinals","1.46","-10.44","11.90","13.03","1.45","1.01","","0.86","1.15","27","1.94","-0.49","0","0","8137"
"Dan Haren","- - -","1.30","-16.35","17.65","8.56","0.98","0.99","","0.87","1.16","33","0.52","0.79","0","0","1757"
"R.A. Dickey","Mets","1.27","-12.72","13.99","20.76","2.29","1.07","","0.87","0.97","25","1.55","-0.36","0","0","1245"
"Bronson Arroyo","Reds","1.27","-15.22","16.48","12.05","1.28","1.03","","0.88","1.20","31","2.03","-0.80","0","0","978"
"Justin Verlander","Tigers","1.26","-14.18","15.44","22.92","2.25","0.94","","0.88","0.79","29","2.71","-1.37","0","0","8700"
"Yovani Gallardo","Brewers","1.24","-13.16","14.40","4.34","0.40","1.04","","0.87","1.15","29","0.61","0.58","0","0","8173"
"Ian Kennedy","Diamondbacks","1.22","-12.90","14.12","16.61","1.64","0.96","","0.88","1.09","32","1.71","-0.44","0","0","6986"
"Jonathan Sanchez","Giants","1.17","-13.00","14.17","15.02","1.59","1.01","2.11","0.90","1.18","34","0.84","0.32","0","0","7507"
"Phil Hughes","Yankees","1.11","-11.71","12.82","6.08","0.61","0.95","","0.97","0.95","31","0.84","0.33","2","0","7450"
"Brett Cecil","Blue Jays","0.98","-11.35","12.32","-1.06","-0.14","0.91","","0.86","0.84","28","0.09","0.97","0","0","2660"
"Chris Carpenter","Cardinals","0.94","-16.28","17.22","14.29","1.56","0.97","","0.86","0.94","34","1.52","-0.55","0","0","1292"
"Brian Matusz","Orioles","0.89","-13.76","14.65","6.06","0.63","1.10","","0.87","1.41","32","1.17","-0.37","0","0","2646"
"Ryan Dempster","Cubs","0.87","-15.30","16.17","3.30","0.46","0.97","","0.87","0.98","33","0.22","0.68","0","0","517"
"Gavin Floyd","White Sox","0.86","-13.52","14.38","6.50","0.58","1.00","","0.87","1.12","29","1.28","-0.41","0","0","3886"
"Tommy Hanson","Braves","0.85","-13.47","14.32","10.61","1.19","0.96","","0.87","1.01","33","1.29","-0.41","0","0","9129"
"Carl Pavano","Twins","0.74","-15.15","15.89","14.67","1.55","0.97","","0.86","0.86","25","1.65","-0.88","0","0","790"
"Johnny Cueto","Reds","0.68","-12.84","13.52","11.78","1.20","0.99","","0.88","1.05","30","0.42","0.27","0","0","6893"
"Derek Lowe","Braves","0.67","-14.00","14.67","3.90","0.42","1.01","","0.87","0.97","33","0.57","0.09","0","0","199"
"Zack Greinke","Royals","0.61","-15.25","15.86","-3.94","-0.42","0.96","","0.87","1.26","30","1.11","-0.47","0","0","1943"
"Jason Hammel","Rockies","0.60","-13.42","14.02","2.31","0.00","0.98","","0.87","1.55","30","0.27","0.34","0","0","4538"
"Jeremy Guthrie","Orioles","0.60","-14.52","15.11","14.14","1.47","0.96","","0.87","1.04","32","1.63","-1.01","0","0","2072"
"Hiroki Kuroda","Dodgers","0.59","-13.50","14.09","9.15","1.07","1.00","","0.87","1.03","31","2.00","-1.41","0","0","3283"
"Livan Hernandez","Nationals","0.51","-15.39","15.90","7.97","0.80","1.04","","0.87","1.42","31","1.22","-0.73","0","0","1116"
"Anibal Sanchez","Marlins","0.40","-13.74","14.14","2.22","0.27","0.95","","0.87","1.07","31","1.06","-0.64","0","0","3284"
"Jon Garland","Padres","0.40","-14.53","14.93","4.07","0.44","1.01","","0.88","1.02","33","0.18","0.21","0","0","232"
"Dallas Braden","Athletics","0.38","-12.52","12.90","13.30","1.32","0.92","","0.87","1.05","25","1.75","-1.34","0","0","8099"
"Clayton Richard","Padres","0.33","-15.86","16.19","4.03","0.63","1.07","","0.88","1.14","32","-0.54","0.85","0","0","3551"
"Jason Vargas","Mariners","0.30","-15.00","15.30","7.63","0.91","1.06","","0.88","1.28","31","-0.11","0.39","0","0","8044"
"Matt Garza","Rays","0.30","-13.84","14.14","5.81","0.65","0.93","0.86","0.88","0.83","29","0.26","0.06","0","0","3340"
"Roberto Hernandez","Indians","0.28","-14.56","14.85","1.02","0.12","0.96","","0.87","1.34","29","0.33","-0.03","0","0","3273"
"Wandy Rodriguez","Astros","0.21","-14.01","14.22","2.31","0.24","0.98","","0.87","0.83","32","0.61","-0.40","0","0","2586"
"Scott Baker","Twins","0.19","-12.94","13.13","-1.48","-0.16","0.98","","0.88","1.19","29","-0.43","0.62","0","0","6176"
"Edwin Jackson","- - -","0.11","-15.48","15.59","-1.52","0.07","1.00","","0.87","1.03","31","-0.15","0.27","0","0","1841"
"Mark Buehrle","White Sox","-0.05","-15.93","15.88","6.16","0.62","0.98","","0.88","0.86","30","0.32","-0.37","0","0","225"
"Randy Wolf","Brewers","-0.07","-16.66","16.59","-2.03","-0.28","1.02","","0.87","1.06","33","-1.11","1.04","0","0","976"
"Randy Wells","Cubs","-0.12","-15.92","15.79","-0.77","-0.18","1.05","","0.87","0.98","32","0.04","-0.16","0","0","4535"
"Wade Davis","Rays","-0.15","-11.37","11.22","5.46","0.57","0.89","","0.87","0.88","29","-0.48","0.31","0","0","7441"
"Barry Zito","Giants","-0.37","-15.71","15.33","-4.15","-0.39","1.06","","0.92","1.37","32","-0.16","-0.20","0","1","944"
"John Lackey","Red Sox","-0.43","-17.56","17.13","0.57","0.08","1.04","","0.87","1.08","33","0.28","-0.70","0","0","1507"
"Brad Bergesen","Orioles","-0.43","-13.27","12.84","-18.96","-1.97","0.97","0.02","0.83","1.31","27","-1.93","1.49","0","0","8375"
"Jeff Niemann","Rays","-0.47","-13.21","12.74","-2.69","-0.24","1.00","","0.92","1.13","29","-0.54","0.06","1","0","8591"
"Jon Niese","Mets","-0.76","-13.88","13.11","-12.36","-1.25","0.99","","0.88","0.88","28","-1.03","0.26","0","0","4424"
"Doug Fister","Mariners","-0.86","-13.10","12.24","-5.52","-0.55","0.98","","0.87","1.06","28","0.17","-1.05","0","0","9425"
"Jake Westbrook","- - -","-0.87","-15.51","14.64","-5.47","-0.56","0.98","","0.86","1.21","32","0.02","-0.91","0","0","412"
"Joe Saunders","- - -","-0.89","-15.50","14.61","-15.72","-1.72","0.92","","0.87","0.95","30","-1.53","0.57","0","0","4366"
"Chris Narveson","Brewers","-0.97","-12.54","11.57","-9.92","-1.07","0.92","0.67","0.85","1.27","35","-0.23","-0.83","0","4","2141"
