"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Miguel Cabrera","Tigers","7.39","-10.60","17.98","60.31","6.14","1.11","","0","5.77","0.89","1744"
"Joey Votto","Reds","6.88","-9.58","16.46","68.99","7.23","1.01","3.04","3","6.45","0.36","4314"
"Josh Hamilton","Rangers","5.94","-8.63","14.57","55.38","5.33","1.04","1.74","4","4.91","0.78","1875"
"Albert Pujols","Cardinals","5.41","-9.70","15.12","56.26","5.96","0.99","3.48","2","6.18","-0.69","1177"
"Adrian Gonzalez","Padres","5.02","-9.70","14.72","56.30","5.94","1.00","","0","4.55","0.48","1908"
"Jason Heyward","Braves","4.76","-9.74","14.51","44.18","4.67","1.01","2.32","4","3.86","0.85","4940"
"Shin-Soo Choo","Indians","4.65","-9.80","14.45","38.87","4.18","0.99","","0","4.05","0.65","3174"
"Matt Holliday","Cardinals","4.12","-11.46","15.58","39.75","4.16","1.05","3.18","2","4.47","-0.54","1873"
"Jose Bautista","Blue Jays","4.07","-10.02","14.09","53.51","5.57","0.89","","0","5.12","-0.52","1887"
"Robinson Cano","Yankees","4.07","-9.92","13.99","41.37","4.27","0.91","1.89","1","4.10","0.36","3269"
"Delmon Young","Twins","3.97","-10.41","14.38","25.85","2.63","1.05","1.81","4","2.06","1.73","2140"
"Alex Rodriguez","Yankees","3.85","-9.87","13.72","36.48","3.67","1.03","1.57","3","2.40","1.34","1274"
"Carl Crawford","Rays","3.70","-10.47","14.17","43.17","4.55","1.02","2.47","2","3.72","-0.08","1201"
"Ryan Zimmerman","Nationals","3.61","-8.97","12.59","34.98","3.56","0.97","1.44","4","3.28","0.45","4220"
"Aubrey Huff","Giants","3.55","-10.45","14.00","41.93","4.40","1.01","3.34","3","3.53","-0.03","1213"
"Paul Konerko","White Sox","3.52","-10.67","14.18","46.06","4.51","1.02","0.42","1","4.82","-1.36","242"
"Evan Longoria","Rays","3.39","-11.20","14.60","31.52","3.40","1.06","","0","3.11","0.10","9368"
"Adam Dunn","Nationals","3.07","-10.91","13.98","28.72","3.02","1.03","2.70","5","3.18","-0.19","319"
"Ryan Braun","Brewers","3.05","-10.80","13.85","39.42","4.15","0.92","2.08","2","3.64","-0.32","3410"
"Joe Mauer","Twins","3.04","-8.33","11.37","24.45","2.51","0.93","2.37","8","2.56","0.71","1857"
"Corey Hart","Brewers","3.01","-10.40","13.41","29.35","2.99","0.99","1.90","6","2.56","0.49","1945"
"Carlos Gonzalez","Rockies","3.01","-11.69","14.70","41.92","3.85","1.06","0.75","2","4.14","-1.31","7287"
"Jayson Werth","Phillies","2.93","-10.56","13.49","33.39","3.45","1.02","0.34","4","3.84","-0.96","1327"
"Bobby Abreu","Angels","2.85","-10.14","12.99","23.70","2.62","0.90","2.09","3","2.64","0.53","945"
"Dan Uggla","Marlins","2.71","-11.05","13.75","30.49","3.20","0.99","","0","3.38","-0.66","3442"
"Nick Swisher","Yankees","2.48","-10.25","12.74","26.10","2.62","0.92","1.81","7","2.46","0.24","4599"
"Prince Fielder","Brewers","2.47","-10.85","13.31","34.35","3.57","0.98","","0","3.59","-1.07","4613"
"David Ortiz","Red Sox","2.46","-11.00","13.46","22.40","2.28","1.05","3.14","7","2.56","-0.22","745"
"Scott Rolen","Reds","2.46","-9.42","11.88","14.80","1.53","1.08","2.37","7","2.34","-0.05","970"
"Brian McCann","Braves","2.34","-10.38","12.71","20.69","2.16","1.14","2.16","12","2.02","0.03","4810"
"Andres Torres","Giants","2.27","-10.26","12.54","20.97","2.29","1.07","1.64","8","1.11","1.01","1488"
"Vernon Wells","Blue Jays","2.24","-10.60","12.85","14.78","1.41","0.91","3.20","2","1.75","0.70","1326"
"Luke Scott","Orioles","2.24","-9.24","11.48","15.45","1.50","1.08","2.18","10","3.00","-0.93","3469"
"Michael Bourn","Astros","2.24","-9.33","11.57","9.71","1.07","1.01","1.95","4","-0.01","2.22","6387"
"Hanley Ramirez","Marlins","2.23","-9.71","11.95","28.25","2.92","0.96","2.60","1","3.18","-0.86","8001"
"Hideki Matsui","Angels","2.20","-8.76","10.96","26.07","2.89","0.97","1.86","8","1.64","0.64","1659"
"Placido Polanco","Phillies","2.18","-8.58","10.76","6.44","0.64","0.90","4.25","2","0.27","2.15","1176"
"Hunter Pence","Astros","2.15","-11.28","13.42","17.68","1.91","0.99","1.17","1","1.42","0.74","8252"
"Gaby Sanchez","Marlins","2.05","-10.55","12.60","26.14","2.71","0.98","1.29","2","1.29","0.81","3361"
"Andrew McCutchen","Pirates","2.02","-9.91","11.93","22.11","2.35","0.95","1.03","2","2.42","-0.29","9847"
"Vladimir Guerrero","Rangers","2.01","-11.95","13.97","20.53","2.01","1.07","2.43","7","1.56","0.32","778"
"David Wright","Mets","1.94","-11.77","13.71","25.28","2.69","1.03","1.79","1","2.74","-0.85","3787"
"Rickie Weeks Jr.","Brewers","1.93","-11.69","13.61","25.77","2.60","0.96","","0","2.70","-0.69","1849"
"Alex Rios","White Sox","1.88","-11.31","13.19","2.37","0.32","1.03","3.01","2","1.35","0.48","2090"
"Raul Ibanez","Phillies","1.82","-9.92","11.74","20.17","2.05","0.96","1.63","9","1.30","0.61","607"
"Casey McGehee","Brewers","1.76","-11.99","13.74","20.87","2.19","1.02","","0","1.72","0.00","6086"
"Ryan Howard","Phillies","1.72","-10.54","12.26","24.51","2.50","1.03","1.78","1","2.08","-0.41","2154"
"Chase Utley","Phillies","1.60","-6.85","8.45","32.74","3.37","0.87","0.49","1","2.51","-0.67","1679"
"Victor Martinez","Red Sox","1.51","-8.75","10.26","7.90","0.77","0.96","2.09","4","1.59","-0.02","393"
"Kelly Johnson","Diamondbacks","1.42","-11.68","13.10","18.30","1.78","1.00","1.51","5","1.73","-0.32","2234"
"Billy Butler","Royals","1.41","-11.66","13.07","14.08","1.51","1.04","4.40","1","1.87","-0.52","7399"
"Carlos Pena","Rays","1.33","-9.67","11.00","16.97","1.82","1.06","","0","1.43","-0.18","934"
"Brett Gardner","Yankees","1.30","-8.55","9.85","18.99","1.87","0.94","0.97","3","1.62","-0.23","9927"
"Mark Teixeira","Yankees","1.28","-10.60","11.87","34.47","3.42","0.92","4.36","1","1.93","-0.54","1281"
"Shane Victorino","Phillies","1.25","-10.01","11.26","16.69","1.73","0.90","1.56","4","0.72","0.67","1677"
"Carlos Lee","Astros","1.24","-11.93","13.17","-6.30","-0.75","1.00","","0","-0.53","1.76","243"
"Marlon Byrd","Cubs","1.22","-10.58","11.80","18.25","2.02","0.99","1.46","3","1.38","-0.15","950"
"Daric Barton","Athletics","1.21","-10.26","11.47","13.43","1.42","0.97","2.62","3","1.97","-0.74","5928"
