Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA
Josh Hamilton,Rangers,133,518,571,186,111,40,3,32,95,100,43,5,95,7.5,16.6,0.45,0.39,5,4,1,11,8,1,5.9,0.27399999999999997,0.445,56.8,0.359,0.41100000000000003,0.633,1.044,8.4,175,5.94
Carl Crawford,Rays,154,600,663,184,122,30,13,19,110,90,46,3,104,6.9,15.7,0.44,0.342,3,5,3,2,47,10,11.1,0.188,0.369,25.2,0.307,0.35600000000000004,0.495,0.851,7.7,134,3.7
Evan Longoria,Rays,151,574,661,169,96,46,5,22,96,104,72,12,124,10.9,18.8,0.58,0.336,5,10,0,15,15,5,14.4,0.213,0.376,28.8,0.294,0.37200000000000005,0.507,0.879,7.5,139,3.39
Joey Votto,Reds,150,547,648,177,102,36,2,37,106,113,91,8,125,14.0,19.3,0.73,0.361,7,3,0,11,16,5,-10.1,0.276,0.43799999999999994,60.5,0.324,0.424,0.6,1.024,7.0,172,6.88
Albert Pujols,Cardinals,159,587,700,183,101,39,1,42,115,118,103,38,76,14.7,10.9,1.36,0.297,4,6,0,23,14,4,-10.0,0.284,0.419,54.6,0.312,0.414,0.596,1.011,6.8,164,5.41
Ryan Zimmerman,Nationals,142,525,603,161,104,32,0,25,85,85,69,6,98,11.4,16.3,0.7,0.33399999999999996,4,5,0,16,4,1,15.8,0.204,0.39,33.1,0.307,0.38799999999999996,0.51,0.899,6.6,142,3.61
Jose Bautista,Blue Jays,161,569,683,148,56,35,3,54,109,124,100,2,116,14.6,17.0,0.86,0.233,10,4,0,10,9,2,-12.8,0.35700000000000004,0.42200000000000004,55.1,0.26,0.37799999999999995,0.617,0.995,6.4,165,4.07
Adrian Beltre,Red Sox,154,589,641,189,110,49,2,28,84,102,40,10,82,6.2,12.8,0.49,0.331,5,7,0,25,2,1,12.7,0.233,0.391,35.8,0.321,0.365,0.5529999999999999,0.919,6.4,140,-0.03
Robinson Cano,Yankees,160,626,696,200,127,41,3,29,103,109,57,14,77,8.2,11.1,0.74,0.326,8,5,0,19,3,2,1.7,0.214,0.391,39.0,0.319,0.381,0.534,0.914,6.3,143,4.07
Andres Torres,Giants,139,507,570,136,69,43,8,16,84,63,56,2,128,9.8,22.5,0.44,0.331,2,0,5,10,26,7,20.4,0.21100000000000002,0.358,17.0,0.268,0.34299999999999997,0.479,0.823,6.3,125,2.27
Matt Holliday,Cardinals,158,596,675,186,112,45,1,28,95,103,69,10,93,10.2,13.8,0.74,0.331,8,2,0,13,9,5,0.3,0.22,0.397,41.2,0.312,0.39,0.532,0.922,6.2,149,4.12
Brett Gardner,Yankees,150,477,569,132,100,20,7,5,97,47,79,1,101,13.9,17.8,0.78,0.34,5,3,5,6,47,9,20.5,0.10300000000000001,0.34600000000000003,11.4,0.27699999999999997,0.38299999999999995,0.379,0.762,6.1,112,1.3
