"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Miguel Cabrera","Tigers","119","429","511","145","98","28","1","18","64","76","77","15","82","3","2","0","19","1","1",".338","1744"
"Dee Gordon","Marlins","145","615","653","205","169","24","8","4","88","46","25","2","91","2","5","6","6","58","20",".333","8203"
"Bryce Harper","Nationals","153","521","654","172","91","38","1","42","118","99","124","15","131","5","4","0","15","6","4",".330","11579"
"Paul Goldschmidt","Diamondbacks","159","567","695","182","109","38","2","33","103","110","118","29","151","2","7","0","16","21","5",".321","9218"
"Xander Bogaerts","Red Sox","156","613","654","196","151","35","3","7","84","81","32","1","101","3","3","3","16","10","2",".320","12161"
"Buster Posey","Giants","150","557","623","177","130","28","0","19","74","95","56","10","52","3","7","0","17","2","0",".318","9166"
"A.J. Pollock","Diamondbacks","157","609","673","192","127","39","6","20","111","76","53","0","89","2","9","0","19","39","7",".315","9256"
"Yunel Escobar","Nationals","139","535","591","168","133","25","1","9","75","56","45","0","70","8","2","1","24","2","2",".314","4191"
"Joey Votto","Reds","158","545","695","171","107","33","2","29","95","80","143","15","135","5","2","0","11","11","3",".314","4314"
"Jose Altuve","Astros","154","638","689","200","141","40","4","15","86","66","33","8","67","9","6","3","17","38","13",".313","5417"
"David Peralta","Diamondbacks","149","462","517","144","91","26","10","17","61","78","44","2","107","4","7","0","7","9","4",".312","2136"
"Michael Brantley","Indians","137","529","596","164","104","45","0","15","68","84","60","8","51","2","5","0","14","15","1",".310","4106"
"Lorenzo Cain","Royals","140","551","604","169","113","34","6","16","101","72","37","4","98","12","4","0","16","28","6",".307","9077"
"Ben Revere","- - -","152","592","634","181","150","22","7","2","84","45","32","0","64","2","3","5","5","31","7",".306","4712"
"Prince Fielder","Rangers","158","613","693","187","136","28","0","23","78","98","64","14","88","11","5","0","21","0","0",".305","4613"
"Ender Inciarte","Diamondbacks","132","524","561","159","121","27","5","6","73","45","26","0","58","4","5","2","8","21","10",".303","4922"
"Jason Kipnis","Indians","141","565","641","171","112","43","7","9","86","52","57","6","107","9","6","4","5","12","8",".303","9776"
"Nelson Cruz","Mariners","152","590","655","178","111","22","1","44","90","93","59","9","164","5","1","0","6","3","2",".302","2434"
"DJ LeMahieu","Rockies","150","564","620","170","138","21","5","6","85","61","50","4","107","1","2","3","20","23","3",".301","9874"
"Christian Yelich","Marlins","126","476","525","143","104","30","2","7","63","44","47","2","101","2","0","0","13","16","5",".300","11477"
"Mike Trout","Angels","159","575","682","172","93","32","6","41","104","90","92","14","158","10","5","0","11","11","7",".299","10155"
"Eric Hosmer","Royals","158","599","667","178","122","33","5","18","98","93","61","6","108","3","3","1","16","7","3",".297","3516"
"Odubel Herrera","Phillies","147","495","537","147","106","30","3","8","64","41","28","0","129","8","1","5","6","16","8",".297","11476"
"Josh Donaldson","Blue Jays","158","620","711","184","100","41","2","41","122","123","73","0","133","6","10","2","16","6","0",".297","5038"
"Ian Kinsler","Tigers","154","624","675","185","132","35","7","11","94","73","43","0","80","3","5","0","13","10","6",".296","6195"
"Nick Markakis","Braves","156","612","686","181","139","38","1","3","73","53","70","11","83","3","1","0","17","2","1",".296","5930"
"Matt Duffy","Giants","149","573","612","169","123","28","6","12","77","77","30","0","96","5","2","2","22","12","0",".295","13836"
"Francisco Cervelli","Pirates","130","451","510","133","104","17","5","7","56","43","46","1","94","8","1","4","12","1","1",".295","5275"
"Billy Burns","Athletics","125","520","555","153","121","18","9","5","70","42","26","1","81","6","2","1","5","26","8",".294","12701"
"Brandon Phillips","Reds","148","588","623","173","140","19","2","12","69","70","27","1","68","4","3","1","13","23","3",".294","791"
"Jason Heyward","Cardinals","154","547","610","160","110","33","4","13","79","60","56","4","90","2","3","0","13","23","3",".293","4940"
"Andrew McCutchen","Pirates","157","566","685","165","103","36","3","23","91","96","98","12","133","12","9","0","9","11","5",".292","9847"
"Mookie Betts","Red Sox","145","597","654","174","106","42","8","18","92","77","46","1","82","2","6","3","2","21","6",".291","13611"
"Yoenis Cespedes","- - -","159","633","676","184","101","42","6","35","101","105","33","5","141","5","5","0","14","7","5",".291","13110"
"Gerardo Parra","- - -","155","547","589","159","104","36","5","14","83","51","28","3","92","5","5","4","8","14","4",".291","8553"
"Jose Abreu","White Sox","154","613","668","178","111","34","3","30","88","101","39","11","140","15","1","0","16","0","0",".290","15676"
"Kendrys Morales","Royals","158","569","639","165","100","41","2","22","81","106","58","4","103","8","4","0","24","0","0",".290","8610"
"Martin Prado","Marlins","129","500","551","144","111","22","2","9","52","63","37","4","68","5","8","1","9","1","0",".288","3312"
"Adrian Beltre","Rangers","143","567","619","163","109","32","4","18","83","83","41","4","65","3","8","0","18","1","0",".287","639"
"Nolan Arenado","Rockies","157","616","665","177","88","43","4","42","97","130","34","13","110","4","11","0","17","2","5",".287","9777"
"Adam Eaton","White Sox","153","610","689","175","124","28","9","14","98","56","58","2","131","14","2","5","5","18","8",".287","11205"
"Robinson Cano","Mariners","156","624","674","179","123","34","1","21","82","79","43","5","107","3","4","0","26","2","6",".287","3269"
"Starling Marte","Pirates","153","579","633","166","115","30","2","19","84","81","27","3","123","19","5","3","14","30","10",".287","9241"
"Charlie Blackmon","Rockies","157","614","682","176","119","31","9","17","93","58","46","2","112","13","4","5","4","43","13",".287","7859"
"Manny Machado","Orioles","162","633","713","181","115","30","1","35","102","86","70","2","111","4","4","2","17","20","8",".286","11493"
"Ryan Braun","Brewers","140","506","568","144","89","27","3","25","87","84","54","4","115","4","3","0","20","24","4",".285","3410"
"Mike Moustakas","Royals","147","549","614","156","99","34","1","22","73","82","43","1","76","13","5","4","14","1","2",".284","4892"
"J.D. Martinez","Tigers","158","596","657","168","95","33","2","38","93","102","53","7","178","5","3","0","11","3","2",".282","6184"
"Logan Forsythe","Rays","153","540","615","152","100","33","2","17","69","68","55","2","111","14","6","0","12","9","4",".281","7185"
"Daniel Murphy","Mets","130","499","538","140","86","38","2","14","56","73","31","10","38","2","6","0","15","2","2",".281","4316"
"Brandon Belt","Giants","137","492","556","138","82","33","5","18","73","68","56","2","147","4","4","0","3","9","3",".280","10264"
"Troy Tulowitzki","- - -","128","486","534","136","92","27","0","17","77","70","38","5","114","6","4","0","17","1","0",".280","3531"
"Brock Holt","Red Sox","129","454","509","127","92","27","6","2","56","45","46","0","97","3","2","4","7","8","1",".280","9345"
"Anthony Rizzo","Cubs","160","586","701","163","91","38","3","31","94","101","78","9","105","30","7","0","9","17","6",".278","3473"
"Kevin Pillar","Blue Jays","159","586","628","163","118","31","2","12","76","56","28","1","85","5","5","4","9","25","4",".278","12434"
"Mitch Moreland","Rangers","132","471","515","131","81","27","0","23","51","85","32","2","112","7","5","0","9","1","0",".278","3086"
"Adam Lind","Brewers","149","502","572","139","87","32","0","20","72","87","66","11","100","1","3","0","7","0","0",".277","8027"
"Edwin Encarnacion","Blue Jays","146","528","624","146","76","31","0","39","94","111","77","5","98","9","10","0","14","3","2",".277","2151"
"Ben Zobrist","- - -","126","467","535","129","77","36","3","13","76","56","62","3","56","1","5","0","8","3","4",".276","7435"
"Carlos Beltran","Yankees","133","478","531","132","78","34","1","19","57","67","45","2","85","2","6","0","12","0","0",".276","589"
