Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
Clayton Kershaw,Dodgers,16,7,33,33,4,232.2,163,15,42,301,62,0,0,3,55,5,0,1,3,890,9,0.58,1.62,11.64,7.17,29.1,50.0,10.1,78.3,2.13,0.281,1.99,0.88,4.96,8.5
Jake Arrieta,Cubs,22,6,33,33,4,229.0,150,10,48,236,52,0,0,0,45,6,0,2,3,870,6,0.39,1.89,9.28,4.92,21.6,56.2,7.8,80.0,1.77,0.24600000000000002,2.35,0.86,5.87,7.3
David Price,Tigers,18,5,32,32,3,220.1,190,17,47,225,70,0,0,0,60,3,0,2,1,888,4,0.69,1.92,9.19,4.79,20.1,40.4,7.8,78.6,2.45,0.29,2.78,1.08,3.63,6.5
Max Scherzer,Nationals,14,12,33,33,4,228.2,176,27,34,276,74,0,0,1,71,5,0,2,3,899,10,1.06,1.34,10.86,8.12,26.9,35.8,10.5,79.6,2.79,0.268,2.77,0.92,3.22,6.4
Chris Sale,White Sox,13,11,31,31,1,208.2,185,23,42,274,88,0,0,0,79,13,0,0,0,854,7,0.99,1.81,11.82,6.52,27.2,42.6,12.5,73.2,3.41,0.32299999999999995,2.73,1.09,2.5,6.1
Dallas Keuchel,Astros,20,8,33,33,3,232.0,185,17,51,216,68,0,0,0,64,2,0,0,2,911,9,0.66,1.98,8.38,4.24,18.1,61.7,13.6,79.4,2.48,0.26899999999999996,2.91,1.02,4.11,5.9
Zack Greinke,Dodgers,19,3,32,32,1,222.2,148,14,40,200,43,0,0,0,41,5,0,1,0,843,7,0.57,1.62,8.08,5.0,19.0,48.0,7.3,86.5,1.66,0.22899999999999998,2.76,0.84,6.79,5.8
Corey Kluber,Indians,9,16,32,32,4,222.0,189,22,45,245,92,0,0,1,86,11,0,3,0,886,6,0.89,1.82,9.93,5.44,22.6,42.4,10.7,71.4,3.49,0.297,2.97,1.05,1.25,5.6
Gerrit Cole,Pirates,19,8,32,32,0,208.0,183,11,44,202,71,0,0,0,60,10,0,1,0,832,7,0.48,1.9,8.74,4.59,19.0,48.0,6.5,74.9,2.6,0.304,2.66,1.09,2.23,5.5
Chris Archer,Rays,12,13,34,34,1,212.0,175,19,66,252,85,0,0,0,76,3,0,0,1,868,13,0.81,2.8,10.7,3.82,21.4,46.1,10.4,73.1,3.23,0.295,2.9,1.14,1.9,5.2
Madison Bumgarner,Giants,18,9,32,32,4,218.1,181,21,39,234,73,0,0,0,71,7,0,2,2,869,1,0.87,1.61,9.65,6.0,22.4,41.7,10.2,77.9,2.93,0.282,2.87,1.01,2.29,5.2
