"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Anthony Rizzo","Cubs","7.15","-10.24","17.38","57.78","6.16","1.02","","0","5.41","1.62","3473"
"Bryce Harper","Nationals","6.16","-9.26","15.41","75.38","8.06","1.01","","0","8.57","-2.46","11579"
"Joey Votto","Reds","6.03","-9.63","15.65","64.55","6.78","1.01","1.81","2","6.29","-0.31","4314"
"Josh Donaldson","Blue Jays","6.01","-10.41","16.42","57.82","6.00","0.92","1.80","1","6.64","-0.11","5038"
"Kris Bryant","Cubs","5.99","-10.65","16.64","45.58","4.95","1.05","2.13","3","3.85","1.85","15429"
"Paul Goldschmidt","Diamondbacks","5.97","-9.89","15.86","57.63","6.15","0.99","3.29","1","5.92","0.08","9218"
"Andrew McCutchen","Pirates","5.35","-9.77","15.12","48.22","5.37","1.00","1.34","2","3.81","1.55","9847"
"Matt Carpenter","Cardinals","5.29","-10.03","15.32","41.37","4.46","1.03","2.43","3","3.43","1.71","8090"
"Mike Trout","Angels","5.28","-9.25","14.53","52.44","5.62","0.92","","0","6.19","-0.42","10155"
"Miguel Cabrera","Tigers","4.46","-6.99","11.46","46.88","4.92","1.00","3.52","1","3.52","0.94","1744"
"Nelson Cruz","Mariners","4.10","-11.00","15.10","40.65","4.41","1.04","","0","4.49","-0.56","2434"
"Curtis Granderson","Mets","3.94","-9.88","13.82","38.14","4.12","0.98","1.84","13","3.12","0.92","4747"
"Eric Hosmer","Royals","3.91","-10.67","14.58","17.46","1.77","0.98","2.24","3","1.81","2.19","3516"
"Lorenzo Cain","Royals","3.84","-9.26","13.11","20.11","2.13","0.98","0.83","1","2.08","1.84","9077"
"Chris Davis","Orioles","3.82","-10.86","14.68","43.38","4.55","0.99","","0","3.62","0.24","9272"
"Buster Posey","Giants","3.76","-10.52","14.29","35.70","3.99","1.10","3.01","6","2.82","0.61","9166"
"Adrian Gonzalez","Dodgers","3.74","-10.02","13.76","32.04","3.39","1.00","1.22","7","3.17","0.57","1908"
"Carlos Gonzalez","Rockies","3.72","-10.12","13.84","18.95","1.67","0.97","0.95","3","2.19","1.64","7287"
"Jose Bautista","Blue Jays","3.71","-9.68","13.39","43.75","4.54","0.91","0.91","2","4.38","-0.30","1887"
"Mitch Moreland","Rangers","3.55","-9.06","12.61","19.57","2.09","1.03","2.50","14","1.30","2.12","3086"
"Edwin Encarnacion","Blue Jays","3.46","-9.42","12.88","41.97","4.41","0.95","1.59","2","4.09","-0.46","2151"
"David Peralta","Diamondbacks","3.25","-8.48","11.72","33.03","3.43","1.02","1.65","21","2.41","0.76","2136"
"A.J. Pollock","Diamondbacks","3.08","-11.46","14.54","31.80","3.24","0.99","1.23","7","3.69","-0.59","9256"
"Kendrys Morales","Royals","2.72","-10.26","12.98","30.96","3.22","1.00","1.31","8","2.48","0.24","8610"
"Martin Prado","Marlins","2.59","-8.38","10.97","9.55","1.06","0.97","0.30","1","0.75","1.91","3312"
"Matt Duffy","Giants","2.48","-9.52","12.00","23.15","2.66","0.98","1.15","9","1.28","1.24","13836"
