Name,Team,G,AB,PA,H_b,1B,2B,3B,HR_b,R_b,RBI,BB_b,IBB_b,SO_b,BB%,K%,BB/K,BABIP_b,HBP_b,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,W,L,GS,CG,IP,H_p,HR_p,BB_p,SO_p,R_p,SV,BS,BK,ER,HBP_p,HLD,IBB_p,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP_p,FIP,WHIP
Bryce Harper,Nationals,153,521.0,654.0,172.0,91.0,38.0,1.0,42.0,118.0,99.0,124.0,15.0,131.0,19.0,20.0,0.95,0.369,5.0,4.0,0.0,15.0,6.0,4.0,-8.5,0.319,0.461,77.3,0.33,0.46,0.649,1.109,9.5,197.0,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Trout,Angels,159,575.0,682.0,172.0,93.0,32.0,6.0,41.0,104.0,90.0,92.0,14.0,158.0,13.5,23.2,0.58,0.344,10.0,5.0,0.0,11.0,11.0,7.0,2.1,0.29,0.415,55.4,0.299,0.402,0.59,0.991,8.9,171.0,5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Donaldson,Blue Jays,158,620.0,711.0,184.0,100.0,41.0,2.0,41.0,122.0,123.0,73.0,0.0,133.0,10.3,18.7,0.55,0.314,6.0,10.0,2.0,16.0,6.0,0.0,10.7,0.271,0.398,48.0,0.297,0.371,0.568,0.939,8.8,154.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey Votto,Reds,158,545.0,695.0,171.0,107.0,33.0,2.0,29.0,95.0,80.0,143.0,15.0,135.0,20.6,19.4,1.06,0.371,5.0,2.0,0.0,11.0,11.0,3.0,-9.3,0.228,0.4270000000000001,63.1,0.314,0.459,0.541,1.0,7.5,174.0,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Goldschmidt,Diamondbacks,159,567.0,695.0,182.0,109.0,38.0,2.0,33.0,103.0,110.0,118.0,29.0,151.0,17.0,21.7,0.78,0.382,2.0,7.0,0.0,16.0,21.0,5.0,-6.9,0.249,0.418,57.9,0.321,0.435,0.57,1.005,7.3,163.0,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manny Machado,Orioles,162,633.0,713.0,181.0,115.0,30.0,1.0,35.0,102.0,86.0,70.0,2.0,111.0,9.8,15.6,0.63,0.297,4.0,4.0,2.0,17.0,20.0,8.0,11.2,0.21600000000000005,0.37,32.4,0.28600000000000003,0.359,0.502,0.861,6.9,135.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoenis Cespedes,Mets,159,633.0,676.0,184.0,101.0,42.0,6.0,35.0,101.0,105.0,33.0,5.0,141.0,4.9,20.9,0.23,0.32299999999999995,5.0,5.0,0.0,14.0,7.0,5.0,10.6,0.251,0.3670000000000001,29.2,0.29100000000000004,0.328,0.542,0.87,6.7,135.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kris Bryant,Cubs,151,559.0,650.0,154.0,92.0,31.0,5.0,26.0,87.0,99.0,77.0,0.0,199.0,11.8,30.6,0.39,0.378,9.0,5.0,0.0,7.0,13.0,4.0,7.1,0.213,0.371,29.9,0.275,0.369,0.488,0.858,6.5,136.0,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Cain,Royals,140,551.0,604.0,169.0,113.0,34.0,6.0,16.0,101.0,72.0,37.0,4.0,98.0,6.1,16.2,0.38,0.34700000000000003,12.0,4.0,0.0,16.0,28.0,6.0,15.7,0.171,0.36,22.7,0.307,0.361,0.477,0.838,6.5,128.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Pollock,Diamondbacks,157,609.0,673.0,192.0,127.0,39.0,6.0,20.0,111.0,76.0,53.0,0.0,89.0,7.9,13.2,0.6,0.338,2.0,9.0,0.0,19.0,39.0,7.0,8.7,0.182,0.371,31.0,0.315,0.3670000000000001,0.498,0.865,6.5,131.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
