"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"A.J. Pollock","Diamondbacks","673","7.9 %","13.2 %","0.60",".315",".367",".498",".865",".182","7.1",".338","4.2","-1.9","4.7","107","31.0",".371","131","9256"
"Kris Bryant","Cubs","650","11.8 %","30.6 %","0.39",".275",".369",".488",".858",".213","5.4",".378","3.5","2.9","0.7","103","29.9",".371","136","15429"
"Manny Machado","Orioles","713","9.8 %","15.6 %","0.63",".286",".359",".502",".861",".216","4.2",".297","3.0","-2.4","0.5","113","32.4",".370","135","11493"
"Michael Brantley","Indians","596","10.1 %","8.6 %","1.18",".310",".379",".480",".859",".170","4.0",".318","-0.9","0.0","2.3","93","26.0",".368","133","4106"
"Yoenis Cespedes","- - -","676","4.9 %","20.9 %","0.23",".291",".328",".542",".870",".251","5.1",".323","3.8","0.4","-0.8","105","29.2",".367","135","13110"
"Ryan Braun","Brewers","568","9.5 %","20.2 %","0.47",".285",".356",".498",".854",".213","6.3",".322","1.3","-2.3","3.0","88","23.9",".366","131","3410"
"Shin-Soo Choo","Rangers","653","11.6 %","22.5 %","0.52",".276",".375",".463",".838",".187","3.9",".335","0.7","1.4","-0.3","101","27.0",".365","128","3174"
"Kendrys Morales","Royals","639","9.1 %","16.1 %","0.56",".290",".362",".485",".847",".195","2.1",".319","-5.1","-2.8","-0.3","98","25.9",".364","131","8610"
"Carlos Gonzalez","Rockies","608","7.6 %","21.9 %","0.35",".271",".325",".540",".864",".269","3.2",".284","1.2","-0.1","0.2","93","24.5",".364","116","7287"
"Buster Posey","Giants","623","9.0 %","8.3 %","1.08",".318",".379",".470",".849",".153","2.1",".320","-0.6","-1.2","0.0","95","24.9",".363","135","9166"
"Jose Abreu","White Sox","668","5.8 %","21.0 %","0.28",".290",".347",".502",".850",".212","2.5",".333","-0.5","-0.2","-0.3","101","25.6",".361","131","15676"
"Alex Rodriguez","Yankees","620","13.5 %","23.4 %","0.58",".250",".356",".486",".842",".235","3.3",".278","-1.0","-0.1","0.5","93","23.7",".361","129","1274"
"Prince Fielder","Rangers","693","9.2 %","12.7 %","0.73",".305",".378",".463",".841",".158","1.0",".323","-5.2","-1.0","-0.4","104","26.1",".360","125","4613"
"Lorenzo Cain","Royals","604","6.1 %","16.2 %","0.38",".307",".361",".477",".838",".171","7.4",".347","3.4","-0.1","2.9","91","22.7",".360","128","9077"
"Brandon Belt","Giants","556","10.1 %","26.4 %","0.38",".280",".356",".478",".834",".197","5.3",".363","-1.5","2.7","0.3","83","20.3",".359","132","10264"
"Lucas Duda","Mets","554","11.9 %","24.9 %","0.48",".244",".352",".486",".838",".242","1.5",".285","0.4","0.7","-1.0","82","20.2",".359","132","2502"
"Curtis Granderson","Mets","682","13.3 %","22.1 %","0.60",".259",".364",".457",".821",".198","4.2",".305","1.0","2.0","-0.5","100","23.7",".357","131","4747"
"Jason Kipnis","Indians","641","8.9 %","16.7 %","0.53",".303",".372",".451",".823",".149","5.3",".356","2.5","2.0","-1.1","93","21.3",".355","124","9776"
"Eric Hosmer","Royals","667","9.1 %","16.2 %","0.56",".297",".363",".459",".822",".162","4.9",".336","3.3","-0.1","-0.1","97","22.0",".355","124","3516"
"Adrian Gonzalez","Dodgers","643","9.6 %","16.6 %","0.58",".275",".350",".480",".830",".205","1.2",".294","-3.2","-1.7","-0.7","93","21.1",".354","129","1908"
"Mike Moustakas","Royals","614","7.0 %","12.4 %","0.57",".284",".348",".470",".817",".186","1.9",".294","-4.6","0.1","-0.9","89","19.6",".353","123","4892"
"Mookie Betts","Red Sox","654","7.0 %","12.5 %","0.56",".291",".341",".479",".820",".188","6.7",".310","3.9","2.9","1.5","94","20.0",".351","120","13611"
"Adam Lind","Brewers","572","11.5 %","17.5 %","0.66",".277",".360",".460",".820",".183","1.3",".309","-4.0","1.2","-0.3","81","17.0",".351","120","8027"
"Logan Forsythe","Rays","615","8.9 %","18.0 %","0.50",".281",".359",".444",".804",".163","3.9",".323","-2.3","0.7","-0.1","87","17.9",".350","125","7185"
"Ben Zobrist","- - -","535","11.6 %","10.5 %","1.11",".276",".359",".450",".809",".173","3.5",".288","-0.7","1.0","-1.2","76","15.5",".349","122","7435"
"Yunel Escobar","Nationals","591","7.6 %","11.8 %","0.64",".314",".375",".415",".790",".101","2.5",".347","-3.2","-2.4","-0.7","83","16.5",".348","120","4191"
"Mitch Moreland","Rangers","515","6.2 %","21.7 %","0.29",".278",".330",".482",".812",".204","1.5",".317","-1.9","1.2","0.0","72","14.2",".348","117","3086"
"Jose Altuve","Astros","689","4.8 %","9.7 %","0.49",".313",".353",".459",".812",".146","5.9",".329","-3.6","-2.3","2.2","96","18.7",".347","124","5417"
"Carlos Beltran","Yankees","531","8.5 %","16.0 %","0.53",".276",".337",".471",".808",".195","1.5",".297","-0.5","0.3","-0.2","74","14.1",".346","119","589"
"Adam Eaton","White Sox","689","8.4 %","19.0 %","0.44",".287",".361",".431",".792",".144","6.5",".345","3.8","1.6","0.1","96","18.2",".346","121","11205"
"Jason Heyward","Cardinals","610","9.2 %","14.8 %","0.62",".293",".359",".439",".797",".146","6.0",".329","3.1","0.8","3.1","84","15.8",".346","121","4940"
"Charlie Blackmon","Rockies","682","6.7 %","16.4 %","0.41",".287",".347",".450",".797",".163","7.4",".325","-1.4","1.4","3.2","94","17.3",".345","103","7859"
"Christian Yelich","Marlins","525","9.0 %","19.2 %","0.47",".300",".366",".416",".782",".116","4.8",".370","1.9","-0.9","0.9","71","12.4",".343","120","11477"
"Todd Frazier","Reds","678","6.5 %","20.2 %","0.32",".255",".309",".498",".806",".242","3.7",".271","0.4","-0.2","-0.8","92","15.7",".342","116","785"
"Francisco Cervelli","Pirates","510","9.0 %","18.4 %","0.49",".295",".370",".401",".771",".106","3.6",".359","0.0","-0.2","-0.5","69","11.2",".341","117","5275"
"Russell Martin","Blue Jays","507","10.5 %","20.9 %","0.50",".240",".329",".458",".787",".218","4.0",".262","-0.3","-2.9","-1.4","68","10.9",".340","115","4616"
"Justin Upton","Padres","620","11.0 %","25.6 %","0.43",".251",".336",".454",".790",".203","5.7",".304","2.2","0.9","1.5","83","13.2",".340","119","5222"
"Josh Reddick","Athletics","582","8.4 %","11.2 %","0.75",".272",".333",".449",".781",".177","4.8",".278","2.7","1.5","0.9","77","11.7",".338","116","3892"
"Xander Bogaerts","Red Sox","654","4.9 %","15.4 %","0.32",".320",".355",".421",".776",".101","4.8",".372","3.5","-0.7","0.9","87","12.9",".338","111","12161"
"Chris Coghlan","Cubs","503","11.5 %","18.7 %","0.62",".250",".341",".443",".784",".193","6.1",".284","1.5","0.5","1.2","66","9.7",".337","113","6878"
"Starling Marte","Pirates","633","4.3 %","19.4 %","0.22",".287",".337",".444",".780",".157","5.9",".333","-2.9","-0.1","1.8","83","12.2",".337","115","9241"
"Adrian Beltre","Rangers","619","6.6 %","10.5 %","0.63",".287",".334",".453",".788",".166","3.6",".295","5.2","-1.2","-0.1","81","11.8",".337","109","639"
"Dee Gordon","Marlins","653","3.8 %","13.9 %","0.27",".333",".359",".418",".776",".085","7.3",".383","0.8","0.7","3.4","86","12.3",".337","116","8203"
"Stephen Vogt","Athletics","511","11.0 %","19.0 %","0.58",".261",".341",".443",".783",".182","2.7",".290","-3.9","0.5","-1.0","66","9.0",".335","114","5000"
"Robinson Cano","Mariners","674","6.4 %","15.9 %","0.40",".287",".334",".446",".779",".159","2.3",".316","-3.6","-2.6","-2.3","88","11.9",".335","116","3269"
"Joc Pederson","Dodgers","585","15.7 %","29.1 %","0.54",".210",".346",".417",".763",".206","2.4",".262","0.2","1.9","-2.2","76","10.1",".335","116","11899"
"Troy Tulowitzki","- - -","534","7.1 %","21.3 %","0.33",".280",".337",".440",".777",".160","2.6",".331","-3.0","-0.9","-0.1","69","9.2",".335","101","3531"
"Ian Kinsler","Tigers","675","6.4 %","11.9 %","0.54",".296",".342",".428",".770",".131","5.4",".323","1.7","-0.4","-0.7","87","11.5",".335","110","6195"
"Kyle Seager","Mariners","686","7.9 %","14.3 %","0.55",".266",".328",".451",".779",".185","2.6",".278","-0.3","-1.2","-1.5","89","11.7",".335","115","9785"
"Adam Jones","Orioles","581","4.1 %","17.6 %","0.24",".269",".308",".474",".782",".205","3.8",".286","1.4","-1.1","0.0","75","9.7",".334","111","6368"
"Gerardo Parra","- - -","589","4.8 %","15.6 %","0.30",".291",".328",".452",".780",".161","6.1",".325","-0.7","1.7","1.0","76","9.8",".334","109","8553"
"Odubel Herrera","Phillies","537","5.2 %","24.0 %","0.22",".297",".344",".418",".762",".121","5.3",".387","1.6","0.7","-0.2","69","8.6",".333","111","11476"
"Albert Pujols","Angels","661","7.6 %","10.9 %","0.69",".244",".307",".480",".787",".236","2.7",".217","-3.8","-0.7","-0.4","85","10.6",".333","114","1177"
"Dexter Fowler","Cubs","690","12.2 %","22.3 %","0.55",".250",".346",".411",".757",".161","6.6",".308","-2.1","1.4","0.9","88","10.8",".333","109","4062"
"Brandon Crawford","Giants","561","7.0 %","21.2 %","0.33",".256",".321",".462",".782",".205","4.5",".294","1.3","-2.1","-0.6","71","8.3",".332","113","5343"
"Matt Duffy","Giants","612","4.9 %","15.7 %","0.31",".295",".334",".428",".762",".133","6.0",".336","4.3","-2.0","2.1","78","8.8",".331","113","13836"
"Carlos Santana","Indians","666","16.2 %","18.3 %","0.89",".231",".357",".395",".752",".164","3.9",".261","1.8","-1.2","0.7","84","9.3",".331","107","2396"
"DJ LeMahieu","Rockies","620","8.1 %","17.3 %","0.47",".301",".358",".388",".746",".087","6.4",".362","2.3","-2.2","3.1","77","7.0",".327","91","9874"
"Mark Trumbo","- - -","545","6.6 %","24.2 %","0.27",".262",".310",".449",".759",".187","2.5",".313","-2.7","0.5","-0.2","67","6.1",".327","107","6876"
"Brett Gardner","Yankees","656","10.4 %","20.6 %","0.50",".259",".343",".399",".742",".140","5.7",".312","2.1","1.7","1.7","81","7.2",".327","106","9927"
"Nick Markakis","Braves","686","10.2 %","12.1 %","0.84",".296",".370",".376",".746",".080","2.3",".338","0.3","-1.6","-0.4","85","7.5",".327","106","5930"
"Brian McCann","Yankees","535","9.7 %","18.1 %","0.54",".232",".320",".437",".756",".204","2.0",".235","-4.3","1.3","-0.2","66","5.8",".327","106","4810"
"Evan Longoria","Rays","670","7.6 %","19.7 %","0.39",".270",".328",".435",".764",".166","2.6",".309","0.2","1.4","-0.1","82","7.1",".327","109","9368"
"Matt Kemp","Padres","648","6.0 %","22.7 %","0.27",".265",".312",".443",".755",".178","5.1",".311","-0.4","0.0","1.3","79","6.1",".325","109","5631"
"Ender Inciarte","Diamondbacks","561","4.6 %","10.3 %","0.45",".303",".338",".408",".747",".105","6.0",".329","3.0","0.3","0.0","68","5.2",".325","100","4922"
"Neil Walker","Pirates","603","7.3 %","18.2 %","0.40",".269",".328",".427",".756",".158","3.9",".306","1.9","0.7","0.1","73","5.6",".325","106","7539"
"Daniel Murphy","Mets","538","5.8 %","7.1 %","0.82",".281",".322",".449",".770",".168","2.7",".278","1.1","-0.8","-0.6","65","5.0",".325","109","4316"
"Yangervis Solarte","Padres","571","6.0 %","9.8 %","0.61",".270",".320",".428",".748",".158","3.4",".279","-3.1","-1.3","-0.1","69","5.1",".324","109","5352"
"Brian Dozier","Twins","704","8.7 %","21.0 %","0.41",".236",".307",".444",".751",".209","5.6",".261","1.9","0.7","0.6","85","5.4",".323","102","9810"
"Jhonny Peralta","Cardinals","640","7.8 %","17.3 %","0.45",".275",".334",".411",".745",".136","1.8",".311","-3.3","-1.6","-1.7","77","4.8",".323","105","1738"
"Brock Holt","Red Sox","509","9.0 %","19.1 %","0.47",".280",".349",".379",".727",".099","5.8",".350","2.8","0.6","0.9","61","3.4",".322","99","9345"
"Trevor Plouffe","Twins","632","7.9 %","19.6 %","0.40",".244",".307",".435",".742",".190","3.6",".274","1.5","-3.1","-0.3","75","4.0",".321","100","7462"
"Asdrubal Cabrera","Rays","551","6.5 %","19.4 %","0.34",".265",".315",".430",".744",".164","5.0",".306","1.7","-1.0","-0.2","64","2.4",".319","104","4962"
"Martin Prado","Marlins","551","6.7 %","12.3 %","0.54",".288",".338",".394",".732",".106","2.5",".313","-0.4","0.6","-0.1","64","2.0",".318","102","3312"
"Billy Burns","Athletics","555","4.7 %","14.6 %","0.32",".294",".334",".392",".726",".098","7.2",".339","2.9","0.9","1.8","64","1.7",".317","102","12701"
"Kole Calhoun","Angels","686","6.6 %","23.9 %","0.27",".256",".308",".422",".731",".167","3.4",".304","0.8","2.2","0.1","79","2.1",".317","103","11200"
"Evan Gattis","Astros","604","5.0 %","19.7 %","0.25",".246",".285",".463",".748",".217","3.9",".264","-2.5","-0.2","-0.6","70","1.8",".317","103","11003"
"Marlon Byrd","- - -","544","5.3 %","26.7 %","0.20",".247",".290",".453",".743",".206","3.9",".297","0.6","0.2","-0.2","63","1.6",".317","100","950"
"Ben Revere","- - -","634","5.0 %","10.1 %","0.50",".306",".342",".377",".719",".071","6.9",".338","3.4","1.5","3.1","73","1.2",".316","98","4712"
"Brandon Phillips","Reds","623","4.3 %","10.9 %","0.40",".294",".328",".395",".723",".100","5.4",".315","1.6","-0.7","3.1","71","1.1",".315","97","791"
"Billy Butler","Athletics","601","8.7 %","16.8 %","0.51",".251",".323",".390",".713",".139","1.8",".282","-6.6","-4.2","-0.3","67","-0.9",".311","98","7399"
"Marcus Semien","Athletics","601","7.0 %","22.0 %","0.32",".257",".310",".405",".715",".147","5.5",".312","2.0","-1.0","0.0","67","-1.1",".311","97","12533"
"Nick Castellanos","Tigers","595","6.6 %","25.5 %","0.26",".255",".303",".419",".721",".164","2.7",".322","-2.8","-3.1","-1.4","66","-1.2",".311","94","11737"
"Joe Mauer","Twins","666","10.1 %","16.8 %","0.60",".265",".338",".380",".718",".115","2.8",".309","-0.8","-2.2","-0.3","74","-1.4",".311","93","1857"
"Kevin Pillar","Blue Jays","628","4.5 %","13.5 %","0.33",".278",".314",".399",".713",".121","5.8",".306","3.4","1.6","3.1","69","-1.7",".310","94","12434"
"Kolten Wong","Cardinals","613","5.9 %","15.5 %","0.38",".262",".321",".386",".707",".124","5.3",".296","2.7","0.9","-0.4","67","-1.8",".310","96","12532"
"Kevin Kiermaier","Rays","535","4.5 %","17.8 %","0.25",".263",".298",".420",".718",".156","7.3",".306","1.4","0.7","1.4","59","-1.7",".309","97","11038"
"Jay Bruce","Reds","649","8.9 %","22.3 %","0.40",".226",".294",".434",".729",".209","4.4",".251","-2.2","0.8","-0.4","71","-2.3",".309","93","9892"
"Derek Norris","Padres","557","6.3 %","23.5 %","0.27",".250",".305",".404",".709",".153","3.9",".310","-2.5","1.4","0.2","61","-2.0",".309","98","6867"
"Aramis Ramirez","- - -","516","6.0 %","13.2 %","0.46",".246",".297",".423",".720",".177","2.0",".253","-4.7","-2.6","0.0","56","-1.9",".309","93","1002"
"Brandon Moss","- - -","526","9.3 %","28.1 %","0.33",".226",".304",".407",".711",".181","2.0",".285","-0.7","0.9","-0.6","57","-2.1",".308","93","4467"
"Ryan Howard","Phillies","503","5.4 %","27.4 %","0.20",".229",".277",".443",".720",".214","1.7",".272","-1.3","0.1","-0.2","54","-2.2",".308","93","2154"
"Cameron Maybin","Braves","555","8.1 %","18.4 %","0.44",".267",".327",".370",".697",".103","5.4",".316","1.7","-2.2","2.0","60","-2.7",".307","93","5223"
"Melky Cabrera","White Sox","683","5.9 %","12.9 %","0.45",".273",".314",".394",".709",".121","3.1",".297","-2.5","-1.1","0.3","73","-3.6",".307","94","4022"
"Chase Headley","Yankees","642","7.9 %","21.0 %","0.38",".259",".324",".369",".693",".110","2.3",".317","2.5","-0.9","-1.1","69","-3.4",".307","92","4720"
"Brett Lawrie","Athletics","602","4.7 %","23.9 %","0.19",".260",".299",".407",".706",".148","4.0",".320","0.3","2.1","0.0","64","-3.7",".306","94","5247"
"Austin Jackson","- - -","527","5.5 %","23.9 %","0.23",".267",".311",".385",".696",".118","5.2",".342","-0.5","1.3","-0.8","56","-3.6",".305","94","9848"
"Gregory Polanco","Pirates","652","8.4 %","18.6 %","0.45",".256",".320",".381",".701",".125","6.3",".308","3.0","1.1","1.2","69","-4.6",".304","92","12907"
"Torii Hunter","Twins","567","6.2 %","18.5 %","0.33",".240",".293",".409",".702",".169","2.3",".258","0.8","0.1","-1.8","60","-4.2",".304","89","731"
"Anthony Gose","Tigers","535","8.4 %","27.1 %","0.31",".254",".321",".367",".688",".113","7.5",".352","0.9","-0.3","0.0","56","-3.9",".304","89","5097"
"Addison Russell","Cubs","523","8.0 %","28.5 %","0.28",".242",".307",".389",".696",".147","3.3",".324","0.5","0.5","-0.6","55","-4.0",".304","90","14106"
"Wilmer Flores","Mets","510","3.7 %","12.4 %","0.30",".263",".295",".408",".703",".145","1.6",".273","1.4","-0.8","-0.6","53","-3.9",".304","95","5827"
"Didi Gregorius","Yankees","578","5.7 %","14.7 %","0.39",".265",".318",".370",".688",".105","3.5",".297","1.8","2.2","-0.5","60","-4.8",".303","89","6012"
"Jose Reyes","- - -","519","5.0 %","11.9 %","0.42",".274",".310",".378",".688",".104","5.6",".301","-1.5","0.8","2.2","53","-5.3",".300","81","1736"
"Salvador Perez","Royals","553","2.4 %","14.8 %","0.16",".260",".280",".426",".706",".166","1.7",".270","-3.6","-3.1","0.0","57","-5.7",".300","87","7304"
"Logan Morrison","Mariners","511","9.2 %","15.9 %","0.58",".225",".302",".383",".685",".158","4.1",".238","-2.2","1.5","-0.2","51","-6.3",".298","90","9205"
"Avisail Garcia","White Sox","601","6.0 %","23.5 %","0.26",".257",".309",".365",".675",".108","3.6",".320","-2.9","0.0","-1.6","59","-8.5",".295","86","5760"
"Ian Desmond","Nationals","641","7.0 %","29.2 %","0.24",".233",".290",".384",".674",".151","4.5",".307","3.3","1.8","0.4","62","-9.6",".294","83","6885"
"Elvis Andrus","Rangers","661","7.0 %","11.8 %","0.59",".258",".309",".357",".667",".099","5.2",".283","2.8","-0.2","1.2","63","-11.1",".292","78","8709"
"Andrelton Simmons","Braves","583","6.7 %","8.2 %","0.81",".265",".321",".338",".660",".073","3.6",".285","2.8","-1.7","-0.5","55","-11.0",".290","81","10847"
"Starlin Castro","Cubs","578","3.6 %","15.7 %","0.23",".265",".296",".375",".671",".110","3.1",".298","0.8","-1.7","-1.2","54","-11.4",".288","79","4579"
"Pablo Sandoval","Red Sox","505","5.0 %","14.5 %","0.34",".245",".292",".366",".658",".121","1.6",".270","-4.3","-0.8","-0.2","47","-10.3",".288","76","5409"
"Yadier Molina","Cardinals","530","6.0 %","11.1 %","0.54",".270",".310",".350",".660",".080","2.7",".295","-1.6","-0.8","-0.1","49","-11.1",".287","81","7007"
"Jace Peterson","Braves","597","9.4 %","20.1 %","0.47",".239",".314",".335",".649",".097","4.6",".296","1.7","1.4","-1.8","55","-12.5",".287","79","12325"
"Freddy Galvis","Phillies","603","5.0 %","17.1 %","0.29",".263",".302",".343",".645",".081","5.5",".309","2.5","0.8","1.3","54","-14.3",".283","76","6609"
"Jimmy Rollins","Dodgers","563","7.8 %","15.3 %","0.51",".224",".285",".358",".643",".133","5.1",".246","-0.4","-0.6","-1.0","50","-13.7",".283","80","971"
"Erick Aybar","Angels","638","3.9 %","11.4 %","0.34",".270",".301",".338",".639",".069","4.6",".300","3.0","0.1","0.3","55","-16.7",".280","78","4082"
"Angel Pagan","Giants","551","5.8 %","16.9 %","0.34",".262",".303",".332",".635",".070","4.9",".310","1.8","0.0","0.6","47","-14.6",".280","78","2918"
"Alexei Ramirez","White Sox","622","5.0 %","10.9 %","0.46",".249",".285",".357",".642",".108","3.8",".264","-4.5","-0.9","0.4","53","-17.1",".279","74","5133"
"Michael Taylor","Nationals","511","6.8 %","30.9 %","0.22",".229",".282",".358",".640",".129","5.3",".311","-3.4","1.1","1.8","42","-15.9",".274","69","11489"
"Alcides Escobar","Royals","662","3.9 %","11.3 %","0.35",".257",".293",".320",".614",".064","5.9",".286","3.3","0.0","1.1","52","-22.6",".271","66","6310"
"Jean Segura","Brewers","584","2.2 %","15.9 %","0.14",".257",".281",".336",".616",".079","6.4",".298","1.8","-1.1","2.4","45","-20.9",".268","64","5933"
"Wilson Ramos","Nationals","504","4.2 %","20.0 %","0.21",".229",".258",".358",".616",".128","0.9",".256","0.3","-1.7","-0.2","37","-19.6",".265","62","1433"
"Chris Owings","Diamondbacks","552","4.7 %","26.1 %","0.18",".227",".264",".322",".587",".095","6.7",".305","2.5","0.9","1.4","36","-25.8",".255","51","10030"
