"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Bryce Harper","Nationals","654","19.0 %","20.0 %","0.95",".330",".460",".649","1.109",".319","3.1",".369","3.1","0.9","-0.8","151","77.3",".461","197","11579"
"Joey Votto","Reds","695","20.6 %","19.4 %","1.06",".314",".459",".541","1.000",".228","3.7",".371","-2.7","0.9","0.6","141","63.1",".427","174","4314"
"Paul Goldschmidt","Diamondbacks","695","17.0 %","21.7 %","0.78",".321",".435",".570","1.005",".249","4.6",".382","1.7","-0.4","1.8","136","57.9",".418","163","9218"
"Mike Trout","Angels","682","13.5 %","23.2 %","0.58",".299",".402",".590",".991",".290","5.0",".344","2.8","1.4","-0.9","132","55.4",".415","171","10155"
"Miguel Cabrera","Tigers","511","15.1 %","16.0 %","0.94",".338",".440",".534",".974",".196","1.9",".384","-3.1","-1.5","-0.5","98","40.9",".413","164","1744"
"Josh Donaldson","Blue Jays","711","10.3 %","18.7 %","0.55",".297",".371",".568",".939",".271","4.5",".314","3.6","-0.4","0.8","128","48.0",".398","154","5038"
"Nelson Cruz","Mariners","655","9.0 %","25.0 %","0.36",".302",".369",".566",".936",".264","2.5",".350","-3.6","1.6","-0.5","117","43.3",".396","158","2434"
"Edwin Encarnacion","Blue Jays","624","12.3 %","15.7 %","0.79",".277",".372",".557",".929",".280","2.4",".267","-2.1","0.4","-0.5","109","39.0",".392","150","2151"
"Chris Davis","Orioles","670","12.5 %","31.0 %","0.40",".262",".361",".562",".923",".300","1.9",".319","-1.5","2.1","-1.1","116","40.9",".390","149","9272"
"Jose Bautista","Blue Jays","666","16.5 %","15.9 %","1.04",".250",".377",".536",".913",".285","4.5",".237","2.3","-0.5","0.5","115","40.1",".389","148","1887"
"Anthony Rizzo","Cubs","701","11.1 %","15.0 %","0.74",".278",".387",".512",".899",".234","4.9",".289","-0.6","1.8","0.7","118","39.6",".384","145","3473"
"Andrew McCutchen","Pirates","685","14.3 %","19.4 %","0.74",".292",".401",".488",".889",".196","4.2",".339","-1.5","0.6","-0.2","114","36.7",".380","144","9847"
"David Peralta","Diamondbacks","517","8.5 %","20.7 %","0.41",".312",".371",".522",".893",".210","5.6",".368","2.8","0.9","0.0","86","27.5",".380","137","2136"
"David Ortiz","Red Sox","614","12.5 %","15.5 %","0.81",".273",".360",".553",".913",".280","0.9",".264","-4.0","-0.5","-0.6","101","32.1",".379","139","745"
"Matt Carpenter","Cardinals","665","12.2 %","22.7 %","0.54",".272",".365",".505",".871",".233","3.8",".321","0.1","2.1","-0.7","106","31.4",".372","139","8090"
"J.D. Martinez","Tigers","657","8.1 %","27.1 %","0.30",".282",".344",".535",".879",".253","3.1",".339","-2.5","0.8","-0.5","105","31.0",".372","136","6184"
"Nolan Arenado","Rockies","665","5.1 %","16.5 %","0.31",".287",".323",".575",".898",".287","3.5",".284","1.8","-0.9","-1.8","106","30.8",".371","121","9777"
