Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA
Bryce Harper,Nationals,153,521,654,172,91,38,1,42,118,99,124,15,131,19.0,20.0,0.95,0.369,5,4,0,15,6,4,-8.5,0.319,0.461,77.3,0.33,0.46,0.649,1.109,9.5,197,6.16
Mike Trout,Angels,159,575,682,172,93,32,6,41,104,90,92,14,158,13.5,23.2,0.58,0.344,10,5,0,11,11,7,2.1,0.29,0.415,55.4,0.299,0.402,0.59,0.991,8.9,171,5.28
Josh Donaldson,Blue Jays,158,620,711,184,100,41,2,41,122,123,73,0,133,10.3,18.7,0.55,0.314,6,10,2,16,6,0,10.7,0.271,0.39799999999999996,48.0,0.297,0.371,0.568,0.9390000000000001,8.8,154,6.01
Joey Votto,Reds,158,545,695,171,107,33,2,29,95,80,143,15,135,20.6,19.4,1.06,0.371,5,2,0,11,11,3,-9.3,0.228,0.42700000000000005,63.1,0.314,0.45899999999999996,0.541,1.0,7.5,174,6.03
Paul Goldschmidt,Diamondbacks,159,567,695,182,109,38,2,33,103,110,118,29,151,17.0,21.7,0.78,0.382,2,7,0,16,21,5,-6.9,0.249,0.418,57.9,0.321,0.435,0.57,1.005,7.3,163,5.97
Manny Machado,Orioles,162,633,713,181,115,30,1,35,102,86,70,2,111,9.8,15.6,0.63,0.297,4,4,2,17,20,8,11.2,0.21600000000000003,0.37,32.4,0.28600000000000003,0.359,0.502,0.861,6.9,135,1.11
Yoenis Cespedes,Mets,159,633,676,184,101,42,6,35,101,105,33,5,141,4.9,20.9,0.23,0.32299999999999995,5,5,0,14,7,5,10.6,0.251,0.36700000000000005,29.2,0.29100000000000004,0.32799999999999996,0.542,0.87,6.7,135,2.34
Kris Bryant,Cubs,151,559,650,154,92,31,5,26,87,99,77,0,199,11.8,30.6,0.39,0.37799999999999995,9,5,0,7,13,4,7.1,0.213,0.371,29.9,0.275,0.369,0.488,0.858,6.5,136,5.99
Lorenzo Cain,Royals,140,551,604,169,113,34,6,16,101,72,37,4,98,6.1,16.2,0.38,0.34700000000000003,12,4,0,16,28,6,15.7,0.171,0.36,22.7,0.307,0.361,0.47700000000000004,0.838,6.5,128,3.84
A.J. Pollock,Diamondbacks,157,609,673,192,127,39,6,20,111,76,53,0,89,7.9,13.2,0.6,0.33799999999999997,2,9,0,19,39,7,8.7,0.182,0.371,31.0,0.315,0.36700000000000005,0.498,0.865,6.5,131,3.08
Jason Heyward,Cardinals,154,547,610,160,110,33,4,13,79,60,56,4,90,9.2,14.8,0.62,0.32899999999999996,2,3,0,13,23,3,16.4,0.146,0.34600000000000003,15.8,0.293,0.359,0.439,0.797,6.1,121,2.21
Chris Davis,Orioles,160,573,670,150,72,31,0,47,100,117,84,6,208,12.5,31.0,0.4,0.319,8,5,0,6,2,3,-5.5,0.3,0.39,40.9,0.262,0.361,0.562,0.9229999999999999,5.7,149,3.82
Andrew McCutchen,Pirates,157,566,685,165,103,36,3,23,91,96,98,12,133,14.3,19.4,0.74,0.33899999999999997,12,9,0,9,11,5,-2.5,0.196,0.38,36.7,0.292,0.401,0.488,0.889,5.6,144,5.35
Buster Posey,Giants,150,557,623,177,130,28,0,19,74,95,56,10,52,9.0,8.3,1.08,0.32,3,7,0,17,2,0,8.2,0.153,0.363,24.9,0.318,0.379,0.47,0.8490000000000001,5.4,135,3.76
