"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Jake Peavy","Padres","9.67","2.74","3.53","0.52","26.7 %","7.6 %","19.2 %",".205","1.06",".273","78.3 %","63","65","74","2.54","2.84","-0.30","3.34","3.30","1051"
"Josh Beckett","Red Sox","8.70","1.79","4.85","0.76","23.6 %","4.9 %","18.7 %",".243","1.14",".304","75.2 %","70","72","75","3.27","3.08","0.19","3.31","3.29","510"
"CC Sabathia","Indians","7.80","1.38","5.65","0.75","21.4 %","3.8 %","17.6 %",".256","1.14",".311","74.1 %","73","73","77","3.21","3.14","0.07","3.40","3.44","404"
"Erik Bedard","Orioles","10.93","2.82","3.88","0.94","30.2 %","7.8 %","22.4 %",".210","1.09",".283","77.7 %","70","70","66","3.16","3.19","-0.03","2.90","2.92","126"
"John Smoltz","Braves","8.62","2.06","4.19","0.79","23.1 %","5.5 %","17.6 %",".244","1.18",".303","76.2 %","71","72","74","3.11","3.21","-0.10","3.33","3.43","115"
"Brandon Webb","Diamondbacks","7.39","2.74","2.69","0.46","19.9 %","7.4 %","12.5 %",".233","1.19",".285","72.4 %","64","70","73","3.01","3.24","-0.23","3.30","3.40","1692"
"Kelvim Escobar","Angels","7.36","3.04","2.42","0.51","19.7 %","8.1 %","11.6 %",".245","1.27",".299","73.0 %","76","78","92","3.40","3.39","0.01","4.09","4.16","1298"
"Chris Young","Padres","8.69","3.75","2.32","0.52","23.7 %","10.2 %","13.5 %",".188","1.10",".241","71.6 %","77","79","99","3.12","3.43","-0.31","4.44","4.21","3196"
"Scott Kazmir","Devil Rays","10.41","3.88","2.69","0.78","26.9 %","10.0 %","16.9 %",".248","1.38",".333","75.3 %","78","79","83","3.48","3.45","0.03","3.67","3.59","4897"
"Tim Hudson","Braves","5.30","2.13","2.49","0.40","14.3 %","5.7 %","8.5 %",".256","1.22",".292","72.8 %","76","77","83","3.33","3.46","-0.13","3.74","3.73","921"
"Joe Blanton","Athletics","5.48","1.57","3.50","0.63","14.7 %","4.2 %","10.5 %",".265","1.22",".299","68.0 %","90","80","89","3.95","3.50","0.45","3.93","4.17","4849"
"John Lackey","Angels","7.19","2.09","3.44","0.72","19.3 %","5.6 %","13.7 %",".253","1.21",".301","76.0 %","67","81","87","3.01","3.54","-0.53","3.87","3.88","1507"
"Roy Halladay","Blue Jays","5.55","1.92","2.90","0.60","15.0 %","5.2 %","9.8 %",".265","1.24",".301","69.5 %","83","80","87","3.71","3.55","0.16","3.85","4.04","1303"
"Greg Maddux","Padres","4.73","1.14","4.16","0.64","12.5 %","3.0 %","9.5 %",".277","1.24",".304","68.9 %","102","83","87","4.14","3.58","0.56","3.90","4.12","104"
"Roy Oswalt","Astros","6.54","2.55","2.57","0.59","16.9 %","6.6 %","10.3 %",".262","1.33",".307","77.5 %","73","79","88","3.18","3.59","-0.41","3.97","4.05","571"
"Brad Penny","Dodgers","5.84","3.16","1.85","0.39","15.6 %","8.4 %","7.2 %",".253","1.31",".295","76.4 %","70","82","94","3.03","3.63","-0.60","4.23","4.53","535"
"Dan Haren","Athletics","7.76","2.22","3.49","0.97","20.5 %","5.9 %","14.7 %",".244","1.21",".287","75.9 %","70","84","85","3.07","3.70","-0.63","3.74","3.79","1757"
"Aaron Harang","Reds","8.47","2.02","4.19","1.09","23.0 %","5.5 %","17.5 %",".240","1.14",".288","74.0 %","81","79","80","3.73","3.71","0.02","3.62","3.52","1451"
"Dustin McGowan","Blue Jays","7.64","3.24","2.36","0.74","20.4 %","8.7 %","11.8 %",".227","1.22",".273","68.1 %","91","84","85","4.08","3.73","0.36","3.79","3.93","8600"
"Felix Hernandez","Mariners","7.80","2.51","3.11","0.95","20.4 %","6.6 %","13.9 %",".278","1.38",".333","74.7 %","89","86","74","3.92","3.75","0.17","3.27","3.32","4772"
"Matt Cain","Giants","7.34","3.56","2.06","0.63","19.6 %","9.5 %","10.1 %",".231","1.26",".278","72.9 %","82","85","99","3.65","3.78","-0.13","4.47","4.42","4732"
"Chien-Ming Wang","Yankees","4.70","2.66","1.76","0.41","12.6 %","7.2 %","5.5 %",".263","1.29",".295","71.8 %","82","86","93","3.70","3.79","-0.09","4.15","4.26","2074"
"Javier Vazquez","White Sox","8.85","2.08","4.26","1.20","24.2 %","5.7 %","18.5 %",".239","1.14",".288","74.5 %","80","82","81","3.74","3.80","-0.06","3.59","3.42","801"
"Johan Santana","Twins","9.66","2.14","4.52","1.36","26.8 %","5.9 %","20.8 %",".223","1.07",".271","78.3 %","75","88","75","3.33","3.82","-0.49","3.30","3.17","755"
"Cole Hamels","Phillies","8.69","2.11","4.12","1.23","23.8 %","5.8 %","18.0 %",".234","1.12",".279","78.7 %","74","83","75","3.39","3.83","-0.45","3.40","3.43","4972"
"James Shields","Devil Rays","7.70","1.51","5.11","1.17","21.1 %","4.1 %","16.9 %",".244","1.11",".282","71.8 %","86","88","82","3.85","3.86","-0.01","3.65","3.58","7059"
"Andy Pettitte","Yankees","5.89","2.88","2.04","0.67","15.4 %","7.5 %","7.9 %",".281","1.43",".322","70.7 %","90","87","95","4.05","3.87","0.18","4.23","4.48","840"
"Adam Wainwright","Cardinals","6.06","3.12","1.94","0.58","15.4 %","7.9 %","7.5 %",".264","1.40",".304","72.6 %","86","89","99","3.70","3.90","-0.20","4.45","4.55","2233"
"Roberto Hernandez","Indians","5.73","2.55","2.25","0.67","15.6 %","6.9 %","8.7 %",".247","1.21",".280","77.6 %","69","91","86","3.06","3.94","-0.88","3.81","3.69","3273"
