"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Derek Lowe","Dodgers","6.64","2.66","2.49","0.90","17.7 %","7.1 %","10.6 %",".252","1.27",".288","68.1 %","90","89","75","3.88","3.97","-0.09","3.40","3.42","199"
"Justin Verlander","Tigers","8.17","2.99","2.73","0.89","21.1 %","7.7 %","13.4 %",".232","1.23",".279","74.9 %","80","89","94","3.66","3.99","-0.33","4.17","3.97","8700"
"Ian Snell","Pirates","7.66","2.94","2.60","0.95","20.1 %","7.7 %","12.4 %",".259","1.33",".308","75.1 %","86","90","89","3.76","4.01","-0.24","4.02","4.04","2227"
"Gil Meche","Royals","6.50","2.58","2.52","0.92","17.2 %","6.8 %","10.4 %",".259","1.30",".296","73.4 %","80","91","92","3.67","4.02","-0.36","4.09","4.23","1089"
"Ted Lilly","Cubs","7.57","2.39","3.16","1.22","20.5 %","6.5 %","14.1 %",".229","1.14",".261","74.1 %","83","91","92","3.83","4.16","-0.33","4.16","4.07","833"
"Wandy Rodriguez","Astros","7.78","3.05","2.55","1.08","20.2 %","7.9 %","12.3 %",".250","1.32",".293","66.9 %","105","92","91","4.58","4.18","0.41","4.10","4.10","2586"
"John Maine","Mets","8.48","3.53","2.40","1.08","22.2 %","9.3 %","13.0 %",".230","1.27",".275","73.2 %","90","94","93","3.91","4.18","-0.27","4.18","4.09","4773"
"Jeremy Bonderman","Tigers","7.49","2.48","3.02","1.19","19.3 %","6.4 %","12.9 %",".275","1.38",".319","65.8 %","110","94","87","5.01","4.19","0.82","3.84","3.90","1667"
"Jeff Francis","Rockies","6.90","2.63","2.62","1.04","17.9 %","6.8 %","11.1 %",".275","1.38",".316","74.7 %","88","89","92","4.22","4.19","0.03","4.13","4.20","4684"
"Daisuke Matsuzaka","Red Sox","8.84","3.52","2.51","1.10","23.0 %","9.2 %","13.8 %",".245","1.32",".299","73.9 %","95","98","94","4.40","4.23","0.17","4.17","3.96","7775"
"Tom Gorzelanny","Pirates","6.02","3.03","1.99","0.80","15.5 %","7.8 %","7.7 %",".269","1.40",".305","75.8 %","88","95","104","3.88","4.24","-0.35","4.68","4.67","6244"
"Carlos Silva","Twins","3.97","1.60","2.47","0.89","10.5 %","4.3 %","6.3 %",".283","1.31",".299","70.5 %","94","98","100","4.19","4.24","-0.05","4.44","4.71","973"
"Mark Buehrle","White Sox","5.15","2.01","2.56","0.99","13.8 %","5.4 %","8.4 %",".265","1.26",".287","75.7 %","78","92","99","3.63","4.26","-0.64","4.41","4.59","225"
"Rich Hill","Cubs","8.45","2.91","2.90","1.25","22.5 %","7.8 %","14.8 %",".231","1.19",".271","75.3 %","85","95","89","3.92","4.32","-0.39","4.00","3.86","4806"
"A.J. Burnett","Blue Jays","9.56","3.59","2.67","1.25","25.5 %","9.6 %","15.9 %",".214","1.19",".261","76.4 %","83","97","79","3.75","4.33","-0.58","3.51","3.49","512"
"Oliver Perez","Mets","8.85","4.02","2.20","1.12","22.8 %","10.3 %","12.4 %",".225","1.31",".271","71.6 %","82","98","100","3.56","4.35","-0.79","4.50","4.25","1514"
"Jon Garland","White Sox","4.23","2.46","1.72","0.82","11.1 %","6.5 %","4.6 %",".266","1.32",".284","65.5 %","91","94","108","4.23","4.36","-0.13","4.79","5.10","232"
"Brian Bannister","Royals","4.20","2.40","1.75","0.82","11.3 %","6.4 %","4.8 %",".246","1.21",".261","70.3 %","84","99","110","3.87","4.40","-0.52","4.89","5.09","5718"
"Jeremy Guthrie","Orioles","6.31","2.41","2.62","1.18","17.0 %","6.5 %","10.5 %",".246","1.21",".270","75.1 %","81","96","94","3.70","4.41","-0.72","4.18","4.28","2072"
"Jeff Suppan","Brewers","4.96","2.96","1.68","0.78","12.4 %","7.4 %","5.0 %",".289","1.50",".318","70.4 %","106","98","106","4.62","4.42","0.20","4.77","4.92","633"
"Matt Morris","- - -","4.62","2.76","1.67","0.82","11.5 %","6.9 %","4.6 %",".295","1.52",".320","65.7 %","111","100","103","4.89","4.45","0.44","4.65","4.84","1172"
"Miguel Batista","Mariners","6.20","3.96","1.56","0.84","15.5 %","9.9 %","5.6 %",".272","1.52",".310","72.6 %","98","103","110","4.29","4.52","-0.23","4.90","4.91","46"
"Kyle Lohse","- - -","5.70","2.66","2.14","1.03","14.7 %","6.9 %","7.8 %",".272","1.37",".300","68.1 %","101","98","105","4.62","4.53","0.09","4.71","4.72","739"
"Kevin Millwood","Rangers","6.41","3.49","1.84","0.99","15.6 %","8.5 %","7.1 %",".299","1.62",".340","67.7 %","111","100","101","5.16","4.55","0.61","4.49","4.59","106"
"Bronson Arroyo","Reds","6.66","2.69","2.48","1.20","16.9 %","6.8 %","10.1 %",".275","1.40",".309","74.0 %","92","98","102","4.23","4.57","-0.34","4.59","4.48","978"
"Dave Bush","Brewers","6.47","2.13","3.05","1.30","16.5 %","5.4 %","11.1 %",".287","1.40",".320","69.2 %","117","102","94","5.12","4.57","0.55","4.22","4.23","4635"
"Matt Belisle","Reds","6.33","2.18","2.91","1.32","16.2 %","5.6 %","10.6 %",".294","1.44",".326","66.9 %","116","98","93","5.32","4.58","0.74","4.17","4.29","1837"
"Carlos Zambrano","Cubs","7.36","4.20","1.75","0.96","19.1 %","10.9 %","8.2 %",".231","1.33",".269","74.9 %","86","101","100","3.95","4.58","-0.63","4.51","4.54","305"
"Aaron Cook","Rockies","3.31","2.39","1.39","0.81","8.7 %","6.3 %","2.4 %",".275","1.34",".285","68.1 %","86","98","99","4.12","4.58","-0.46","4.44","4.60","1571"
"Paul Maholm","Pirates","5.32","2.48","2.14","1.11","13.7 %","6.4 %","7.3 %",".287","1.42",".312","65.3 %","114","103","93","5.02","4.60","0.42","4.21","4.37","8678"
"Nate Robertson","Tigers","6.03","3.19","1.89","1.11","15.2 %","8.1 %","7.2 %",".278","1.47",".308","71.3 %","105","103","103","4.76","4.62","0.14","4.57","4.68","1620"
"Tim Wakefield","Red Sox","5.24","3.05","1.72","1.05","13.8 %","8.0 %","5.8 %",".261","1.35",".282","67.9 %","102","108","110","4.76","4.67","0.09","4.89","4.98","219"
"Paul Byrd","Indians","4.12","1.31","3.14","1.26","10.5 %","3.4 %","7.2 %",".298","1.39",".309","70.6 %","104","108","106","4.59","4.68","-0.09","4.71","4.90","594"
"Chad Gaudin","Athletics","6.95","4.52","1.54","0.95","17.4 %","11.3 %","6.1 %",".263","1.53",".305","72.3 %","101","107","101","4.42","4.69","-0.26","4.47","4.66","1783"
"Jose Contreras","White Sox","5.38","2.95","1.82","1.00","13.2 %","7.2 %","5.9 %",".297","1.56",".326","62.6 %","120","101","108","5.57","4.71","0.86","4.82","4.81","1660"
"Doug Davis","Diamondbacks","6.73","4.44","1.52","0.98","16.7 %","11.0 %","5.7 %",".277","1.59",".318","74.9 %","91","102","103","4.25","4.72","-0.47","4.62","4.81","1244"
"Jarrod Washburn","Mariners","5.30","3.11","1.70","1.07","13.6 %","8.0 %","5.6 %",".263","1.38",".284","71.4 %","99","109","114","4.32","4.77","-0.45","5.09","5.07","40"
"Barry Zito","Giants","5.99","3.80","1.58","1.10","15.4 %","9.8 %","5.7 %",".239","1.35",".260","69.7 %","102","109","108","4.53","4.82","-0.29","4.84","4.96","944"
"Braden Looper","Cardinals","4.47","2.62","1.71","1.13","11.7 %","6.8 %","4.8 %",".265","1.34",".277","66.6 %","114","110","105","4.94","4.82","0.11","4.74","5.01","526"
"Tom Glavine","Mets","4.00","2.88","1.39","1.03","10.4 %","7.5 %","2.9 %",".278","1.41",".290","72.6 %","103","109","110","4.45","4.86","-0.41","4.95","5.27","90"
"Kip Wells","Cardinals","6.75","4.32","1.56","1.05","16.3 %","10.4 %","5.9 %",".281","1.62",".320","63.7 %","132","111","104","5.70","4.86","0.84","4.68","4.70","1012"
"Boof Bonser","Twins","7.08","3.38","2.09","1.40","17.6 %","8.4 %","9.2 %",".283","1.53",".319","69.6 %","115","113","99","5.10","4.91","0.19","4.40","4.42","2159"
"Jamie Moyer","Phillies","6.01","2.98","2.02","1.35","15.3 %","7.6 %","7.7 %",".279","1.44",".303","69.7 %","110","108","102","5.01","4.93","0.08","4.58","4.69","1091"
"Jason Marquis","Cubs","5.12","3.57","1.43","1.03","12.9 %","9.0 %","3.9 %",".251","1.39",".268","67.7 %","100","110","108","4.60","4.99","-0.39","4.86","4.96","105"
"Daniel Cabrera","Orioles","7.31","4.76","1.54","1.10","18.0 %","11.7 %","6.3 %",".259","1.54",".299","66.8 %","122","109","106","5.55","5.01","0.54","4.73","4.74","1931"
"Dontrelle Willis","Marlins","6.40","3.81","1.68","1.27","15.5 %","9.2 %","6.3 %",".287","1.60",".318","70.0 %","117","116","103","5.17","5.13","0.04","4.62","4.71","1703"
"Josh Fogg","Rockies","5.11","3.21","1.59","1.25","12.6 %","7.9 %","4.7 %",".288","1.53",".308","71.4 %","103","112","114","4.94","5.21","-0.27","5.13","5.08","989"
"Scott Olsen","Marlins","6.78","4.33","1.56","1.48","16.1 %","10.3 %","5.8 %",".305","1.76",".341","65.6 %","132","120","107","5.81","5.33","0.48","4.81","4.93","4529"
"Matt Chico","Nationals","5.07","3.99","1.27","1.40","12.6 %","9.9 %","2.7 %",".274","1.54",".286","73.6 %","109","128","123","4.63","5.56","-0.92","5.52","5.51","6068"
"Woody Williams","Astros","4.84","2.54","1.91","1.68","12.1 %","6.4 %","5.8 %",".281","1.43",".286","72.0 %","120","124","114","5.27","5.62","-0.36","5.13","5.04","1190"
"Livan Hernandez","Diamondbacks","3.96","3.48","1.14","1.50","9.9 %","8.7 %","1.2 %",".298","1.60",".303","76.0 %","105","125","120","4.93","5.77","-0.84","5.37","5.58","1116"
