Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
Jake Peavy,Padres,19,6,34,34,0,223.1,169,13,68,240,67,0,0,0,63,6,0,5,0,898,4,0.52,2.74,9.67,3.53,19.2 %,44.0 %,5.8 %,78.3 %,2.54,0.273,2.84,1.06,3.95,6.7
CC Sabathia,Indians,19,7,34,34,4,241.0,238,20,37,209,94,0,0,0,86,8,0,1,1,975,1,0.75,1.38,7.8,5.65,17.6 %,45.0 %,7.8 %,74.1 %,3.21,0.311,3.14,1.14,3.23,6.4
Brandon Webb,Diamondbacks,18,10,34,34,4,236.1,209,12,72,194,91,0,0,0,79,5,0,6,3,975,3,0.46,2.74,7.39,2.69,12.5 %,61.8 %,8.8 %,72.4 %,3.01,0.285,3.24,1.19,3.86,6.2
Josh Beckett,Red Sox,20,7,30,30,1,200.2,189,17,40,194,76,0,0,0,73,5,0,0,0,822,3,0.76,1.79,8.7,4.85,18.7 %,47.3 %,8.0 %,75.2 %,3.27,0.304,3.08,1.14,3.12,5.7
John Smoltz,Braves,14,8,32,32,0,205.2,196,18,47,197,78,0,0,0,71,4,0,9,0,853,8,0.79,2.06,8.62,4.19,17.6 %,44.7 %,8.7 %,76.2 %,3.11,0.303,3.21,1.18,2.13,5.5
Aaron Harang,Reds,16,6,34,34,2,231.2,213,28,52,218,100,0,0,1,96,8,0,3,1,948,12,1.09,2.02,8.47,4.19,17.5 %,40.3 %,10.2 %,74.0 %,3.73,0.28800000000000003,3.71,1.14,2.75,5.4
Joe Blanton,Athletics,14,10,34,34,3,230.0,240,16,40,140,106,0,0,1,101,4,0,4,1,950,3,0.63,1.57,5.48,3.5,10.5 %,46.9 %,6.5 %,68.0 %,3.95,0.299,3.5,1.22,1.59,5.3
Roy Halladay,Blue Jays,16,7,31,31,7,225.1,232,15,48,139,101,0,0,0,93,3,0,3,1,927,4,0.6,1.92,5.55,2.9,9.8 %,53.1 %,7.1 %,69.5 %,3.71,0.301,3.55,1.24,3.17,5.1
John Lackey,Angels,19,9,33,33,2,224.0,219,18,52,179,87,0,0,1,75,12,0,2,2,929,9,0.72,2.09,7.19,3.44,13.7 %,44.7 %,7.3 %,76.0 %,3.01,0.301,3.54,1.21,2.84,5.0
Erik Bedard,Orioles,13,5,28,28,1,182.0,141,19,57,221,66,0,0,0,64,5,0,0,1,733,3,0.94,2.82,10.93,3.88,22.4 %,47.9 %,12.3 %,77.7 %,3.16,0.28300000000000003,3.19,1.09,3.66,5.0
Roy Oswalt,Astros,14,7,33,32,1,212.0,221,14,60,154,80,0,0,1,75,7,1,6,0,910,1,0.59,2.55,6.54,2.57,10.3 %,53.0 %,6.7 %,77.5 %,3.18,0.307,3.59,1.33,3.08,4.9
Tim Hudson,Braves,16,10,34,34,1,224.1,221,10,53,132,87,0,0,2,83,8,0,8,1,925,5,0.4,2.13,5.3,2.49,8.5 %,62.0 %,6.5 %,72.8 %,3.33,0.292,3.46,1.22,1.8,4.9
Scott Kazmir,Devil Rays,13,9,34,34,0,206.2,196,18,89,239,91,0,0,0,80,7,0,1,0,887,10,0.78,3.88,10.41,2.69,16.9 %,43.1 %,8.1 %,75.3 %,3.48,0.33299999999999996,3.45,1.38,1.54,4.8
Kelvim Escobar,Angels,18,7,30,30,3,195.2,182,11,66,160,79,0,0,0,74,3,0,2,1,812,9,0.51,3.04,7.36,2.42,11.6 %,44.0 %,5.0 %,73.0 %,3.4,0.299,3.39,1.27,2.89,4.8
Javier Vazquez,White Sox,15,8,32,32,2,216.2,197,29,50,213,95,0,0,0,90,7,0,2,0,882,5,1.2,2.08,8.85,4.26,18.5 %,39.8 %,11.0 %,74.5 %,3.74,0.28800000000000003,3.8,1.14,2.19,4.8
Dan Haren,Athletics,15,9,34,34,0,222.2,214,24,55,192,91,0,0,0,76,3,0,1,0,935,10,0.97,2.22,7.76,3.49,14.7 %,44.4 %,9.3 %,75.9 %,3.07,0.287,3.7,1.21,2.2,4.7
Brad Penny,Dodgers,16,4,33,33,0,208.0,199,9,73,135,75,0,0,0,70,5,0,2,0,865,6,0.39,3.16,5.84,1.85,7.2 %,48.7 %,4.7 %,76.4 %,3.03,0.295,3.63,1.31,2.62,4.4
Chris Young,Padres,9,8,30,30,0,173.0,118,10,72,167,66,0,0,4,60,7,0,0,0,705,7,0.52,3.75,8.69,2.32,13.5 %,29.1 %,4.1 %,71.6 %,3.12,0.24100000000000002,3.43,1.1,2.2,4.3
Matt Cain,Giants,7,16,32,32,1,200.0,173,14,79,163,84,0,0,0,81,5,0,3,0,832,12,0.63,3.56,7.34,2.06,10.1 %,39.4 %,5.5 %,72.9 %,3.65,0.278,3.78,1.26,2.43,4.1
Andy Pettitte,Yankees,15,9,36,34,0,215.1,238,16,69,141,106,0,0,0,97,1,1,1,0,916,3,0.67,2.88,5.89,2.04,7.9 %,47.7 %,7.0 %,70.7 %,4.05,0.322,3.87,1.43,0.47,4.0
James Shields,Devil Rays,12,8,31,31,1,215.0,202,28,36,184,98,0,0,0,92,10,0,0,0,874,9,1.17,1.51,7.7,5.11,16.9 %,43.4 %,11.1 %,71.8 %,3.85,0.282,3.86,1.11,2.6,4.0
Johan Santana,Twins,15,13,33,33,1,219.0,183,33,52,235,88,0,0,1,81,4,0,0,1,878,7,1.36,2.14,9.66,4.52,20.8 %,38.0 %,13.1 %,78.3 %,3.33,0.271,3.82,1.07,1.36,4.0
Cole Hamels,Phillies,15,5,28,28,2,183.1,163,25,43,177,72,0,0,0,69,3,0,4,0,743,5,1.23,2.11,8.69,4.12,18.0 %,41.9 %,12.8 %,78.7 %,3.39,0.27899999999999997,3.83,1.12,2.63,3.9
Greg Maddux,Padres,14,11,34,34,1,198.0,221,14,25,104,92,0,0,0,91,6,0,3,0,830,5,0.64,1.14,4.73,4.16,9.5 %,51.5 %,7.1 %,68.9 %,4.14,0.304,3.58,1.24,0.71,3.9
Ted Lilly,Cubs,15,8,34,34,0,207.0,181,28,55,174,91,0,0,0,88,3,0,2,0,847,7,1.22,2.39,7.57,3.16,14.1 %,33.7 %,9.7 %,74.1 %,3.83,0.261,4.16,1.14,2.13,3.8
Chien-Ming Wang,Yankees,19,7,30,30,1,199.1,199,9,59,104,84,0,0,1,82,8,0,1,0,823,9,0.41,2.66,4.7,1.76,5.5 %,58.4 %,6.0 %,71.8 %,3.7,0.295,3.79,1.29,2.17,3.7
