"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"David Ortiz","Red Sox","667","16.6 %","15.4 %","1.08",".332",".445",".621","1.066",".290","3.0",".355","-4.8","0.9","-0.5","149","66.2",".449","175","745"
"Alex Rodriguez","Yankees","708","13.4 %","16.9 %","0.79",".314",".422",".645","1.067",".331","5.0",".309","4.2","1.1","2.4","155","67.5",".445","175","1274"
"Magglio Ordonez","Tigers","679","11.2 %","11.6 %","0.96",".363",".434",".595","1.029",".232","2.9",".381","0.2","-1.3","-0.3","145","61.0",".438","169","248"
"Chipper Jones","Braves","600","13.7 %","12.5 %","1.09",".337",".425",".604","1.029",".267","4.5",".348","0.5","-1.6","0.0","126","51.7",".434","163","97"
"Carlos Pena","Devil Rays","612","16.8 %","23.2 %","0.73",".282",".411",".627","1.037",".345","2.3",".297","-0.9","2.3","-0.3","127","51.3",".431","167","934"
"Matt Holliday","Rockies","713","8.8 %","17.7 %","0.50",".340",".405",".607","1.012",".267","5.2",".377","4.9","-2.2","-0.1","146","58.2",".428","151","1873"
"Albert Pujols","Cardinals","679","14.6 %","8.5 %","1.71",".327",".429",".568",".997",".241","2.0",".317","0.5","-2.6","-2.8","134","50.1",".419","155","1177"
"Chase Utley","Phillies","613","8.2 %","14.5 %","0.56",".332",".410",".566",".976",".234","5.8",".362","2.2","1.6","0.8","121","45.1",".419","150","1679"
"Prince Fielder","Brewers","681","13.2 %","17.8 %","0.74",".288",".395",".618","1.013",".330","2.7",".283","-1.9","1.8","-1.0","134","50.0",".419","153","4613"
"Jorge Posada","Yankees","589","12.6 %","16.6 %","0.76",".338",".426",".543",".970",".206","3.0",".386","-6.7","-0.5","-0.2","116","42.8",".418","157","841"
"David Wright","Mets","711","13.2 %","16.2 %","0.82",".325",".416",".546",".963",".222","5.1",".356","2.5","0.0","3.9","137","49.1",".413","151","3787"
"Jim Thome","White Sox","536","17.7 %","25.0 %","0.71",".275",".410",".563",".973",".287","1.2",".316","-3.6","0.7","-0.9","103","36.3",".412","150","409"
"Mark Teixeira","- - -","575","12.5 %","19.5 %","0.64",".306",".400",".563",".963",".257","2.1",".342","1.1","1.9","-0.5","108","36.5",".407","146","1281"
"Hanley Ramirez","Marlins","706","7.4 %","13.5 %","0.55",".332",".386",".562",".948",".230","7.3",".353","-0.5","0.7","3.5","131","43.9",".405","144","8001"
"Miguel Cabrera","Marlins","680","11.6 %","18.7 %","0.62",".320",".401",".565",".965",".245","2.6",".355","-3.8","-1.1","-0.6","125","41.1",".403","142","1744"
"Todd Helton","Rockies","682","17.0 %","10.9 %","1.57",".320",".434",".494",".928",".174","1.9",".340","-5.7","0.1","-1.1","124","40.1",".401","133","432"
"Adam Dunn","Reds","632","16.0 %","26.1 %","0.61",".264",".386",".554",".940",".289","4.5",".305","0.7","0.7","0.4","114","35.7",".398","135","319"
"Ryan Howard","Phillies","648","16.5 %","30.7 %","0.54",".268",".392",".584",".976",".316","1.6",".328","-6.9","1.3","-0.3","116","35.8",".397","135","2154"
"Jack Cust","Athletics","507","20.7 %","32.3 %","0.64",".256",".408",".504",".912",".248","1.7",".355","-3.9","1.7","-1.4","91","27.9",".397","145","1564"
