"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Vladimir Guerrero","Angels","660","10.8 %","9.4 %","1.15",".324",".403",".547",".950",".223","2.0",".324","-5.1","-0.7","-1.4","118","36.1",".396","143","778"
"Derrek Lee","Cubs","650","10.9 %","17.5 %","0.62",".317",".400",".513",".913",".196","3.1",".364","-1.8","-0.9","-1.6","115","34.4",".394","132","525"
"Pat Burrell","Phillies","598","19.1 %","20.1 %","0.95",".256",".400",".502",".902",".246","1.0",".276","-3.4","1.2","-0.6","105","30.7",".392","132","949"
"Brad Hawpe","Rockies","606","13.4 %","22.6 %","0.59",".291",".387",".539",".926",".248","2.8",".341","0.2","1.1","-1.4","106","31.0",".392","127","1885"
"Curtis Granderson","Tigers","676","7.7 %","20.9 %","0.37",".302",".361",".552",".913",".250","8.5",".360","3.2","2.4","4.3","116","32.0",".388","136","4747"
"Aramis Ramirez","Cubs","558","7.7 %","11.8 %","0.65",".310",".366",".549",".915",".239","2.4",".313","-1.5","0.3","-0.4","95","25.8",".386","127","1002"
"Melvin Upton Jr.","Devil Rays","548","11.9 %","28.1 %","0.42",".300",".386",".508",".894",".209","5.0",".393","3.0","0.0","0.4","93","25.3",".386","137","5015"
"Lance Berkman","Astros","668","14.1 %","18.7 %","0.75",".278",".386",".510",".896",".232","3.6",".300","-3.9","1.0","-0.5","112","29.6",".384","131","548"
"Aaron Rowand","Phillies","684","6.9 %","17.4 %","0.39",".309",".374",".515",".889",".206","3.3",".345","3.7","-0.6","-0.7","115","30.2",".384","127","254"
"Edgar Renteria","Braves","543","8.5 %","14.2 %","0.60",".332",".390",".470",".860",".138","4.8",".375","2.6","-0.3","0.8","89","21.8",".379","127","1178"
"Mike Lowell","Red Sox","653","8.1 %","10.9 %","0.75",".324",".378",".501",".879",".177","2.8",".337","-4.0","-0.8","-0.9","107","26.2",".379","128","527"
"Alfonso Soriano","Cubs","617","5.0 %","21.1 %","0.24",".299",".337",".560",".897",".261","6.2",".334","1.6","-0.2","0.8","101","24.5",".378","122","847"
"Corey Hart","Brewers","566","6.4 %","17.5 %","0.36",".295",".353",".539",".892",".244","7.6",".321","2.8","0.6","1.2","92","22.3",".378","127","1945"
"Jeff Kent","Dodgers","562","10.1 %","10.9 %","0.93",".302",".375",".500",".875",".198","2.4",".308","1.1","-1.6","-1.6","91","21.8",".377","127","1119"
"Manny Ramirez","Red Sox","569","12.5 %","16.2 %","0.77",".296",".388",".493",".881",".197","2.1",".325","-3.1","-2.3","-0.5","92","21.5",".376","126","210"
"Dmitri Young","Nationals","508","8.7 %","14.6 %","0.59",".320",".378",".491",".869",".172","1.6",".356","-5.0","-1.1","-0.4","81","18.6",".375","127","505"
"Kevin Youkilis","Red Sox","625","12.3 %","16.8 %","0.73",".288",".390",".453",".843",".165","3.5",".330","0.6","1.5","-0.7","100","22.4",".374","124","1935"
"Grady Sizemore","Indians","748","13.5 %","20.7 %","0.65",".277",".390",".462",".852",".185","6.4",".333","6.1","2.1","1.6","119","26.6",".373","129","2197"
"Victor Martinez","Indians","645","9.6 %","11.8 %","0.82",".301",".374",".505",".879",".205","1.1",".305","-1.4","-0.6","-0.5","103","22.8",".373","129","393"
"Frank Thomas","Blue Jays","624","13.0 %","15.1 %","0.86",".277",".377",".480",".857",".203","0.7",".291","-6.9","-0.7","-0.6","99","22.1",".373","127","255"
"Placido Polanco","Tigers","641","5.8 %","4.7 %","1.23",".341",".388",".458",".846",".118","4.5",".346","0.4","1.0","-0.5","101","21.8",".372","125","1176"
"Carlos Lee","Astros","697","7.6 %","9.0 %","0.84",".303",".354",".528",".882",".225","3.4",".290","-2.3","-3.4","-0.7","110","23.6",".371","123","243"
"Jimmy Rollins","Phillies","778","6.3 %","10.9 %","0.58",".296",".344",".531",".875",".235","8.7",".300","6.9","-0.1","5.0","122","26.0",".371","119","971"
"Derek Jeter","Yankees","714","7.8 %","14.0 %","0.56",".322",".388",".452",".840",".130","4.8",".367","3.5","-1.4","-1.2","112","23.8",".371","125","826"
"Carlos Beltran","Mets","636","10.8 %","17.5 %","0.62",".276",".353",".525",".878",".249","5.8",".286","2.7","1.7","3.3","99","20.4",".369","122","589"
"Hideki Matsui","Yankees","634","11.5 %","11.5 %","1.00",".285",".367",".488",".855",".203","4.3",".285","4.2","2.7","-0.6","99","20.1",".369","124","1659"
"Russell Martin","Dodgers","620","10.8 %","14.4 %","0.75",".293",".374",".469",".843",".176","5.2",".317","1.1","-0.1","-0.3","96","19.5",".369","122","4616"
"Ken Griffey Jr.","Reds","623","13.6 %","15.9 %","0.86",".277",".372",".496",".869",".220","3.3",".284","-5.0","0.5","0.2","97","19.5",".368","116","327"
"Gary Sheffield","Tigers","593","14.2 %","12.0 %","1.18",".265",".378",".462",".839",".196","5.7",".262","1.1","2.2","1.7","92","18.6",".368","123","114"
"Garrett Atkins","Rockies","684","9.8 %","14.0 %","0.70",".301",".367",".486",".853",".185","2.4",".318","0.2","0.5","-0.4","106","21.4",".368","112","1790"
"Ryan Garko","Indians","541","6.3 %","17.4 %","0.36",".289",".359",".483",".842",".194","1.9",".320","-8.5","0.5","-0.9","83","16.1",".367","124","6319"
"Casey Kotchman","Angels","508","10.4 %","8.5 %","1.23",".296",".372",".467",".840",".172","3.0",".305","-4.7","-1.6","-1.8","78","15.1",".367","123","1930"
"Alex Rios","Blue Jays","711","7.7 %","14.5 %","0.53",".297",".354",".498",".852",".201","6.4",".319","3.5","1.8","1.1","109","20.9",".366","122","2090"
"Nick Markakis","Orioles","710","8.6 %","15.8 %","0.54",".300",".362",".485",".848",".185","5.0",".331","0.5","-1.6","0.4","108","20.6",".366","121","5930"
"Chone Figgins","Angels","503","10.1 %","16.1 %","0.63",".330",".393",".432",".825",".102","7.6",".391","6.8","1.1","2.5","77","14.5",".365","122","1580"
"Kelly Johnson","Braves","608","13.0 %","19.2 %","0.68",".276",".375",".457",".831",".180","6.0",".328","3.0","1.1","-0.9","92","17.0",".364","118","2234"
"Troy Tulowitzki","Rockies","682","8.4 %","19.1 %","0.44",".291",".359",".479",".838",".189","4.7",".335","1.9","0.3","-1.8","103","18.8",".364","109","3531"
"Carlos Guillen","Tigers","630","8.7 %","14.8 %","0.59",".296",".357",".502",".859",".206","5.8",".319","2.5","-0.5","-1.3","95","17.4",".364","120","1079"
"Dustin Pedroia","Red Sox","581","8.1 %","7.2 %","1.12",".317",".380",".442",".823",".125","4.2",".333","-1.2","0.8","0.4","88","15.9",".364","117","8370"
"Josh Willingham","Marlins","604","10.9 %","20.2 %","0.54",".265",".364",".463",".827",".198","5.0",".309","-0.4","1.0","0.6","91","16.3",".363","117","2103"
"Nick Swisher","Athletics","659","15.2 %","19.9 %","0.76",".262",".381",".455",".836",".193","2.7",".301","4.2","1.2","-0.8","99","17.3",".362","122","4599"
"Ichiro Suzuki","Mariners","736","6.7 %","10.5 %","0.64",".351",".396",".431",".827",".080","6.5",".389","5.2","1.4","3.2","110","19.1",".362","122","1101"
"Travis Hafner","Indians","661","15.4 %","17.4 %","0.89",".266",".385",".451",".837",".185","2.3",".294","-2.5","0.8","-0.8","99","17.1",".362","121","1573"
"Robinson Cano","Yankees","669","5.8 %","12.7 %","0.46",".306",".353",".488",".841",".182","4.4",".329","1.5","-0.3","-1.9","100","17.2",".362","119","3269"
"Adrian Gonzalez","Padres","720","9.0 %","19.4 %","0.46",".282",".347",".502",".849",".220","2.6",".315","-1.2","2.8","-0.5","107","18.1",".361","123","1908"
"Orlando Hudson","Diamondbacks","601","11.6 %","14.5 %","0.80",".294",".376",".441",".817",".147","5.7",".333","2.0","-2.5","0.6","89","14.3",".359","108","1307"
"Paul Konerko","White Sox","636","12.3 %","16.0 %","0.76",".259",".351",".490",".841",".231","1.0",".263","-2.4","-2.8","-0.9","93","14.7",".359","114","242"
"Bobby Abreu","Yankees","699","12.0 %","16.5 %","0.73",".283",".369",".445",".814",".162","6.6",".322","1.0","2.8","0.9","102","16.0",".358","117","945"
"Raul Ibanez","Mariners","636","8.3 %","15.3 %","0.55",".291",".351",".480",".831",".188","2.9",".316","-0.6","0.3","-0.5","93","14.0",".357","119","607"
"Rickie Weeks Jr.","Brewers","506","15.4 %","22.9 %","0.67",".235",".374",".433",".807",".198","8.2",".287","2.4","1.2","3.7","73","10.8",".357","113","1849"
"Brian Roberts","Orioles","716","12.4 %","13.8 %","0.90",".290",".377",".432",".808",".142","6.8",".327","2.2","0.6","6.3","103","14.9",".356","115","166"
"Carl Crawford","Devil Rays","627","5.1 %","17.9 %","0.29",".315",".355",".466",".820",".151","8.3",".374","2.0","0.4","5.2","90","12.4",".355","116","1201"
"Jose Guillen","Mariners","659","6.2 %","17.9 %","0.35",".290",".353",".460",".813",".170","3.9",".326","-2.3","0.2","0.0","95","13.0",".355","117","57"
"Torii Hunter","Twins","650","6.2 %","15.5 %","0.40",".287",".334",".505",".839",".218","4.5",".303","0.7","-1.9","-0.7","93","12.7",".354","116","731"
"Justin Morneau","Twins","668","9.6 %","13.6 %","0.70",".271",".343",".492",".834",".220","2.7",".270","-2.0","-0.5","-0.7","95","12.4",".353","115","1737"
"Eric Byrnes","Diamondbacks","699","8.2 %","14.0 %","0.58",".286",".353",".460",".813",".174","7.6",".309","2.6","1.1","6.4","99","12.7",".353","104","905"
"Ryan Church","Nationals","530","9.2 %","20.2 %","0.46",".272",".349",".464",".813",".191","2.8",".322","0.9","-0.2","-0.7","75","9.4",".352","113","2106"
"Mark DeRosa","Cubs","574","10.1 %","16.2 %","0.62",".293",".371",".420",".792",".127","2.6",".340","1.4","-1.5","-1.2","81","9.7",".351","105","1392"
"Brandon Phillips","Reds","702","4.7 %","15.5 %","0.30",".288",".331",".485",".816",".197","6.9",".304","0.1","-3.6","2.4","98","11.1",".350","104","791"
"Ian Kinsler","Rangers","566","11.0 %","14.7 %","0.75",".263",".355",".441",".796",".178","6.5",".279","4.1","-0.5","3.2","79","8.8",".350","108","6195"
"Kevin Millar","Orioles","562","13.5 %","16.7 %","0.81",".254",".365",".420",".785",".166","2.1",".283","-2.8","1.0","-0.7","78","8.7",".349","110","529"
"Edwin Encarnacion","Reds","560","7.0 %","15.4 %","0.45",".289",".356",".438",".794",".149","4.1",".322","2.0","1.5","0.7","78","8.2",".349","103","2151"
"Randy Winn","Giants","653","6.7 %","13.0 %","0.52",".300",".353",".445",".798",".145","4.1",".329","0.9","0.7","1.2","90","9.4",".348","106","1235"
"Luis Gonzalez","Dodgers","526","10.6 %","10.6 %","1.00",".278",".359",".433",".793",".155","4.0",".289","-1.9","1.0","-0.1","73","7.5",".348","109","55"
"Michael Cuddyer","Twins","623","10.3 %","17.2 %","0.60",".276",".356",".433",".790",".157","5.0",".315","-1.9","-1.0","0.4","86","8.7",".348","111","1534"
"Adam LaRoche","Pirates","632","9.8 %","20.7 %","0.47",".272",".345",".458",".803",".187","1.6",".318","-1.6","-0.4","-0.7","87","8.8",".348","107","1904"
"J.D. Drew","Red Sox","552","14.3 %","18.1 %","0.79",".270",".373",".423",".796",".152","4.6",".319","1.7","0.6","-0.6","76","7.5",".347","107","1152"
"Miguel Tejada","Orioles","569","7.2 %","9.7 %","0.75",".296",".357",".442",".799",".146","2.6",".302","-3.1","-3.4","-0.5","78","7.3",".346","108","941"
"Kenny Lofton","- - -","559","10.0 %","9.1 %","1.10",".296",".367",".414",".781",".118","6.7",".316","0.1","1.2","1.0","76","7.2",".346","108","246"
"Dan Uggla","Marlins","728","9.3 %","22.9 %","0.41",".245",".326",".479",".805",".234","4.0",".279","3.3","1.2","-0.5","99","9.2",".346","106","3442"
"Michael Young","Rangers","692","6.8 %","15.5 %","0.44",".315",".366",".418",".783",".103","3.9",".366","-0.9","-1.8","0.7","94","8.5",".346","105","1286"
"Jason Varitek","Red Sox","518","13.7 %","23.6 %","0.58",".255",".367",".421",".787",".166","2.7",".313","-0.9","0.9","-1.1","70","6.1",".345","105","217"
"Jose Vidro","Mariners","625","10.1 %","9.1 %","1.11",".314",".381",".394",".775",".080","1.5",".337","0.7","-1.6","-0.6","84","7.2",".345","111","802"
"Jermaine Dye","White Sox","561","8.0 %","19.1 %","0.42",".254",".317",".486",".804",".232","2.2",".268","-2.2","-1.5","-0.4","75","6.0",".344","104","911"
"Adrian Beltre","Mariners","639","5.9 %","16.3 %","0.37",".276",".319",".482",".802",".207","5.2",".294","-2.3","0.0","1.5","86","6.6",".343","110","639"
"Ty Wigginton","- - -","604","6.8 %","18.7 %","0.36",".278",".333",".459",".792",".181","2.1",".310","-1.7","-0.3","-1.6","81","6.2",".343","107","1491"
"Brian Giles","Padres","552","11.6 %","11.1 %","1.05",".271",".361",".416",".777",".145","3.1",".288","2.7","0.5","-2.3","74","5.5",".343","112","990"
"Aaron Hill","Blue Jays","657","6.2 %","15.5 %","0.40",".291",".333",".459",".792",".168","3.6",".324","-0.3","-0.4","-1.0","88","6.5",".343","107","6104"
"Akinori Iwamura","Devil Rays","559","10.4 %","20.4 %","0.51",".285",".359",".411",".770",".126","6.4",".355","3.0","1.9","-1.6","74","4.8",".341","107","7781"
"Brendan Harris","Devil Rays","576","7.3 %","16.7 %","0.44",".286",".343",".434",".777",".148","4.1",".331","3.4","-2.1","-0.1","76","4.8",".341","107","2178"
"Andre Ethier","Dodgers","507","9.1 %","13.4 %","0.68",".284",".350",".452",".802",".168","2.2",".305","1.7","0.6","-2.1","67","4.2",".341","104","6265"
"Freddy Sanchez","Pirates","653","4.9 %","11.6 %","0.42",".304",".343",".442",".784",".138","2.7",".328","1.6","0.3","-1.0","86","5.2",".341","102","1624"
"J.J. Hardy","Brewers","638","6.3 %","11.4 %","0.55",".277",".323",".463",".786",".186","2.6",".279","0.1","-1.0","-1.4","84","5.0",".340","103","3797"
"Ryan Zimmerman","Nationals","722","8.4 %","17.3 %","0.49",".266",".330",".458",".788",".191","4.3",".295","2.6","-2.7","-0.2","95","5.5",".340","105","4220"
"Jack Wilson","Pirates","535","7.1 %","8.6 %","0.83",".296",".350",".440",".791",".145","3.0",".303","1.8","1.3","-2.2","70","3.9",".340","102","1017"
"Shane Victorino","Phillies","510","7.3 %","12.2 %","0.60",".281",".347",".423",".770",".143","7.3",".302","0.8","0.4","5.2","67","3.7",".340","98","1677"
"Mark Ellis","Athletics","642","6.9 %","14.6 %","0.47",".276",".336",".441",".777",".165","4.6",".300","3.2","2.1","-0.4","84","4.6",".340","107","1443"
"Casey Blake","Indians","662","8.2 %","18.6 %","0.44",".270",".339",".437",".776",".167","3.7",".312","3.2","0.4","-1.9","86","4.6",".339","106","719"
"Kevin Kouzmanoff","Padres","534","6.0 %","17.6 %","0.34",".275",".329",".457",".786",".182","2.7",".304","-0.9","0.6","-0.2","70","3.7",".339","109","5995"
"Aubrey Huff","Orioles","603","8.0 %","14.4 %","0.55",".280",".337",".442",".778",".162","3.3",".308","1.2","0.0","-0.7","78","3.8",".339","103","1213"
"Austin Kearns","Nationals","674","10.5 %","15.7 %","0.67",".266",".355",".411",".765",".145","2.4",".299","1.4","0.5","-1.1","88","4.2",".338","104","332"
"Jeff Francoeur","Braves","696","6.0 %","18.5 %","0.33",".293",".338",".444",".782",".151","2.8",".337","-2.3","-0.5","-0.4","90","4.2",".338","101","4792"
"Reggie Willits","Angels","518","13.3 %","16.0 %","0.83",".293",".391",".344",".735",".051","5.5",".358","1.2","0.8","1.4","67","2.9",".338","104","5590"
"Jhonny Peralta","Indians","647","9.4 %","22.6 %","0.42",".270",".341",".430",".771",".160","3.1",".324","-2.3","0.5","-1.5","83","3.4",".337","105","1738"
"Jose Reyes","Mets","765","10.1 %","10.2 %","0.99",".280",".354",".421",".775",".141","8.5",".302","4.8","0.9","5.9","98","3.7",".337","101","1736"
"Carlos Delgado","Mets","607","8.6 %","19.4 %","0.44",".258",".333",".448",".781",".190","2.9",".286","-6.5","1.6","0.3","78","2.4",".336","101","1297"
"Mark Teahen","Royals","608","9.0 %","20.9 %","0.43",".285",".353",".410",".763",".125","6.2",".359","3.9","-2.0","-0.1","76","1.2",".333","99","4511"
"Johnny Damon","Yankees","605","10.9 %","13.1 %","0.84",".270",".351",".396",".747",".126","6.2",".297","1.3","1.2","3.6","76","1.1",".333","100","185"
"Mike Cameron","Padres","651","10.3 %","24.6 %","0.42",".242",".328",".431",".759",".189","6.3",".298","4.1","0.8","0.9","81","0.8",".333","105","1070"
"Melvin Mora","Orioles","527","8.9 %","15.7 %","0.57",".274",".341",".418",".759",".143","4.2",".304","-0.5","-3.4","0.1","66","0.6",".332","99","157"
"Jose Bautista","Pirates","614","11.1 %","16.4 %","0.67",".254",".339",".414",".753",".160","3.8",".284","-2.2","-1.9","-0.6","77","0.6",".332","97","1887"
"Ronnie Belliard","Nationals","557","6.1 %","12.9 %","0.47",".290",".332",".427",".759",".137","3.1",".316","2.0","0.3","0.2","69","0.0",".331","99","677"
"Tadahito Iguchi","- - -","533","10.7 %","16.5 %","0.65",".267",".347",".400",".747",".133","5.9",".307","0.8","1.4","1.5","66","0.0",".331","95","8581"
"Kenji Johjima","Mariners","513","2.9 %","8.0 %","0.37",".287",".322",".433",".755",".146","1.6",".289","-2.8","-2.4","-1.3","63","-0.6",".330","101","5811"
"Brian McCann","Braves","552","6.3 %","13.4 %","0.47",".270",".320",".452",".772",".183","1.1",".282","-3.1","-3.0","-0.8","68","-0.7",".329","95","4810"
"Shannon Stewart","Athletics","630","7.5 %","9.5 %","0.78",".290",".345",".394",".739",".104","4.0",".306","-0.2","-0.2","0.3","77","-1.0",".329","100","1322"
"Orlando Cabrera","Angels","701","6.3 %","9.1 %","0.69",".301",".345",".397",".742",".096","5.1",".319","4.0","2.3","1.6","85","-1.7",".328","97","766"
"Luis Castillo","- - -","615","8.6 %","7.3 %","1.18",".301",".362",".359",".721",".058","5.9",".325","6.4","0.5","0.6","74","-2.4",".326","96","513"
"Chris Young","Diamondbacks","624","6.9 %","22.6 %","0.30",".237",".295",".467",".763",".230","6.3",".257","0.3","1.6","2.4","75","-2.5",".326","87","3882"
"Mark Loretta","Astros","511","8.6 %","8.0 %","1.07",".287",".352",".372",".724",".085","2.4",".308","-2.3","-1.9","-1.2","61","-2.0",".326","93","1383"
"Jason Bay","Pirates","614","9.6 %","23.0 %","0.42",".247",".327",".418",".746",".171","3.8",".292","-1.0","1.9","-0.1","73","-2.7",".326","93","1717"
"David DeJesus","Royals","703","9.1 %","11.8 %","0.77",".260",".351",".372",".722",".112","6.2",".289","3.1","0.9","-0.4","82","-4.9",".323","92","1825"
"Khalil Greene","Padres","659","4.9 %","19.4 %","0.25",".254",".291",".468",".759",".214","4.6",".274","1.3","0.6","0.4","76","-5.4",".321","98","1826"
"Bill Hall","Brewers","503","8.0 %","25.4 %","0.31",".254",".315",".425",".740",".170","2.6",".319","2.1","0.2","-1.7","58","-4.1",".321","90","1605"
"Gary Matthews Jr.","Angels","579","9.5 %","17.6 %","0.54",".252",".323",".419",".742",".167","5.7",".279","5.6","0.2","1.4","67","-4.8",".321","92","153"
"Melky Cabrera","Yankees","612","7.0 %","11.1 %","0.63",".273",".327",".391",".718",".117","5.8",".295","0.2","-0.3","-0.1","68","-7.4",".317","89","4022"
"Alex Gordon","Royals","601","6.8 %","22.8 %","0.30",".247",".314",".411",".725",".164","5.2",".303","1.3","0.7","0.7","67","-7.5",".316","87","5209"
"Coco Crisp","Red Sox","591","8.5 %","14.2 %","0.60",".268",".330",".382",".712",".114","7.5",".306","5.1","0.8","2.5","65","-7.7",".316","85","1572"
"Andruw Jones","Braves","659","10.6 %","20.9 %","0.51",".222",".311",".413",".724",".191","3.8",".242","-0.9","0.1","-0.3","73","-8.9",".315","86","96"
"Bengie Molina","Giants","517","2.9 %","10.3 %","0.28",".276",".298",".433",".731",".157","0.9",".276","-4.8","-0.9","-0.4","57","-7.0",".315","85","24"
"Delmon Young","Devil Rays","681","3.8 %","18.6 %","0.20",".288",".316",".408",".723",".119","3.2",".338","-0.5","-2.2","0.2","75","-9.2",".315","89","2140"
"Jason Bartlett","Twins","570","8.8 %","12.8 %","0.68",".265",".339",".361",".699",".096","7.2",".300","4.7","0.5","2.8","62","-8.4",".313","88","8219"
"Yuniesky Betancourt","Mariners","559","2.7 %","8.6 %","0.31",".289",".308",".418",".725",".129","4.1",".302","1.9","0.5","-1.1","61","-8.5",".313","89","8585"
"A.J. Pierzynski","White Sox","509","4.9 %","13.0 %","0.38",".263",".309",".403",".712",".140","1.9",".278","-2.7","-2.9","-0.6","53","-9.6",".309","81","746"
"Ivan Rodriguez","Tigers","515","1.7 %","18.6 %","0.09",".281",".294",".420",".714",".139","3.1",".327","-0.5","-1.8","-0.8","54","-10.0",".308","82","1275"
"Rafael Furcal","Dodgers","643","8.6 %","10.6 %","0.81",".270",".333",".355",".687",".084","6.0",".296","0.2","-0.7","1.8","67","-12.7",".308","82","88"
"Juan Pierre","Dodgers","729","4.5 %","5.1 %","0.89",".293",".331",".353",".685",".060","7.6",".310","5.7","2.5","5.6","75","-14.9",".307","82","443"
"Vernon Wells","Blue Jays","642","7.6 %","13.9 %","0.55",".245",".304",".402",".706",".158","5.3",".262","2.5","0.7","-0.2","66","-13.2",".307","83","1326"
"Pedro Feliz","Giants","590","4.9 %","11.9 %","0.41",".253",".290",".418",".708",".165","2.8",".257","-3.7","-0.8","-0.9","60","-12.6",".306","79","1112"
"Brandon Inge","Tigers","577","8.1 %","26.0 %","0.31",".236",".312",".376",".688",".140","4.8",".305","-1.7","1.4","0.5","58","-13.5",".303","79","470"
"Corey Patterson","Orioles","503","4.2 %","12.9 %","0.32",".269",".304",".386",".690",".117","6.9",".296","0.9","2.7","3.1","50","-12.2",".302","79","300"
"Ryan Theriot","Cubs","597","8.2 %","8.4 %","0.98",".266",".326",".346",".672",".080","6.3",".287","-0.5","-0.6","3.4","59","-14.5",".302","73","3811"
"Stephen Drew","Diamondbacks","619","9.7 %","16.2 %","0.60",".238",".313",".370",".683",".133","4.9",".267","0.6","1.8","1.3","61","-16.0",".300","70","4251"
"Juan Uribe","White Sox","563","6.0 %","19.9 %","0.30",".234",".284",".394",".678",".160","2.8",".259","1.7","1.3","-4.1","52","-17.3",".294","71","454"
"Felipe Lopez","Nationals","671","7.9 %","16.2 %","0.49",".245",".308",".352",".659",".106","5.8",".283","-3.4","-0.6","0.4","62","-20.9",".294","75","1311"
"Craig Biggio","Astros","555","4.1 %","20.2 %","0.21",".251",".285",".381",".666",".130","4.3",".300","-0.5","1.2","-0.9","50","-18.9",".291","70","549"
"Julio Lugo","Red Sox","630","7.6 %","13.0 %","0.59",".237",".294",".349",".643",".112","6.2",".262","0.3","-0.4","3.6","54","-23.6",".286","66","565"
"Jose Lopez","Mariners","561","3.6 %","11.4 %","0.31",".252",".284",".355",".639",".103","3.0",".268","-3.7","-0.2","-1.3","46","-23.0",".282","69","3114"
"Ray Durham","Giants","528","10.0 %","14.2 %","0.71",".218",".295",".343",".638",".125","4.7",".233","-0.1","-2.0","0.8","43","-22.4",".280","62","230"
"Tony Pena","Royals","536","1.9 %","14.6 %","0.13",".267",".284",".356",".640",".088","5.2",".309","0.2","-0.3","-2.0","43","-23.0",".280","63","2240"
"Omar Vizquel","Giants","575","7.7 %","8.3 %","0.92",".246",".305",".316",".621",".070","4.7",".263","2.6","-1.0","-0.2","45","-26.3",".277","60","411"
"Jason Kendall","- - -","514","6.0 %","8.2 %","0.74",".242",".301",".309",".610",".067","2.7",".259","-0.2","0.6","-1.5","40","-23.8",".275","61","993"
"Nick Punto","Twins","536","10.3 %","16.8 %","0.61",".210",".291",".271",".562",".061","5.5",".255","0.4","2.3","0.2","34","-32.1",".260","52","1429"
