"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Roberto Hernandez","Indians","4.03","-13.74","17.76","32.87","3.20","1.05","","0.87","1.04","30","3.57","0.27","0","0","3273"
"Jake Peavy","Padres","3.95","-11.68","15.63","39.84","4.25","0.93","","0.87","1.01","34","3.65","0.60","0","0","1051"
"Brandon Webb","Diamondbacks","3.86","-15.48","19.35","39.38","3.78","1.05","","0.88","1.05","30","3.96","-0.28","0","0","1692"
"Erik Bedard","Orioles","3.66","-11.51","15.17","33.26","3.21","1.09","","0.88","1.15","27","3.36","0.00","0","0","126"
"CC Sabathia","Indians","3.23","-16.99","20.22","33.47","3.27","1.08","","0.87","1.12","30","2.82","0.17","0","0","404"
"Roy Halladay","Blue Jays","3.17","-12.84","16.01","25.99","2.55","0.92","","0.86","1.19","24","2.90","0.56","0","0","1303"
"Josh Beckett","Red Sox","3.12","-11.07","14.19","34.82","3.37","0.88","","0.88","0.97","29","3.65","-0.08","0","0","510"
"Roy Oswalt","Astros","3.08","-14.46","17.55","29.05","2.98","1.05","1.83","0.90","1.19","32","2.24","0.69","0","0","571"
"Kelvim Escobar","Angels","2.89","-13.05","15.95","26.44","2.57","1.04","","0.87","0.98","27","2.37","0.42","0","0","1298"
"John Lackey","Angels","2.84","-15.51","18.35","32.91","3.26","1.04","","0.88","1.34","31","2.95","-0.23","0","0","1507"
"Aaron Harang","Reds","2.75","-15.34","18.10","28.53","2.77","1.01","","0.86","1.35","32","2.51","0.23","0","0","1451"
"Jeff Francis","Rockies","2.69","-13.82","16.50","24.47","2.18","0.93","","0.88","0.95","33","1.62","1.27","0","0","4684"
"Cole Hamels","Phillies","2.63","-11.68","14.31","25.01","2.41","1.01","","0.87","0.92","26","1.79","0.81","0","0","4972"
"Brad Penny","Dodgers","2.62","-12.89","15.50","33.13","3.26","0.97","","0.87","1.07","33","2.42","0.27","0","0","535"
"James Shields","Devil Rays","2.60","-13.56","16.16","21.18","2.12","0.95","","0.88","1.25","30","2.42","0.31","0","0","7059"
"Carlos Zambrano","Cubs","2.45","-14.23","16.69","21.10","2.07","0.98","","0.88","1.21","33","1.63","0.88","0","0","305"
"Matt Cain","Giants","2.43","-12.88","15.31","27.18","2.69","0.98","","0.87","1.05","31","2.72","-0.25","0","0","4732"
"Mark Buehrle","White Sox","2.26","-13.52","15.78","29.49","2.83","1.00","","0.87","1.33","27","2.14","0.12","0","0","225"
"Chris Young","Padres","2.20","-11.31","13.51","17.63","1.95","1.04","","0.87","1.17","30","2.83","-0.71","0","0","3196"
"Dan Haren","Athletics","2.20","-15.36","17.56","24.89","2.48","1.03","","0.88","1.44","34","1.72","0.42","0","0","1757"
"Javier Vazquez","White Sox","2.19","-14.53","16.72","26.23","2.48","0.99","","0.87","1.21","30","2.65","-0.45","0","0","801"
"Chien-Ming Wang","Yankees","2.17","-13.43","15.59","26.10","2.51","1.00","","0.87","0.85","29","2.35","-0.18","0","0","2074"
"Ted Lilly","Cubs","2.13","-11.86","13.99","23.05","2.13","0.87","","0.88","0.79","34","2.36","0.08","0","0","833"
"John Smoltz","Braves","2.13","-13.77","15.90","32.56","3.19","1.02","","0.87","0.93","32","2.54","-0.45","0","0","115"
"A.J. Burnett","Blue Jays","1.90","-11.45","13.35","15.24","1.48","1.03","","0.87","1.09","23","1.41","0.44","0","0","512"
"Justin Verlander","Tigers","1.82","-13.59","15.41","23.12","2.16","0.99","","0.87","1.07","31","2.18","-0.34","0","0","8700"
"Rich Hill","Cubs","1.82","-13.23","15.05","18.01","1.73","0.99","","0.87","1.11","32","1.37","0.46","0","0","4806"
"Tim Hudson","Braves","1.80","-13.30","15.10","32.49","3.23","0.93","","0.87","0.93","33","3.02","-1.10","0","0","921"
"Tom Gorzelanny","Pirates","1.72","-13.69","15.41","15.25","1.44","0.98","","0.88","1.12","31","0.88","0.87","0","0","6244"
"Daisuke Matsuzaka","Red Sox","1.69","-15.79","17.48","16.48","1.65","1.08","","0.87","1.08","31","1.25","0.32","0","0","7775"
"Joe Blanton","Athletics","1.59","-15.69","17.28","15.41","1.63","0.98","","0.88","1.25","31","2.24","-0.61","0","0","4849"
"Carlos Silva","Twins","1.55","-13.27","14.82","11.50","1.16","0.92","","0.87","1.01","31","0.73","0.95","0","0","973"
"Scott Kazmir","Devil Rays","1.54","-16.21","17.75","22.79","2.21","1.08","","0.87","1.09","34","1.28","0.15","0","0","4897"
"Ian Snell","Pirates","1.52","-14.52","16.03","14.71","1.48","0.98","","0.88","0.94","31","0.68","0.86","0","0","2227"
"Johan Santana","Twins","1.36","-13.37","14.73","28.97","2.82","0.88","","0.87","0.88","32","2.55","-1.00","0","0","755"
"Gil Meche","Royals","1.34","-15.12","16.46","16.02","1.54","0.98","","0.86","1.15","33","1.80","-0.44","0","0","1089"
"Felix Hernandez","Mariners","1.33","-13.23","14.56","9.91","0.96","0.97","","0.88","1.01","29","0.81","0.55","0","0","4772"
"Jeremy Guthrie","Orioles","1.20","-12.28","13.48","8.86","0.89","0.99","1.60","0.88","1.45","29","1.54","-0.33","0","2","2072"
"Jon Garland","White Sox","1.14","-15.04","16.18","5.55","0.47","0.99","","0.87","1.31","30","1.35","-0.20","0","0","232"
"Adam Wainwright","Cardinals","1.08","-16.18","17.27","14.90","1.49","1.09","","0.87","1.04","31","0.96","0.03","0","0","2233"
"Doug Davis","Diamondbacks","1.04","-15.59","16.63","6.17","0.59","1.04","","0.88","1.11","33","-0.25","1.25","0","0","1244"
"Miguel Batista","Mariners","0.97","-14.55","15.52","0.59","0.07","1.01","","0.90","1.24","33","-0.57","1.52","1","0","46"
"Tom Glavine","Mets","0.94","-14.63","15.57","5.25","0.56","1.00","","0.86","1.25","33","1.15","-0.21","0","0","90"
"Derek Lowe","Dodgers","0.92","-12.75","13.67","2.34","0.22","0.91","","0.89","0.87","30","1.47","-0.46","1","0","199"
"John Maine","Mets","0.78","-12.53","13.30","9.36","0.94","0.92","","0.86","0.93","31","0.81","0.04","0","0","4773"
"Greg Maddux","Padres","0.71","-13.02","13.73","7.95","0.77","0.92","","0.88","1.04","33","0.23","0.54","0","0","104"
"Barry Zito","Giants","0.69","-14.19","14.88","1.88","0.20","1.00","","0.86","1.02","34","0.95","-0.25","0","0","944"
"Bronson Arroyo","Reds","0.58","-16.19","16.77","6.16","0.54","1.02","","0.88","0.92","33","0.00","0.56","0","0","978"
"Brian Bannister","Royals","0.53","-10.63","11.16","14.98","1.49","0.88","","0.87","0.76","26","1.35","-0.74","0","0","5718"
"Andy Pettitte","Yankees","0.47","-16.57","17.05","11.68","1.18","1.04","","0.89","1.17","36","1.22","-0.76","1","0","840"
"Livan Hernandez","Diamondbacks","0.40","-17.41","17.81","-3.36","-0.46","1.08","","0.88","0.95","32","-1.11","1.48","0","0","1116"
"Tim Wakefield","Red Sox","0.38","-13.32","13.70","5.97","0.51","0.92","","0.87","0.98","31","0.71","-0.30","0","0","219"
"Kyle Lohse","- - -","0.35","-14.58","14.93","-1.72","-0.35","1.01","","0.87","1.07","32","0.53","-0.18","0","0","739"
"Oliver Perez","Mets","0.33","-13.71","14.04","0.61","0.07","1.04","","0.88","1.19","29","0.28","0.03","0","0","1514"
"Dustin McGowan","Blue Jays","0.25","-11.91","12.16","9.89","1.00","0.96","","0.87","0.96","25","1.64","-1.38","0","0","8600"
"Nate Robertson","Tigers","0.23","-13.77","14.00","-2.60","-0.22","1.01","","0.88","1.07","30","0.03","0.20","0","0","1620"
"Josh Fogg","Rockies","0.05","-12.72","12.77","-3.59","-0.29","0.97","","0.85","1.06","30","-0.43","0.49","0","0","989"
"Braden Looper","Cardinals","-0.06","-12.17","12.11","-5.87","-0.46","0.91","","0.88","0.97","31","0.68","-0.75","0","1","526"
"Aaron Cook","Rockies","-0.18","-14.19","14.01","9.31","1.03","1.09","","0.87","1.38","23","0.76","-0.93","0","0","1571"
"Jarrod Washburn","Mariners","-0.30","-15.14","14.84","-0.30","-0.06","1.01","","0.87","1.44","31","0.17","-0.46","0","0","40"
"Wandy Rodriguez","Astros","-0.37","-13.61","13.24","-1.80","-0.13","0.94","","0.88","0.83","30","0.24","-0.63","0","0","2586"
