"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Jake Peavy","Padres","19","6","2.54","34","34","0","0","0","0","0","223.1","898","169","67","63","13","68","5","6","4","0","240","1051"
"Brandon Webb","Diamondbacks","18","10","3.01","34","34","4","3","0","0","0","236.1","975","209","91","79","12","72","6","5","3","0","194","1692"
"John Lackey","Angels","19","9","3.01","33","33","2","2","0","0","0","224.0","929","219","87","75","18","52","2","12","9","1","179","1507"
"Brad Penny","Dodgers","16","4","3.03","33","33","0","0","0","0","0","208.0","865","199","75","70","9","73","2","5","6","0","135","535"
"Roberto Hernandez","Indians","19","8","3.06","32","32","2","1","0","0","0","215.0","879","199","78","73","16","61","2","11","5","1","137","3273"
"Dan Haren","Athletics","15","9","3.07","34","34","0","0","0","0","0","222.2","935","214","91","76","24","55","1","3","10","0","192","1757"
"John Smoltz","Braves","14","8","3.11","32","32","0","0","0","0","0","205.2","853","196","78","71","18","47","9","4","8","0","197","115"
"Chris Young","Padres","9","8","3.12","30","30","0","0","0","0","0","173.0","705","118","66","60","10","72","0","7","7","4","167","3196"
"Erik Bedard","Orioles","13","5","3.16","28","28","1","1","0","0","0","182.0","733","141","66","64","19","57","0","5","3","0","221","126"
"Roy Oswalt","Astros","14","7","3.18","33","32","1","0","0","1","0","212.0","910","221","80","75","14","60","6","7","1","1","154","571"
"CC Sabathia","Indians","19","7","3.21","34","34","4","1","0","0","0","241.0","975","238","94","86","20","37","1","8","1","0","209","404"
"Josh Beckett","Red Sox","20","7","3.27","30","30","1","0","0","0","0","200.2","822","189","76","73","17","40","0","5","3","0","194","510"
"Johan Santana","Twins","15","13","3.33","33","33","1","1","0","0","0","219.0","878","183","88","81","33","52","0","4","7","1","235","755"
"Tim Hudson","Braves","16","10","3.33","34","34","1","1","0","0","0","224.1","925","221","87","83","10","53","8","8","5","2","132","921"
"Cole Hamels","Phillies","15","5","3.39","28","28","2","0","0","0","0","183.1","743","163","72","69","25","43","4","3","5","0","177","4972"
"Kelvim Escobar","Angels","18","7","3.40","30","30","3","1","0","0","0","195.2","812","182","79","74","11","66","2","3","9","0","160","1298"
"Scott Kazmir","Devil Rays","13","9","3.48","34","34","0","0","0","0","0","206.2","887","196","91","80","18","89","1","7","10","0","239","4897"
"Oliver Perez","Mets","15","10","3.56","29","29","0","0","0","0","0","177.0","765","153","90","70","22","79","1","7","6","0","174","1514"
"Mark Buehrle","White Sox","10","9","3.63","30","30","3","1","0","0","0","201.0","835","208","86","81","22","45","5","5","1","0","115","225"
"Matt Cain","Giants","7","16","3.65","32","32","1","0","0","0","0","200.0","832","173","84","81","14","79","3","5","12","0","163","4732"
"Justin Verlander","Tigers","18","6","3.66","32","32","1","1","0","0","0","201.2","866","181","88","82","20","67","3","19","17","2","183","8700"
"Gil Meche","Royals","9","13","3.67","34","34","1","0","0","0","0","216.0","906","218","98","88","22","62","2","3","3","0","156","1089"
"Jeremy Guthrie","Orioles","7","5","3.70","32","26","0","0","0","0","1","175.1","723","165","78","72","23","47","2","4","8","1","123","2072"
"Adam Wainwright","Cardinals","14","12","3.70","32","32","1","0","0","0","0","202.0","882","212","93","83","13","70","4","9","6","0","136","2233"
"Chien-Ming Wang","Yankees","19","7","3.70","30","30","1","0","0","0","0","199.1","823","199","84","82","9","59","1","8","9","1","104","2074"
"Roy Halladay","Blue Jays","16","7","3.71","31","31","7","1","0","0","0","225.1","927","232","101","93","15","48","3","3","4","0","139","1303"
"Aaron Harang","Reds","16","6","3.73","34","34","2","1","0","0","0","231.2","948","213","100","96","28","52","3","8","12","1","218","1451"
"Javier Vazquez","White Sox","15","8","3.74","32","32","2","0","0","0","0","216.2","882","197","95","90","29","50","2","7","5","0","213","801"
"A.J. Burnett","Blue Jays","10","8","3.75","25","25","2","0","0","0","0","165.2","691","131","74","69","23","66","2","12","5","0","176","512"
"Ian Snell","Pirates","9","12","3.76","32","32","1","0","0","0","0","208.0","882","209","94","87","22","68","4","8","12","0","177","2227"
"Ted Lilly","Cubs","15","8","3.83","34","34","0","0","0","0","0","207.0","847","181","91","88","28","55","2","3","7","0","174","833"
"James Shields","Devil Rays","12","8","3.85","31","31","1","0","0","0","0","215.0","874","202","98","92","28","36","0","10","9","0","184","7059"
