Name,Team,G,AB,PA,H_b,1B,2B,3B,HR_b,R_b,RBI,BB_b,IBB_b,SO_b,BB%,K%,BB/K,BABIP_b,HBP_b,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,W,L,GS,CG,IP,H_p,HR_p,BB_p,SO_p,R_p,SV,BS,BK,ER,HBP_p,HLD,IBB_p,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP_p,FIP,WHIP
Alex Rodriguez,Yankees,158,583.0,708.0,183.0,98.0,31.0,0.0,54.0,143.0,156.0,95.0,11.0,120.0,13.4,16.9,0.79,0.309,21.0,9.0,0.0,15.0,24.0,4.0,-0.5,0.331,0.445,67.5,0.314,0.422,0.645,1.067,9.6,175.0,7.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
David Wright,Mets,160,604.0,711.0,196.0,123.0,42.0,1.0,30.0,113.0,107.0,94.0,6.0,115.0,13.2,16.2,0.82,0.35600000000000004,6.0,7.0,0.0,14.0,34.0,5.0,8.7,0.222,0.413,49.1,0.325,0.416,0.546,0.963,8.4,151.0,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Magglio Ordonez,Tigers,157,595.0,679.0,216.0,134.0,54.0,0.0,28.0,117.0,139.0,76.0,8.0,79.0,11.2,11.6,0.96,0.381,2.0,5.0,0.0,20.0,4.0,1.0,1.1,0.232,0.438,61.0,0.363,0.434,0.595,1.029,8.0,169.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Curtis Granderson,Tigers,158,612.0,676.0,185.0,101.0,38.0,23.0,23.0,122.0,74.0,52.0,3.0,141.0,7.7,20.9,0.37,0.36,5.0,2.0,5.0,3.0,26.0,1.0,17.5,0.25,0.388,32.0,0.302,0.361,0.552,0.913,7.9,136.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Albert Pujols,Cardinals,158,565.0,679.0,185.0,114.0,38.0,1.0,32.0,99.0,103.0,99.0,22.0,58.0,14.6,8.5,1.71,0.317,7.0,8.0,0.0,27.0,2.0,6.0,13.1,0.241,0.419,50.1,0.327,0.429,0.568,0.997,7.7,155.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Chase Utley,Phillies,132,530.0,613.0,176.0,101.0,48.0,5.0,22.0,104.0,103.0,50.0,1.0,89.0,8.2,14.5,0.56,0.362,25.0,7.0,1.0,7.0,9.0,1.0,14.4,0.234,0.419,45.1,0.332,0.41,0.5660000000000001,0.976,7.7,150.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Chipper Jones,Braves,134,513.0,600.0,173.0,98.0,42.0,4.0,29.0,108.0,102.0,82.0,10.0,75.0,13.7,12.5,1.09,0.348,0.0,5.0,0.0,21.0,5.0,1.0,3.0,0.267,0.434,51.7,0.337,0.425,0.604,1.029,6.9,163.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Matt Holliday,Rockies,158,636.0,713.0,216.0,124.0,50.0,6.0,36.0,120.0,137.0,63.0,7.0,126.0,8.8,17.7,0.5,0.377,10.0,4.0,0.0,23.0,11.0,4.0,-2.6,0.267,0.428,58.2,0.34,0.405,0.607,1.012,6.9,151.0,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Alfonso Soriano,Cubs,135,579.0,617.0,173.0,93.0,42.0,5.0,33.0,97.0,70.0,31.0,4.0,130.0,5.0,21.1,0.24,0.334,4.0,3.0,0.0,9.0,19.0,6.0,27.9,0.261,0.378,24.5,0.299,0.337,0.56,0.897,6.7,122.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Jimmy Rollins,Phillies,162,716.0,778.0,212.0,124.0,38.0,20.0,30.0,139.0,94.0,49.0,5.0,85.0,6.3,10.9,0.58,0.3,7.0,6.0,0.0,11.0,41.0,6.0,10.0,0.235,0.371,26.0,0.29600000000000004,0.344,0.531,0.875,6.5,119.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
