"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Alex Rodriguez","Yankees","158","708","54","143","156","24","13.4 %","16.9 %",".331",".309",".314",".422",".645",".445","175","7.7","74.2","-0.5","9.6","1274"
"David Wright","Mets","160","711","30","113","107","34","13.2 %","16.2 %",".222",".356",".325",".416",".546",".413","151","6.4","53.4","8.7","8.4","3787"
"Magglio Ordonez","Tigers","157","679","28","117","139","4","11.2 %","11.6 %",".232",".381",".363",".434",".595",".438","169","-1.4","57.8","1.1","8.0","248"
"Curtis Granderson","Tigers","158","676","23","122","74","26","7.7 %","20.9 %",".250",".360",".302",".361",".552",".388","136","9.9","40.0","17.5","7.9","4747"
"Albert Pujols","Cardinals","158","679","32","99","103","2","14.6 %","8.5 %",".241",".317",".327",".429",".568",".419","155","-4.9","43.2","13.1","7.7","1177"
"Chase Utley","Phillies","132","613","22","104","103","9","8.2 %","14.5 %",".234",".362",".332",".410",".566",".419","150","4.6","44.0","14.4","7.7","1679"
"Chipper Jones","Braves","134","600","29","108","102","5","13.7 %","12.5 %",".267",".348",".337",".425",".604",".434","163","-1.1","47.6","3.0","6.9","97"
"Matt Holliday","Rockies","158","713","36","120","137","11","8.8 %","17.7 %",".267",".377",".340",".405",".607",".428","151","2.6","49.4","-2.6","6.9","1873"
"Alfonso Soriano","Cubs","135","617","33","97","70","19","5.0 %","21.1 %",".261",".334",".299",".337",".560",".378","122","2.2","20.0","27.9","6.7","847"
"Jimmy Rollins","Phillies","162","778","30","139","94","41","6.3 %","10.9 %",".235",".300",".296",".344",".531",".371","119","11.8","30.6","10.0","6.5","971"
"Grady Sizemore","Indians","162","748","24","118","78","33","13.5 %","20.7 %",".185",".333",".277",".390",".462",".373","129","9.8","36.9","2.5","6.4","2197"
"David Ortiz","Red Sox","149","667","35","116","117","3","16.6 %","15.4 %",".290",".355",".332",".445",".621",".449","175","-4.4","58.1","-16.6","6.3","745"
"Ichiro Suzuki","Mariners","161","736","6","111","68","37","6.7 %","10.5 %",".080",".389",".351",".396",".431",".362","122","9.8","30.2","6.9","6.1","1101"
"Carlos Pena","Devil Rays","148","612","46","99","121","1","16.8 %","23.2 %",".345",".297",".282",".411",".627",".431","167","1.1","52.2","-12.8","5.9","934"
"Jorge Posada","Yankees","144","589","20","91","90","2","12.6 %","16.6 %",".206",".386",".338",".426",".543",".418","157","-7.4","34.6","2.9","5.6","841"
"Jose Reyes","Mets","160","765","12","119","57","78","10.1 %","10.2 %",".141",".302",".280",".354",".421",".337","101","11.6","13.0","18.9","5.6","1736"
"Russell Martin","Dodgers","151","620","19","87","87","21","10.8 %","14.4 %",".176",".317",".293",".374",".469",".369","122","0.7","18.3","17.5","5.5","4616"
"Aaron Rowand","Phillies","161","684","27","105","89","6","6.9 %","17.4 %",".206",".345",".309",".374",".515",".384","127","2.4","26.3","6.9","5.4","254"
"Victor Martinez","Indians","147","645","25","78","114","0","9.6 %","11.8 %",".205",".305",".301",".374",".505",".373","129","-2.5","20.8","12.7","5.4","393"
"Placido Polanco","Tigers","142","641","9","105","67","7","5.8 %","4.7 %",".118",".346",".341",".388",".458",".372","125","0.9","20.9","11.5","5.3","1176"
"Troy Tulowitzki","Rockies","155","682","24","104","99","7","8.4 %","19.1 %",".189",".335",".291",".359",".479",".364","109","0.4","8.4","22.2","5.2","3531"
"Hanley Ramirez","Marlins","154","706","29","125","81","51","7.4 %","13.5 %",".230",".353",".332",".386",".562",".405","144","3.7","43.8","-14.0","5.2","8001"
"Alex Rios","Blue Jays","161","711","24","114","85","17","7.7 %","14.5 %",".201",".319",".297",".354",".498",".366","122","6.4","26.4","1.9","5.2","2090"
"Carlos Beltran","Mets","144","636","33","93","112","23","10.8 %","17.5 %",".249",".286",".276",".353",".525",".369","122","7.7","26.1","5.1","5.1","589"
"Miguel Cabrera","Marlins","157","680","34","91","119","2","11.6 %","18.7 %",".245",".355",".320",".401",".565",".403","142","-5.5","31.9","-3.0","5.0","1744"
"Brian Roberts","Orioles","156","716","12","103","57","50","12.4 %","13.8 %",".142",".327",".290",".377",".432",".356","115","9.1","22.4","3.0","4.9","166"
"Orlando Cabrera","Angels","155","701","8","101","86","20","6.3 %","9.1 %",".096",".319",".301",".345",".397",".328","97","7.9","5.4","19.2","4.8","766"
"Aramis Ramirez","Cubs","132","558","26","72","101","0","7.7 %","11.8 %",".239",".313",".310",".366",".549",".386","127","-1.6","18.1","12.2","4.8","1002"
"Robinson Cano","Yankees","160","669","19","93","97","4","5.8 %","12.7 %",".182",".329",".306",".353",".488",".362","119","-0.7","15.6","9.9","4.7","3269"
"Prince Fielder","Brewers","158","681","50","109","119","2","13.2 %","17.8 %",".330",".283",".288",".395",".618",".419","153","-1.1","45.9","-20.0","4.7","4613"
"Melvin Upton Jr.","Devil Rays","129","548","24","86","82","22","11.9 %","28.1 %",".209",".393",".300",".386",".508",".386","137","3.4","28.6","-1.1","4.5","5015"
"Ryan Zimmerman","Nationals","162","722","24","99","91","4","8.4 %","17.3 %",".191",".295",".266",".330",".458",".340","105","-0.3","4.3","18.3","4.5","4220"
"Mike Lowell","Red Sox","154","653","21","79","120","3","8.1 %","10.9 %",".177",".337",".324",".378",".501",".379","128","-5.7","17.0","6.5","4.5","527"
"Brandon Phillips","Reds","158","702","30","107","94","32","4.7 %","15.5 %",".197",".304",".288",".331",".485",".350","104","-1.1","2.6","19.7","4.4","791"
"Coco Crisp","Red Sox","145","591","6","85","60","28","8.5 %","14.2 %",".114",".306",".268",".330",".382",".316","85","8.4","-2.6","27.1","4.4","1572"
"Mark Ellis","Athletics","150","642","19","84","76","9","6.9 %","14.6 %",".165",".300",".276",".336",".441",".340","107","4.9","10.5","12.2","4.4","1443"
"Mark Teixeira","- - -","132","575","30","86","105","0","12.5 %","19.5 %",".257",".342",".306",".400",".563",".407","146","2.5","36.0","-10.7","4.4","1281"
"Corey Hart","Brewers","140","566","24","86","81","23","6.4 %","17.5 %",".244",".321",".295",".353",".539",".378","127","4.6","24.4","0.3","4.2","1945"
"Todd Helton","Rockies","154","682","17","86","91","0","17.0 %","10.9 %",".174",".340",".320",".434",".494",".401","133","-6.7","22.5","-2.2","4.2","432"
"Kevin Youkilis","Red Sox","145","625","16","85","83","4","12.3 %","16.8 %",".165",".330",".288",".390",".453",".374","124","1.4","20.3","-0.1","4.1","1935"
"Nick Markakis","Orioles","161","710","23","97","112","18","8.6 %","15.8 %",".185",".331",".300",".362",".485",".366","121","-0.7","18.3","-1.3","4.1","5930"
"Chone Figgins","Angels","115","503","3","81","58","41","10.1 %","16.1 %",".102",".391",".330",".393",".432",".365","122","10.4","24.3","-0.7","4.0","1580"
"Edgar Renteria","Braves","124","543","12","87","57","11","8.5 %","14.2 %",".138",".375",".332",".390",".470",".379","127","3.1","22.2","0.8","4.0","1178"
"Nick Swisher","Athletics","150","659","22","84","78","3","15.2 %","19.9 %",".193",".301",".262",".381",".455",".362","122","4.6","22.9","-5.2","4.0","4599"
"J.J. Hardy","Brewers","151","638","26","89","80","2","6.3 %","11.4 %",".186",".279",".277",".323",".463",".340","103","-2.3","-0.1","19.4","3.9","3797"
"Dustin Pedroia","Red Sox","139","581","8","86","50","7","8.1 %","7.2 %",".125",".333",".317",".380",".442",".364","117","0.0","12.8","5.3","3.7","8370"
"Derek Jeter","Yankees","156","714","12","102","73","15","7.8 %","14.0 %",".130",".367",".322",".388",".452",".371","125","0.9","23.7","-11.2","3.6","826"
"Eric Byrnes","Diamondbacks","160","699","21","103","83","50","8.2 %","14.0 %",".174",".309",".286",".353",".460",".353","104","10.1","13.7","0.1","3.6","905"
