"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Alex Rodriguez","Yankees","7.68","-10.67","18.36","84.36","8.16","1.00","","0","6.64","1.03","1274"
"Magglio Ordonez","Tigers","6.40","-10.39","16.79","69.51","6.72","1.04","3.46","1","5.31","0.86","248"
"Vladimir Guerrero","Angels","6.12","-9.49","15.60","55.44","5.40","0.98","","0","3.67","2.55","778"
"Prince Fielder","Brewers","5.22","-9.65","14.87","51.02","5.01","0.94","1.29","2","5.34","0.23","4613"
"Albert Pujols","Cardinals","4.78","-10.01","14.79","49.18","4.79","0.97","2.33","4","4.53","0.38","1177"
"David Ortiz","Red Sox","4.73","-11.15","15.88","65.27","6.15","1.04","1.86","2","6.23","-1.68","745"
"Miguel Cabrera","Marlins","4.68","-10.97","15.64","48.71","4.77","1.00","2.40","1","3.92","0.74","1744"
"Adrian Gonzalez","Padres","4.56","-11.12","15.68","37.08","3.73","0.98","","0","2.73","1.93","1908"
"Matt Holliday","Rockies","4.39","-13.00","17.39","51.14","4.61","1.04","","0","4.83","-0.60","1873"
"Todd Helton","Rockies","4.38","-10.77","15.15","48.76","4.41","1.06","0.51","1","3.41","0.73","432"
"Chipper Jones","Braves","4.28","-10.26","14.54","50.91","5.09","1.05","2.27","2","4.78","-0.70","97"
"David Wright","Mets","4.27","-10.64","14.91","45.72","4.62","0.94","7.38","1","5.15","-0.62","3787"
"Aramis Ramirez","Cubs","4.21","-9.99","14.20","31.10","2.96","1.08","1.62","3","2.78","1.12","1002"
"Carlos Pena","Devil Rays","4.04","-9.26","13.30","55.42","5.42","0.98","1.50","2","4.78","-0.68","934"
"Carl Crawford","Devil Rays","3.66","-9.73","13.38","33.14","3.23","0.97","1.23","2","1.90","1.86","1201"
"Chase Utley","Phillies","3.61","-9.52","13.13","45.38","4.41","0.98","1.00","1","4.91","-1.21","1679"
"Brad Hawpe","Rockies","3.58","-11.02","14.60","38.69","3.66","1.09","1.01","10","3.40","-0.12","1885"
"Lance Berkman","Astros","3.51","-10.37","13.89","39.04","3.80","1.03","3.17","3","3.45","-0.04","548"
"Jack Cust","Athletics","3.29","-7.58","10.86","31.01","3.12","0.99","1.94","9","2.36","0.95","1564"
"Ryan Howard","Phillies","3.28","-10.98","14.26","39.03","3.99","1.03","3.55","4","3.04","0.16","2154"
"Jimmy Rollins","Phillies","3.04","-13.41","16.44","34.56","3.39","0.98","","0","2.91","0.17","971"
"Derrek Lee","Cubs","3.02","-9.81","12.83","31.58","2.97","0.93","1.88","2","3.42","-0.17","525"
"Chone Figgins","Angels","2.99","-7.94","10.93","24.81","2.45","0.97","0.51","1","1.82","1.27","1580"
"Placido Polanco","Tigers","2.95","-9.11","12.06","27.88","2.69","0.94","3.99","2","2.06","1.08","1176"
"Corey Hart","Brewers","2.86","-8.68","11.54","28.13","2.76","0.98","1.31","16","2.56","0.36","1945"
"Pat Burrell","Phillies","2.85","-9.49","12.34","32.75","3.08","1.00","1.39","12","3.10","-0.25","949"
"Jim Thome","White Sox","2.83","-8.55","11.38","45.99","4.37","1.00","2.36","6","3.62","-0.80","409"
"Victor Martinez","Indians","2.81","-10.98","13.80","33.01","3.23","1.05","2.67","2","2.94","-0.26","393"
"Jorge Posada","Yankees","2.77","-8.71","11.49","36.02","3.51","0.93","1.78","13","3.12","-0.14","841"
"Derek Jeter","Yankees","2.65","-10.89","13.54","31.90","3.12","0.95","2.26","2","2.85","-0.05","826"
"Grady Sizemore","Indians","2.58","-12.06","14.65","33.48","3.28","1.01","1.16","2","2.60","-0.04","2197"
"Hanley Ramirez","Marlins","2.52","-12.22","14.74","30.71","3.10","0.99","1.67","3","3.99","-1.45","8001"
"Nick Markakis","Orioles","2.42","-12.70","15.12","22.17","2.14","1.07","","0","1.53","0.73","5930"
"Adam Dunn","Reds","2.38","-10.75","13.13","36.70","3.53","1.04","1.84","7","3.55","-1.26","319"
"Aaron Rowand","Phillies","2.38","-11.48","13.86","14.54","1.43","1.03","2.15","2","1.99","0.33","254"
"Mark Teixeira","- - -","2.37","-9.08","11.45","42.98","4.20","1.02","","0","1.81","0.52","1281"
"Troy Tulowitzki","Rockies","2.33","-12.24","14.58","9.59","0.82","1.02","","0","0.74","1.54","3531"
"Russell Martin","Dodgers","2.31","-10.85","13.17","28.81","2.83","1.06","1.67","4","2.55","-0.37","4616"
"Michael Young","Rangers","2.25","-12.01","14.26","22.98","2.22","1.04","","0","0.69","1.47","1286"
"Ichiro Suzuki","Mariners","2.15","-10.89","13.04","29.52","2.97","0.95","","0","1.76","0.51","1101"
"Carlos Beltran","Mets","2.14","-9.65","11.79","33.08","3.33","0.94","1.42","3","3.06","-0.79","589"
"Carlos Delgado","Mets","2.06","-10.18","12.25","7.55","0.76","0.99","","0","0.71","1.37","1297"
"Carlos Lee","Astros","1.98","-13.41","15.39","19.03","1.95","1.11","2.16","2","1.86","-0.09","243"
"Travis Hafner","Indians","1.96","-10.91","12.87","26.42","2.59","1.02","2.78","5","2.25","-0.34","1573"
"Carlos Guillen","Tigers","1.95","-10.85","12.80","22.25","2.20","1.01","1.38","4","0.74","1.19","1079"
"Raul Ibanez","Mariners","1.89","-10.44","12.32","35.21","3.49","0.96","2.18","5","2.06","-0.09","607"
"Adrian Beltre","Mariners","1.88","-11.01","12.89","15.71","1.52","0.97","","0","1.89","0.06","639"
"Edgar Renteria","Braves","1.87","-8.59","10.46","19.66","1.89","0.95","1.38","2","2.10","-0.13","1178"
"Melvin Upton Jr.","Devil Rays","1.85","-10.10","11.96","26.17","2.57","1.04","2.88","2","2.85","-1.07","5015"
"Frank Thomas","Blue Jays","1.85","-10.43","12.29","25.57","2.51","1.00","1.44","8","2.04","-0.18","255"
