Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA
Alex Rodriguez,Yankees,158,583,708,183,98,31,0,54,143,156,95,11,120,13.4,16.9,0.79,0.309,21,9,0,15,24,4,-0.5,0.331,0.445,67.5,0.314,0.42200000000000004,0.645,1.067,9.6,175,7.68
David Wright,Mets,160,604,711,196,123,42,1,30,113,107,94,6,115,13.2,16.2,0.82,0.35600000000000004,6,7,0,14,34,5,8.7,0.222,0.413,49.1,0.325,0.41600000000000004,0.546,0.963,8.4,151,4.27
Magglio Ordonez,Tigers,157,595,679,216,134,54,0,28,117,139,76,8,79,11.2,11.6,0.96,0.381,2,5,0,20,4,1,1.1,0.23199999999999998,0.43799999999999994,61.0,0.363,0.434,0.595,1.0290000000000001,8.0,169,6.4
Curtis Granderson,Tigers,158,612,676,185,101,38,23,23,122,74,52,3,141,7.7,20.9,0.37,0.36,5,2,5,3,26,1,17.5,0.25,0.38799999999999996,32.0,0.302,0.361,0.552,0.9129999999999999,7.9,136,0.64
Albert Pujols,Cardinals,158,565,679,185,114,38,1,32,99,103,99,22,58,14.6,8.5,1.71,0.317,7,8,0,27,2,6,13.1,0.24100000000000002,0.419,50.1,0.327,0.429,0.568,0.997,7.7,155,4.78
Chase Utley,Phillies,132,530,613,176,101,48,5,22,104,103,50,1,89,8.2,14.5,0.56,0.36200000000000004,25,7,1,7,9,1,14.4,0.23399999999999999,0.419,45.1,0.332,0.41,0.5660000000000001,0.976,7.7,150,3.61
Chipper Jones,Braves,134,513,600,173,98,42,4,29,108,102,82,10,75,13.7,12.5,1.09,0.348,0,5,0,21,5,1,3.0,0.267,0.434,51.7,0.337,0.425,0.604,1.0290000000000001,6.9,163,4.28
Matt Holliday,Rockies,158,636,713,216,124,50,6,36,120,137,63,7,126,8.8,17.7,0.5,0.377,10,4,0,23,11,4,-2.6,0.267,0.428,58.2,0.34,0.405,0.607,1.012,6.9,151,4.39
Alfonso Soriano,Cubs,135,579,617,173,93,42,5,33,97,70,31,4,130,5.0,21.1,0.24,0.33399999999999996,4,3,0,9,19,6,27.9,0.261,0.37799999999999995,24.5,0.299,0.337,0.56,0.897,6.7,122,0.73
Jimmy Rollins,Phillies,162,716,778,212,124,38,20,30,139,94,49,5,85,6.3,10.9,0.58,0.3,7,6,0,11,41,6,10.0,0.235,0.371,26.0,0.29600000000000004,0.344,0.531,0.875,6.5,119,3.04
