"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Magglio Ordonez","Tigers","157","595","679","216","134","54","0","28","117","139","76","8","79","2","5","0","20","4","1",".363","248"
"Ichiro Suzuki","Mariners","161","678","736","238","203","22","7","6","111","68","49","13","77","3","2","4","7","37","8",".351","1101"
"Placido Polanco","Tigers","142","587","641","200","152","36","3","9","105","67","37","3","30","11","4","2","9","7","3",".341","1176"
"Matt Holliday","Rockies","158","636","713","216","124","50","6","36","120","137","63","7","126","10","4","0","23","11","4",".340","1873"
"Jorge Posada","Yankees","144","506","589","171","108","42","1","20","91","90","74","7","98","6","3","0","18","2","0",".338","841"
"Chipper Jones","Braves","134","513","600","173","98","42","4","29","108","102","82","10","75","0","5","0","21","5","1",".337","97"
"Chase Utley","Phillies","132","530","613","176","101","48","5","22","104","103","50","1","89","25","7","1","7","9","1",".332","1679"
"Edgar Renteria","Braves","124","494","543","164","121","30","1","12","87","57","46","0","77","1","0","2","14","11","2",".332","1178"
"Hanley Ramirez","Marlins","154","639","706","212","129","48","6","29","125","81","52","3","95","7","4","4","10","51","14",".332","8001"
"David Ortiz","Red Sox","149","549","667","182","94","52","1","35","116","117","111","12","103","4","3","0","16","3","1",".332","745"
"Chone Figgins","Angels","115","442","503","146","113","24","6","3","81","58","51","0","81","0","8","2","7","41","12",".330","1580"
"Albert Pujols","Cardinals","158","565","679","185","114","38","1","32","99","103","99","22","58","7","8","0","27","2","6",".327","1177"
"David Wright","Mets","160","604","711","196","123","42","1","30","113","107","94","6","115","6","7","0","14","34","5",".325","3787"
"Mike Lowell","Red Sox","154","589","653","191","131","37","2","21","79","120","53","4","71","3","8","0","19","3","2",".324","527"
"Vladimir Guerrero","Angels","150","574","660","186","113","45","1","27","89","125","71","28","62","9","6","0","19","2","3",".324","778"
"Derek Jeter","Yankees","156","639","714","206","151","39","4","12","102","73","56","3","100","14","2","3","21","15","8",".322","826"
"Miguel Cabrera","Marlins","157","588","680","188","114","38","2","34","91","119","79","23","127","5","7","1","17","2","1",".320","1744"
"Todd Helton","Rockies","154","557","682","178","117","42","2","17","86","91","116","16","74","2","7","0","15","0","1",".320","432"
