"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Zack Greinke","Royals","9.50","2.00","4.75","0.43","26.5 %","5.6 %","20.9 %",".227","1.07",".303","79.3 %","48","54","70","2.16","2.33","-0.17","3.09","3.04","1943"
"Tim Lincecum","Giants","10.42","2.72","3.84","0.40","28.8 %","7.5 %","21.3 %",".202","1.05",".282","75.9 %","60","56","66","2.48","2.34","0.13","2.83","2.91","5705"
"Javier Vazquez","Braves","9.77","1.81","5.41","0.82","27.2 %","5.0 %","22.2 %",".219","1.03",".283","76.6 %","69","65","65","2.87","2.77","0.10","2.77","2.86","801"
"Chris Carpenter","Cardinals","6.73","1.78","3.79","0.33","19.2 %","5.1 %","14.1 %",".221","1.01",".269","79.5 %","55","67","79","2.24","2.78","-0.53","3.34","3.43","1292"
"Justin Verlander","Tigers","10.09","2.36","4.27","0.75","27.4 %","6.4 %","21.0 %",".240","1.18",".319","72.7 %","76","63","73","3.45","2.80","0.65","3.20","3.06","8700"
"Roy Halladay","Blue Jays","7.83","1.32","5.94","0.83","21.6 %","3.6 %","18.0 %",".254","1.13",".306","79.0 %","62","69","68","2.79","3.06","-0.27","3.00","3.12","1303"
"Josh Johnson","Marlins","8.22","2.50","3.29","0.60","22.3 %","6.8 %","15.6 %",".233","1.16",".290","74.9 %","76","73","79","3.23","3.06","0.17","3.36","3.45","4567"
"Clayton Kershaw","Dodgers","9.74","4.79","2.03","0.37","26.4 %","13.0 %","13.4 %",".195","1.23",".269","77.5 %","69","74","91","2.79","3.08","-0.29","3.85","3.95","2036"
"Felix Hernandez","Mariners","8.18","2.68","3.06","0.57","22.2 %","7.3 %","14.9 %",".223","1.14",".278","76.7 %","58","72","77","2.49","3.09","-0.60","3.37","3.44","4772"
"Cliff Lee","- - -","7.03","1.67","4.21","0.66","18.7 %","4.4 %","14.2 %",".266","1.24",".315","76.2 %","74","72","83","3.22","3.11","0.11","3.64","3.77","1636"
