"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Zack Greinke","Royals","5.96","-12.51","18.47","60.64","5.88","1.00","","0.87","1.15","27","5.28","0.70","0","0","1943"
"Chris Carpenter","Cardinals","5.53","-9.63","15.16","45.70","4.72","1.03","","0.87","1.17","25","4.60","0.78","0","0","1292"
"Tim Lincecum","Giants","4.55","-12.33","16.88","42.90","4.41","1.01","","0.88","1.16","28","4.22","0.28","0","0","5705"
"Justin Verlander","Tigers","4.33","-16.09","20.42","33.46","3.14","1.08","","0.88","1.05","32","3.82","0.20","0","0","8700"
"Adam Wainwright","Cardinals","3.85","-15.79","19.64","41.24","4.35","1.10","","0.88","1.00","33","2.71","0.79","0","0","2233"
"Felix Hernandez","Mariners","3.84","-16.06","19.90","40.54","3.99","1.10","","0.87","1.17","32","3.59","-0.12","0","0","4772"
"Jair Jurrjens","Braves","3.77","-13.04","16.82","38.26","3.98","1.01","","0.87","1.05","34","2.73","1.01","0","0","5556"
"Roy Halladay","Blue Jays","3.66","-13.69","17.36","45.97","4.51","0.92","","0.88","0.76","23","3.88","0.10","0","0","1303"
"Matt Cain","Giants","3.40","-12.93","16.33","35.87","3.67","0.97","","0.87","1.13","29","2.31","1.19","0","0","4732"
"Ubaldo Jimenez","Rockies","3.34","-15.08","18.41","33.67","3.11","1.08","","0.87","1.01","32","2.97","0.13","0","0","3374"
"Clayton Kershaw","Dodgers","3.17","-10.53","13.69","29.14","3.12","1.06","","0.85","1.19","30","3.12","-0.13","0","0","2036"
"Edwin Jackson","Tigers","3.03","-15.22","18.25","25.42","2.50","1.04","","0.88","1.11","32","1.70","1.21","0","0","1841"
"Dan Haren","Diamondbacks","2.91","-13.70","16.62","37.10","3.62","0.95","","0.87","1.09","30","2.93","0.15","0","0","1757"
"Javier Vazquez","Braves","2.89","-13.78","16.68","35.41","3.65","1.03","","0.87","1.06","29","3.97","-1.16","0","0","801"
"CC Sabathia","Yankees","2.84","-14.67","17.51","29.11","2.75","1.01","","0.88","1.12","32","2.98","-0.16","0","0","404"
"Wandy Rodriguez","Astros","2.67","-11.97","14.64","24.10","2.56","0.91","","0.88","0.91","32","1.16","1.78","0","0","2586"
"Josh Johnson","Marlins","2.61","-13.44","16.05","29.98","2.95","1.03","","0.88","1.22","31","2.78","-0.25","0","0","4567"
"Scott Feldman","Rangers","2.50","-12.25","14.75","22.09","2.08","0.98","1.16","0.84","1.20","34","2.08","0.48","0","1","6283"
"Jason Marquis","Rockies","2.50","-14.90","17.40","16.38","1.48","1.04","","0.88","1.06","31","2.04","0.37","0","0","105"
"Cliff Lee","- - -","2.47","-13.95","16.42","31.02","3.09","0.93","","0.87","0.79","28","2.58","0.07","0","0","1636"
"Ted Lilly","Cubs","2.41","-9.99","12.39","23.55","2.32","0.91","","0.87","1.10","27","2.09","0.56","0","0","833"
"Jon Lester","Red Sox","2.41","-13.36","15.77","32.53","3.02","1.00","","0.88","1.09","30","2.88","-0.48","0","0","4930"
"Gavin Floyd","White Sox","2.19","-13.11","15.31","16.75","1.53","1.01","","0.88","1.15","29","1.75","0.43","0","0","3886"
"Josh Beckett","Red Sox","2.04","-13.45","15.49","21.32","1.91","0.94","","0.87","1.03","28","2.76","-0.60","0","0","510"
"Jarrod Washburn","- - -","1.98","-12.12","14.10","16.13","1.73","1.05","","0.88","1.16","27","1.33","0.55","0","0","40"
"Randy Wells","Cubs","1.92","-9.62","11.54","20.58","2.08","0.89","","0.87","0.88","27","2.00","0.15","0","0","4535"
"Jered Weaver","Angels","1.81","-13.10","14.91","21.26","2.14","0.92","","0.87","1.15","29","1.74","0.23","0","0","4235"
"John Danks","White Sox","1.76","-13.50","15.26","19.38","1.95","0.95","","0.88","1.05","31","1.00","0.85","0","0","6329"
"J.A. Happ","Phillies","1.76","-9.85","11.61","32.25","3.29","0.89","0.40","0.73","0.74","28","1.16","0.83","2","1","7410"
"Mark Buehrle","White Sox","1.75","-13.83","15.58","24.59","2.36","0.96","","0.87","1.08","32","1.52","0.31","0","0","225"
"Bronson Arroyo","Reds","1.63","-15.70","17.33","10.79","1.15","1.00","","0.88","1.24","30","0.53","1.10","0","0","978"
"John Lackey","Angels","1.57","-11.80","13.37","9.84","0.91","1.00","","0.87","0.93","26","0.86","0.71","0","0","1507"
"Jeff Niemann","Rays","1.56","-11.72","13.28","14.22","1.45","0.94","","0.85","1.32","28","1.06","0.60","0","0","8591"
"Johan Santana","Mets","1.48","-12.19","13.67","14.95","1.66","1.06","","0.87","1.19","25","0.24","1.15","0","0","755"
"Andy Pettitte","Yankees","1.40","-13.91","15.31","11.74","1.09","1.01","","0.88","1.58","32","0.78","0.60","0","0","840"
"Carlos Zambrano","Cubs","1.34","-13.46","14.80","12.98","1.37","1.12","","0.88","1.29","27","1.29","-0.10","0","0","305"
"Yovani Gallardo","Brewers","1.32","-12.93","14.25","15.36","1.60","0.98","","0.87","1.13","29","0.40","0.94","0","0","8173"
"Rick Porcello","Tigers","1.23","-11.48","12.71","10.23","0.98","0.95","","0.86","1.21","31","0.84","0.46","0","0","2717"
"Randy Wolf","Dodgers","1.21","-13.22","14.42","22.82","2.29","0.92","","0.87","1.26","34","2.73","-1.42","0","0","976"
"Matt Garza","Rays","1.04","-15.18","16.22","12.80","1.33","1.05","","0.88","1.05","32","0.82","0.17","0","0","3340"
"Kevin Millwood","Rangers","0.99","-14.73","15.72","22.49","2.04","1.00","","0.88","1.09","28","0.44","0.56","0","0","106"
"Jorge de la Rosa","Rockies","0.96","-12.65","13.62","9.09","0.86","0.94","","0.86","0.80","33","1.21","-0.18","0","1","2047"
"Doug Davis","Diamondbacks","0.84","-15.12","15.96","9.10","0.98","1.00","","0.87","1.12","34","-0.72","1.55","0","0","1244"
"Roy Oswalt","Astros","0.73","-12.72","13.46","11.79","1.23","1.03","","0.87","1.30","27","1.53","-0.82","0","0","571"
"A.J. Burnett","Yankees","0.70","-15.31","16.00","10.67","1.17","0.97","","0.88","0.94","32","0.72","0.00","0","0","512"
