Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA
Ben Zobrist,Rays,152,501,599,149,87,28,7,27,91,91,91,4,104,15.2,17.4,0.88,0.326,2,4,1,7,17,6,22.3,0.24600000000000002,0.40700000000000003,38.8,0.297,0.405,0.5429999999999999,0.948,8.6,152,4.44
Albert Pujols,Cardinals,160,568,700,186,93,45,1,47,124,135,115,44,64,16.4,9.1,1.8,0.299,9,8,0,23,16,4,-8.8,0.331,0.447,68.5,0.327,0.44299999999999995,0.6579999999999999,1.101,8.4,180,8.04
Chase Utley,Phillies,156,571,687,161,98,28,4,31,112,93,88,3,110,12.8,16.0,0.8,0.3,24,4,0,5,23,0,13.4,0.226,0.39399999999999996,37.3,0.282,0.397,0.508,0.905,8.2,141,4.52
Joe Mauer,Twins,138,523,606,191,132,30,1,28,94,96,76,14,63,12.5,10.4,1.21,0.373,2,5,0,13,4,1,4.6,0.222,0.43799999999999994,54.8,0.365,0.444,0.5870000000000001,1.031,7.6,170,3.85
Evan Longoria,Rays,157,584,671,164,87,44,0,33,100,113,72,11,140,10.7,20.9,0.51,0.313,8,7,0,27,9,0,21.6,0.245,0.377,26.9,0.281,0.364,0.526,0.889,7.1,132,2.14
Hanley Ramirez,Marlins,151,576,652,197,130,42,1,24,101,106,61,14,101,9.4,15.5,0.6,0.379,9,5,1,9,27,8,6.2,0.201,0.40700000000000003,42.1,0.342,0.41,0.5429999999999999,0.9540000000000001,7.1,149,3.48
Derek Jeter,Yankees,153,634,716,212,166,27,1,18,107,66,72,4,90,10.1,12.6,0.8,0.368,5,1,4,18,30,5,12.2,0.131,0.385,33.1,0.33399999999999996,0.406,0.465,0.871,6.6,130,1.46
Ryan Zimmerman,Nationals,157,610,694,178,105,37,3,33,110,106,72,9,119,10.4,17.1,0.61,0.31,2,9,0,22,2,0,14.1,0.233,0.377,27.8,0.292,0.364,0.525,0.888,6.6,130,2.77
Chone Figgins,Angels,158,615,729,183,141,30,7,5,114,54,101,0,114,13.9,15.6,0.89,0.35600000000000004,1,4,8,8,42,17,18.5,0.096,0.35700000000000004,16.9,0.298,0.395,0.39299999999999996,0.789,6.5,116,2.67
Franklin Gutierrez,Mariners,153,565,629,160,117,24,1,18,85,70,46,3,122,7.3,19.4,0.38,0.33299999999999996,3,2,13,14,16,5,33.4,0.142,0.335,3.4,0.28300000000000003,0.33899999999999997,0.425,0.764,6.0,104,3.4
