"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Joe Mauer","Twins","138","523","606","191","132","30","1","28","94","96","76","14","63","2","5","0","13","4","1",".365","1857"
"Ichiro Suzuki","Mariners","146","639","678","225","179","31","4","11","88","46","32","15","71","4","1","2","1","26","9",".352","1101"
"Hanley Ramirez","Marlins","151","576","652","197","130","42","1","24","101","106","61","14","101","9","5","1","9","27","8",".342","8001"
"Derek Jeter","Yankees","153","634","716","212","166","27","1","18","107","66","72","4","90","5","1","4","18","30","5",".334","826"
"Pablo Sandoval","Giants","153","572","633","189","115","44","5","25","79","90","52","13","83","4","5","0","10","5","5",".330","5409"
"Albert Pujols","Cardinals","160","568","700","186","93","45","1","47","124","135","115","44","64","9","8","0","23","16","4",".327","1177"
"Todd Helton","Rockies","151","544","645","177","121","38","3","15","79","86","89","5","73","2","10","0","15","0","1",".325","432"
"Miguel Cabrera","Tigers","160","611","685","198","130","34","0","34","96","103","68","14","107","5","1","0","22","6","2",".324","1744"
"Joey Votto","Reds","131","469","544","151","87","38","1","25","82","84","70","10","106","4","1","0","8","4","1",".322","4314"
"Michael Young","Rangers","135","541","593","174","114","36","2","22","76","68","47","2","90","1","4","0","16","8","3",".322","1286"
"Chris Coghlan","Marlins","128","504","565","162","116","31","6","9","84","47","53","2","77","4","1","3","3","8","5",".321","6878"
"Robinson Cano","Yankees","161","637","674","204","129","48","2","25","103","85","30","2","63","3","4","0","22","5","7",".320","3269"
"Jason Bartlett","Rays","137","500","567","160","110","29","7","14","90","66","54","2","89","5","4","4","5","30","7",".320","8219"
"Ryan Braun","Brewers","158","635","708","203","126","39","6","32","113","114","57","1","121","13","3","0","7","20","6",".320","3410"
"Miguel Tejada","Astros","158","635","674","199","138","46","1","14","83","86","19","2","48","11","8","0","29","5","2",".313","941"
"Matt Holliday","- - -","156","581","670","182","116","39","3","24","94","109","72","8","101","10","7","0","13","14","7",".313","1873"
"Erick Aybar","Angels","137","504","556","157","120","23","9","5","70","58","30","1","54","5","5","12","9","14","7",".312","4082"
"Denard Span","Twins","145","578","676","180","146","16","10","8","97","68","70","3","89","10","6","12","7","23","10",".311","8347"
"Magglio Ordonez","Tigers","131","465","518","144","109","24","2","9","54","50","51","2","65","0","2","0","19","3","1",".310","248"
"Felipe Lopez","- - -","151","604","680","187","137","38","3","9","88","57","71","4","100","2","2","1","5","6","6",".310","1311"
"Asdrubal Cabrera","Indians","131","523","581","161","109","42","4","6","81","68","44","1","89","1","3","10","13","17","4",".308","4962"
"Nyjer Morgan","- - -","120","469","533","144","119","15","7","3","74","39","40","2","74","9","5","10","9","42","17",".307","4885"
"Martin Prado","Braves","128","450","503","138","89","38","0","11","64","49","36","1","59","2","4","11","17","1","3",".307","3312"
"David Wright","Mets","144","535","618","164","112","39","3","10","88","72","74","8","140","3","6","0","16","27","9",".307","3787"
"Derrek Lee","Cubs","141","532","615","163","90","36","2","35","91","111","76","6","109","3","4","0","12","1","0",".306","525"
"Kendrys Morales","Angels","152","566","622","173","94","43","2","34","86","108","46","10","117","2","8","0","15","3","7",".306","8610"
"Kevin Youkilis","Red Sox","136","491","588","150","86","36","1","27","99","94","77","6","125","16","4","0","9","7","2",".305","1935"
"Carl Crawford","Rays","156","606","672","185","134","28","8","15","96","68","51","1","99","8","5","2","7","60","16",".305","1201"
"Scott Rolen","- - -","128","475","535","145","97","36","1","11","76","67","45","1","62","7","8","0","4","5","4",".305","970"
"Adam Lind","Blue Jays","151","587","654","179","98","46","0","35","93","114","58","7","110","5","4","0","15","1","1",".305","8027"
"Scott Podsednik","White Sox","132","537","587","163","125","25","6","7","75","48","39","1","74","3","2","6","8","30","13",".304","1095"
"Victor Martinez","- - -","155","588","672","178","121","33","1","23","88","108","75","3","74","3","6","0","17","1","0",".303","393"
"Skip Schumaker","Cardinals","153","532","586","161","122","34","1","4","85","35","52","2","69","0","1","1","4","2","2",".303","3704"
"Luis Castillo","Mets","142","486","580","147","131","12","3","1","77","40","69","3","58","1","5","19","15","20","6",".302","513"
"Jacoby Ellsbury","Red Sox","153","624","693","188","143","27","10","8","94","60","49","3","74","6","6","6","13","70","12",".301","4727"
"Billy Butler","Royals","159","608","672","183","110","51","1","21","78","93","58","3","103","2","4","0","20","1","0",".301","7399"
"Justin Upton","Diamondbacks","138","526","588","158","95","30","7","26","84","86","55","3","137","2","4","1","10","20","5",".300","5222"
"Alberto Callaspo","Royals","155","576","634","173","113","41","8","11","79","73","52","4","51","1","5","0","15","2","1",".300","3336"
"Shin-Soo Choo","Indians","156","583","685","175","111","38","6","20","87","86","78","5","151","17","7","0","9","21","2",".300","3174"
"Carlos Lee","Astros","160","610","662","183","121","35","1","26","65","102","41","5","51","3","8","0","21","5","3",".300","243"
"Jason Kubel","Twins","146","514","578","154","89","35","2","28","73","103","56","9","106","3","5","0","13","1","1",".300","2161"
"A.J. Pierzynski","White Sox","138","504","535","151","115","22","1","13","57","49","24","6","52","1","3","3","18","1","1",".300","746"
"Prince Fielder","Brewers","162","591","719","177","93","35","3","46","103","141","110","21","138","9","9","0","14","2","3",".299","4613"
"Torii Hunter","Angels","119","451","506","135","86","26","1","22","74","90","47","4","92","3","5","0","9","18","4",".299","731"
"Yunel Escobar","Braves","141","528","604","158","116","26","2","14","89","76","57","3","62","10","2","7","21","5","4",".299","4191"
"Chone Figgins","Angels","158","615","729","183","141","30","7","5","114","54","101","0","114","1","4","8","8","42","17",".298","1580"
"Ben Zobrist","Rays","152","501","599","149","87","28","7","27","91","91","91","4","104","2","4","1","7","17","6",".297","7435"
"Matt Kemp","Dodgers","159","606","667","180","122","25","7","26","97","101","52","6","139","3","6","0","14","34","8",".297","5631"
"Troy Tulowitzki","Rockies","151","543","628","161","95","25","9","32","101","92","73","4","112","3","9","0","20","20","11",".297","3531"
"Dustin Pedroia","Red Sox","154","626","714","185","121","48","1","15","115","72","74","3","45","5","6","3","19","20","8",".296","8370"
"Ryan Sweeney","Athletics","134","484","534","142","102","31","3","6","68","53","40","1","67","3","5","2","14","6","5",".293","6352"
"Yadier Molina","Cardinals","140","481","544","141","111","23","1","6","45","54","50","2","39","6","1","6","27","9","3",".293","7007"
"Bobby Abreu","Angels","152","563","667","165","118","29","3","15","96","103","94","7","113","1","9","0","15","30","8",".293","945"
"Nick Markakis","Orioles","161","642","711","188","123","45","2","18","94","101","56","0","98","3","10","0","12","6","2",".293","5930"
