"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Albert Pujols","Cardinals","8.04","-9.60","17.64","79.37","8.25","1.02","2.11","2","7.19","0.67","1177"
"Prince Fielder","Brewers","7.97","-10.81","18.78","71.03","7.33","1.04","","0","6.49","1.15","4613"
"Ryan Howard","Phillies","6.29","-11.36","17.64","46.43","4.81","0.99","2.01","2","3.57","2.77","2154"
"Joey Votto","Reds","5.98","-7.23","13.21","50.30","5.07","0.95","0.97","2","4.60","1.69","4314"
"Andre Ethier","Dodgers","4.79","-12.09","16.89","25.91","2.75","1.12","1.74","6","3.22","1.07","6265"
"Pablo Sandoval","Giants","4.54","-9.38","13.93","37.44","3.82","0.98","1.20","4","3.16","1.49","5409"
"Chase Utley","Phillies","4.52","-9.57","14.09","47.40","4.78","0.90","0.99","2","5.16","-0.15","1679"
"Jason Bay","Red Sox","4.48","-9.76","14.24","46.53","4.41","0.97","","0","3.63","0.98","1717"
"Ben Zobrist","Rays","4.44","-9.58","14.02","45.37","4.61","1.03","1.56","14","3.88","0.41","7435"
"Ryan Braun","Brewers","4.40","-11.21","15.61","51.08","5.24","0.98","3.61","2","3.98","0.49","3410"
"Adrian Gonzalez","Padres","4.09","-10.03","14.12","45.68","4.82","0.97","2.83","3","4.85","-0.65","1908"
"Ichiro Suzuki","Mariners","3.89","-10.86","14.74","23.88","2.48","1.04","","0","2.17","1.56","1101"
"Joe Mauer","Twins","3.85","-8.27","12.12","56.81","5.61","0.92","0.71","5","5.24","-1.08","1857"
"Johnny Damon","Yankees","3.79","-10.36","14.15","25.05","2.48","1.06","2.45","8","2.63","0.96","185"
"Derrek Lee","Cubs","3.65","-10.57","14.22","54.49","5.40","1.05","","0","4.94","-1.46","525"
"Alex Rodriguez","Yankees","3.64","-9.19","12.84","24.03","2.38","1.07","1.78","2","2.41","0.99","1274"
"Raul Ibanez","Phillies","3.64","-8.60","12.24","28.53","2.91","0.93","1.01","5","3.07","0.83","607"
"Mark Teixeira","Yankees","3.61","-11.57","15.18","43.01","4.10","1.01","1.91","1","4.09","-0.51","1281"
"Nick Johnson","- - -","3.57","-9.10","12.67","31.07","3.25","1.08","1.76","4","2.37","0.94","828"
"Hanley Ramirez","Marlins","3.48","-10.04","13.51","48.42","4.87","0.99","2.75","5","5.21","-1.69","8001"
"David Wright","Mets","3.46","-10.87","14.32","34.05","3.51","1.07","0.52","2","2.63","0.60","3787"
"Jorge Cantu","Marlins","3.45","-11.82","15.27","18.57","1.88","1.12","2.55","5","2.53","0.56","2521"
"Matt Holliday","- - -","3.43","-11.79","15.22","43.03","4.53","1.07","1.27","2","3.42","-0.23","1873"
"Franklin Gutierrez","Mariners","3.40","-10.49","13.88","10.94","1.27","1.02","","0","0.90","2.44","3255"
"Victor Martinez","- - -","3.20","-10.76","13.96","24.06","2.37","0.99","2.25","4","2.05","1.18","393"
"Miguel Tejada","Astros","3.01","-11.60","14.61","9.73","1.00","1.03","","0","1.48","1.44","941"
"Bobby Abreu","Angels","2.98","-10.53","13.51","36.12","3.63","1.01","3.50","2","2.69","0.27","945"
"Mark Reynolds","Diamondbacks","2.90","-12.34","15.24","26.21","2.62","1.05","1.84","3","2.12","0.65","7619"
"Kendrys Morales","Angels","2.88","-10.16","13.04","32.63","3.24","0.99","1.07","8","2.63","0.27","8610"
"Ryan Zimmerman","Nationals","2.77","-13.00","15.78","27.10","2.79","1.13","2.90","3","2.95","-0.49","4220"
"Adam Lind","Blue Jays","2.75","-11.30","14.05","39.37","3.81","1.04","3.31","4","3.07","-0.42","8027"
"Chone Figgins","Angels","2.67","-11.68","14.36","22.77","2.32","1.01","","0","1.69","0.96","1580"
"Casey Blake","Dodgers","2.62","-10.28","12.91","17.08","1.78","1.14","1.93","6","2.51","-0.21","719"
"Matt Kemp","Dodgers","2.55","-12.20","14.75","33.71","3.60","1.06","3.11","3","2.82","-0.42","5631"
"Adam Dunn","Nationals","2.54","-12.62","15.15","37.41","3.77","1.17","1.68","4","3.25","-1.08","319"
"Kevin Youkilis","Red Sox","2.50","-8.62","11.12","41.97","4.01","0.93","0.16","1","3.53","-0.84","1935"
"Jason Kubel","Twins","2.49","-9.56","12.06","29.92","3.00","1.00","2.13","14","2.64","-0.14","2161"
"Jason Bartlett","Rays","2.41","-8.97","11.38","32.08","3.23","1.03","","0","3.63","-1.28","8219"
"Shane Victorino","Phillies","2.40","-10.23","12.62","23.13","2.36","0.91","0.91","5","1.63","1.00","1677"
"Brad Hawpe","Rockies","2.39","-10.36","12.75","19.66","1.89","1.04","3.81","3","2.68","-0.38","1885"
"Billy Butler","Royals","2.34","-10.21","12.55","21.79","2.09","0.92","1.76","4","2.39","0.16","7399"
"Todd Helton","Rockies","2.27","-9.70","11.97","30.20","2.91","0.94","1.32","2","2.92","-0.51","432"
"Carlos Pena","Rays","2.25","-9.20","11.45","25.36","2.72","0.99","2.25","3","2.13","0.15","934"
"Justin Upton","Diamondbacks","2.21","-10.53","12.74","28.19","2.92","1.02","0.93","1","2.22","-0.06","5222"
"Brian Roberts","Orioles","2.20","-12.34","14.55","16.74","1.59","1.02","1.57","4","0.93","1.24","166"
"Aaron Hill","Blue Jays","2.20","-13.68","15.88","26.55","2.63","1.05","1.37","1","2.57","-0.48","6104"
"Chipper Jones","Braves","2.18","-9.09","11.28","24.20","2.49","1.01","2.15","9","2.15","0.01","97"
"Evan Longoria","Rays","2.14","-11.63","13.76","28.40","2.92","0.98","1.12","3","2.40","-0.23","9368"
"Asdrubal Cabrera","Indians","2.08","-9.16","11.24","26.84","2.61","0.98","0.84","3","1.44","0.68","4962"
"Shin-Soo Choo","Indians","2.07","-10.80","12.87","29.81","2.94","0.99","2.67","3","2.68","-0.59","3174"
"Yunel Escobar","Braves","2.04","-10.17","12.22","19.86","2.04","1.04","1.12","2","0.95","1.00","4191"
"Lance Berkman","Astros","2.03","-9.11","11.14","30.85","3.23","1.02","2.71","5","2.85","-0.86","548"
"Scott Rolen","- - -","2.02","-8.92","10.94","15.82","1.60","1.02","3.56","1","1.58","0.39","970"
"Torii Hunter","Angels","1.92","-9.50","11.42","26.51","2.68","1.11","1.43","1","1.84","-0.10","731"
"Nick Swisher","Yankees","1.71","-9.89","11.60","14.59","1.43","0.98","2.10","6","1.82","-0.08","4599"
"Jayson Werth","Phillies","1.57","-10.60","12.17","30.69","3.14","0.92","1.90","4","2.95","-1.25","1327"
"Miguel Cabrera","Tigers","1.53","-11.62","13.15","28.51","2.74","0.97","1.19","2","3.40","-1.82","1744"
"Mark DeRosa","- - -","1.51","-9.70","11.22","11.14","1.09","1.02","1.50","5","0.17","1.32","1392"
"Michael Young","Rangers","1.48","-10.20","11.68","12.16","1.11","0.93","","0","2.01","-0.42","1286"
"Derek Jeter","Yankees","1.46","-11.38","12.84","20.97","2.12","0.96","3.89","1","2.30","-0.79","826"
"Chris Coghlan","Marlins","1.45","-8.19","9.64","21.54","2.18","0.93","2.00","6","1.61","-0.06","6878"
"Hideki Matsui","Yankees","1.45","-9.48","10.92","23.99","2.30","1.06","1.52","26","1.50","-0.14","1659"
"David Eckstein","Padres","1.43","-8.89","10.31","4.73","0.56","1.03","1.02","8","-0.27","1.65","10"
"Carlos Lee","Astros","1.41","-11.37","12.78","12.87","1.34","1.03","","0","0.57","0.80","243"
"Brian McCann","Braves","1.30","-9.77","11.07","30.62","3.15","1.07","1.72","13","2.44","-1.22","4810"
"Chase Headley","Padres","1.26","-10.54","11.81","4.09","0.48","1.03","1.52","16","0.59","0.63","4720"
"Michael Bourn","Astros","1.20","-10.80","12.01","13.07","1.24","0.96","1.85","2","0.68","0.57","6387"
"Justin Morneau","Twins","1.12","-9.84","10.96","25.18","2.50","1.00","","0","2.22","-1.10","1737"
"Placido Polanco","Tigers","1.01","-11.39","12.40","4.96","0.48","0.96","1.46","5","-0.14","1.19","1176"
"Paul Konerko","White Sox","0.97","-10.42","11.40","10.66","1.01","0.98","1.06","2","1.01","-0.02","242"
"Randy Winn","Giants","0.93","-9.25","10.18","2.26","0.29","0.98","1.61","7","-0.99","1.94","1235"
"Russell Branyan","Mariners","0.93","-8.89","9.82","14.50","1.54","1.06","","0","1.92","-1.04","370"
"Ryan Ludwick","Cardinals","0.91","-10.38","11.29","21.59","2.15","1.10","1.13","15","0.87","-0.05","1260"
"Ian Kinsler","Rangers","0.91","-10.61","11.52","22.71","2.08","0.95","","0","0.93","0.02","6195"
"Adam Jones","Orioles","0.88","-9.39","10.27","6.51","0.60","1.02","2.61","1","-0.07","0.93","6368"
"Juan Rivera","Angels","0.84","-9.67","10.52","7.87","0.77","0.98","","0","0.92","-0.06","843"
"Adam Kennedy","Athletics","0.82","-9.56","10.38","9.88","1.04","0.94","2.39","2","1.15","-0.27","19"
"Skip Schumaker","Cardinals","0.81","-8.80","9.60","11.06","1.16","0.92","1.57","18","1.44","-0.57","3704"
"Kosuke Fukudome","Cubs","0.80","-9.77","10.57","8.73","0.92","0.95","1.74","10","1.39","-0.55","3263"
"Michael Cuddyer","Twins","0.78","-11.98","12.77","7.70","0.76","1.01","1.46","2","1.46","-0.69","1534"
