"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Zack Greinke","Royals","16","8","2.16","33","33","6","3","0","0","0","229.1","915","195","64","55","11","51","0","4","5","0","242","1943"
"Chris Carpenter","Cardinals","17","4","2.24","28","28","3","1","0","0","0","192.2","750","156","49","48","7","38","1","7","1","0","144","1292"
"Tim Lincecum","Giants","15","7","2.48","32","32","4","2","0","0","0","225.1","905","168","69","62","10","68","2","6","11","0","261","5705"
"Felix Hernandez","Mariners","19","5","2.49","34","34","2","1","0","0","0","238.2","977","200","81","66","15","71","0","8","17","1","217","4772"
"Jair Jurrjens","Braves","14","10","2.60","34","34","0","0","0","0","0","215.0","884","186","71","62","15","75","1","3","3","2","152","5556"
"Adam Wainwright","Cardinals","19","8","2.63","34","34","1","0","0","0","0","233.0","970","216","75","68","17","66","1","3","7","0","212","2233"
"Roy Halladay","Blue Jays","17","10","2.79","32","32","9","4","0","0","0","239.0","963","234","82","74","22","35","0","5","2","0","208","1303"
"Clayton Kershaw","Dodgers","8","8","2.79","31","30","0","0","0","0","0","171.0","701","119","55","53","7","91","4","1","11","2","185","2036"
"Javier Vazquez","Braves","15","10","2.87","32","32","3","0","0","0","0","219.1","874","181","75","70","20","44","2","4","6","0","238","801"
"Matt Cain","Giants","14","8","2.89","33","33","4","0","0","0","0","217.2","886","184","73","70","22","73","6","3","9","0","171","4732"
"J.A. Happ","Phillies","12","4","2.93","35","23","3","2","0","0","0","166.0","685","149","55","54","20","56","2","5","2","0","119","7410"
"Wandy Rodriguez","Astros","14","12","3.02","33","33","1","1","0","0","0","205.2","849","192","77","69","21","63","5","5","2","1","193","2586"
"Randy Wells","Cubs","12","10","3.05","27","27","0","0","0","0","0","165.1","694","165","67","56","14","46","4","6","3","1","104","4535"
"Ted Lilly","Cubs","12","9","3.10","27","27","0","0","0","0","0","177.0","706","151","66","61","22","36","2","2","3","3","151","833"
"Johan Santana","Mets","13","9","3.13","25","25","0","0","0","0","0","166.2","701","156","67","58","20","46","3","3","1","0","146","755"
"Dan Haren","Diamondbacks","14","10","3.14","33","33","3","1","0","0","0","229.1","909","192","83","80","27","38","2","4","13","0","223","1757"
"Cliff Lee","- - -","14","13","3.22","34","34","6","2","0","0","0","231.2","969","245","88","83","17","43","1","5","7","0","181","1636"
"Josh Johnson","Marlins","15","5","3.23","33","33","2","0","0","0","0","209.0","855","184","77","75","14","58","6","6","10","0","191","4567"
