"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Randy Wolf","Dodgers","11","7","3.23","34","34","0","0","0","0","0","214.1","862","178","81","77","24","58","1","6","4","0","160","976"
"CC Sabathia","Yankees","19","8","3.37","34","34","2","1","0","0","0","230.0","938","197","96","86","18","67","7","9","5","0","197","404"
"Jon Lester","Red Sox","15","8","3.41","32","32","2","0","0","0","0","203.1","843","186","80","77","20","64","0","3","6","0","225","4930"
"Justin Verlander","Tigers","19","9","3.45","35","35","3","1","0","0","0","240.0","982","219","99","92","20","63","5","6","8","4","269","8700"
"Ubaldo Jimenez","Rockies","15","12","3.47","33","33","1","0","0","0","0","218.0","914","183","87","84","13","85","6","10","8","3","198","3374"
"Joel Pineiro","Cardinals","15","12","3.49","32","32","3","2","0","0","0","214.0","865","218","94","83","11","27","1","8","4","0","105","1094"
"Edwin Jackson","Tigers","13","9","3.62","33","33","1","0","0","0","0","214.0","890","200","93","86","27","70","3","5","6","0","161","1841"
"Ryan Dempster","Cubs","11","9","3.65","31","31","1","1","0","0","0","200.0","842","196","94","81","22","65","4","6","11","0","172","517"
"Kevin Millwood","Rangers","13","10","3.67","31","31","3","0","0","0","0","198.2","850","195","88","81","26","71","0","11","8","0","123","106"
"Yovani Gallardo","Brewers","13","12","3.73","30","30","1","0","0","0","0","185.2","793","150","78","77","21","94","5","5","9","0","204","8173"
"Jered Weaver","Angels","16","8","3.75","33","33","4","2","0","0","0","211.0","882","196","91","88","26","66","3","4","3","0","174","4235"
"Carlos Zambrano","Cubs","9","7","3.77","28","28","1","1","0","0","0","169.1","733","155","78","71","10","78","6","9","7","0","152","305"
"John Danks","White Sox","13","11","3.77","32","32","1","0","0","0","0","200.1","839","184","89","84","28","73","1","5","1","0","149","6329"
"Jarrod Washburn","- - -","9","9","3.78","28","28","1","1","0","0","0","176.0","724","160","77","74","23","49","1","5","1","0","100","40"
"John Lackey","Angels","11","8","3.83","27","27","1","1","0","0","0","176.1","748","177","84","75","17","47","1","9","6","0","139","1507"
"Mark Buehrle","White Sox","13","10","3.84","33","33","1","1","0","0","0","213.1","874","222","97","91","27","45","3","5","2","1","105","225"
"Bronson Arroyo","Reds","15","13","3.84","33","33","3","2","0","0","0","220.1","923","214","101","94","31","65","6","9","1","0","127","978"
"Josh Beckett","Red Sox","17","6","3.86","32","32","4","2","0","0","0","212.1","883","198","99","91","25","55","1","7","3","1","199","510"
"John Lannan","Nationals","9","13","3.88","33","33","2","1","0","0","0","206.1","875","210","100","89","22","68","5","6","3","0","89","7080"
"Kevin Correia","Padres","12","11","3.91","33","33","1","1","0","0","0","198.0","830","194","92","86","17","64","6","4","5","1","142","1767"
"Ross Ohlendorf","Pirates","11","10","3.92","29","29","0","0","0","0","0","176.2","725","165","80","77","25","53","1","7","2","1","109","8268"
"Jeff Niemann","Rays","13","6","3.94","31","30","2","2","0","0","0","180.2","769","185","84","79","17","59","1","9","6","0","125","8591"
"Matt Garza","Rays","8","12","3.95","32","32","0","0","0","0","0","203.0","861","177","93","89","25","79","0","11","3","0","189","3340"
"Rick Porcello","Tigers","14","9","3.96","31","31","0","0","0","0","0","170.2","720","176","81","75","23","52","0","3","6","1","89","2717"
"Jon Garland","- - -","11","13","4.01","33","33","1","0","0","0","0","204.0","882","225","106","91","23","61","7","6","6","0","109","232"
"Nick Blackburn","Twins","11","11","4.03","33","33","3","0","0","0","0","205.2","882","240","103","92","25","41","1","3","2","0","98","4270"
"Barry Zito","Giants","10","13","4.03","33","33","1","0","0","0","0","192.0","818","179","89","86","21","81","8","8","2","2","154","944"
"Chad Billingsley","Dodgers","12","11","4.03","33","32","0","0","0","0","0","196.1","823","173","94","88","17","86","7","7","14","0","179","5842"
"Jason Marquis","Rockies","15","13","4.04","33","33","2","1","0","0","0","216.0","921","218","104","97","15","80","6","4","6","1","115","105"
"A.J. Burnett","Yankees","13","9","4.04","33","33","1","0","0","0","0","207.0","896","193","99","93","25","97","0","10","17","1","195","512"
"Joe Blanton","Phillies","12","8","4.05","31","31","0","0","0","0","0","195.1","837","198","89","88","30","59","4","8","7","0","163","4849"
"Brett Anderson","Athletics","11","11","4.06","30","30","1","1","0","0","0","175.1","735","180","94","79","20","45","1","3","0","1","150","8223"
"Zach Duke","Pirates","11","16","4.06","32","32","3","1","0","0","0","213.0","891","231","101","96","23","49","0","3","2","1","106","3840"
"Gavin Floyd","White Sox","11","11","4.06","30","30","1","0","0","0","0","193.0","797","178","93","87","21","59","4","2","8","0","163","3886"
"Scott Feldman","Rangers","17","8","4.08","34","31","0","0","0","0","0","189.2","791","178","87","86","18","65","0","9","5","2","113","6283"
"Doug Davis","Diamondbacks","9","14","4.12","34","34","0","0","0","0","0","203.1","889","203","101","93","25","103","1","4","12","1","146","1244"
"Roy Oswalt","Astros","8","6","4.12","30","30","3","0","0","0","0","181.1","757","183","83","83","19","42","4","8","4","0","138","571"
"Max Scherzer","Diamondbacks","9","11","4.12","30","30","0","0","0","0","0","170.1","741","166","94","78","20","63","1","10","5","1","174","3137"
"James Shields","Rays","11","12","4.14","33","33","0","0","0","0","0","219.2","930","239","113","101","29","52","1","1","3","1","167","7059"
"Andy Pettitte","Yankees","14","8","4.16","32","32","0","0","0","0","0","194.2","834","193","101","90","20","76","1","4","3","0","148","840"
"Aaron Harang","Reds","6","14","4.21","26","26","2","1","0","0","0","162.1","703","186","82","76","24","43","6","4","6","0","142","1451"
"Jonathan Sanchez","Giants","8","12","4.24","32","29","1","1","0","1","0","163.1","710","135","82","77","19","88","5","6","11","0","177","7507"
"Ricky Romero","Blue Jays","13","9","4.30","29","29","0","0","0","0","0","178.0","771","192","88","85","18","79","0","10","6","1","141","3403"
"Cole Hamels","Phillies","10","11","4.32","32","32","2","2","0","0","0","193.2","814","206","95","93","24","43","4","5","1","0","168","4972"
"Jason Hammel","Rockies","10","8","4.33","34","30","1","0","0","0","0","176.2","771","203","94","85","17","42","6","9","4","0","133","4538"
"Scott Baker","Twins","15","9","4.37","33","33","1","1","0","0","0","200.0","828","190","99","97","28","48","1","4","4","0","162","6176"
"Jorge de la Rosa","Rockies","16","9","4.38","33","32","0","0","0","0","0","185.0","799","172","95","90","20","83","3","9","12","1","193","2047"
"Johnny Cueto","Reds","11","11","4.41","30","30","0","0","0","0","0","171.1","740","172","90","84","24","61","0","14","4","0","132","6893"
"Paul Maholm","Pirates","8","9","4.44","31","31","0","0","0","0","0","194.2","836","221","102","96","14","60","4","6","11","1","119","8678"
"Joe Saunders","Angels","16","7","4.60","31","31","1","1","0","0","0","186.0","805","202","102","95","29","64","2","6","5","1","101","4366"
"Trevor Cahill","Athletics","10","13","4.63","32","32","0","0","0","0","0","178.2","773","185","99","92","27","72","1","4","5","0","90","6249"
"Derek Lowe","Braves","15","10","4.67","34","34","0","0","0","0","0","194.2","855","232","109","101","16","63","7","4","4","2","111","199"
"Brad Penny","- - -","11","9","4.88","30","30","1","0","0","0","0","173.1","751","191","102","94","22","51","0","5","6","0","109","535"
"Mike Pelfrey","Mets","10","12","5.03","31","31","0","0","0","0","0","184.1","824","213","112","103","18","66","8","7","1","6","107","5203"
"Jeremy Guthrie","Orioles","10","17","5.04","33","33","1","0","0","0","0","200.0","874","224","120","112","35","60","1","9","1","1","110","2072"
"Ricky Nolasco","Marlins","13","9","5.06","31","31","2","0","0","0","0","185.0","785","188","111","104","23","44","7","2","2","0","195","3830"
"Carl Pavano","- - -","14","12","5.10","33","33","1","1","0","0","0","199.1","854","235","119","113","26","39","1","6","5","0","147","790"
"Braden Looper","Brewers","14","7","5.22","34","34","0","0","0","0","0","194.2","866","226","123","113","39","64","6","5","5","0","100","526"
"Livan Hernandez","- - -","9","12","5.44","31","31","2","0","0","0","0","183.2","806","220","112","111","19","67","5","1","1","0","102","1116"
