Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
Zack Greinke,Royals,16,8,33,33,6,229.1,195,11,51,242,64,0,0,0,55,4,0,0,3,915,5,0.43,2.0,9.5,4.75,20.9,40.0,4.5,79.3,2.16,0.303,2.33,1.07,5.96,8.6
Justin Verlander,Tigers,19,9,35,35,3,240.0,219,20,63,269,99,0,0,4,92,6,0,5,1,982,8,0.75,2.36,10.09,4.27,21.0,36.0,7.4,72.7,3.45,0.319,2.8,1.18,4.33,7.7
Tim Lincecum,Giants,15,7,32,32,4,225.1,168,10,68,261,69,0,0,0,62,6,0,2,2,905,11,0.4,2.72,10.42,3.84,21.3,47.5,5.5,75.9,2.48,0.282,2.34,1.05,4.55,7.7
Roy Halladay,Blue Jays,17,10,32,32,9,239.0,234,22,35,208,82,0,0,0,74,5,0,0,4,963,2,0.83,1.32,7.83,5.94,18.0,50.2,10.6,79.0,2.79,0.306,3.06,1.13,3.66,7.0
Javier Vazquez,Braves,15,10,32,32,3,219.1,181,20,44,238,75,0,0,0,70,4,0,2,0,874,6,0.82,1.81,9.77,5.41,22.2,41.7,10.1,76.6,2.87,0.28300000000000003,2.77,1.03,2.89,6.5
Cliff Lee,Phillies,14,13,34,34,6,231.2,245,17,43,181,88,0,0,0,83,5,0,1,2,969,7,0.66,1.67,7.03,4.21,14.2,41.3,6.5,76.2,3.22,0.315,3.11,1.24,2.47,6.3
Felix Hernandez,Mariners,19,5,34,34,2,238.2,200,15,71,217,81,0,0,1,66,8,0,0,1,977,17,0.57,2.68,8.18,3.06,14.9,53.4,7.5,76.7,2.49,0.278,3.09,1.14,3.84,6.2
CC Sabathia,Yankees,19,8,34,34,2,230.0,197,18,67,197,96,0,0,0,86,9,0,7,1,938,5,0.7,2.62,7.71,2.94,13.9,42.9,7.4,71.4,3.37,0.27699999999999997,3.39,1.15,2.84,5.9
Adam Wainwright,Cardinals,19,8,34,34,1,233.0,216,17,66,212,75,0,0,0,68,3,0,1,0,970,7,0.66,2.55,8.19,3.21,15.1,50.7,8.3,80.4,2.63,0.29600000000000004,3.11,1.21,3.85,5.7
Dan Haren,Diamondbacks,14,10,33,33,3,229.1,192,27,38,223,83,0,0,0,80,4,0,2,1,909,13,1.06,1.49,8.75,5.87,20.4,42.9,11.7,77.0,3.14,0.267,3.23,1.0,2.91,5.6
