"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Nick Johnson","- - -","574","17.2 %","14.6 %","1.18",".291",".426",".405",".831",".114","2.5",".338","-2.7","-1.3","-1.8","91","22.6",".376","129","828"
"Nick Swisher","Yankees","607","16.0 %","20.8 %","0.77",".249",".371",".498",".869",".249","1.8",".272","-1.4","0.1","-0.4","97","23.8",".376","125","4599"
"Torii Hunter","Angels","506","9.3 %","18.2 %","0.51",".299",".366",".508",".873",".208","5.0",".330","0.9","0.5","1.6","80","19.5",".375","128","731"
"Victor Martinez","- - -","672","11.2 %","11.0 %","1.01",".303",".381",".480",".861",".177","2.1",".312","-1.2","-0.6","-0.3","106","25.8",".375","126","393"
"Robinson Cano","Yankees","674","4.5 %","9.3 %","0.48",".320",".352",".520",".871",".199","3.3",".324","-1.6","-2.5","-2.4","106","25.4",".374","124","3269"
"Chris Coghlan","Marlins","565","9.4 %","13.6 %","0.69",".321",".390",".460",".850",".139","5.2",".365","2.1","1.7","-0.9","89","21.2",".374","127","6878"
"Johnny Damon","Yankees","626","11.3 %","15.7 %","0.72",".282",".365",".489",".854",".207","5.8",".305","1.5","3.8","2.0","98","22.5",".372","122","185"
"Justin Morneau","Twins","590","12.2 %","14.6 %","0.84",".274",".363",".516",".878",".242","1.9",".273","-0.1","0.7","-0.4","92","20.9",".372","126","1737"
"Andre Ethier","Dodgers","685","10.5 %","16.9 %","0.62",".272",".361",".508",".869",".237","3.8",".289","-0.5","-2.1","-0.9","106","24.2",".371","129","6265"
"Billy Butler","Royals","672","8.6 %","15.3 %","0.56",".301",".362",".492",".853",".191","2.0",".332","-5.5","-2.0","-0.2","103","22.5",".369","122","7399"
"Michael Cuddyer","Twins","650","8.3 %","18.2 %","0.46",".276",".342",".520",".862",".245","5.4",".295","3.3","-2.6","0.4","100","21.6",".369","124","1534"
"Russell Branyan","Mariners","505","11.5 %","29.5 %","0.39",".251",".347",".520",".867",".269","3.0",".300","-1.6","1.8","0.1","77","16.5",".368","126","370"
"Ichiro Suzuki","Mariners","678","4.7 %","10.5 %","0.45",".352",".386",".465",".851",".113","5.2",".384","3.7","3.0","0.9","103","21.6",".367","125","1101"
"David Wright","Mets","618","12.0 %","22.7 %","0.53",".307",".390",".447",".837",".140","5.6",".394","0.1","-0.2","1.2","93","19.0",".366","125","3787"
"Nelson Cruz","Rangers","515","9.5 %","22.9 %","0.42",".260",".332",".524",".856",".264","5.2",".278","-0.9","-0.2","2.0","76","14.6",".363","114","2434"
"Paul Konerko","White Sox","621","9.3 %","14.3 %","0.65",".277",".353",".489",".842",".212","2.3",".282","-5.7","-0.5","-0.2","92","17.5",".363","115","242"
"Bobby Abreu","Angels","667","14.1 %","16.9 %","0.83",".293",".390",".435",".825",".142","5.6",".338","1.2","-0.3","2.1","99","18.8",".363","120","945"
"Matt Kemp","Dodgers","667","7.8 %","20.8 %","0.37",".297",".352",".490",".842",".193","7.0",".345","1.0","0.3","3.0","98","18.2",".362","123","5631"
"Scott Rolen","- - -","535","8.4 %","11.6 %","0.73",".305",".368",".455",".823",".149","3.6",".327","5.1","1.4","-1.1","78","13.8",".360","116","970"
"Yunel Escobar","Braves","604","9.4 %","10.3 %","0.92",".299",".377",".436",".812",".136","3.8",".317","1.3","-2.7","-1.1","88","15.4",".360","120","4191"
"Brian McCann","Braves","551","8.9 %","15.1 %","0.59",".281",".349",".486",".834",".205","3.1",".297","-3.5","-1.4","0.0","80","14.0",".359","119","4810"
"Dustin Pedroia","Red Sox","714","10.4 %","6.3 %","1.64",".296",".371",".447",".819",".152","4.8",".297","1.6","-1.1","0.1","104","18.1",".359","112","8370"
"Denard Span","Twins","676","10.4 %","13.2 %","0.79",".311",".392",".415",".807",".104","6.5",".353","6.0","1.7","-0.2","98","17.1",".359","118","8347"
"Adam LaRoche","- - -","629","11.0 %","22.6 %","0.49",".277",".355",".488",".843",".211","2.6",".328","-0.9","0.7","-0.8","91","15.8",".359","119","1904"
"Felipe Lopez","- - -","680","10.4 %","14.7 %","0.71",".310",".383",".427",".810",".118","3.6",".358","-0.1","1.0","-1.9","98","16.9",".359","115","1311"
"Martin Prado","Braves","503","7.2 %","11.7 %","0.61",".307",".358",".464",".822",".158","2.0",".331","-0.4","-1.7","-1.4","73","12.3",".358","119","3312"
"Carl Crawford","Rays","672","7.6 %","14.7 %","0.52",".305",".364",".452",".816",".147","7.7",".342","0.5","3.0","4.8","97","16.2",".358","120","1201"
"Casey Blake","Dodgers","565","11.2 %","20.5 %","0.54",".280",".363",".468",".832",".188","4.6",".327","2.3","0.0","-1.5","81","13.3",".357","120","719"
"Aaron Hill","Blue Jays","734","5.7 %","13.4 %","0.43",".286",".330",".499",".829",".213","3.2",".288","2.6","1.7","-0.1","105","17.1",".357","114","6104"
"Chone Figgins","Angels","729","13.9 %","15.6 %","0.89",".298",".395",".393",".789",".096","6.7",".356","5.1","1.4","0.6","104","16.9",".357","116","1580"
"Carlos Lee","Astros","662","6.2 %","7.7 %","0.80",".300",".343",".489",".831",".189","2.3",".290","-8.4","-1.9","-0.7","94","15.2",".356","118","243"
"Magglio Ordonez","Tigers","518","9.8 %","12.5 %","0.78",".310",".376",".428",".804",".118","3.0",".344","-2.5","-1.5","-0.2","74","11.7",".356","113","248"
"Luke Scott","Orioles","506","10.9 %","20.6 %","0.53",".258",".340",".488",".828",".229","1.6",".283","-1.6","2.8","-0.3","72","11.3",".356","112","3469"
"Hunter Pence","Astros","647","9.0 %","16.8 %","0.53",".282",".346",".472",".818",".190","4.5",".308","0.2","-4.5","-2.3","92","14.4",".356","117","8252"
"Dan Uggla","Marlins","668","13.8 %","22.5 %","0.61",".243",".354",".459",".813",".216","2.5",".274","-0.3","1.6","-0.5","95","14.6",".355","114","3442"
"Chipper Jones","Braves","596","16.9 %","14.9 %","1.13",".264",".388",".430",".818",".166","3.5",".287","-1.8","-0.4","-0.1","84","12.7",".355","116","97"
"Kosuke Fukudome","Cubs","603","15.4 %","18.6 %","0.83",".259",".375",".421",".796",".162","4.2",".310","1.6","-0.9","-3.4","85","12.3",".353","110","3263"
"Marco Scutaro","Blue Jays","680","13.2 %","11.0 %","1.20",".282",".379",".409",".789",".127","4.2",".304","3.0","-0.4","0.2","95","13.8",".353","112","1555"
"Alberto Callaspo","Royals","634","8.2 %","8.0 %","1.02",".300",".356",".457",".813",".156","4.1",".312","-2.4","-0.4","-0.4","89","12.7",".353","111","3336"
"Shane Victorino","Phillies","694","8.6 %","10.2 %","0.85",".292",".358",".445",".803",".153","7.4",".315","2.4","1.9","1.2","96","13.4",".352","112","1677"
"Brian Roberts","Orioles","717","10.3 %","15.6 %","0.66",".283",".356",".451",".807",".168","5.4",".318","-1.6","1.2","2.6","100","13.8",".352","109","166"
"Asdrubal Cabrera","Indians","581","7.6 %","15.3 %","0.49",".308",".361",".438",".799",".130","5.9",".360","1.7","0.2","1.3","80","10.6",".351","112","4962"
"Ian Kinsler","Rangers","640","9.2 %","12.0 %","0.77",".253",".327",".488",".814",".235","7.0",".241","2.1","0.7","3.7","88","11.7",".351","105","6195"
"Juan Rivera","Angels","572","6.3 %","10.0 %","0.63",".287",".332",".478",".810",".191","1.7",".281","-3.6","-2.5","-0.8","79","10.1",".350","111","843"
"Nick Markakis","Orioles","711","7.9 %","13.8 %","0.57",".293",".347",".453",".801",".160","3.7",".317","2.5","1.2","-0.1","97","11.9",".349","107","5930"
"Nate McLouth","- - -","591","11.5 %","16.8 %","0.69",".256",".352",".436",".788",".179","5.3",".281","1.1","0.2","0.9","80","9.3",".348","112","3190"
"Jermaine Dye","White Sox","574","11.1 %","18.8 %","0.59",".250",".340",".453",".793",".203","2.3",".268","-1.8","-0.4","-1.2","77","8.6",".347","105","911"
"Marlon Byrd","Rangers","599","5.3 %","16.4 %","0.33",".283",".329",".479",".808",".196","3.9",".308","-1.5","0.6","-0.4","81","8.8",".346","103","950"
"Mike Cameron","Brewers","628","11.9 %","24.8 %","0.48",".250",".342",".452",".795",".202","4.3",".304","-0.9","1.2","-0.3","84","9.0",".346","110","1070"
"Grady Sizemore","Indians","503","11.9 %","18.3 %","0.65",".248",".343",".445",".788",".197","6.0",".275","2.0","1.9","-1.1","67","7.2",".346","109","2197"
"Miguel Tejada","Astros","674","2.8 %","7.1 %","0.40",".313",".340",".455",".795",".142","3.3",".318","-0.5","-5.0","-0.3","90","9.0",".345","110","941"
"Adam Jones","Orioles","519","6.9 %","17.9 %","0.39",".277",".335",".457",".792",".180","5.7",".308","1.5","-1.1","0.0","68","6.3",".343","103","6368"
"Jorge Cantu","Marlins","643","7.3 %","12.6 %","0.58",".289",".345",".443",".788",".154","2.2",".310","-2.1","-0.6","-0.2","85","7.8",".343","106","2521"
"David DeJesus","Royals","627","8.1 %","13.9 %","0.59",".281",".347",".434",".781",".152","4.6",".311","3.0","0.4","-3.4","83","7.5",".343","105","1825"
"Dexter Fowler","Rockies","518","12.9 %","22.4 %","0.58",".266",".363",".406",".770",".141","7.6",".351","4.7","1.3","0.8","68","5.9",".342","97","4062"
"Jack Cust","Athletics","612","15.2 %","30.2 %","0.50",".240",".356",".417",".773",".177","2.9",".319","-2.0","1.9","-0.1","80","6.9",".342","108","1564"
"David Ortiz","Red Sox","627","11.8 %","21.4 %","0.55",".238",".332",".462",".794",".224","2.1",".262","-3.7","1.8","-1.2","82","7.0",".342","100","745"
"Cody Ross","Marlins","604","5.6 %","20.2 %","0.28",".270",".321",".469",".790",".199","3.5",".306","2.1","-0.8","-0.2","79","6.7",".342","105","1760"
"Orlando Hudson","Dodgers","631","9.8 %","15.7 %","0.63",".283",".357",".417",".774",".134","5.3",".328","1.2","0.2","0.7","82","6.3",".341","109","1307"
"Erick Aybar","Angels","556","5.4 %","9.7 %","0.56",".312",".353",".423",".776",".111","6.2",".338","3.7","0.3","-0.5","72","5.4",".340","105","4082"
"Jacoby Ellsbury","Red Sox","693","7.1 %","10.7 %","0.66",".301",".355",".415",".770",".114","8.1",".328","-2.4","-0.4","8.5","89","5.7",".339","98","4727"
"Curtis Granderson","Tigers","710","10.1 %","19.9 %","0.51",".249",".327",".453",".780",".204","6.1",".275","-0.9","3.3","1.1","91","5.6",".338","101","4747"
"Scott Podsednik","White Sox","587","6.6 %","12.6 %","0.53",".304",".353",".412",".764",".108","6.4",".341","4.1","-0.2","0.1","75","4.5",".338","99","1095"
"Skip Schumaker","Cardinals","586","8.9 %","11.8 %","0.75",".303",".364",".393",".757",".090","2.9",".341","1.7","1.1","-0.9","75","4.4",".338","107","3704"
"Nyjer Morgan","- - -","533","7.5 %","13.9 %","0.54",".307",".369",".388",".757",".081","7.4",".355","1.8","-0.2","0.8","68","4.0",".338","104","4885"
"Ryan Ludwick","Cardinals","542","7.6 %","19.6 %","0.39",".265",".329",".447",".775",".181","3.1",".296","4.3","1.3","-0.4","69","3.7",".337","106","1260"
"Yadier Molina","Cardinals","544","9.2 %","7.2 %","1.28",".293",".366",".383",".749",".089","3.1",".309","-2.6","-5.0","0.1","69","3.5",".336","106","7007"
"Brandon Phillips","Reds","644","6.8 %","11.6 %","0.59",".276",".329",".447",".776",".171","5.7",".284","1.4","-1.8","0.8","81","3.6",".336","100","791"
"Franklin Gutierrez","Mariners","629","7.3 %","19.4 %","0.38",".283",".339",".425",".764",".142","4.8",".333","1.5","0.0","0.7","79","3.4",".335","104","3255"
"Adam Kennedy","Athletics","587","7.7 %","14.7 %","0.52",".289",".348",".410",".758",".121","4.6",".326","-0.7","0.5","1.1","73","3.0",".335","103","19"
"Luis Castillo","Mets","580","11.9 %","10.0 %","1.19",".302",".387",".346",".732",".043","5.4",".338","2.8","-1.4","1.0","72","2.7",".334","104","513"
"Ryan Sweeney","Athletics","534","7.5 %","12.5 %","0.60",".293",".348",".407",".755",".114","4.1",".327","2.3","-1.0","-1.3","66","2.0",".333","102","6352"
"James Loney","Dodgers","652","10.7 %","10.4 %","1.03",".281",".357",".399",".756",".118","3.6",".299","-0.4","-0.2","-0.3","80","1.8",".332","103","4556"
"Michael Bourn","Astros","678","9.3 %","20.6 %","0.45",".285",".354",".384",".738",".099","8.6",".366","4.4","2.6","6.7","82","0.6",".330","100","6387"
"Melky Cabrera","Yankees","540","8.0 %","10.9 %","0.73",".274",".336",".416",".752",".142","4.4",".288","-0.2","-0.9","0.8","65","0.2",".329","94","4022"
"Mark DeRosa","- - -","576","8.2 %","21.0 %","0.39",".250",".319",".433",".752",".183","3.3",".282","1.5","0.4","-0.6","69","-0.2",".328","98","1392"
"A.J. Pierzynski","White Sox","535","4.5 %","9.7 %","0.46",".300",".331",".425",".755",".125","2.0",".312","-1.5","-1.2","-0.6","63","-0.8",".327","92","746"
"Jose Lopez","Mariners","653","3.7 %","10.6 %","0.35",".272",".303",".463",".766",".191","2.1",".270","-2.5","-3.5","-1.0","77","-1.0",".327","99","3114"
"Chase Headley","Padres","612","10.1 %","21.7 %","0.47",".262",".342",".392",".734",".131","4.1",".325","-0.1","-2.2","0.7","72","-1.3",".326","104","4720"
"Andy LaRoche","Pirates","590","8.5 %","14.2 %","0.60",".258",".330",".401",".731",".143","4.1",".286","-1.1","-0.7","-0.2","68","-2.3",".324","96","6444"
"Aaron Rowand","Giants","546","5.5 %","22.9 %","0.24",".261",".319",".419",".738",".158","3.8",".318","0.3","-0.2","0.1","63","-2.6",".323","95","254"
"Mark Teahen","Royals","571","6.5 %","21.5 %","0.30",".271",".325",".408",".734",".137","4.4",".332","-3.3","0.0","0.8","65","-3.6",".321","90","4511"
"Stephen Drew","Diamondbacks","595","8.2 %","14.6 %","0.56",".261",".320",".428",".748",".167","5.8",".288","0.3","2.5","0.2","68","-3.8",".321","87","4251"
"Placido Polanco","Tigers","676","5.3 %","6.8 %","0.78",".285",".331",".396",".727",".112","4.5",".293","1.1","-0.9","0.1","76","-4.6",".321","89","1176"
"Kurt Suzuki","Athletics","614","4.6 %","9.6 %","0.47",".274",".313",".421",".734",".147","4.0",".280","2.9","0.3","0.4","69","-4.3",".320","94","8259"
"Daniel Murphy","Mets","556","6.8 %","12.4 %","0.55",".266",".313",".427",".741",".161","4.0",".284","1.1","-0.5","-0.3","62","-4.3",".319","94","4316"
"Ryan Theriot","Cubs","677","7.5 %","13.7 %","0.55",".284",".343",".369",".712",".085","5.4",".323","3.0","-1.2","-0.5","76","-5.5",".319","87","3811"
"Brandon Inge","Tigers","637","8.5 %","26.7 %","0.32",".230",".314",".406",".720",".176","2.4",".277","-0.1","1.1","-2.1","71","-5.2",".319","88","470"
"Alexei Ramirez","White Sox","606","8.1 %","10.9 %","0.74",".277",".333",".389",".723",".113","4.0",".288","0.5","-0.9","0.3","68","-5.1",".319","86","5133"
"Rafael Furcal","Dodgers","680","9.0 %","13.1 %","0.69",".269",".335",".375",".711",".106","5.1",".302","3.5","-0.4","-0.6","75","-6.7",".317","93","88"
"Clint Barmes","Rockies","604","5.1 %","20.0 %","0.26",".245",".294",".440",".734",".195","4.6",".271","2.3","1.5","-2.1","66","-6.3",".316","79","1830"
"Jeff Francoeur","- - -","632","3.6 %","14.6 %","0.25",".280",".309",".423",".732",".143","4.3",".305","-2.4","1.1","-0.8","68","-7.3",".315","90","4792"
"Elvis Andrus","Rangers","541","7.4 %","14.2 %","0.52",".267",".329",".373",".702",".106","8.0",".305","3.3","1.7","3.7","58","-6.9",".313","81","8709"
"Alfonso Soriano","Cubs","522","7.7 %","22.6 %","0.34",".241",".303",".423",".726",".182","4.4",".279","-0.3","1.1","0.7","56","-6.8",".313","83","847"
"Kevin Kouzmanoff","Padres","573","4.7 %","18.5 %","0.25",".255",".302",".420",".722",".164","2.1",".285","0.0","-3.6","-0.1","61","-7.7",".313","95","5995"
"Jimmy Rollins","Phillies","725","6.1 %","9.7 %","0.63",".250",".296",".423",".719",".173","6.7",".251","1.5","0.2","2.5","77","-10.2",".312","85","971"
"Vernon Wells","Blue Jays","684","7.0 %","12.6 %","0.56",".260",".311",".400",".711",".140","5.1",".279","2.9","-1.1","1.3","72","-9.7",".312","84","1326"
"Colby Rasmus","Cardinals","520","6.9 %","18.3 %","0.38",".251",".307",".407",".714",".156","4.1",".282","3.9","2.1","-0.1","55","-7.4",".311","89","9893"
"Orlando Cabrera","- - -","708","5.1 %","10.0 %","0.51",".284",".316",".389",".705",".105","4.7",".302","4.2","-2.6","0.5","73","-11.6",".309","85","766"
"Russell Martin","Dodgers","588","11.7 %","13.6 %","0.86",".250",".352",".329",".680",".079","3.3",".284","0.2","-2.4","-0.8","61","-9.7",".309","87","4616"
"Bengie Molina","Giants","520","2.5 %","13.1 %","0.19",".265",".285",".442",".727",".177","1.6",".266","-5.8","-1.0","-0.3","54","-8.7",".308","86","24"
"Jhonny Peralta","Indians","645","7.9 %","20.8 %","0.38",".254",".316",".375",".690",".120","1.6",".309","-1.7","-2.3","-1.2","66","-11.7",".307","83","1738"
"Melvin Upton Jr.","Rays","626","9.1 %","24.3 %","0.38",".241",".313",".373",".686",".132","6.8",".310","1.3","0.9","2.1","63","-11.9",".306","85","5015"
"Garret Anderson","Braves","534","5.1 %","13.7 %","0.37",".268",".303",".401",".705",".133","1.9",".286","-0.2","0.1","-0.1","54","-10.1",".306","83","2"
"Cristian Guzman","Nationals","555","2.9 %","13.5 %","0.21",".284",".306",".390",".696",".105","4.9",".322","4.1","-0.2","-1.6","56","-10.8",".305","82","728"
"Pedro Feliz","Phillies","625","5.6 %","10.9 %","0.51",".266",".308",".386",".694",".121","2.2",".281","-3.4","-0.2","-0.8","62","-12.8",".304","80","1112"
"Aubrey Huff","- - -","597","8.5 %","14.6 %","0.59",".241",".310",".384",".694",".144","2.3",".260","-2.4","-0.3","-2.9","59","-12.6",".303","77","1213"
"Alex Rios","- - -","633","5.8 %","16.9 %","0.35",".247",".296",".395",".691",".148","5.3",".273","-0.6","-1.1","2.3","62","-14.0",".302","77","2090"
"Randy Winn","Giants","597","7.9 %","15.6 %","0.51",".262",".318",".353",".671",".091","6.0",".308","1.3","2.0","2.0","56","-15.1",".298","79","1235"
"David Eckstein","Padres","568","6.9 %","8.1 %","0.85",".260",".323",".334",".657",".074","3.8",".281","-0.3","1.1","-0.2","53","-15.2",".296","84","10"
"Kaz Matsui","Astros","533","6.4 %","15.9 %","0.40",".250",".302",".357",".659",".107","5.5",".285","2.0","1.5","2.2","47","-16.4",".292","74","1854"
"Jason Kendall","Brewers","526","8.7 %","11.0 %","0.79",".241",".331",".305",".636",".064","4.1",".270","-0.5","0.0","0.2","46","-17.0",".290","72","993"
"Edgar Renteria","Giants","510","7.6 %","13.5 %","0.57",".250",".307",".328",".635",".078","3.9",".281","-0.6","-2.4","0.2","41","-19.7",".282","68","1178"
"Emilio Bonifacio","Marlins","509","6.7 %","18.7 %","0.36",".252",".303",".308",".611",".056","7.3",".312","4.7","1.6","0.1","39","-21.9",".277","61","4054"
"Yuniesky Betancourt","- - -","508","4.1 %","8.7 %","0.48",".245",".274",".351",".625",".106","3.9",".256","-3.8","-1.8","-0.9","38","-23.2",".273","61","8585"
