"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Albert Pujols","Cardinals","700","16.4 %","9.1 %","1.80",".327",".443",".658","1.101",".331","4.1",".299","2.0","-1.5","1.1","152","68.5",".447","180","1177"
"Joe Mauer","Twins","606","12.5 %","10.4 %","1.21",".365",".444",".587","1.031",".222","3.1",".373","-2.4","0.4","-0.1","127","54.8",".438","170","1857"
"Prince Fielder","Brewers","719","15.3 %","19.2 %","0.80",".299",".412",".602","1.014",".303","2.5",".315","-4.6","0.3","-1.4","142","55.5",".422","161","4613"
"Joey Votto","Reds","544","12.9 %","19.5 %","0.66",".322",".414",".567",".981",".245","3.3",".372","1.5","0.6","0.0","105","40.1",".418","155","4314"
"Kevin Youkilis","Red Sox","588","13.1 %","21.3 %","0.62",".305",".413",".548",".961",".242","4.1",".359","0.6","1.2","0.1","111","41.0",".413","147","1935"
"Derrek Lee","Cubs","615","12.4 %","17.7 %","0.70",".306",".393",".579",".972",".273","2.6",".327","-1.5","0.8","-0.2","117","42.8",".413","150","525"
"Ben Zobrist","Rays","599","15.2 %","17.4 %","0.88",".297",".405",".543",".948",".246","6.1",".326","1.9","2.3","0.4","111","38.8",".407","152","7435"
"Hanley Ramirez","Marlins","652","9.4 %","15.5 %","0.60",".342",".410",".543",".954",".201","4.8",".379","1.7","1.8","1.6","120","42.1",".407","149","8001"
"Adrian Gonzalez","Padres","681","17.5 %","16.0 %","1.09",".277",".407",".551",".958",".274","2.0",".278","-3.2","-1.9","-0.7","124","42.1",".404","156","1908"
"Ryan Braun","Brewers","708","8.1 %","17.1 %","0.47",".320",".386",".551",".937",".231","5.9",".353","1.9","3.5","1.0","129","43.7",".403","149","3410"
"Mark Teixeira","Yankees","707","11.5 %","16.1 %","0.71",".292",".383",".565",".948",".273","3.3",".302","-0.7","1.5","-0.1","128","42.9",".402","142","1281"
"Miguel Cabrera","Tigers","685","9.9 %","15.6 %","0.64",".324",".396",".547",".942",".223","2.7",".348","-1.2","-2.2","-0.1","124","41.5",".402","143","1744"
"Alex Rodriguez","Yankees","535","15.0 %","18.1 %","0.82",".286",".402",".532",".933",".245","4.5",".303","-0.1","-0.8","1.5","96","32.1",".401","141","1274"
"Pablo Sandoval","Giants","633","8.2 %","13.1 %","0.63",".330",".387",".556",".943",".226","3.7",".350","0.4","1.1","-1.5","113","36.7",".399","146","5409"
"Adam Lind","Blue Jays","654","8.9 %","16.8 %","0.53",".305",".370",".562",".932",".257","1.8",".323","0.9","-0.1","-0.6","115","36.3",".396","140","8027"
"Adam Dunn","Nationals","668","17.4 %","26.5 %","0.66",".267",".398",".529",".928",".262","0.8",".324","-1.9","2.1","-0.9","117","36.7",".395","142","319"
"Jason Bay","Red Sox","638","14.7 %","25.4 %","0.58",".267",".384",".537",".921",".269","5.3",".315","-1.3","2.0","0.9","111","35.1",".395","135","1717"
"Troy Tulowitzki","Rockies","628","11.6 %","17.8 %","0.65",".297",".377",".552",".930",".256","6.6",".316","1.5","-1.6","-1.1","110","34.4",".395","132","3531"
"Chase Utley","Phillies","687","12.8 %","16.0 %","0.80",".282",".397",".508",".905",".226","6.5",".300","5.2","3.0","4.1","120","37.3",".394","141","1679"
"J.D. Drew","Red Sox","539","15.2 %","20.2 %","0.75",".279",".392",".522",".914",".243","3.7",".319","2.6","1.0","-2.5","94","29.2",".394","135","1152"
"Todd Helton","Rockies","645","13.8 %","11.3 %","1.22",".325",".416",".489",".904",".164","2.2",".348","-7.0","-1.0","-1.0","112","34.7",".394","131","432"
"Ryan Howard","Phillies","703","10.7 %","26.5 %","0.40",".279",".360",".571",".931",".292","4.7",".325","-2.3","1.3","0.8","121","37.0",".392","139","2154"
"Matt Holliday","- - -","670","10.7 %","15.1 %","0.71",".313",".394",".515",".909",".201","4.5",".341","0.5","0.6","-0.6","115","34.5",".391","141","1873"
"Lance Berkman","Astros","563","17.2 %","17.4 %","0.99",".274",".399",".509",".907",".235","3.1",".296","-3.4","-0.2","-0.7","95","27.3",".387","138","548"
"Brad Hawpe","Rockies","588","13.4 %","24.7 %","0.54",".285",".384",".519",".903",".234","3.1",".356","4.1","-2.6","-1.4","99","28.5",".387","127","1885"
"Kendrys Morales","Angels","622","7.4 %","18.8 %","0.39",".306",".355",".569",".924",".263","2.8",".329","-3.4","-1.4","-2.7","105","30.2",".387","136","8610"
"Michael Young","Rangers","593","7.9 %","15.2 %","0.52",".322",".374",".518",".892",".196","3.8",".351","-6.8","-1.8","-0.1","99","27.6",".385","128","1286"
"Jason Kubel","Twins","578","9.7 %","18.3 %","0.53",".300",".369",".539",".907",".239","2.3",".327","-3.6","-1.0","-0.6","96","26.8",".385","135","2161"
"Justin Upton","Diamondbacks","588","9.4 %","23.3 %","0.40",".300",".366",".532",".899",".232","6.6",".360","3.7","2.1","1.5","98","27.2",".385","130","5222"
"Derek Jeter","Yankees","716","10.1 %","12.6 %","0.80",".334",".406",".465",".871",".131","5.0",".368","1.6","-2.4","3.3","119","33.1",".385","130","826"
"Shin-Soo Choo","Indians","685","11.4 %","22.0 %","0.52",".300",".394",".489",".883",".189","6.1",".370","2.2","1.5","2.8","113","31.4",".384","134","3174"
"Jason Bartlett","Rays","567","9.5 %","15.7 %","0.61",".320",".389",".490",".879",".170","7.2",".364","3.4","1.1","2.6","93","25.4",".383","136","8219"
"Mark Reynolds","Diamondbacks","662","11.5 %","33.7 %","0.34",".260",".349",".543",".892",".284","4.8",".338","-0.1","1.5","0.6","108","28.3",".381","127","7619"
"Hideki Matsui","Yankees","528","12.1 %","14.2 %","0.85",".274",".367",".509",".876",".235","1.5",".273","-0.7","1.9","-0.8","85","22.2",".380","127","1659"
"Raul Ibanez","Phillies","565","9.9 %","21.1 %","0.47",".272",".347",".552",".899",".280","4.8",".290","-0.5","-1.2","0.5","91","23.1",".378","130","607"
"Jayson Werth","Phillies","676","13.5 %","23.1 %","0.58",".268",".373",".506",".879",".238","4.8",".304","0.8","0.3","2.3","108","27.3",".378","130","1327"
"Evan Longoria","Rays","671","10.7 %","20.9 %","0.51",".281",".364",".526",".889",".245","4.0",".313","2.3","-4.1","1.4","107","26.9",".377","132","9368"
"Ryan Zimmerman","Nationals","694","10.4 %","17.1 %","0.61",".292",".364",".525",".888",".233","3.7",".310","4.7","-0.7","0.0","111","27.8",".377","130","4220"
"Carlos Pena","Rays","570","15.3 %","28.6 %","0.53",".227",".356",".537",".893",".310","3.6",".250","0.9","2.3","-1.0","91","22.6",".377","132","934"
