"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Clayton Kershaw","Dodgers","21","3","1.77","27","27","6","2","0","0","0","198.1","749","139","42","39","9","31","0","2","7","2","239","2036"
"Felix Hernandez","Mariners","15","6","2.14","34","34","0","0","0","0","0","236.0","912","170","68","56","16","46","1","5","18","0","248","4772"
"Chris Sale","White Sox","12","4","2.17","26","26","2","0","0","0","0","174.0","685","129","48","42","13","39","2","11","3","0","208","10603"
"Johnny Cueto","Reds","20","9","2.25","34","34","4","2","0","0","0","243.2","961","169","69","61","22","65","2","15","1","1","242","6893"
"Adam Wainwright","Cardinals","20","9","2.38","32","32","5","3","0","0","0","227.0","898","184","64","60","10","50","5","7","4","1","179","2233"
"Doug Fister","Nationals","16","6","2.41","25","25","1","1","0","0","0","164.0","662","153","52","44","18","24","0","7","5","0","98","9425"
"Corey Kluber","Indians","18","9","2.44","34","34","3","1","0","0","0","235.2","951","207","72","64","14","51","3","6","3","0","269","2429"
"Jon Lester","- - -","16","11","2.46","32","32","1","1","0","0","0","219.2","885","194","76","60","16","48","0","5","3","0","220","4930"
"Cole Hamels","Phillies","9","9","2.46","30","30","0","0","0","0","0","204.2","829","176","60","56","14","59","3","8","6","1","198","4972"
"Garrett Richards","Angels","13","4","2.61","26","26","1","1","0","0","0","168.2","678","124","51","49","5","51","1","7","22","1","164","9784"
"Henderson Alvarez","Marlins","12","7","2.65","30","30","3","3","0","0","0","187.0","772","198","65","55","14","33","3","8","4","0","111","5669"
"Jordan Zimmermann","Nationals","14","5","2.66","32","32","3","2","0","0","0","199.2","800","185","67","59","13","29","0","6","4","0","182","4505"
"Zack Greinke","Dodgers","17","8","2.71","32","32","0","0","0","0","0","202.1","821","190","69","61","19","43","3","2","12","0","207","1943"
"Lance Lynn","Cardinals","15","10","2.74","33","33","2","1","0","0","0","203.2","866","185","72","62","13","72","1","7","7","0","181","2520"
