"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Johnny Cueto","Reds","5.25","-12.82","18.08","39.74","4.27","0.99","","0.88","1.39","30","4.57","0.74","0","0","6893"
"Clayton Kershaw","Dodgers","5.11","-9.66","14.77","44.51","4.97","0.99","","0.86","0.92","21","5.02","0.15","0","0","2036"
"Adam Wainwright","Cardinals","4.13","-11.61","15.74","36.63","4.11","0.97","","0.87","1.03","27","4.41","-0.17","0","0","2233"
"Felix Hernandez","Mariners","3.78","-13.56","17.34","37.65","4.27","1.02","","0.87","1.31","34","4.43","-0.73","0","0","4772"
"Chris Sale","White Sox","3.69","-9.22","12.91","35.13","3.75","0.98","","0.88","1.14","24","3.67","0.07","0","0","10603"
"Corey Kluber","Indians","3.45","-14.25","17.70","33.96","3.63","0.98","","0.87","0.89","31","3.17","0.35","0","0","2429"
"Jon Lester","- - -","3.22","-12.30","15.52","29.58","3.14","0.94","","0.88","0.93","31","2.76","0.68","0","0","4930"
"Max Scherzer","Tigers","3.14","-14.47","17.61","22.26","2.30","1.04","","0.86","1.12","32","1.75","1.27","0","0","3137"
"Doug Fister","Nationals","2.74","-8.96","11.70","19.57","2.14","0.92","","0.88","1.02","24","1.44","1.54","0","0","9425"
"Henderson Alvarez","Marlins","2.62","-12.68","15.30","17.56","1.86","1.08","","0.88","1.24","27","0.80","1.63","0","0","5669"
"Cole Hamels","Phillies","2.60","-14.60","17.20","29.11","3.29","1.15","","0.87","1.26","30","2.54","-0.27","0","0","4972"
"Tanner Roark","Nationals","2.21","-11.58","13.79","22.72","2.54","0.93","","0.87","1.17","30","2.36","0.00","0","0","8753"
"David Price","- - -","1.99","-14.78","16.77","11.46","1.21","0.92","","0.87","1.18","31","2.00","0.17","0","0","3184"
"Hisashi Iwakuma","Mariners","1.91","-10.84","12.75","10.96","1.24","0.96","","0.87","1.12","28","2.37","-0.39","0","0","13048"
"Garrett Richards","Angels","1.90","-9.76","11.66","23.11","2.52","0.98","","0.87","1.08","25","3.06","-1.12","0","0","9784"
"Alex Cobb","Rays","1.84","-11.37","13.21","16.65","1.86","1.09","","0.87","1.23","27","1.31","0.39","0","0","6562"
"Chris Tillman","Orioles","1.76","-13.90","15.66","15.63","1.62","1.00","","0.88","1.07","33","1.29","0.47","0","0","5279"
"Zack Greinke","Dodgers","1.72","-11.82","13.54","18.49","2.09","0.91","","0.87","0.90","32","1.66","0.23","0","0","1943"
"Julio Teheran","Braves","1.72","-13.17","14.89","15.30","1.66","0.93","","0.87","1.13","29","2.25","-0.39","0","0","6797"
"Lance Lynn","Cardinals","1.71","-14.32","16.04","19.45","2.02","1.08","","0.87","1.39","31","0.32","1.27","0","0","2520"
"Alfredo Simon","Reds","1.65","-13.56","15.21","7.83","0.96","1.04","","0.87","1.09","32","0.95","0.64","0","0","2155"
"Alex Wood","Braves","1.60","-12.00","13.60","18.84","2.06","1.07","2.00","1.04","1.31","32","0.91","0.58","3","4","13781"
"Phil Hughes","Twins","1.45","-14.12","15.57","14.65","1.66","1.00","","0.87","1.32","31","1.63","-0.18","0","0","7450"
"Mark Buehrle","Blue Jays","1.41","-14.13","15.54","12.72","1.38","1.03","","0.88","1.08","32","0.61","0.77","0","0","225"
"Sonny Gray","Athletics","1.36","-14.40","15.76","14.70","1.52","0.98","","0.87","1.08","31","1.27","0.11","0","0","12768"
"Jarred Cosart","- - -","1.30","-11.96","13.26","4.65","0.56","0.99","","0.88","1.12","30","0.64","0.68","0","0","10304"
"Jered Weaver","Angels","1.29","-14.17","15.46","6.64","0.83","0.99","","0.86","1.15","33","-0.09","1.39","0","0","4235"
"James Shields","Royals","1.16","-15.80","16.97","13.09","1.38","1.00","","0.88","1.13","33","1.30","-0.14","0","0","7059"
"Jeff Samardzija","- - -","1.16","-14.56","15.73","9.81","1.13","0.98","","0.87","1.10","31","1.58","-0.40","0","0","3254"
"Madison Bumgarner","Giants","1.07","-13.74","14.82","11.11","1.08","0.94","","0.87","0.74","29","1.00","0.14","0","0","5524"
"Jordan Zimmermann","Nationals","1.05","-12.10","13.15","21.26","2.44","0.92","","0.88","0.94","29","2.31","-1.16","0","0","4505"
"Jose Quintana","White Sox","0.99","-14.68","15.67","11.96","1.20","1.08","","0.88","1.44","32","2.16","-1.24","0","0","11423"
