"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Clayton Kershaw","Dodgers","10.85","1.41","7.71","0.41","31.9 %","4.1 %","27.8 %",".194","0.86",".278","81.6 %","51","49","56","1.77","1.81","-0.04","2.08","2.09","2036"
"Corey Kluber","Indians","10.27","1.95","5.27","0.53","28.3 %","5.4 %","22.9 %",".232","1.09",".316","78.6 %","63","62","68","2.44","2.35","0.10","2.57","2.61","2429"
"Felix Hernandez","Mariners","9.46","1.75","5.39","0.61","27.2 %","5.0 %","22.2 %",".197","0.92",".258","77.0 %","58","69","67","2.14","2.56","-0.42","2.51","2.50","4772"
"Chris Sale","White Sox","10.76","2.02","5.33","0.67","30.4 %","5.7 %","24.7 %",".203","0.97",".280","81.5 %","56","66","75","2.17","2.57","-0.40","2.83","2.56","10603"
"Garrett Richards","Angels","8.75","2.72","3.22","0.27","24.2 %","7.5 %","16.7 %",".200","1.04",".264","74.9 %","72","71","83","2.61","2.60","0.01","3.15","3.20","9784"
"Phil Hughes","Twins","7.98","0.69","11.63","0.69","21.8 %","1.9 %","19.9 %",".265","1.13",".324","70.1 %","90","70","84","3.52","2.65","0.87","3.18","3.17","7450"
"Jordan Zimmermann","Nationals","8.20","1.31","6.28","0.59","22.8 %","3.6 %","19.1 %",".242","1.07",".302","75.8 %","72","73","84","2.66","2.68","-0.02","3.10","3.15","4505"
"David Price","- - -","9.82","1.38","7.13","0.91","26.9 %","3.8 %","23.1 %",".238","1.08",".306","72.7 %","87","75","73","3.26","2.78","0.48","2.76","2.72","3184"
"Jon Lester","- - -","9.01","1.97","4.58","0.66","24.9 %","5.4 %","19.4 %",".233","1.10",".299","76.1 %","63","75","82","2.46","2.80","-0.34","3.10","3.09","4930"
"Jose Quintana","White Sox","8.00","2.34","3.42","0.45","21.5 %","6.3 %","15.2 %",".254","1.24",".318","69.2 %","86","72","89","3.32","2.81","0.51","3.37","3.50","11423"
"Max Scherzer","Tigers","10.29","2.57","4.00","0.74","27.9 %","7.0 %","20.9 %",".235","1.18",".315","77.2 %","82","75","83","3.15","2.85","0.30","3.12","2.98","3137"
"Adam Wainwright","Cardinals","7.10","1.98","3.58","0.40","19.9 %","5.6 %","14.4 %",".219","1.03",".267","78.0 %","66","79","90","2.38","2.88","-0.50","3.34","3.52","2233"
"Stephen Strasburg","Nationals","10.13","1.80","5.63","0.96","27.9 %","5.0 %","22.9 %",".241","1.12",".315","74.8 %","85","80","69","3.14","2.94","0.20","2.56","2.64","10131"
"Zack Greinke","Dodgers","9.21","1.91","4.81","0.85","25.2 %","5.2 %","20.0 %",".245","1.15",".311","79.7 %","78","82","74","2.71","2.97","-0.26","2.72","2.87","1943"
"Madison Bumgarner","Giants","9.07","1.78","5.09","0.87","25.1 %","4.9 %","20.2 %",".235","1.09",".296","75.8 %","86","87","81","2.98","3.05","-0.07","2.99","2.98","5524"
"Cole Hamels","Phillies","8.71","2.59","3.36","0.62","23.9 %","7.1 %","16.8 %",".231","1.15",".295","81.9 %","68","81","87","2.46","3.07","-0.61","3.21","3.29","4972"
"Jeff Samardzija","- - -","8.28","1.76","4.70","0.82","23.0 %","4.9 %","18.1 %",".231","1.07",".283","73.2 %","82","86","82","2.99","3.20","-0.21","3.07","3.06","3254"
"Ian Kennedy","Padres","9.27","3.13","2.96","0.72","24.5 %","8.3 %","16.2 %",".245","1.29",".315","74.0 %","104","89","93","3.63","3.21","0.42","3.44","3.47","6986"
"Dallas Keuchel","Astros","6.57","2.16","3.04","0.49","18.1 %","5.9 %","12.1 %",".248","1.17",".295","75.5 %","78","85","85","2.92","3.21","-0.29","3.20","3.11","9434"
"Alex Cobb","Rays","8.06","2.54","3.17","0.60","21.9 %","6.9 %","15.0 %",".228","1.14",".282","77.9 %","77","88","88","2.87","3.23","-0.36","3.33","3.26","6562"
"Tyson Ross","Padres","8.97","3.31","2.71","0.60","24.0 %","8.9 %","15.2 %",".226","1.21",".291","75.1 %","80","90","84","2.81","3.24","-0.44","3.11","3.21","7872"
"Hisashi Iwakuma","Mariners","7.74","1.06","7.33","1.01","21.7 %","3.0 %","18.8 %",".243","1.05",".287","74.1 %","96","87","75","3.52","3.25","0.27","2.85","2.94","13048"
"Alex Wood","Braves","8.91","2.36","3.78","0.84","24.5 %","6.5 %","18.0 %",".235","1.14",".295","80.2 %","76","91","86","2.78","3.25","-0.48","3.19","3.16","13781"
"Johnny Cueto","Reds","8.94","2.40","3.72","0.81","25.2 %","6.8 %","18.4 %",".192","0.96",".238","82.5 %","61","87","87","2.25","3.30","-1.05","3.21","3.15","6893"
"Lance Lynn","Cardinals","8.00","3.18","2.51","0.57","20.9 %","8.3 %","12.6 %",".235","1.26",".290","78.1 %","76","91","103","2.74","3.35","-0.61","3.81","3.84","2520"
"Scott Kazmir","Athletics","7.75","2.36","3.28","0.76","21.1 %","6.4 %","14.7 %",".237","1.16",".285","71.1 %","96","90","95","3.55","3.35","0.19","3.59","3.61","4897"
"Nathan Eovaldi","Marlins","6.40","1.94","3.30","0.63","16.6 %","5.0 %","11.6 %",".277","1.33",".323","65.5 %","121","94","102","4.37","3.37","1.00","3.78","3.91","9132"
"Chris Archer","Rays","8.00","3.33","2.40","0.55","21.1 %","8.8 %","12.3 %",".239","1.28",".296","71.6 %","90","92","98","3.33","3.39","-0.06","3.70","3.80","6345"
"Ervin Santana","Braves","8.22","2.89","2.84","0.73","21.9 %","7.7 %","14.2 %",".257","1.31",".319","71.6 %","108","94","94","3.95","3.39","0.56","3.47","3.63","3200"
"Sonny Gray","Athletics","7.52","3.04","2.47","0.62","20.4 %","8.2 %","12.1 %",".229","1.19",".277","74.5 %","84","93","92","3.08","3.46","-0.38","3.47","3.56","12768"
"Tanner Roark","Nationals","6.25","1.77","3.54","0.72","17.3 %","4.9 %","12.4 %",".236","1.09",".270","79.3 %","78","95","104","2.85","3.47","-0.62","3.84","3.93","8753"
"Julio Teheran","Braves","7.57","2.08","3.65","0.90","21.0 %","5.8 %","15.3 %",".227","1.08",".267","75.9 %","79","97","101","2.89","3.49","-0.60","3.72","3.68","6797"
"Matt Garza","Brewers","6.94","2.76","2.52","0.66","18.5 %","7.4 %","11.2 %",".228","1.18",".268","66.6 %","96","92","105","3.64","3.54","0.10","3.88","4.02","3340"
"Tim Hudson","Giants","5.70","1.62","3.53","0.71","15.2 %","4.3 %","10.9 %",".266","1.23",".300","70.3 %","103","101","97","3.57","3.54","0.02","3.57","3.66","921"
"Brandon McCarthy","- - -","7.88","1.49","5.30","1.13","20.9 %","4.0 %","17.0 %",".278","1.28",".328","70.9 %","105","93","77","4.05","3.55","0.50","2.87","3.00","4662"
"Zack Wheeler","Mets","9.08","3.84","2.37","0.68","23.6 %","10.0 %","13.6 %",".237","1.33",".304","72.9 %","102","96","95","3.54","3.55","-0.01","3.49","3.54","10310"
"Aaron Harang","Braves","7.09","3.13","2.27","0.66","18.4 %","8.1 %","10.3 %",".267","1.40",".318","74.8 %","98","99","109","3.57","3.57","0.00","4.03","4.18","1451"
"Bartolo Colon","Mets","6.72","1.33","5.03","0.98","17.9 %","3.6 %","14.3 %",".269","1.23",".307","70.2 %","117","96","100","4.09","3.57","0.52","3.68","3.75","375"
"Henderson Alvarez","Marlins","5.34","1.59","3.36","0.67","14.4 %","4.3 %","10.1 %",".271","1.24",".304","79.3 %","73","100","97","2.65","3.58","-0.93","3.57","3.70","5669"
"Francisco Liriano","Pirates","9.70","4.49","2.16","0.72","25.3 %","11.7 %","13.6 %",".215","1.30",".280","74.7 %","96","100","92","3.38","3.59","-0.21","3.40","3.61","3201"
"James Shields","Royals","7.14","1.74","4.09","0.91","19.2 %","4.7 %","14.5 %",".253","1.18",".295","74.6 %","82","96","94","3.21","3.59","-0.38","3.56","3.59","7059"
"Yordano Ventura","Royals","7.82","3.39","2.30","0.69","20.3 %","8.8 %","11.5 %",".237","1.30",".288","77.3 %","82","96","99","3.20","3.60","-0.41","3.74","3.87","11855"
"Hiroki Kuroda","Yankees","6.60","1.58","4.17","0.90","17.8 %","4.3 %","13.5 %",".246","1.14",".279","69.3 %","96","92","93","3.71","3.60","0.10","3.54","3.64","3283"
"Mark Buehrle","Blue Jays","5.30","2.05","2.59","0.67","13.9 %","5.4 %","8.5 %",".283","1.36",".316","75.9 %","87","96","108","3.39","3.66","-0.28","4.09","4.32","225"
"Jon Niese","Mets","6.62","2.16","3.07","0.82","17.6 %","5.7 %","11.8 %",".263","1.27",".304","74.6 %","98","99","98","3.40","3.67","-0.27","3.63","3.78","4424"
"Rick Porcello","Tigers","5.67","1.80","3.15","0.79","15.4 %","4.9 %","10.5 %",".265","1.23",".298","72.4 %","89","96","97","3.43","3.67","-0.24","3.68","3.88","2717"
"Justin Verlander","Tigers","6.95","2.84","2.45","0.79","17.8 %","7.3 %","10.5 %",".271","1.40",".317","66.8 %","118","98","111","4.54","3.74","0.80","4.19","4.17","8700"
"Jake Odorizzi","Rays","9.32","3.16","2.95","1.07","24.2 %","8.2 %","16.0 %",".238","1.28",".295","73.4 %","111","102","103","4.13","3.75","0.37","3.90","3.66","6397"
"Jarred Cosart","- - -","5.74","3.64","1.58","0.45","15.0 %","9.5 %","5.5 %",".251","1.36",".290","71.5 %","100","102","110","3.69","3.77","-0.08","4.15","4.36","10304"
"John Lackey","- - -","7.45","2.14","3.49","1.09","19.7 %","5.6 %","14.1 %",".262","1.28",".305","72.6 %","99","102","93","3.82","3.78","0.04","3.48","3.64","1507"
"Kyle Gibson","Twins","5.37","2.86","1.88","0.60","14.1 %","7.5 %","6.6 %",".255","1.31",".287","66.3 %","115","100","105","4.47","3.80","0.67","3.99","4.18","10123"
"Jason Vargas","Royals","6.16","1.97","3.12","0.91","16.2 %","5.2 %","11.0 %",".265","1.27",".299","74.5 %","95","102","107","3.71","3.84","-0.13","4.05","4.14","8044"
"Tom Koehler","Marlins","7.20","3.34","2.15","0.75","19.1 %","8.8 %","10.2 %",".244","1.30",".290","73.5 %","106","107","113","3.81","3.84","-0.03","4.15","4.16","6570"
"Drew Hutchison","Blue Jays","8.97","2.92","3.07","1.12","23.4 %","7.6 %","15.8 %",".241","1.26",".293","71.2 %","115","100","101","4.48","3.85","0.64","3.82","3.59","10732"
"Ryan Vogelsong","Giants","7.36","2.83","2.60","0.88","19.4 %","7.4 %","11.9 %",".250","1.28",".294","72.3 %","115","110","107","4.00","3.85","0.14","3.96","3.98","1011"
"Josh Collmenter","Diamondbacks","5.77","1.96","2.95","0.90","16.0 %","5.4 %","10.6 %",".241","1.13",".267","72.5 %","90","104","110","3.46","3.87","-0.41","4.07","4.18","7312"
"Mike Leake","Reds","6.89","2.10","3.28","0.97","18.2 %","5.5 %","12.6 %",".259","1.25",".298","75.5 %","100","102","95","3.70","3.88","-0.18","3.49","3.51","10130"
"Wei-Yin Chen","Orioles","6.59","1.70","3.89","1.11","17.6 %","4.5 %","13.1 %",".263","1.23",".296","77.5 %","91","100","99","3.54","3.89","-0.35","3.75","3.85","13071"
"Jason Hammel","- - -","8.06","2.25","3.59","1.17","22.1 %","6.2 %","15.9 %",".232","1.12",".272","78.3 %","95","106","96","3.47","3.92","-0.45","3.57","3.50","4538"
"Doug Fister","Nationals","5.38","1.32","4.08","0.99","14.8 %","3.6 %","11.2 %",".242","1.08",".262","83.1 %","66","107","104","2.41","3.93","-1.52","3.85","3.93","9425"
"Yovani Gallardo","Brewers","6.83","2.53","2.70","0.98","17.9 %","6.6 %","11.3 %",".257","1.29",".294","74.7 %","93","103","98","3.51","3.94","-0.43","3.64","3.78","8173"
"Kyle Lohse","Brewers","6.40","2.04","3.13","1.00","17.3 %","5.5 %","11.8 %",".240","1.15",".268","72.6 %","94","103","110","3.54","3.95","-0.41","4.05","4.04","739"
