"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Mike Trout","Angels","7.18","-9.40","16.58","66.71","7.53","0.97","","0","5.72","1.70","10155"
"Buster Posey","Giants","5.19","-8.39","13.58","36.22","4.18","0.96","3.27","6","3.72","1.67","9166"
"Giancarlo Stanton","Marlins","5.17","-9.98","15.15","50.24","5.55","1.09","1.28","2","5.40","-0.66","4949"
"Andrew McCutchen","Pirates","5.09","-9.30","14.39","43.01","4.95","0.99","","0","5.39","-0.25","9847"
"Matt Holliday","Cardinals","4.59","-10.80","15.39","41.54","4.66","1.04","","0","3.68","0.73","1873"
"Miguel Cabrera","Tigers","4.50","-9.54","14.04","44.67","4.77","0.87","5.53","1","4.72","0.43","1744"
"Jayson Werth","Nationals","4.49","-9.07","13.57","46.30","5.20","1.01","1.78","5","3.93","0.52","1327"
"Michael Brantley","Indians","4.47","-11.13","15.60","45.81","4.90","1.06","1.03","2","4.54","-0.32","4106"
"Victor Martinez","Tigers","4.40","-9.52","13.93","54.55","5.89","0.96","0.21","1","5.07","-0.50","393"
"Jose Abreu","White Sox","4.18","-9.71","13.90","45.44","4.77","1.01","1.50","1","4.54","-0.39","15676"
"Hunter Pence","Giants","4.18","-10.50","14.67","36.84","4.16","0.99","0.74","1","2.81","1.42","8252"
"David Ortiz","Red Sox","4.09","-10.41","14.50","36.80","3.86","1.11","1.85","6","2.45","1.24","745"
"Anthony Rizzo","Cubs","4.06","-9.38","13.43","35.72","3.96","1.01","","0","4.77","-0.75","3473"
"Adam LaRoche","Nationals","4.05","-9.43","13.48","28.40","3.23","1.07","1.37","4","2.71","1.09","1904"
"Denard Span","Nationals","4.02","-10.03","14.06","21.10","2.36","0.99","","0","2.14","1.92","8347"
"Jonathan Lucroy","Brewers","3.87","-10.24","14.11","25.43","2.82","1.00","3.19","3","2.17","1.71","7870"
"Starling Marte","Pirates","3.75","-9.35","13.10","23.26","2.63","1.06","1.58","7","3.45","0.08","9241"
"Josh Harrison","Pirates","3.75","-8.25","11.99","24.39","2.81","0.97","1.49","21","2.64","1.23","8202"
"Jose Bautista","Blue Jays","3.69","-10.14","13.83","43.69","4.63","0.97","2.71","1","5.54","-1.73","1887"
"Neil Walker","Pirates","3.57","-9.45","13.02","24.63","2.83","1.07","3.64","3","2.39","0.95","7539"
"Justin Morneau","Rockies","3.48","-8.98","12.46","24.80","2.67","1.03","3.37","5","1.48","1.88","1737"
"Josh Donaldson","Athletics","3.40","-11.32","14.72","30.99","3.43","1.03","0.57","3","3.17","0.13","5038"
"Albert Pujols","Angels","3.13","-11.66","14.79","16.50","1.93","1.01","","0","2.72","0.37","1177"
"Jose Altuve","Astros","3.07","-11.73","14.80","25.20","2.74","1.02","4.57","1","2.44","0.57","5417"
"Alex Gordon","Royals","2.98","-9.90","12.88","22.91","2.50","1.00","","0","0.74","2.23","5209"
"Luis Valbuena","Cubs","2.89","-8.96","11.85","17.33","2.05","1.07","1.94","18","1.66","1.05","4969"
"Yoenis Cespedes","- - -","2.85","-11.30","14.15","18.17","1.97","1.07","2.58","5","1.55","1.11","13110"
"Matt Carpenter","Cardinals","2.82","-9.57","12.39","26.52","2.99","0.95","0.84","2","1.73","1.24","8090"
"Jason Heyward","Braves","2.80","-10.01","12.81","19.93","2.29","1.00","0.22","1","2.31","0.48","4940"
"Jacoby Ellsbury","Yankees","2.78","-10.29","13.08","18.58","2.00","1.03","1.55","4","1.11","1.59","4727"
"Adrian Gonzalez","Dodgers","2.73","-10.83","13.56","31.55","3.61","1.01","1.73","3","2.51","0.20","1908"
"Carlos Santana","Indians","2.70","-10.96","13.66","19.16","1.99","1.08","0.02","1","2.10","0.39","2396"
"Freddie Freeman","Braves","2.68","-11.12","13.80","28.83","3.36","0.98","","0","3.23","-0.51","5361"
"Adam Eaton","White Sox","2.58","-8.46","11.03","19.41","2.03","1.02","","0","1.07","1.45","11205"
"Todd Frazier","Reds","2.45","-11.82","14.27","13.19","1.46","1.04","2.01","1","1.86","0.49","785"
"Curtis Granderson","Mets","2.44","-10.09","12.54","11.54","1.19","1.00","1.81","6","1.43","1.02","4747"
"Christian Yelich","Marlins","2.40","-10.70","13.10","27.69","3.02","1.02","3.32","1","2.61","-0.27","11477"
"Nelson Cruz","Orioles","2.40","-12.68","15.08","22.72","2.43","1.07","","0","2.30","-0.05","2434"
