"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Albert Pujols","Cardinals","143","634","49","119","137","7","14.5 %","7.9 %",".340",".292",".331",".431",".671",".447","174","1.6","63.0","-0.1","8.1","1177"
"Grady Sizemore","Indians","162","751","28","134","76","22","10.4 %","20.4 %",".243",".339",".290",".375",".533",".383","132","9.2","40.5","15.2","7.9","2197"
"Carlos Beltran","Mets","140","617","41","127","116","18","15.4 %","16.0 %",".320",".263",".275",".388",".594",".408","148","9.3","48.3","12.3","7.8","589"
"Chase Utley","Phillies","160","739","32","131","102","15","8.5 %","17.9 %",".219",".343",".309",".379",".527",".388","130","10.5","39.7","9.9","7.2","1679"
"Miguel Cabrera","Marlins","158","676","26","112","114","9","12.7 %","16.0 %",".229",".379",".339",".430",".568",".415","153","-2.7","44.3","-1.8","6.3","1744"
"Derek Jeter","Yankees","154","715","14","118","97","34","9.7 %","14.3 %",".140",".391",".343",".417",".483",".392","138","5.2","39.9","-1.2","6.1","826"
"Lance Berkman","Astros","152","646","45","95","136","3","15.2 %","16.4 %",".306",".316",".315",".420",".621",".426","158","-1.0","48.4","-6.7","6.1","548"
"Andruw Jones","Braves","156","669","41","107","129","4","12.3 %","19.0 %",".269",".264",".262",".363",".531",".375","124","3.4","24.9","14.9","6.0","96"
"Travis Hafner","Indians","129","564","42","100","117","0","17.7 %","19.7 %",".350",".323",".308",".439",".659",".450","176","-1.5","54.1","-11.8","6.0","1573"
"Ryan Howard","Phillies","159","704","58","104","149","0","15.3 %","25.7 %",".346",".356",".313",".425",".659",".436","162","-1.8","55.3","-17.5","5.9","2154"
"Joe Mauer","Twins","140","608","13","86","84","8","13.0 %","8.9 %",".159",".364",".347",".429",".507",".396","141","0.4","33.0","6.2","5.8","1857"
"Carlos Guillen","Tigers","153","622","19","100","85","20","11.4 %","14.0 %",".199",".351",".320",".400",".519",".391","137","1.0","30.3","8.3","5.8","1079"
"Vernon Wells","Blue Jays","154","677","32","91","106","17","8.0 %","13.3 %",".239",".307",".303",".357",".542",".380","128","3.4","27.8","8.9","5.8","1326"
"Jose Reyes","Mets","153","703","19","122","81","64","7.5 %","11.5 %",".187",".320",".300",".354",".487",".358","116","9.0","23.6","12.0","5.7","1736"
"Ichiro Suzuki","Mariners","161","752","9","110","49","45","6.5 %","9.4 %",".094",".348",".322",".370",".416",".339","106","11.3","16.9","15.2","5.6","1101"
"Scott Rolen","Cardinals","142","594","22","94","95","7","9.4 %","11.6 %",".223",".301",".296",".369",".518",".374","126","2.6","23.2","13.5","5.5","970"
"Alfonso Soriano","Nationals","159","728","46","119","95","41","9.2 %","22.0 %",".283",".300",".277",".351",".560",".377","129","3.9","31.8","-0.5","5.4","847"
"Garrett Atkins","Rockies","157","695","29","117","120","4","11.4 %","10.9 %",".228",".335",".329",".409",".556",".409","138","-1.8","32.5","-0.3","5.4","1790"
"David Ortiz","Red Sox","151","686","54","115","137","1","17.3 %","17.1 %",".349",".270",".287",".413",".636",".427","157","-4.0","46.6","-15.3","5.3","745"
"Jason Bay","Pirates","159","689","35","101","109","11","14.8 %","22.6 %",".246",".330",".286",".396",".532",".392","137","2.5","36.3","-5.2","5.2","1717"
"Bill Hall","Brewers","148","608","35","101","85","8","10.4 %","26.6 %",".283",".320",".270",".345",".553",".374","124","0.3","19.4","13.1","5.1","1605"
"Miguel Tejada","Orioles","162","709","24","99","100","6","6.5 %","11.1 %",".168",".345",".330",".379",".498",".374","125","-3.8","18.7","7.8","4.9","941"
"Nick Johnson","Nationals","147","628","23","100","77","10","17.5 %","15.8 %",".230",".320",".290",".428",".520",".404","147","-1.1","37.6","-7.6","4.9","828"
"Jim Thome","White Sox","143","610","42","108","109","0","17.5 %","24.1 %",".310",".321",".288",".416",".598",".421","153","2.2","43.7","-14.6","4.8","409"
"David Wright","Mets","154","661","26","96","116","20","10.0 %","17.1 %",".220",".344",".311",".381",".531",".382","132","3.9","31.2","-4.7","4.7","3787"
"Carl Crawford","Devil Rays","151","653","18","89","77","58","5.7 %","13.0 %",".177",".331",".305",".348",".482",".355","114","9.9","22.0","3.8","4.7","1201"
"Adrian Beltre","Mariners","156","681","25","88","89","11","6.9 %","17.3 %",".197",".294",".268",".328",".465",".339","106","-1.2","3.7","20.7","4.6","639"
"Freddy Sanchez","Pirates","157","632","6","85","85","3","4.9 %","8.2 %",".129",".364",".344",".378",".473",".365","119","2.8","18.8","7.9","4.6","1624"
"Mike Cameron","Padres","141","634","22","88","83","25","11.2 %","22.4 %",".214",".321",".268",".355",".482",".359","122","6.3","24.2","1.2","4.5","1070"
"Reed Johnson","Blue Jays","134","517","12","86","49","8","6.4 %","15.7 %",".161",".366",".319",".390",".479",".377","126","0.4","17.9","9.8","4.4","1702"
"Hanley Ramirez","Marlins","158","700","17","119","59","51","8.0 %","18.3 %",".188",".343",".292",".353",".480",".358","116","10.0","24.5","-2.6","4.4","8001"
"Jimmy Rollins","Phillies","158","758","25","127","83","36","7.5 %","10.6 %",".200",".281",".277",".334",".478",".346","103","4.8","7.6","12.0","4.3","971"
"Jorge Posada","Yankees","143","545","23","65","93","3","11.7 %","17.8 %",".215",".303",".277",".374",".492",".373","125","-4.6","13.1","12.4","4.3","841"
"Dan Uggla","Marlins","154","683","27","105","90","6","7.0 %","18.0 %",".198",".309",".282",".339",".480",".350","110","4.4","13.4","7.4","4.2","3442"
