"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Albert Pujols","Cardinals","9.62","-8.83","18.45","74.00","7.41","1.02","0.77","1","6.16","3.26","1177"
"Ryan Howard","Phillies","8.28","-10.92","19.20","75.80","7.37","1.06","1.45","2","6.98","0.85","2154"
"David Ortiz","Red Sox","7.80","-10.31","18.11","57.73","5.44","1.00","1.44","3","6.35","1.48","745"
"Derek Jeter","Yankees","6.09","-10.36","16.45","54.79","5.28","1.00","","0","3.78","2.33","826"
"Lance Berkman","Astros","5.57","-9.66","15.23","70.65","6.87","1.04","2.84","5","5.72","-0.35","548"
"Carlos Beltran","Mets","5.22","-8.83","14.05","63.31","6.11","0.96","2.47","3","3.96","1.49","589"
"Jermaine Dye","White Sox","4.87","-10.18","15.06","45.00","4.24","0.98","2.13","1","4.45","0.50","911"
"Justin Morneau","Twins","4.77","-11.09","15.85","46.09","4.47","1.04","4.62","1","3.22","1.38","1737"
"Bobby Abreu","- - -","4.75","-10.49","15.24","54.74","5.17","1.01","0.73","2","3.13","1.56","945"
"David Wright","Mets","4.66","-11.02","15.68","36.38","3.57","1.07","","0","2.57","1.81","3787"
"Miguel Cabrera","Marlins","4.62","-9.38","14.00","62.62","6.19","0.94","","0","5.33","-0.39","1744"
"Travis Hafner","Indians","4.56","-8.59","13.15","59.50","5.75","0.96","3.06","3","5.18","-0.42","1573"
"Ryan Zimmerman","Nationals","4.48","-12.95","17.43","24.18","2.53","1.13","","0","1.27","2.71","4220"
"Chase Utley","Phillies","4.21","-11.89","16.10","35.83","3.45","1.01","2.82","1","3.79","0.40","1679"
"Jason Giambi","Yankees","4.19","-9.59","13.78","46.82","4.51","1.09","1.59","4","3.65","0.21","818"
"Andruw Jones","Braves","4.14","-11.98","16.12","29.83","2.93","1.11","1.78","2","2.91","0.83","96"
"Manny Ramirez","Red Sox","3.81","-8.86","12.67","47.98","4.55","1.07","2.60","2","4.21","-0.64","210"
"Todd Helton","Rockies","3.74","-9.76","13.50","36.13","3.28","0.97","","0","2.35","1.50","432"
"Frank Thomas","Athletics","3.42","-9.62","13.04","36.40","3.56","1.03","2.93","2","3.11","0.21","255"
"Grady Sizemore","Indians","3.41","-11.20","14.60","35.58","3.47","0.90","1.02","2","3.67","0.10","2197"
"Vladimir Guerrero","Angels","3.36","-10.95","14.32","25.65","2.52","1.02","","0","2.70","0.59","778"
"Geoff Jenkins","Brewers","3.34","-8.91","12.25","16.36","1.59","1.02","1.45","15","1.06","2.22","690"
"Nick Johnson","Nationals","3.34","-10.86","14.19","34.37","3.43","1.12","1.28","2","3.66","-0.67","828"
"Carlos Delgado","Mets","3.18","-9.91","13.10","37.55","3.68","1.03","4.67","2","2.80","0.29","1297"
"Ray Durham","Giants","3.18","-9.79","12.98","22.70","2.24","1.06","2.12","5","1.91","1.09","230"
"Carlos Guillen","Tigers","3.13","-10.09","13.22","36.30","3.52","1.01","1.21","2","3.13","-0.03","1079"
"Jim Thome","White Sox","3.10","-9.40","12.50","52.24","4.85","0.97","1.81","4","5.18","-1.99","409"
"Garrett Atkins","Rockies","2.96","-12.04","15.00","40.98","3.76","1.04","","0","3.06","-0.22","1790"
"J.D. Drew","Dodgers","2.70","-9.36","12.06","29.29","2.77","1.00","1.06","10","2.69","0.02","1152"
"Michael Cuddyer","Twins","2.67","-10.58","13.25","28.65","2.82","0.99","1.57","4","2.41","0.28","1534"
"Alfonso Soriano","Nationals","2.58","-12.64","15.23","32.64","3.28","1.04","1.41","1","3.12","-0.64","847"
"Joe Mauer","Twins","2.52","-8.86","11.38","40.11","3.95","0.95","1.86","4","3.08","-0.42","1857"
"Carlos Lee","- - -","2.52","-11.37","13.89","28.25","2.68","0.98","4.79","1","3.04","-0.46","243"
"Hanley Ramirez","Marlins","2.34","-11.17","13.51","15.52","1.54","0.92","3.14","2","1.74","0.80","8001"
"Jimmy Rollins","Phillies","2.32","-12.38","14.70","17.98","1.70","0.96","3.53","2","1.15","1.26","971"
"Aramis Ramirez","Cubs","2.30","-11.55","13.85","29.48","2.78","0.99","3.56","2","2.61","-0.29","1002"
"Marcus Giles","Braves","2.29","-10.48","12.77","8.21","0.81","1.01","1.35","8","-0.05","2.33","89"
"Nick Swisher","Athletics","2.28","-11.35","13.63","30.55","2.90","1.04","1.67","1","2.62","-0.43","4599"
"Michael Young","Rangers","2.28","-11.94","14.22","20.16","1.88","0.93","","0","0.71","1.74","1286"
"Vernon Wells","Blue Jays","2.26","-11.11","13.37","22.59","2.15","0.95","","0","2.07","0.31","1326"
"Jorge Posada","Yankees","2.25","-9.17","11.42","14.66","1.41","1.02","1.86","20","1.30","0.90","841"
"Bill Hall","Brewers","2.24","-11.49","13.72","14.12","1.34","1.06","1.27","5","1.91","0.20","1605"
"Jose Reyes","Mets","2.19","-11.83","14.02","29.04","2.86","0.97","2.93","3","1.73","0.53","1736"
"Jay Payton","Athletics","2.09","-9.95","12.04","0.59","0.14","1.02","4.69","1","-0.45","2.50","890"
"Matt Holliday","Rockies","2.08","-12.97","15.06","34.00","3.04","1.07","0.78","1","3.01","-1.06","1873"
"Raul Ibanez","Mariners","2.08","-11.81","13.89","28.69","2.85","1.03","","0","2.45","-0.42","607"
"Brad Hawpe","Rockies","2.08","-11.12","13.19","20.99","1.98","1.12","2.35","9","1.66","0.18","1885"
"Freddy Sanchez","Pirates","2.03","-10.71","12.74","26.48","2.58","1.08","1.55","17","1.53","0.35","1624"
"Jacque Jones","Cubs","2.02","-10.27","12.28","12.12","1.16","1.03","1.61","10","0.75","1.21","735"
"Brian Giles","Padres","1.99","-12.18","14.17","21.83","2.22","1.02","","0","1.57","0.38","990"
"Lyle Overbay","Blue Jays","1.97","-10.46","12.42","19.54","1.88","0.96","0.83","2","2.07","-0.02","1617"
"Melvin Mora","Orioles","1.90","-11.49","13.40","4.35","0.48","0.99","","0","-0.24","2.16","157"
"Jason Bay","Pirates","1.88","-12.92","14.80","33.59","3.17","1.14","2.68","2","3.84","-2.19","1717"
"Ichiro Suzuki","Mariners","1.88","-11.80","13.68","19.75","2.02","0.99","0.28","1","1.33","0.56","1101"
"Paul Konerko","White Sox","1.82","-11.57","13.39","33.93","3.18","1.01","1.72","1","2.41","-0.60","242"
"Kevin Youkilis","Red Sox","1.81","-11.04","12.85","17.35","1.64","1.01","1.20","1","0.91","0.87","1935"
"Johnny Damon","Yankees","1.77","-11.20","12.97","20.27","1.97","1.01","3.11","2","1.92","-0.17","185"
"Nomar Garciaparra","Dodgers","1.62","-9.46","11.07","24.29","2.43","1.05","1.44","4","1.52","0.01","190"
