"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Eric Chavez","Athletics","1.58","-9.88","11.46","-2.14","-0.22","1.09","","0","0.80","0.65","906"
"Edgar Renteria","Braves","1.51","-11.05","12.56","17.81","1.75","0.99","0.07","2","1.11","0.42","1178"
"Josh Willingham","Marlins","1.44","-9.94","11.38","14.46","1.43","1.01","2.12","5","1.73","-0.30","2103"
"Adam LaRoche","Braves","1.43","-10.10","11.54","27.39","2.71","1.03","1.62","12","2.65","-1.25","1904"
"Adrian Gonzalez","Padres","1.43","-10.78","12.21","16.81","1.80","1.00","0.23","1","2.07","-0.64","1908"
"Gary Matthews Jr.","Rangers","1.41","-11.12","12.53","25.52","2.38","0.94","2.40","2","1.75","-0.25","153"
"Craig Monroe","Tigers","1.35","-11.01","12.36","5.01","0.50","1.00","3.28","2","0.23","1.13","1464"
"Miguel Tejada","Orioles","1.33","-11.93","13.26","20.15","1.94","1.00","","0","2.94","-1.61","941"
"Matt Murton","Cubs","1.32","-8.25","9.57","6.81","0.60","0.98","1.40","12","0.45","0.90","6307"
"David DeJesus","Royals","1.28","-8.97","10.25","14.45","1.39","1.00","","0","0.52","0.76","1825"
"Conor Jackson","Diamondbacks","1.26","-9.91","11.17","14.82","1.48","1.06","1.81","11","0.74","0.46","5997"
"Magglio Ordonez","Tigers","1.25","-11.42","12.67","16.31","1.58","1.00","2.28","3","1.41","-0.16","248"
"Orlando Hudson","Diamondbacks","1.23","-10.59","11.82","12.70","1.14","0.96","1.71","4","0.76","0.52","1307"
"Alex Rodriguez","Yankees","1.21","-12.62","13.84","35.10","3.33","1.05","2.34","3","2.57","-1.42","1274"
"Mike Cameron","Padres","1.15","-11.51","12.66","17.85","2.03","1.03","2.71","1","2.11","-0.99","1070"
"Adam Dunn","Reds","1.15","-11.77","12.92","14.12","1.32","0.98","2.90","1","1.71","-0.55","319"
"Pat Burrell","Phillies","1.13","-10.77","11.91","20.51","2.00","1.11","2.23","12","2.14","-1.12","949"
"Scott Rolen","Cardinals","1.11","-10.66","11.77","29.39","2.94","1.06","","0","2.20","-1.15","970"
"Kenny Lofton","Dodgers","1.10","-9.19","10.29","5.94","0.54","1.04","1.43","3","0.43","0.63","246"
"Mike Jacobs","Marlins","1.08","-9.86","10.94","0.03","0.05","1.00","2.48","12","0.73","0.34","2231"
"Carl Crawford","Devil Rays","1.05","-11.76","12.81","27.00","2.67","1.02","0.49","1","2.03","-1.00","1201"
"Orlando Cabrera","Angels","1.04","-11.49","12.54","0.71","0.11","0.99","2.84","1","0.76","0.30","766"
"Paul Lo Duca","Mets","1.01","-8.77","9.78","9.10","0.86","0.94","2.41","4","0.78","0.30","662"
"Mark Teixeira","Rangers","1.00","-12.36","13.36","26.13","2.51","0.94","","0","1.89","-0.83","1281"
"Curtis Granderson","Tigers","0.93","-10.69","11.63","1.74","0.16","0.90","1.15","6","0.27","0.78","4747"
"Melky Cabrera","Yankees","0.89","-8.68","9.57","7.74","0.71","0.99","0.88","5","0.09","0.81","4022"
"Robinson Cano","Yankees","0.83","-9.05","9.89","11.22","1.08","1.02","1.50","2","1.30","-0.48","3269"
"Mark Loretta","Red Sox","0.76","-12.28","13.04","-13.30","-1.30","1.01","1.72","7","-1.26","2.01","1383"
"Richie Sexson","Mariners","0.76","-12.90","13.66","16.89","1.71","1.06","2.47","1","1.27","-0.56","709"
"Rafael Furcal","Dodgers","0.73","-12.03","12.77","14.03","1.47","0.96","1.20","3","0.85","-0.09","88"
"Felipe Lopez","- - -","0.71","-12.40","13.11","-0.72","-0.07","1.04","2.56","3","-0.20","0.88","1311"
"Adrian Beltre","Mariners","0.66","-12.25","12.92","6.48","0.59","1.04","","0","0.28","0.36","639"
"Nick Markakis","Orioles","0.65","-9.04","9.68","-0.95","-0.11","1.00","2.04","3","0.06","0.58","5930"
"Dan Uggla","Marlins","0.64","-10.87","11.51","19.61","2.01","0.92","1.78","3","1.41","-0.71","3442"
"Prince Fielder","Brewers","0.60","-11.43","12.03","9.69","0.93","0.99","0.88","4","1.31","-0.71","4613"
"Kevin Millar","Orioles","0.57","-8.66","9.23","6.18","0.55","1.01","1.48","7","-0.08","0.65","529"
"Tony Graffanino","- - -","0.44","-9.00","9.43","8.31","0.78","1.00","1.44","6","-0.15","0.58","235"
"Tadahito Iguchi","White Sox","0.42","-10.50","10.93","4.91","0.45","0.94","","0","0.32","0.13","8581"
"Preston Wilson","- - -","0.42","-9.59","10.02","-3.72","-0.37","0.99","1.41","7","-0.66","1.08","545"
"Omar Vizquel","Giants","0.38","-11.27","11.65","9.82","0.86","1.03","1.48","2","-0.34","0.71","411"
"Aaron Hill","Blue Jays","0.37","-9.40","9.77","-9.52","-0.91","0.93","","0","-1.28","1.69","6104"
"Emil Brown","Royals","0.29","-10.59","10.88","-1.38","-0.11","1.00","1.78","4","0.78","-0.49","1197"
"Jeff Francoeur","Braves","0.29","-13.76","14.05","-0.39","0.00","1.06","","0","0.07","0.20","4792"
"Reed Johnson","Blue Jays","0.28","-8.45","8.73","12.47","1.20","0.92","0.78","8","1.88","-1.57","1702"
"Hank Blalock","Rangers","0.22","-11.40","11.62","-12.77","-1.27","0.99","3.48","2","-1.11","1.33","1419"
"Aubrey Huff","- - -","0.20","-9.15","9.35","0.63","0.02","1.00","1.78","9","0.53","-0.33","1213"
"Josh Barfield","Padres","0.18","-10.42","10.60","3.36","0.23","1.03","0.55","5","-0.10","0.27","3622"
"Mike Lowell","Red Sox","0.17","-11.92","12.09","4.52","0.41","1.06","2.68","2","0.45","-0.29","527"
"Brian Roberts","Orioles","0.17","-11.04","11.20","-1.48","-0.12","1.05","1.57","3","-0.21","0.37","166"
"Ryan Freel","Reds","0.14","-8.99","9.13","-4.52","-0.44","0.95","1.00","13","-0.09","0.23","1207"
"Austin Kearns","- - -","0.12","-12.21","12.32","12.64","1.28","1.09","2.69","7","1.86","-1.76","332"
"Kenji Johjima","Mariners","0.10","-9.68","9.78","19.62","1.94","1.00","2.99","5","0.86","-0.76","5811"
"Jason Michaels","Indians","0.06","-8.81","8.87","-6.63","-0.64","0.92","1.52","4","-0.88","0.95","1399"
"Adam Kennedy","Angels","0.04","-9.49","9.53","-5.45","-0.54","1.02","3.01","10","-0.91","0.96","19"
"Todd Walker","- - -","0.03","-8.06","8.09","0.74","0.12","0.97","1.21","15","0.08","-0.04","359"
"Scott Hatteberg","Reds","0.02","-8.68","8.70","8.28","0.78","0.97","1.99","11","0.90","-0.88","916"
"Luis Gonzalez","Diamondbacks","0.01","-11.55","11.56","0.59","-0.03","0.98","1.75","3","0.44","-0.43","55"
"Brandon Inge","Tigers","-0.01","-10.05","10.05","4.66","0.42","0.92","","0","0.71","-0.72","470"
"Brandon Phillips","Reds","-0.02","-11.25","11.23","-2.08","-0.24","1.10","1.11","5","-0.76","0.74","791"
"Xavier Nady","- - -","-0.03","-9.91","9.87","4.00","0.35","1.08","1.04","4","0.36","-0.39","1658"
"Joe Crede","White Sox","-0.11","-11.20","11.09","0.67","0.03","1.00","2.89","2","0.73","-0.85","227"
"Victor Martinez","Indians","-0.18","-11.15","10.98","15.60","1.47","0.96","2.17","4","1.20","-1.38","393"
"Mark Kotsay","Athletics","-0.23","-9.56","9.34","-7.55","-0.76","0.99","1.96","3","-0.86","0.63","1042"
"Mark DeRosa","Rangers","-0.24","-10.21","9.97","6.04","0.55","0.98","","0","-0.28","0.04","1392"
"Juan Encarnacion","Cardinals","-0.32","-10.64","10.32","1.28","0.14","0.99","2.05","10","-0.01","-0.32","320"
"Ramon Hernandez","Orioles","-0.33","-11.31","10.98","15.31","1.49","1.07","2.03","8","0.74","-1.05","918"
"Willy Taveras","Astros","-0.34","-9.95","9.61","-10.10","-0.97","0.97","0.78","13","-0.98","0.63","1876"
"A.J. Pierzynski","White Sox","-0.35","-9.31","8.96","-4.92","-0.46","0.95","2.36","12","-0.95","0.58","746"
"Chone Figgins","Angels","-0.44","-12.50","12.06","1.01","0.06","1.00","0.95","4","-0.08","-0.36","1580"
"Jhonny Peralta","Indians","-0.58","-10.28","9.70","-13.38","-1.29","0.90","0.87","2","-1.18","0.54","1738"
"Shawn Green","- - -","-0.62","-10.84","10.22","-3.33","-0.26","1.01","2.29","7","-0.53","-0.08","651"
"Eric Byrnes","Diamondbacks","-0.69","-11.84","11.15","1.82","0.19","1.03","0.86","7","0.43","-1.10","905"
"Chad Tracy","Diamondbacks","-0.69","-11.65","10.96","3.51","0.30","0.97","0.98","5","-0.29","-0.42","1888"
"Torii Hunter","Twins","-0.69","-11.79","11.10","0.00","-0.04","1.02","","0","1.12","-1.80","731"
"Jason Kendall","Athletics","-0.70","-10.64","9.94","-4.63","-0.45","0.98","2.70","2","-0.78","0.07","993"
"Dave Roberts","Padres","-0.71","-9.39","8.68","10.82","1.13","0.96","1.24","6","0.85","-1.59","670"
"Randy Winn","Giants","-0.85","-11.55","10.70","-2.12","-0.21","1.00","1.50","8","-1.09","0.24","1235"
"Garret Anderson","Angels","-0.88","-10.92","10.04","-5.79","-0.48","1.02","2.26","2","-0.32","-0.54","2"
"Troy Glaus","Blue Jays","-0.89","-12.05","11.16","3.93","0.39","0.99","1.59","5","1.22","-2.12","15"
"Nick Punto","Twins","-0.94","-8.71","7.77","-10.07","-0.93","0.95","2.25","2","-0.89","-0.10","1429"
"Jose Vidro","Nationals","-0.94","-9.42","8.48","-7.64","-0.75","1.08","0.98","10","-0.75","-0.13","802"
"David Eckstein","Cardinals","-1.02","-9.27","8.25","-14.80","-1.37","0.98","1.94","3","-1.09","0.04","10"
"Luis Castillo","Twins","-1.04","-10.71","9.67","-7.89","-0.77","0.93","","0","-0.99","-0.12","513"
"Scott Podsednik","White Sox","-1.06","-10.40","9.34","-12.95","-1.21","0.95","1.93","14","-1.42","0.31","1095"
"Juan Pierre","Cubs","-1.13","-12.48","11.35","-7.61","-0.73","0.91","","0","-1.07","-0.18","443"
"Ivan Rodriguez","Tigers","-1.21","-10.57","9.35","6.47","0.65","0.95","2.46","3","0.19","-1.48","1275"
"Jack Wilson","Pirates","-1.33","-10.62","9.30","-17.55","-1.71","0.99","1.41","11","-1.35","0.00","1017"
"Mark Grudzielanek","Royals","-1.39","-10.39","9.00","-7.55","-0.74","1.00","3.46","2","-0.93","-0.46","653"
"Pedro Feliz","Giants","-1.46","-12.63","11.17","-14.15","-1.31","1.04","","0","-2.11","0.71","1112"
"Ronnie Belliard","- - -","-1.58","-10.61","9.03","-10.51","-1.03","0.96","1.80","3","-0.83","-0.82","677"
"David Bell","- - -","-1.59","-11.56","9.96","-9.63","-0.82","1.09","3.47","3","-0.65","-0.81","1108"
"Jeff Conine","- - -","-1.63","-10.63","9.00","-9.15","-0.92","1.06","2.28","10","-1.61","0.08","131"
"Jamey Carroll","Rockies","-1.74","-10.12","8.38","-9.09","-0.95","0.99","1.02","17","-0.10","-1.65","1591"
"Yuniesky Betancourt","Mariners","-1.83","-10.85","9.01","-15.40","-1.50","0.96","","0","-1.31","-0.60","8585"
"Craig Biggio","Astros","-1.97","-11.62","9.65","-24.72","-2.35","1.00","1.98","13","-1.07","-0.89","549"
"Jose Lopez","Mariners","-2.12","-12.77","10.65","-7.14","-0.72","1.07","2.90","1","-1.61","-0.38","3114"
"Clint Barmes","Rockies","-2.18","-10.27","8.08","-19.84","-1.84","1.04","1.13","6","-2.59","0.50","1830"
"Shea Hillenbrand","- - -","-2.50","-11.06","8.57","-16.57","-1.55","0.95","1.37","6","-0.62","-2.00","196"
"Jose Castillo","Pirates","-2.65","-12.22","9.58","-20.62","-2.04","1.12","1.07","5","-1.98","-0.38","1866"
"Adam Everett","Astros","-3.15","-10.94","7.79","-23.65","-2.28","0.99","1.57","2","-2.46","-0.71","1430"
"Angel Berroa","Royals","-3.35","-10.77","7.42","-38.59","-3.72","1.07","2.79","2","-3.04","-0.09","591"
"Ronny Cedeno","Cubs","-4.70","-11.72","7.02","-48.54","-4.59","0.96","0.92","5","-3.92","-0.96","2179"
